Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
02:18,"MISS FT by HARPER,DYLLAN",,,,,,,"MISS FT by HARPER,DYLLAN",1
--,,,,,"REBOUND DEF by CRAIN,JOHN",,,"REBOUND DEF by CRAIN,JOHN",1
02:18,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
02:18,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
01:59,,31,,47 (+16),"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 31-47 (+16),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
01:43,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
01:43,"GOOD FT by MYRKS,ANTHONY",32,,47 (+15),,BEREA 32-47 (+15),,"GOOD FT by MYRKS,ANTHONY",1
01:43,"GOOD FT by MYRKS,ANTHONY",33,,47 (+14),,BEREA 33-47 (+14),,"GOOD FT by MYRKS,ANTHONY",1
01:43,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
01:43,"SUB IN by HINTON,GABE",,,,,,,"SUB IN by HINTON,GABE",1
01:43,"SUB OUT by BUTTS,STEPHEN",,,,,,,"SUB OUT by BUTTS,STEPHEN",1
01:43,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
01:43,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
01:43,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
01:43,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
01:39,"STEAL  by MYRKS,ANTHONY",,,,,,,"STEAL  by MYRKS,ANTHONY",1
01:39,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
01:39,"GOOD FT by MYRKS,ANTHONY",34,,47 (+13),,BEREA 34-47 (+13),,"GOOD FT by MYRKS,ANTHONY",1
01:39,"GOOD FT by MYRKS,ANTHONY",35,,47 (+12),,BEREA 35-47 (+12),,"GOOD FT by MYRKS,ANTHONY",1
01:20,,,,,"MISS LAYUP by HARDIMAN,BEN",,,"MISS LAYUP by HARDIMAN,BEN",1
--,"REBOUND DEF by HARRIS,ETHAN",,,,,,,"REBOUND DEF by HARRIS,ETHAN",1
01:15,"TURNOVER  by HARRIS,ETHAN",,,,,,,"TURNOVER  by HARRIS,ETHAN",1
01:14,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
01:13,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",1
01:13,,,,,"TURNOVER  by PERKINS,ALEX",,,"TURNOVER  by PERKINS,ALEX",1
01:13,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",1
01:13,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
00:55,"FOUL  by MYRKS,ANTHONY",,,,,,,"FOUL  by MYRKS,ANTHONY",1
00:55,"TURNOVER  by MYRKS,ANTHONY",,,,,,,"TURNOVER  by MYRKS,ANTHONY",1
00:34,,,,,"MISS 3PTR by HARDIMAN,BEN",,,"MISS 3PTR by HARDIMAN,BEN",1
--,"REBOUND DEF by MYRKS,ANTHONY",,,,,,,"REBOUND DEF by MYRKS,ANTHONY",1
00:27,"MISS LAYUP by HARPER,DYLLAN",,,,,,,"MISS LAYUP by HARPER,DYLLAN",1
00:27,,,,,"BLOCK  by CRAIN,JOHN",,,"BLOCK  by CRAIN,JOHN",1
--,"REBOUND OFF by HINTON,GABE",,,,,,,"REBOUND OFF by HINTON,GABE",1
00:19,"GOOD LAYUP by HINTON,GABE(in the paint)",37,,47 (+10),,BEREA 37-47 (+10),,"GOOD LAYUP by HINTON,GABE(in the paint)",1
00:02,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by HARRIS,ETHAN",,,,,,,"REBOUND DEF by HARRIS,ETHAN",1
19:48,,37,,49 (+12),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 37-49 (+12),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
19:32,"TURNOVER  by JACKSON,JAIR",,,,,,,"TURNOVER  by JACKSON,JAIR",2
19:22,"FOUL  by HINTON,GABE",,,,,,,"FOUL  by HINTON,GABE",2
19:04,,37,,52 (+15),"GOOD 3PTR by WELCH,ROSS",BSC 37-52 (+15),,"GOOD 3PTR by WELCH,ROSS",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
18:49,"SUB IN by HARRIS,ETHAN",,,,,,,"SUB IN by HARRIS,ETHAN",2
18:49,"SUB OUT by HINTON,GABE",,,,,,,"SUB OUT by HINTON,GABE",2
18:43,"GOOD LAYUP by JACKSON,JAIR(in the paint)",39,,52 (+13),,BEREA 39-52 (+13),,"GOOD LAYUP by JACKSON,JAIR(in the paint)",2
18:29,,39,,54 (+15),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 39-54 (+15),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
18:17,"GOOD 3PTR by GARMON,DOMINIQUE",42,,54 (+12),,BEREA 42-54 (+12),,"GOOD 3PTR by GARMON,DOMINIQUE",2
--,"ASSIST  by MYRKS,ANTHONY",,,,,,,"ASSIST  by MYRKS,ANTHONY",2
18:00,,42,,56 (+14),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",BSC 42-56 (+14),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
17:36,"MISS JUMPER by GARMON,DOMINIQUE",,,,,,,"MISS JUMPER by GARMON,DOMINIQUE",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
17:11,,42,,59 (+17),"GOOD 3PTR by AVERY,ALEX",BSC 42-59 (+17),,"GOOD 3PTR by AVERY,ALEX",2
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",2
16:42,"MISS 3PTR by HARRIS,ETHAN",,,,,,,"MISS 3PTR by HARRIS,ETHAN",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
16:32,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
16:27,,42,,61 (+19),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",BSC 42-61 (+19),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
16:06,"GOOD LAYUP by HARRIS,ETHAN(in the paint)",44,,61 (+17),,BEREA 44-61 (+17),,"GOOD LAYUP by HARRIS,ETHAN(in the paint)",2
15:56,"SUB IN by BROWN,BIZZLE",,,,,,,"SUB IN by BROWN,BIZZLE",2
15:56,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",2
15:56,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",2
15:56,"SUB OUT by JACKSON,JAIR",,,,,,,"SUB OUT by JACKSON,JAIR",2
15:56,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
15:56,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
15:36,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
15:33,"STEAL  by HARRIS,ETHAN",,,,,,,"STEAL  by HARRIS,ETHAN",2
15:29,"GOOD JUMPER by HARRIS,ETHAN(in the paint)",46,,61 (+15),,BEREA 46-61 (+15),,"GOOD JUMPER by HARRIS,ETHAN(in the paint)",2
15:02,"FOUL  by BROWN,BIZZLE",,,,,,,"FOUL  by BROWN,BIZZLE",2
15:02,,46,,62 (+16),"GOOD FT by DENEKA,HARRISON",BSC 46-62 (+16),,"GOOD FT by DENEKA,HARRISON",2
15:02,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",2
--,"REBOUND DEF by HARRIS,ETHAN",,,,,,,"REBOUND DEF by HARRIS,ETHAN",2
15:02,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
15:02,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
14:52,"GOOD LAYUP by HARRIS,ETHAN(in the paint)",48,,62 (+14),,BEREA 48-62 (+14),,"GOOD LAYUP by HARRIS,ETHAN(in the paint)",2
14:33,,48,,65 (+17),"GOOD 3PTR by THOM,IAN",BSC 48-65 (+17),,"GOOD 3PTR by THOM,IAN",2
--,,,,,"ASSIST  by CRAIN,JOHN",,,"ASSIST  by CRAIN,JOHN",2
14:17,"MISS LAYUP by HARRIS,ETHAN",,,,,,,"MISS LAYUP by HARRIS,ETHAN",2
--,"REBOUND OFF by BROWN,BIZZLE",,,,,,,"REBOUND OFF by BROWN,BIZZLE",2
14:14,"MISS TIPIN by BROWN,BIZZLE",,,,,,,"MISS TIPIN by BROWN,BIZZLE",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
14:04,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",2
--,"REBOUND DEF by HARRIS,ETHAN",,,,,,,"REBOUND DEF by HARRIS,ETHAN",2
13:52,"GOOD 3PTR by PARKER,RICHARD",51,,65 (+14),,BEREA 51-65 (+14),,"GOOD 3PTR by PARKER,RICHARD",2
13:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:30,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",2
13:30,"SUB OUT by HARRIS,ETHAN",,,,,,,"SUB OUT by HARRIS,ETHAN",2
13:30,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",2
13:30,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
13:30,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
13:30,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
13:20,,,,,"MISS JUMPER by MCLEAN,JAMES",,,"MISS JUMPER by MCLEAN,JAMES",2
--,"REBOUND DEF by GARMON,DOMINIQUE",,,,,,,"REBOUND DEF by GARMON,DOMINIQUE",2
13:10,"GOOD 3PTR by BUTTS,STEPHEN",54,,65 (+11),,BEREA 54-65 (+11),,"GOOD 3PTR by BUTTS,STEPHEN",2
--,"ASSIST  by MYRKS,ANTHONY",,,,,,,"ASSIST  by MYRKS,ANTHONY",2
12:37,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",2
12:35,"STEAL  by GARMON,DOMINIQUE",,,,,,,"STEAL  by GARMON,DOMINIQUE",2
12:32,"GOOD LAYUP by PARKER,RICHARD(fastbreak)(in the paint)",56,,65 (+9),,BEREA 56-65 (+9),,"GOOD LAYUP by PARKER,RICHARD(fastbreak)(in the paint)",2
12:13,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",2
--,"REBOUND DEF by BUTTS,STEPHEN",,,,,,,"REBOUND DEF by BUTTS,STEPHEN",2
12:07,"TURNOVER  by BUTTS,STEPHEN",,,,,,,"TURNOVER  by BUTTS,STEPHEN",2
12:06,,,,,"STEAL  by CRAIN,JOHN",,,"STEAL  by CRAIN,JOHN",2
11:51,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,"REBOUND DEF by BROWN,BIZZLE",,,,,,,"REBOUND DEF by BROWN,BIZZLE",2
11:44,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",58,,65 (+7),,BEREA 58-65 (+7),,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",2
11:44,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",2
11:44,"GOOD FT by GARMON,DOMINIQUE",59,,65 (+6),,BEREA 59-65 (+6),,"GOOD FT by GARMON,DOMINIQUE",2
11:44,"SUB IN by JACKSON,JAIR",,,,,,,"SUB IN by JACKSON,JAIR",2
11:44,"SUB OUT by BUTTS,STEPHEN",,,,,,,"SUB OUT by BUTTS,STEPHEN",2
11:44,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
11:44,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",2
11:44,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",2
11:44,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
11:44,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
11:44,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
11:29,,,,,"MISS JUMPER by BARRON,MAC",,,"MISS JUMPER by BARRON,MAC",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:28,"SUB IN by HARRIS,ETHAN",,,,,,,"SUB IN by HARRIS,ETHAN",2
11:28,"SUB OUT by BROWN,BIZZLE",,,,,,,"SUB OUT by BROWN,BIZZLE",2
11:07,"GOOD 3PTR by GARMON,DOMINIQUE",62,,65 (+3),,BEREA 62-65 (+3),,"GOOD 3PTR by GARMON,DOMINIQUE",2
--,"ASSIST  by HARRIS,ETHAN",,,,,,,"ASSIST  by HARRIS,ETHAN",2
10:35,,62,,67 (+5),"GOOD LAYUP by BARRON,MAC(in the paint)",BSC 62-67 (+5),,"GOOD LAYUP by BARRON,MAC(in the paint)",2
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",2
10:21,"MISS 3PTR by PARKER,RICHARD",,,,,,,"MISS 3PTR by PARKER,RICHARD",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:19,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
10:19,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",2
10:19,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",2
10:12,"TURNOVER  by MYRKS,ANTHONY",,,,,,,"TURNOVER  by MYRKS,ANTHONY",2
09:53,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",2
09:51,"STEAL  by GARMON,DOMINIQUE",,,,,,,"STEAL  by GARMON,DOMINIQUE",2
09:47,"MISS LAYUP by HARRIS,ETHAN",,,,,,,"MISS LAYUP by HARRIS,ETHAN",2
09:47,,,,,"BLOCK  by DENEKA,HARRISON",,,"BLOCK  by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
09:35,"FOUL  by JACKSON,JAIR",,,,,,,"FOUL  by JACKSON,JAIR",2
09:35,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
09:35,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",2
09:12,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,"REBOUND DEF by JACKSON,JAIR",,,,,,,"REBOUND DEF by JACKSON,JAIR",2
08:52,"MISS JUMPER by JACKSON,JAIR",,,,,,,"MISS JUMPER by JACKSON,JAIR",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
08:41,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",2
08:41,"BLOCK  by JACKSON,JAIR",,,,,,,"BLOCK  by JACKSON,JAIR",2
--,"REBOUND DEF by JACKSON,JAIR",,,,,,,"REBOUND DEF by JACKSON,JAIR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:35,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
08:35,"MISS FT by MYRKS,ANTHONY",,,,,,,"MISS FT by MYRKS,ANTHONY",2
08:35,"GOOD FT by MYRKS,ANTHONY",63,,67 (+4),,BEREA 63-67 (+4),,"GOOD FT by MYRKS,ANTHONY",2
08:35,"SUB IN by BROWN,BIZZLE",,,,,,,"SUB IN by BROWN,BIZZLE",2
08:35,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",2
08:35,"SUB OUT by HARRIS,ETHAN",,,,,,,"SUB OUT by HARRIS,ETHAN",2
08:35,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",2
08:35,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
08:35,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
08:31,"FOUL  by PARKER,RICHARD",,,,,,,"FOUL  by PARKER,RICHARD",2
08:20,,63,,69 (+6),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 63-69 (+6),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
08:00,"MISS 3PTR by BUTTS,STEPHEN",,,,,,,"MISS 3PTR by BUTTS,STEPHEN",2
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",2
07:46,,63,,71 (+8),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",BSC 63-71 (+8),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",2
07:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:23,"TURNOVER  by PARKER,RICHARD",,,,,,,"TURNOVER  by PARKER,RICHARD",2
07:00,"FOUL  by PARKER,RICHARD",,,,,,,"FOUL  by PARKER,RICHARD",2
07:00,"SUB IN by HARRIS,ETHAN",,,,,,,"SUB IN by HARRIS,ETHAN",2
07:00,"SUB OUT by JACKSON,JAIR",,,,,,,"SUB OUT by JACKSON,JAIR",2
06:45,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND DEF by BROWN,BIZZLE",,,,,,,"REBOUND DEF by BROWN,BIZZLE",2
06:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:40,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",2
06:40,"SUB OUT by BUTTS,STEPHEN",,,,,,,"SUB OUT by BUTTS,STEPHEN",2
06:40,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",2
06:40,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
06:40,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
06:40,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
06:40,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
06:40,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
06:35,"TURNOVER  by MYRKS,ANTHONY",,,,,,,"TURNOVER  by MYRKS,ANTHONY",2
06:33,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",2
06:29,,63,,73 (+10),"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",BSC 63-73 (+10),,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",2
06:20,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
06:05,"MISS LAYUP by BROWN,BIZZLE",,,,,,,"MISS LAYUP by BROWN,BIZZLE",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
05:58,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND DEF by HARRIS,ETHAN",,,,,,,"REBOUND DEF by HARRIS,ETHAN",2
05:51,"MISS 3PTR by PARKER,RICHARD",,,,,,,"MISS 3PTR by PARKER,RICHARD",2
--,"REBOUND OFF by MYRKS,ANTHONY",,,,,,,"REBOUND OFF by MYRKS,ANTHONY",2
05:32,"GOOD DUNK by BROWN,BIZZLE(in the paint)",65,,73 (+8),,BEREA 65-73 (+8),,"GOOD DUNK by BROWN,BIZZLE(in the paint)",2
--,"ASSIST  by MYRKS,ANTHONY",,,,,,,"ASSIST  by MYRKS,ANTHONY",2
05:24,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
05:22,"STEAL  by GARMON,DOMINIQUE",,,,,,,"STEAL  by GARMON,DOMINIQUE",2
05:20,"GOOD LAYUP by PARKER,RICHARD(fastbreak)(in the paint)",67,,73 (+6),,BEREA 67-73 (+6),,"GOOD LAYUP by PARKER,RICHARD(fastbreak)(in the paint)",2
--,"ASSIST  by GARMON,DOMINIQUE",,,,,,,"ASSIST  by GARMON,DOMINIQUE",2
05:00,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",2
04:54,,67,,75 (+8),"GOOD LAYUP by THOM,IAN(in the paint)",BSC 67-75 (+8),,"GOOD LAYUP by THOM,IAN(in the paint)",2
04:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:53,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",2
04:53,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",2
04:53,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",2
04:53,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
04:32,"MISS 3PTR by GARMON,DOMINIQUE",,,,,,,"MISS 3PTR by GARMON,DOMINIQUE",2
--,"REBOUND OFF by BROWN,BIZZLE",,,,,,,"REBOUND OFF by BROWN,BIZZLE",2
04:25,"GOOD LAYUP by BROWN,BIZZLE(in the paint)",69,,75 (+6),,BEREA 69-75 (+6),,"GOOD LAYUP by BROWN,BIZZLE(in the paint)",2
03:56,,,,,"MISS JUMPER by AVERY,ALEX",,,"MISS JUMPER by AVERY,ALEX",2
--,"REBOUND DEF by BROWN,BIZZLE",,,,,,,"REBOUND DEF by BROWN,BIZZLE",2
03:44,"TURNOVER  by HARRIS,ETHAN",,,,,,,"TURNOVER  by HARRIS,ETHAN",2
03:44,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
03:44,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
03:16,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
03:16,"BLOCK  by BROWN,BIZZLE",,,,,,,"BLOCK  by BROWN,BIZZLE",2
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",2
03:13,,69,,77 (+8),"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 69-77 (+8),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
02:59,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",71,,77 (+6),,BEREA 71-77 (+6),,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",2
02:40,"FOUL  by BROWN,BIZZLE",,,,,,,"FOUL  by BROWN,BIZZLE",2
02:40,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:40,,71,,78 (+7),"GOOD FT by DENEKA,HARRISON",BSC 71-78 (+7),,"GOOD FT by DENEKA,HARRISON",2
02:40,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",2
02:40,"SUB OUT by HARRIS,ETHAN",,,,,,,"SUB OUT by HARRIS,ETHAN",2
02:36,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",2
02:24,"MISS JUMPER by GARMON,DOMINIQUE",,,,,,,"MISS JUMPER by GARMON,DOMINIQUE",2
--,"REBOUND OFF by GARMON,DOMINIQUE",,,,,,,"REBOUND OFF by GARMON,DOMINIQUE",2
02:18,"GOOD JUMPER by GARMON,DOMINIQUE(in the paint)",73,,78 (+5),,BEREA 73-78 (+5),,"GOOD JUMPER by GARMON,DOMINIQUE(in the paint)",2
02:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:17,"SUB IN by HARRIS,ETHAN",,,,,,,"SUB IN by HARRIS,ETHAN",2
02:17,"SUB OUT by BUTTS,STEPHEN",,,,,,,"SUB OUT by BUTTS,STEPHEN",2
02:10,,73,,81 (+8),"GOOD 3PTR by WELCH,ROSS",BSC 73-81 (+8),,"GOOD 3PTR by WELCH,ROSS",2
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",2
01:59,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
01:52,"MISS 3PTR by HARRIS,ETHAN",,,,,,,"MISS 3PTR by HARRIS,ETHAN",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
01:23,,73,,83 (+10),"GOOD LAYUP by THOM,IAN(in the paint)",BSC 73-83 (+10),,"GOOD LAYUP by THOM,IAN(in the paint)",2
01:23,"FOUL  by PARKER,RICHARD",,,,,,,"FOUL  by PARKER,RICHARD",2
01:23,,73,,84 (+11),"GOOD FT by THOM,IAN",BSC 73-84 (+11),,"GOOD FT by THOM,IAN",2
01:23,"SUB IN by HARPER,DYLLAN",,,,,,,"SUB IN by HARPER,DYLLAN",2
01:23,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",2
01:23,"SUB OUT by BROWN,BIZZLE",,,,,,,"SUB OUT by BROWN,BIZZLE",2
01:23,"SUB OUT by PARKER,RICHARD",,,,,,,"SUB OUT by PARKER,RICHARD",2
01:12,"MISS 3PTR by GARMON,DOMINIQUE",,,,,,,"MISS 3PTR by GARMON,DOMINIQUE",2
--,"REBOUND OFF by MYRKS,ANTHONY",,,,,,,"REBOUND OFF by MYRKS,ANTHONY",2
01:06,"MISS 3PTR by MYRKS,ANTHONY",,,,,,,"MISS 3PTR by MYRKS,ANTHONY",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
00:39,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",2
00:35,,73,,86 (+13),"GOOD TIPIN by AVERY,ALEX(in the paint)",BSC 73-86 (+13),,"GOOD TIPIN by AVERY,ALEX(in the paint)",2
00:22,"MISS LAYUP by GARMON,DOMINIQUE",,,,,,,"MISS LAYUP by GARMON,DOMINIQUE",2
