Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,Period
18:54,,36,,40 (+4),"GOOD LAYUP by CLIFFORD,SIMON(fastbreak)(in the paint)",TMC 36-40 (-4),,"GOOD LAYUP by CLIFFORD,SIMON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,DANIEL",,,"ASSIST  by WILLIAMS,DANIEL",2
18:35,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
18:32,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND DEF by CLIFFORD,SIMON",,,"REBOUND DEF by CLIFFORD,SIMON",2
18:20,,,,,"MISS 3PTR by FITTS,CAMERON",,,"MISS 3PTR by FITTS,CAMERON",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
18:15,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",38,,40 (+2),,BSC 38-40 (-2),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",2
18:03,,,,,"TURNOVER  by PAULY,SAWYER",,,"TURNOVER  by PAULY,SAWYER",2
18:02,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
17:59,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by PAULY,SAWYER",,,"REBOUND DEF by PAULY,SAWYER",2
17:38,,,,,"MISS JUMPER by CLIFFORD,SIMON",,,"MISS JUMPER by CLIFFORD,SIMON",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
17:30,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",40,,40,,BSC 40-40 (0),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",2
17:06,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
16:51,,40,,42 (+2),"GOOD JUMPER by FITTS,CAMERON",TMC 40-42 (-2),,"GOOD JUMPER by FITTS,CAMERON",2
16:30,,,,,"FOUL  by HOWARD,COREY",,,"FOUL  by HOWARD,COREY",2
16:30,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
16:30,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
16:27,"GOOD 3PTR by THOM,IAN",43 (+1),,42,,BSC 43-42 (+1),,"GOOD 3PTR by THOM,IAN",2
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",2
16:03,,43,,44 (+1),"GOOD JUMPER by HOWARD,COREY(in the paint)",TMC 43-44 (-1),,"GOOD JUMPER by HOWARD,COREY(in the paint)",2
15:47,,,,,"FOUL  by CLIFFORD,SIMON",,,"FOUL  by CLIFFORD,SIMON",2
15:47,,,,,"SUB IN by YOUNG,AUSTIN",,,"SUB IN by YOUNG,AUSTIN",2
15:47,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",2
15:33,,,,,"FOUL  by YOUNG,AUSTIN",,,"FOUL  by YOUNG,AUSTIN",2
15:33,"GOOD FT by MCLEAN,JAMES",44,,44,,BSC 44-44 (0),,"GOOD FT by MCLEAN,JAMES",2
15:33,"GOOD FT by MCLEAN,JAMES",45 (+1),,44,,BSC 45-44 (+1),,"GOOD FT by MCLEAN,JAMES",2
15:08,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
15:01,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",2
14:57,"GOOD LAYUP by AVERY,ALEX(in the paint)",47 (+3),,44,,BSC 47-44 (+3),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
14:46,,,,,"TURNOVER  by PAULY,SAWYER",,,"TURNOVER  by PAULY,SAWYER",2
14:46,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
14:34,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by HOWARD,COREY",,,"REBOUND DEF by HOWARD,COREY",2
14:17,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",2
14:17,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
14:17,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
14:17,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",2
14:17,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
14:17,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
14:17,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
14:17,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
14:17,,,,,"SUB IN by KING,DAMION",,,"SUB IN by KING,DAMION",2
14:17,,,,,"SUB IN by HORNE,BRANDON",,,"SUB IN by HORNE,BRANDON",2
14:17,,,,,"SUB OUT by FITTS,CAMERON",,,"SUB OUT by FITTS,CAMERON",2
14:17,,,,,"SUB OUT by HOWARD,COREY",,,"SUB OUT by HOWARD,COREY",2
14:07,,47 (+1),,46,"GOOD LAYUP by PAULY,SAWYER(in the paint)",TMC 47-46 (+1),,"GOOD LAYUP by PAULY,SAWYER(in the paint)",2
13:46,"GOOD 3PTR by MCLEAN,JAMES",50 (+4),,46,,BSC 50-46 (+4),,"GOOD 3PTR by MCLEAN,JAMES",2
--,"ASSIST  by PERKINS,ALEX",,,,,,,"ASSIST  by PERKINS,ALEX",2
13:30,,,,,"MISS JUMPER by YOUNG,AUSTIN",,,"MISS JUMPER by YOUNG,AUSTIN",2
--,"REBOUND DEF by BARRON,MAC",,,,,,,"REBOUND DEF by BARRON,MAC",2
13:18,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
13:18,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
13:08,"GOOD LAYUP by BARRON,MAC(in the paint)",52 (+6),,46,,BSC 52-46 (+6),,"GOOD LAYUP by BARRON,MAC(in the paint)",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
12:54,,52 (+4),,48,"GOOD JUMPER by WILLIAMS,DANIEL(in the paint)",TMC 52-48 (+4),,"GOOD JUMPER by WILLIAMS,DANIEL(in the paint)",2
12:54,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",2
12:54,,52 (+3),,49,"GOOD FT by WILLIAMS,DANIEL",TMC 52-49 (+3),,"GOOD FT by WILLIAMS,DANIEL",2
12:29,"MISS JUMPER by BARRON,MAC",,,,,,,"MISS JUMPER by BARRON,MAC",2
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",2
12:20,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
12:20,,52 (+2),,50,"GOOD FT by WILLIAMS,DANIEL",TMC 52-50 (+2),,"GOOD FT by WILLIAMS,DANIEL",2
12:20,,52 (+1),,51,"GOOD FT by WILLIAMS,DANIEL",TMC 52-51 (+1),,"GOOD FT by WILLIAMS,DANIEL",2
12:20,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
12:20,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",2
12:03,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",2
11:57,,,,,"STEAL  by PAULY,SAWYER",,,"STEAL  by PAULY,SAWYER",2
11:55,,52,,53 (+1),"GOOD LAYUP by PAULY,SAWYER(fastbreak)(in the paint)",TMC 52-53 (-1),,"GOOD LAYUP by PAULY,SAWYER(fastbreak)(in the paint)",2
11:43,"TURNOVER  by PERKINS,ALEX",,,,,,,"TURNOVER  by PERKINS,ALEX",2
11:42,,,,,"STEAL  by WILLIAMS,DANIEL",,,"STEAL  by WILLIAMS,DANIEL",2
11:39,,52,,55 (+3),"GOOD LAYUP by WILLIAMS,DANIEL(fastbreak)(in the paint)",TMC 52-55 (-3),,"GOOD LAYUP by WILLIAMS,DANIEL(fastbreak)(in the paint)",2
11:34,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",2
11:31,,52,,56 (+4),"GOOD FT by WILLIAMS,DANIEL",TMC 52-56 (-4),,"GOOD FT by WILLIAMS,DANIEL",2
11:28,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
11:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:20,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
11:20,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",2
11:20,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",2
11:20,,,,,"SUB OUT by YOUNG,AUSTIN",,,"SUB OUT by YOUNG,AUSTIN",2
11:15,,,,,"MISS LAYUP by KING,DAMION",,,"MISS LAYUP by KING,DAMION",2
11:15,"BLOCK  by WELCH,ROSS",,,,,,,"BLOCK  by WELCH,ROSS",2
--,,,,,"REBOUND OFF by KING,DAMION",,,"REBOUND OFF by KING,DAMION",2
11:06,,52,,59 (+7),"GOOD 3PTR by WILLIAMS,DANIEL",TMC 52-59 (-7),,"GOOD 3PTR by WILLIAMS,DANIEL",2
--,,,,,"ASSIST  by HORNE,BRANDON",,,"ASSIST  by HORNE,BRANDON",2
10:48,"GOOD 3PTR by CRAIN,JOHN",55,,59 (+4),,BSC 55-59 (-4),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
10:36,,55,,61 (+6),"GOOD JUMPER by KING,DAMION",TMC 55-61 (-6),,"GOOD JUMPER by KING,DAMION",2
10:16,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
10:16,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
10:02,,,,,"MISS LAYUP by WILLIAMS,DANIEL",,,"MISS LAYUP by WILLIAMS,DANIEL",2
--,,,,,"REBOUND OFF by KING,DAMION",,,"REBOUND OFF by KING,DAMION",2
09:58,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,,,,,"REBOUND OFF by HORNE,BRANDON",,,"REBOUND OFF by HORNE,BRANDON",2
09:54,,,,,"TURNOVER  by HORNE,BRANDON",,,"TURNOVER  by HORNE,BRANDON",2
09:53,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
09:51,"GOOD 3PTR by WELCH,ROSS(fastbreak)",58,,61 (+3),,BSC 58-61 (-3),,"GOOD 3PTR by WELCH,ROSS(fastbreak)",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
09:32,,58,,63 (+5),"GOOD JUMPER by KING,DAMION(in the paint)",TMC 58-63 (-5),,"GOOD JUMPER by KING,DAMION(in the paint)",2
09:20,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
09:20,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
09:20,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
09:20,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
09:20,,,,,"SUB IN by FITTS,CAMERON",,,"SUB IN by FITTS,CAMERON",2
09:20,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",2
09:20,,,,,"SUB OUT by STOCKWELL,JUNIOR",,,"SUB OUT by STOCKWELL,JUNIOR",2
09:20,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
09:11,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",2
09:11,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
09:01,,58,,65 (+7),"GOOD LAYUP by KING,DAMION(in the paint)",TMC 58-65 (-7),,"GOOD LAYUP by KING,DAMION(in the paint)",2
08:54,,,,,"FOUL  by KING,DAMION",,,"FOUL  by KING,DAMION",2
08:52,"GOOD 3PTR by CRAIN,JOHN",61,,65 (+4),,BSC 61-65 (-4),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
08:24,,61,,67 (+6),"GOOD JUMPER by KING,DAMION",TMC 61-67 (-6),,"GOOD JUMPER by KING,DAMION",2
08:02,,,,,"FOUL  by HORNE,BRANDON",,,"FOUL  by HORNE,BRANDON",2
08:02,"GOOD FT by LEWIS,EVAN",62,,67 (+5),,BSC 62-67 (-5),,"GOOD FT by LEWIS,EVAN",2
08:02,"GOOD FT by LEWIS,EVAN",63,,67 (+4),,BSC 63-67 (-4),,"GOOD FT by LEWIS,EVAN",2
07:36,,63,,69 (+6),"GOOD LAYUP by FITTS,CAMERON(in the paint)",TMC 63-69 (-6),,"GOOD LAYUP by FITTS,CAMERON(in the paint)",2
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",2
07:28,"GOOD 3PTR by MCLEAN,JAMES",66,,69 (+3),,BSC 66-69 (-3),,"GOOD 3PTR by MCLEAN,JAMES",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
07:08,,,,,"TURNOVER  by HORNE,BRANDON",,,"TURNOVER  by HORNE,BRANDON",2
07:08,,,,,"SUB IN by CLIFFORD,SIMON",,,"SUB IN by CLIFFORD,SIMON",2
07:08,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
07:08,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
07:08,,,,,"SUB OUT by STOCKWELL,JUNIOR",,,"SUB OUT by STOCKWELL,JUNIOR",2
07:08,,,,,"SUB OUT by FITTS,CAMERON",,,"SUB OUT by FITTS,CAMERON",2
07:08,,,,,"SUB OUT by HORNE,BRANDON",,,"SUB OUT by HORNE,BRANDON",2
06:39,"MISS JUMPER by MCLEAN,JAMES",,,,,,,"MISS JUMPER by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",2
06:16,,,,,"TURNOVER  by WILLIAMS,DANIEL",,,"TURNOVER  by WILLIAMS,DANIEL",2
06:02,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",2
--,,,,,"REBOUND DEF by PAULY,SAWYER",,,"REBOUND DEF by PAULY,SAWYER",2
05:57,,,,,"MISS JUMPER by CALLAHAN,RYNE",,,"MISS JUMPER by CALLAHAN,RYNE",2
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",2
05:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:37,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND OFF by WELCH,ROSS",,,,,,,"REBOUND OFF by WELCH,ROSS",2
05:25,"GOOD JUMPER by RUDAK,MATTY(in the paint)",68,,69 (+1),,BSC 68-69 (-1),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",2
05:03,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
05:03,,68,,70 (+2),"GOOD FT by CLIFFORD,SIMON",TMC 68-70 (-2),,"GOOD FT by CLIFFORD,SIMON",2
05:03,,68,,71 (+3),"GOOD FT by CLIFFORD,SIMON",TMC 68-71 (-3),,"GOOD FT by CLIFFORD,SIMON",2
05:03,,,,,"SUB IN by HORNE,BRANDON",,,"SUB IN by HORNE,BRANDON",2
05:03,,,,,"SUB OUT by CALLAHAN,RYNE",,,"SUB OUT by CALLAHAN,RYNE",2
04:44,"GOOD LAYUP by RUDAK,MATTY(in the paint)",70,,71 (+1),,BSC 70-71 (-1),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
04:12,,,,,"TURNOVER  by WILLIAMS,DANIEL",,,"TURNOVER  by WILLIAMS,DANIEL",2
04:01,,,,,"FOUL  by CLIFFORD,SIMON",,,"FOUL  by CLIFFORD,SIMON",2
04:01,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",2
04:01,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",2
04:00,"GOOD FT by RUDAK,MATTY",71,,71,,BSC 71-71 (0),,"GOOD FT by RUDAK,MATTY",2
04:00,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",2
03:46,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:24,"GOOD JUMPER by THOM,IAN(in the paint)",73 (+2),,71,,BSC 73-71 (+2),,"GOOD JUMPER by THOM,IAN(in the paint)",2
03:03,,,,,"TURNOVER  by PAULY,SAWYER",,,"TURNOVER  by PAULY,SAWYER",2
03:03,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
02:47,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
02:43,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
02:43,,73 (+1),,72,"GOOD FT by WILLIAMS,DANIEL",TMC 73-72 (+1),,"GOOD FT by WILLIAMS,DANIEL",2
02:43,,73,,73,"GOOD FT by WILLIAMS,DANIEL",TMC 73-73 (0),,"GOOD FT by WILLIAMS,DANIEL",2
02:24,,,,,"FOUL  by STOCKWELL,JUNIOR",,,"FOUL  by STOCKWELL,JUNIOR",2
02:24,"GOOD FT by RUDAK,MATTY",74 (+1),,73,,BSC 74-73 (+1),,"GOOD FT by RUDAK,MATTY",2
02:24,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by PAULY,SAWYER",,,"REBOUND DEF by PAULY,SAWYER",2
02:03,,,,,"MISS LAYUP by HORNE,BRANDON",,,"MISS LAYUP by HORNE,BRANDON",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
01:55,,,,,"FOUL  by KING,DAMION",,,"FOUL  by KING,DAMION",2
01:55,"GOOD FT by THOM,IAN",75 (+2),,73,,BSC 75-73 (+2),,"GOOD FT by THOM,IAN",2
01:55,"GOOD FT by THOM,IAN",76 (+3),,73,,BSC 76-73 (+3),,"GOOD FT by THOM,IAN",2
01:55,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",2
01:55,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
01:42,,76 (+1),,75,"GOOD JUMPER by CALLAHAN,RYNE",TMC 76-75 (+1),,"GOOD JUMPER by CALLAHAN,RYNE",2
01:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:38,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
01:38,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
01:38,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
01:38,,,,,"SUB OUT by CALLAHAN,RYNE",,,"SUB OUT by CALLAHAN,RYNE",2
01:14,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND DEF by STOCKWELL,JUNIOR",,,"REBOUND DEF by STOCKWELL,JUNIOR",2
01:11,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",2
01:11,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
00:43,,,,,"MISS JUMPER by KING,DAMION",,,"MISS JUMPER by KING,DAMION",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
00:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:29,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
00:29,,,,,"SUB OUT by CALLAHAN,RYNE",,,"SUB OUT by CALLAHAN,RYNE",2
00:14,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
00:10,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
00:10,"GOOD FT by THOM,IAN",77 (+2),,75,,BSC 77-75 (+2),,"GOOD FT by THOM,IAN",2
00:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:10,"GOOD FT by THOM,IAN",78 (+3),,75,,BSC 78-75 (+3),,"GOOD FT by THOM,IAN",2
00:10,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",2
00:10,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
00:00,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
