Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
19:35,,,,,"TURNOVER  by DUNCAN,JAKE",,,"TURNOVER  by DUNCAN,JAKE",1
19:33,"STEAL  by WELCH,ROSS",,,,,,,"STEAL  by WELCH,ROSS",1
19:19,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,"REBOUND DEF by DUNCAN,JAKE",,,"REBOUND DEF by DUNCAN,JAKE",1
19:13,,0,,2 (+2),"GOOD JUMPER by EVANS,ANDREW(fastbreak)",HSC 0-2 (-2),,"GOOD JUMPER by EVANS,ANDREW(fastbreak)",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
18:50,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
18:48,,,,,"STEAL  by KATOWITZ,JOSH",,,"STEAL  by KATOWITZ,JOSH",1
18:41,,0,,4 (+4),"GOOD LAYUP by MURRAY,MIKE(in the paint)",HSC 0-4 (-4),,"GOOD LAYUP by MURRAY,MIKE(in the paint)",1
18:10,,,,,"FOUL  by DUNCAN,JAKE",,,"FOUL  by DUNCAN,JAKE",1
18:10,"GOOD FT by LEWIS,EVAN",1,,4 (+3),,BSC 1-4 (-3),,"GOOD FT by LEWIS,EVAN",1
18:10,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",1
17:53,,,,,"MISS JUMPER by GUIMARAES,GUILHERME",,,"MISS JUMPER by GUIMARAES,GUILHERME",1
--,,,,,"REBOUND OFF by GUIMARAES,GUILHERME",,,"REBOUND OFF by GUIMARAES,GUILHERME",1
17:50,,1,,6 (+5),"GOOD LAYUP by GUIMARAES,GUILHERME(in the paint)",HSC 1-6 (-5),,"GOOD LAYUP by GUIMARAES,GUILHERME(in the paint)",1
17:31,"GOOD JUMPER by THOM,IAN(in the paint)",3,,6 (+3),,BSC 3-6 (-3),,"GOOD JUMPER by THOM,IAN(in the paint)",1
17:25,,3,,9 (+6),"GOOD 3PTR by DUNCAN,JAKE(fastbreak)",HSC 3-9 (-6),,"GOOD 3PTR by DUNCAN,JAKE(fastbreak)",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
17:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:03,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",1
16:55,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:43,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
16:43,,,,,"BLOCK  by EVANS,ANDREW",,,"BLOCK  by EVANS,ANDREW",1
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",1
16:37,,3,,11 (+8),"GOOD LAYUP by MURRAY,MIKE(fastbreak)(in the paint)",HSC 3-11 (-8),,"GOOD LAYUP by MURRAY,MIKE(fastbreak)(in the paint)",1
16:20,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by EVANS,ANDREW",,,"REBOUND DEF by EVANS,ANDREW",1
16:12,,3,,14 (+11),"GOOD 3PTR by EVANS,ANDREW(fastbreak)",HSC 3-14 (-11),,"GOOD 3PTR by EVANS,ANDREW(fastbreak)",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
15:43,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",1
15:43,,,,,"BLOCK  by EVANS,ANDREW",,,"BLOCK  by EVANS,ANDREW",1
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",1
15:28,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:28,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
15:28,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
15:28,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
15:28,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
15:28,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
15:28,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
15:28,,,,,"SUB IN by CHASE,NICK",,,"SUB IN by CHASE,NICK",1
15:28,,,,,"SUB IN by OWENS,MITCH",,,"SUB IN by OWENS,MITCH",1
15:28,,,,,"SUB IN by REDDICK,JAVONTE",,,"SUB IN by REDDICK,JAVONTE",1
15:28,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",1
15:28,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",1
15:28,,,,,"SUB OUT by KATOWITZ,JOSH",,,"SUB OUT by KATOWITZ,JOSH",1
15:23,,,,,"FOUL  by CHASE,NICK",,,"FOUL  by CHASE,NICK",1
15:14,,,,,"FOUL  by CHASE,NICK",,,"FOUL  by CHASE,NICK",1
15:00,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",1
14:52,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
14:38,,3,,17 (+14),"GOOD 3PTR by EVANS,ANDREW",HSC 3-17 (-14),,"GOOD 3PTR by EVANS,ANDREW",1
--,,,,,"ASSIST  by REDDICK,JAVONTE",,,"ASSIST  by REDDICK,JAVONTE",1
14:15,"MISS JUMPER by MCLEAN,JAMES",,,,,,,"MISS JUMPER by MCLEAN,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:14,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
14:14,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
14:14,,,,,"SUB IN by REID,JUSTIN",,,"SUB IN by REID,JUSTIN",1
14:14,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",1
14:14,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
14:14,,,,,"SUB OUT by DUNCAN,JAKE",,,"SUB OUT by DUNCAN,JAKE",1
14:04,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by REDDICK,JAVONTE",,,"REBOUND DEF by REDDICK,JAVONTE",1
13:47,,,,,"MISS 3PTR by MURRAY,MIKE",,,"MISS 3PTR by MURRAY,MIKE",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
13:38,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
13:22,,,,,"MISS 3PTR by OWENS,MITCH",,,"MISS 3PTR by OWENS,MITCH",1
--,,,,,"REBOUND OFF by REDDICK,JAVONTE",,,"REBOUND OFF by REDDICK,JAVONTE",1
12:58,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",1
12:54,,3,,18 (+15),"GOOD FT by REID,JUSTIN",HSC 3-18 (-15),,"GOOD FT by REID,JUSTIN",1
12:54,,3,,19 (+16),"GOOD FT by REID,JUSTIN",HSC 3-19 (-16),,"GOOD FT by REID,JUSTIN",1
12:54,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
12:54,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
12:54,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
12:54,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
12:54,,,,,"SUB IN by GUIMARAES,GUILHERME",,,"SUB IN by GUIMARAES,GUILHERME",1
12:54,,,,,"SUB OUT by CHASE,NICK",,,"SUB OUT by CHASE,NICK",1
12:39,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
12:13,,3,,21 (+18),"GOOD JUMPER by REDDICK,JAVONTE",HSC 3-21 (-18),,"GOOD JUMPER by REDDICK,JAVONTE",1
11:53,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",1
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",1
11:48,"GOOD LAYUP by THOM,IAN(in the paint)",5,,21 (+16),,BSC 5-21 (-16),,"GOOD LAYUP by THOM,IAN(in the paint)",1
11:24,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",1
11:24,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
11:24,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
11:24,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
11:24,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
11:21,,5,,23 (+18),"GOOD JUMPER by OWENS,MITCH",HSC 5-23 (-18),,"GOOD JUMPER by OWENS,MITCH",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
11:03,"GOOD 3PTR by CRAIN,JOHN",8,,23 (+15),,BSC 8-23 (-15),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
10:53,,,,,"SUB IN by SAMUELS,LOGAN",,,"SUB IN by SAMUELS,LOGAN",1
10:53,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
10:53,,,,,"SUB IN by KATOWITZ,JOSH",,,"SUB IN by KATOWITZ,JOSH",1
10:53,,,,,"SUB IN by DUNCAN,JAKE",,,"SUB IN by DUNCAN,JAKE",1
10:53,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",1
