Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:45,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2 (+2),,0,,SEWANEE 2-0 (-2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
19:22,,2,,2,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
18:49,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",1
18:37,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
18:33,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
18:33,,2,,3 (+1),"GOOD FT by DENEKA,HARRISON",BSC 2-3 (+1),,"GOOD FT by DENEKA,HARRISON",1
18:33,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
18:14,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
18:13,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
17:55,,,,,"MISS JUMPER by LEWIS,EVAN",,,"MISS JUMPER by LEWIS,EVAN",1
17:55,"BLOCK  by JONES,CODY",,,,,,,"BLOCK  by JONES,CODY",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
17:32,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
17:18,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
17:08,"MISS JUMPER by JONES,CODY",,,,,,,"MISS JUMPER by JONES,CODY",1
--,"REBOUND OFF by JONES,CODY",,,,,,,"REBOUND OFF by JONES,CODY",1
16:55,"GOOD 3PTR by BORN,CLAY",5 (+2),,3,,SEWANEE 5-3 (-2),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
16:25,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
16:23,,5,,5,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",BSC 5-5 (0),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",1
16:19,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
16:19,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
16:15,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",1
16:14,,,,,"MISS JUMPER by WELCH,ROSS",,,"MISS JUMPER by WELCH,ROSS",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
