Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
17:43,"GOOD LAYUP by AVERY,ALEX(in the paint)",4,,4,,BSCM 4-4 (0),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
17:35,,,,,"TURNOVER  by GIGAX,ADAM",,,"TURNOVER  by GIGAX,ADAM",1
17:30,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by TERRY,JONATHAN",,,"REBOUND DEF by TERRY,JONATHAN",1
17:21,,,,,"MISS LAYUP by DAGUE,AUSTIN",,,"MISS LAYUP by DAGUE,AUSTIN",1
--,,,,,"REBOUND OFF by TRAWICK,WILL",,,"REBOUND OFF by TRAWICK,WILL",1
17:15,,4,,6 (+2),"GOOD LAYUP by TRAWICK,WILL(in the paint)",EUM 4-6 (-2),,"GOOD LAYUP by TRAWICK,WILL(in the paint)",1
16:56,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND OFF by LEWIS,EVAN",,,,,,,"REBOUND OFF by LEWIS,EVAN",1
16:27,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
16:27,,,,,"BLOCK  by DAGUE,AUSTIN",,,"BLOCK  by DAGUE,AUSTIN",1
--,,,,,"REBOUND DEF by GIGAX,ADAM",,,"REBOUND DEF by GIGAX,ADAM",1
16:11,,,,,"MISS 3PTR by TRAWICK,WILL",,,"MISS 3PTR by TRAWICK,WILL",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
15:57,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
15:55,"GOOD TIPIN by AVERY,ALEX(in the paint)",6,,6,,BSCM 6-6 (0),,"GOOD TIPIN by AVERY,ALEX(in the paint)",1
15:46,,,,,"MISS JUMPER by TRAWICK,WILL",,,"MISS JUMPER by TRAWICK,WILL",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
15:27,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
15:27,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
15:27,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
15:27,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
15:27,"SUB IN by MCKINLEY,CONNER",,,,,,,"SUB IN by MCKINLEY,CONNER",1
15:27,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
15:27,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
15:27,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
15:27,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
15:27,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
15:27,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
15:27,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
15:27,,,,,"SUB IN by RAPP,WHIT",,,"SUB IN by RAPP,WHIT",1
15:27,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
15:27,,,,,"SUB OUT by HEERY,SAM",,,"SUB OUT by HEERY,SAM",1
15:18,,6,,9 (+3),"GOOD 3PTR by TERRY,JONATHAN",EUM 6-9 (-3),,"GOOD 3PTR by TERRY,JONATHAN",1
--,,,,,"ASSIST  by RAPP,WHIT",,,"ASSIST  by RAPP,WHIT",1
15:12,,,,,"FOUL  by RAPP,WHIT",,,"FOUL  by RAPP,WHIT",1
15:03,"MISS LAYUP by BARRON,MAC",,,,,,,"MISS LAYUP by BARRON,MAC",1
--,"REBOUND OFF by BARRON,MAC",,,,,,,"REBOUND OFF by BARRON,MAC",1
15:01,"MISS LAYUP by BARRON,MAC",,,,,,,"MISS LAYUP by BARRON,MAC",1
15:01,,,,,"BLOCK  by DAGUE,AUSTIN",,,"BLOCK  by DAGUE,AUSTIN",1
--,,,,,"REBOUND DEF by RAPP,WHIT",,,"REBOUND DEF by RAPP,WHIT",1
14:47,,6,,11 (+5),"GOOD JUMPER by GIGAX,ADAM",EUM 6-11 (-5),,"GOOD JUMPER by GIGAX,ADAM",1
14:35,"MISS LAYUP by BARRON,MAC",,,,,,,"MISS LAYUP by BARRON,MAC",1
14:35,,,,,"BLOCK  by TERRY,JONATHAN",,,"BLOCK  by TERRY,JONATHAN",1
--,,,,,"REBOUND DEF by GIGAX,ADAM",,,"REBOUND DEF by GIGAX,ADAM",1
14:30,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
14:30,,,,,"SUB OUT by DAGUE,AUSTIN",,,"SUB OUT by DAGUE,AUSTIN",1
14:19,,,,,"MISS LAYUP by RAPP,WHIT",,,"MISS LAYUP by RAPP,WHIT",1
--,,,,,"REBOUND OFF by TERRY,JONATHAN",,,"REBOUND OFF by TERRY,JONATHAN",1
14:12,,,,,"MISS 3PTR by GIGAX,ADAM",,,"MISS 3PTR by GIGAX,ADAM",1
--,,,,,"REBOUND OFF by TERRY,JONATHAN",,,"REBOUND OFF by TERRY,JONATHAN",1
14:05,,6,,13 (+7),"GOOD JUMPER by RAO,DAVIS",EUM 6-13 (-7),,"GOOD JUMPER by RAO,DAVIS",1
--,,,,,"ASSIST  by RAPP,WHIT",,,"ASSIST  by RAPP,WHIT",1
13:33,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:32,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",1
13:19,,6,,15 (+9),"GOOD LAYUP by TRAWICK,WILL(in the paint)",EUM 6-15 (-9),,"GOOD LAYUP by TRAWICK,WILL(in the paint)",1
13:07,"TURNOVER  by MCKINLEY,CONNER",,,,,,,"TURNOVER  by MCKINLEY,CONNER",1
13:06,,,,,"STEAL  by RAPP,WHIT",,,"STEAL  by RAPP,WHIT",1
12:59,,,,,"MISS 3PTR by RAPP,WHIT",,,"MISS 3PTR by RAPP,WHIT",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
12:36,"GOOD LAYUP by BARRON,MAC(in the paint)",8,,15 (+7),,BSCM 8-15 (-7),,"GOOD LAYUP by BARRON,MAC(in the paint)",1
--,"ASSIST  by CRAIN,JOHN",,,,,,,"ASSIST  by CRAIN,JOHN",1
12:29,,8,,17 (+9),"GOOD LAYUP by TERRY,JONATHAN(fastbreak)(in the paint)",EUM 8-17 (-9),,"GOOD LAYUP by TERRY,JONATHAN(fastbreak)(in the paint)",1
12:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:27,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
12:27,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
12:27,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
12:27,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
12:27,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
12:27,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
12:27,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
12:27,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
12:27,"SUB OUT by MCKINLEY,CONNER",,,,,,,"SUB OUT by MCKINLEY,CONNER",1
12:27,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
12:27,,,,,"SUB IN by GORDON,JIM",,,"SUB IN by GORDON,JIM",1
12:27,,,,,"SUB OUT by GIGAX,ADAM",,,"SUB OUT by GIGAX,ADAM",1
12:07,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
12:04,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
11:57,,,,,"MISS 3PTR by TERRY,JONATHAN",,,"MISS 3PTR by TERRY,JONATHAN",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
11:51,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",10,,17 (+7),,BSCM 10-17 (-7),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",1
11:49,,,,,"FOUL  by TERRY,JONATHAN",,,"FOUL  by TERRY,JONATHAN",1
11:49,"GOOD FT by THOM,IAN",11,,17 (+6),,BSCM 11-17 (-6),,"GOOD FT by THOM,IAN",1
11:49,,,,,"SUB IN by AVANT,DONALD",,,"SUB IN by AVANT,DONALD",1
11:49,,,,,"SUB OUT by RAO,DAVIS",,,"SUB OUT by RAO,DAVIS",1
11:37,,,,,"TURNOVER  by RAPP,WHIT",,,"TURNOVER  by RAPP,WHIT",1
11:37,"STEAL  by WELCH,ROSS",,,,,,,"STEAL  by WELCH,ROSS",1
11:34,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
11:34,,,,,"BLOCK  by GORDON,JIM",,,"BLOCK  by GORDON,JIM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:19,"GOOD 3PTR by LEWIS,EVAN",14,,17 (+3),,BSCM 14-17 (-3),,"GOOD 3PTR by LEWIS,EVAN",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
11:11,,,,,"MISS 3PTR by GORDON,JIM",,,"MISS 3PTR by GORDON,JIM",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
11:04,,,,,"FOUL  by TERRY,JONATHAN",,,"FOUL  by TERRY,JONATHAN",1
11:04,"GOOD FT by LEWIS,EVAN",15,,17 (+2),,BSCM 15-17 (-2),,"GOOD FT by LEWIS,EVAN",1
