Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
15:28,,4,,7 (+3),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 4-7 (-3),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
15:11,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
15:11,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
15:11,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
15:11,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
15:11,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
15:01,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
15:01,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
15:01,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
15:01,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
15:01,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
15:01,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
15:01,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
14:50,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
14:46,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
14:46,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
14:46,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
14:24,"GOOD 3PTR by RUDAK,MATTY",7,,7,,BSCM 7-7 (0),,"GOOD 3PTR by RUDAK,MATTY",1
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",1
14:02,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
13:50,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
13:50,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
13:41,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
13:14,,,,,"MISS JUMPER by NOTLEY,CHANDLER",,,"MISS JUMPER by NOTLEY,CHANDLER",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
12:51,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
12:51,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
12:51,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
12:51,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
12:51,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
12:51,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
12:51,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
12:51,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
12:51,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
12:51,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
12:51,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
12:51,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
12:51,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
12:51,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
12:51,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
12:51,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
12:51,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
12:51,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
12:51,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
12:51,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
12:51,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
12:51,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
12:44,"GOOD 3PTR by MCLEAN,JAMES",10 (+3),,7,,BSCM 10-7 (+3),,"GOOD 3PTR by MCLEAN,JAMES",1
--,"ASSIST  by CRAIN,JOHN",,,,,,,"ASSIST  by CRAIN,JOHN",1
12:20,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",1
11:52,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND OFF by MURPHY,JUWAN",,,,,,,"REBOUND OFF by MURPHY,JUWAN",1
11:29,"GOOD JUMPER by RUDAK,MATTY(in the paint)",12 (+5),,7,,BSCM 12-7 (+5),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",1
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",1
11:17,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
11:17,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:17,,12 (+4),,8,"GOOD FT by PARKER,BRYCE",HC 12-8 (+4),,"GOOD FT by PARKER,BRYCE",1
11:17,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
11:17,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
11:17,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
11:17,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
11:17,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
11:17,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
11:17,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
11:17,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
11:02,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
10:59,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
10:59,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
10:59,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
10:50,,12 (+2),,10,"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 12-10 (+2),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
10:49,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
10:49,,12 (+1),,11,"GOOD FT by OGLE,JOHN",HC 12-11 (+1),,"GOOD FT by OGLE,JOHN",1
10:49,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
10:49,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
10:34,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
10:34,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
10:09,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",1
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",1
09:56,,12,,14 (+2),"GOOD 3PTR by BRADY,RYAN",HC 12-14 (-2),,"GOOD 3PTR by BRADY,RYAN",1
09:39,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",14,,14,,BSCM 14-14 (0),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
09:21,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
09:21,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
09:21,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
09:21,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
09:12,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
09:12,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",1
09:12,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
08:59,"MISS JUMPER by HARDIMAN,BEN",,,,,,,"MISS JUMPER by HARDIMAN,BEN",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
08:46,,,,,"MISS 3PTR by BRADY,RYAN",,,"MISS 3PTR by BRADY,RYAN",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
08:28,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
08:28,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
08:28,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
08:28,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
08:28,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
08:28,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
08:28,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
08:28,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
08:00,,14,,17 (+3),"GOOD 3PTR by GARRETT,TRAVIS",HC 14-17 (-3),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
07:43,"GOOD LAYUP by LEWIS,EVAN(in the paint)",16,,17 (+1),,BSCM 16-17 (-1),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
07:28,,16,,20 (+4),"GOOD 3PTR by SMITH,PRESTON",HC 16-20 (-4),,"GOOD 3PTR by SMITH,PRESTON",1
07:13,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
07:12,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",1
07:08,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
06:54,"GOOD JUMPER by THOM,IAN(in the paint)",18,,20 (+2),,BSCM 18-20 (-2),,"GOOD JUMPER by THOM,IAN(in the paint)",1
06:36,,18,,22 (+4),"GOOD JUMPER by NOTLEY,CHANDLER(in the paint)",HC 18-22 (-4),,"GOOD JUMPER by NOTLEY,CHANDLER(in the paint)",1
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",1
06:22,"GOOD LAYUP by LEWIS,EVAN(in the paint)",20,,22 (+2),,BSCM 20-22 (-2),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
06:01,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
06:01,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:01,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:01,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",1
06:01,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
06:01,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
06:01,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
06:01,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
06:01,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
06:01,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
06:01,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
06:01,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
05:44,"GOOD 3PTR by MCLEAN,JAMES",23 (+1),,22,,BSCM 23-22 (+1),,"GOOD 3PTR by MCLEAN,JAMES",1
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",1
05:24,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
05:24,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
05:24,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
05:24,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
05:24,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
05:11,"GOOD JUMPER by RUDAK,MATTY(in the paint)",25 (+3),,22,,BSCM 25-22 (+3),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",1
--,"ASSIST  by CRAIN,JOHN",,,,,,,"ASSIST  by CRAIN,JOHN",1
04:54,,25 (+1),,24,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HC 25-24 (+1),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
04:54,"FOUL  by MURPHY,JUWAN",,,,,,,"FOUL  by MURPHY,JUWAN",1
04:54,,25,,25,"GOOD FT by SMITH,PRESTON",HC 25-25 (0),,"GOOD FT by SMITH,PRESTON",1
04:44,"MISS LAYUP by CRAIN,JOHN",,,,,,,"MISS LAYUP by CRAIN,JOHN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:20,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
04:05,"FOUL  by MURPHY,JUWAN",,,,,,,"FOUL  by MURPHY,JUWAN",1
04:05,,25,,26 (+1),"GOOD FT by SMITH,PRESTON",HC 25-26 (-1),,"GOOD FT by SMITH,PRESTON",1
04:05,,25,,27 (+2),"GOOD FT by SMITH,PRESTON",HC 25-27 (-2),,"GOOD FT by SMITH,PRESTON",1
04:05,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
04:05,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
04:05,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
04:05,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
04:05,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
04:05,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
04:05,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
04:05,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
04:05,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
04:05,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
04:05,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
03:47,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
03:43,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",1
03:26,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
03:11,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",27,,27,,BSCM 27-27 (0),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",1
03:03,,,,,"TURNOVER  by MURPHEY,LUKE",,,"TURNOVER  by MURPHEY,LUKE",1
03:02,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",1
02:49,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
02:49,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
02:29,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
02:23,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",29 (+2),,27,,BSCM 29-27 (+2),,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
02:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:21,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
02:21,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
01:52,,29,,30 (+1),"GOOD 3PTR by GARRETT,TRAVIS",HC 29-30 (-1),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by MURPHEY,LUKE",,,"ASSIST  by MURPHEY,LUKE",1
01:31,"GOOD 3PTR by DENEKA,HARRISON",32 (+2),,30,,BSCM 32-30 (+2),,"GOOD 3PTR by DENEKA,HARRISON",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
01:01,,,,,"MISS JUMPER by NOTLEY,CHANDLER",,,"MISS JUMPER by NOTLEY,CHANDLER",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
00:49,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:47,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
00:47,,32 (+1),,31,"GOOD FT by SMITH,PRESTON",HC 32-31 (+1),,"GOOD FT by SMITH,PRESTON",1
00:47,,32,,32,"GOOD FT by SMITH,PRESTON",HC 32-32 (0),,"GOOD FT by SMITH,PRESTON",1
00:42,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
00:31,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
00:02,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
19:43,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
19:22,,32,,34 (+2),"GOOD JUMPER by OGLE,JOHN(in the paint)",HC 32-34 (-2),,"GOOD JUMPER by OGLE,JOHN(in the paint)",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
18:59,"GOOD JUMPER by AVERY,ALEX(in the paint)",34,,34,,BSCM 34-34 (0),,"GOOD JUMPER by AVERY,ALEX(in the paint)",2
18:34,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
18:25,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
18:19,,34,,36 (+2),"GOOD LAYUP by GARRETT,TRAVIS(fastbreak)(in the paint)",HC 34-36 (-2),,"GOOD LAYUP by GARRETT,TRAVIS(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
18:04,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
18:03,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",2
18:00,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
17:57,,34,,38 (+4),"GOOD LAYUP by LITTLEFIELD,GEAREN(fastbreak)(in the paint)",HC 34-38 (-4),,"GOOD LAYUP by LITTLEFIELD,GEAREN(fastbreak)(in the paint)",2
17:28,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
17:09,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
17:09,,34,,39 (+5),"GOOD FT by LITTLEFIELD,GEAREN",HC 34-39 (-5),,"GOOD FT by LITTLEFIELD,GEAREN",2
