Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:46,"GOOD LAYUP by AVERY,ALEX(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
19:27,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
19:19,,,,,"FOUL  by TWAGIRAYEZU,PATJO",,,"FOUL  by TWAGIRAYEZU,PATJO",1
19:19,"GOOD FT by DENEKA,HARRISON",3 (+3),,0,,BSC 3-0 (+3),,"GOOD FT by DENEKA,HARRISON",1
19:19,"GOOD FT by DENEKA,HARRISON",4 (+4),,0,,BSC 4-0 (+4),,"GOOD FT by DENEKA,HARRISON",1
19:07,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
18:42,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
18:38,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
18:36,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",6 (+6),,0,,BSC 6-0 (+6),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
18:36,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
18:36,"GOOD FT by DENEKA,HARRISON",7 (+7),,0,,BSC 7-0 (+7),,"GOOD FT by DENEKA,HARRISON",1
18:06,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
17:56,,,,,"FOUL  by TWAGIRAYEZU,PATJO",,,"FOUL  by TWAGIRAYEZU,PATJO",1
17:56,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",1
17:56,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
17:48,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by DRYDEN,BERTO",,,"REBOUND DEF by DRYDEN,BERTO",1
17:43,,7 (+4),,3,"GOOD 3PTR by COX,TJ(fastbreak)",CCM 7-3 (+4),,"GOOD 3PTR by COX,TJ(fastbreak)",1
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",1
17:30,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
17:30,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
17:18,,7 (+2),,5,"GOOD LAYUP by SEARS,CONNOR(in the paint)",CCM 7-5 (+2),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
17:00,"GOOD LAYUP by AVERY,ALEX(in the paint)",9 (+4),,5,,BSC 9-5 (+4),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
16:48,,9 (+2),,7,"GOOD LAYUP by DRYDEN,BERTO(in the paint)",CCM 9-7 (+2),,"GOOD LAYUP by DRYDEN,BERTO(in the paint)",1
16:48,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
16:48,,9 (+1),,8,"GOOD FT by DRYDEN,BERTO",CCM 9-8 (+1),,"GOOD FT by DRYDEN,BERTO",1
16:34,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
16:33,,,,,"STEAL  by DRYDEN,BERTO",,,"STEAL  by DRYDEN,BERTO",1
16:30,,9,,10 (+1),"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",CCM 9-10 (-1),,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",1
