Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
13:15,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
13:05,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",13 (+1),,12,,MILLMBB 13-12 (-1),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
12:45,,13,,15 (+2),"GOOD 3PTR by MCLEAN,JAMES",BSC 13-15 (+2),,"GOOD 3PTR by MCLEAN,JAMES",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
12:28,"GOOD JUMPER by MANCUSO,LOGAN",15,,15,,MILLMBB 15-15 (0),,"GOOD JUMPER by MANCUSO,LOGAN",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
12:11,"FOUL  by MCSWAIN,JOSHUA",,,,,,,"FOUL  by MCSWAIN,JOSHUA",1
12:11,,15,,16 (+1),"GOOD FT by AVERY,ALEX",BSC 15-16 (+1),,"GOOD FT by AVERY,ALEX",1
12:11,,15,,17 (+2),"GOOD FT by AVERY,ALEX",BSC 15-17 (+2),,"GOOD FT by AVERY,ALEX",1
12:11,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
12:11,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
12:11,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
12:11,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
12:11,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
12:11,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
12:11,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",1
12:11,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
12:11,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",1
12:11,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
12:11,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
12:11,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
12:02,"GOOD 3PTR by ATKINSON,QUINN",18 (+1),,17,,MILLMBB 18-17 (-1),,"GOOD 3PTR by ATKINSON,QUINN",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
11:35,,,,,"TURNOVER  by CRAIN,JOHN",,,"TURNOVER  by CRAIN,JOHN",1
11:15,,,,,"FOUL  by BARRON,MAC",,,"FOUL  by BARRON,MAC",1
11:14,"MISS 3PTR by MASON,ROBERT WADE",,,,,,,"MISS 3PTR by MASON,ROBERT WADE",1
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",1
11:10,"GOOD 3PTR by ROBERTSON,MARC",21 (+4),,17,,MILLMBB 21-17 (-4),,"GOOD 3PTR by ROBERTSON,MARC",1
10:51,,,,,"TURNOVER  by MURPHY,JUWAN",,,"TURNOVER  by MURPHY,JUWAN",1
10:50,"STEAL  by MASON,ROBERT WADE",,,,,,,"STEAL  by MASON,ROBERT WADE",1
10:46,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",23 (+6),,17,,MILLMBB 23-17 (-6),,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",1
10:46,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
10:46,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
10:46,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
10:46,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
10:46,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
10:46,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
10:46,,,,,"SUB OUT by MURPHY,JUWAN",,,"SUB OUT by MURPHY,JUWAN",1
10:46,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
10:38,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
10:35,"STEAL  by MASON,ROBERT WADE",,,,,,,"STEAL  by MASON,ROBERT WADE",1
10:32,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
10:32,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
10:32,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
10:32,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
10:32,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
10:32,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
10:32,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
10:24,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
09:56,"GOOD 3PTR by JONES,BLAKE",26 (+9),,17,,MILLMBB 26-17 (-9),,"GOOD 3PTR by JONES,BLAKE",1
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",1
09:29,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",1
09:18,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:18,,26 (+8),,18,"GOOD FT by LEWIS,EVAN",BSC 26-18 (-8),,"GOOD FT by LEWIS,EVAN",1
09:18,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
09:18,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
09:18,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
09:18,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
09:04,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
08:37,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
08:28,"FOUL  by MCSWAIN,JOSHUA",,,,,,,"FOUL  by MCSWAIN,JOSHUA",1
08:28,,26 (+7),,19,"GOOD FT by LEWIS,EVAN",BSC 26-19 (-7),,"GOOD FT by LEWIS,EVAN",1
08:28,,26 (+6),,20,"GOOD FT by LEWIS,EVAN",BSC 26-20 (-6),,"GOOD FT by LEWIS,EVAN",1
08:28,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
08:28,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
08:28,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
08:28,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
08:11,"MISS LAYUP by MANCUSO,LOGAN",,,,,,,"MISS LAYUP by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
