Time Remaining,JCUM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:50,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",2 (+2),,0,,JCUM 2-0 (-2),,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",1
--,"ASSIST  by LINANE,DAVID",,,,,,,"ASSIST  by LINANE,DAVID",1
19:27,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by STOKES,ALLEN",,,,,,,"REBOUND DEF by STOKES,ALLEN",1
19:14,"MISS JUMPER by STOKES,ALLEN",,,,,,,"MISS JUMPER by STOKES,ALLEN",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
19:06,,2,,3 (+1),"GOOD 3PTR by WELCH,ROSS",BSC 2-3 (+1),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
18:59,"GOOD LAYUP by STARKS,WILL(fastbreak)(in the paint)",4 (+1),,3,,JCUM 4-3 (-1),,"GOOD LAYUP by STARKS,WILL(fastbreak)(in the paint)",1
--,"ASSIST  by LINANE,DAVID",,,,,,,"ASSIST  by LINANE,DAVID",1
18:45,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
18:44,"STEAL  by STARKS,WILL",,,,,,,"STEAL  by STARKS,WILL",1
18:38,"MISS 3PTR by LINANE,DAVID",,,,,,,"MISS 3PTR by LINANE,DAVID",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
18:29,"FOUL  by LINANE,DAVID",,,,,,,"FOUL  by LINANE,DAVID",1
18:29,,4,,4,"GOOD FT by THOM,IAN",BSC 4-4 (0),,"GOOD FT by THOM,IAN",1
18:29,,4,,5 (+1),"GOOD FT by THOM,IAN",BSC 4-5 (+1),,"GOOD FT by THOM,IAN",1
18:23,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",6 (+1),,5,,JCUM 6-5 (-1),,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",1
--,"ASSIST  by LINANE,DAVID",,,,,,,"ASSIST  by LINANE,DAVID",1
18:00,,6,,8 (+2),"GOOD 3PTR by THOM,IAN",BSC 6-8 (+2),,"GOOD 3PTR by THOM,IAN",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
17:51,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
17:51,"MISS FT by LINANE,DAVID",,,,,,,"MISS FT by LINANE,DAVID",1
--,REBOUND OFF by,,,,,,,REBOUND OFF by,1
17:51,"GOOD FT by LINANE,DAVID",7,,8 (+1),,JCUM 7-8 (+1),,"GOOD FT by LINANE,DAVID",1
17:45,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
17:44,"STEAL  by STOKES,ALLEN",,,,,,,"STEAL  by STOKES,ALLEN",1
17:41,"TURNOVER  by STARKS,WILL",,,,,,,"TURNOVER  by STARKS,WILL",1
17:40,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
17:34,"FOUL  by STARKS,WILL",,,,,,,"FOUL  by STARKS,WILL",1
17:34,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:34,"SUB IN by HANNESSEY,DAN",,,,,,,"SUB IN by HANNESSEY,DAN",1
17:34,"SUB IN by CIRILLO,JOHN",,,,,,,"SUB IN by CIRILLO,JOHN",1
