Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
13:09,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",1
13:01,"GOOD LAYUP by MCCULLOUGH,JACOB(in the paint)",6,,12 (+6),,SEWANEE 6-12 (-6),,"GOOD LAYUP by MCCULLOUGH,JACOB(in the paint)",1
12:26,,6,,15 (+9),"GOOD 3PTR by MURRAY,MIKE",HSC 6-15 (-9),,"GOOD 3PTR by MURRAY,MIKE",1
12:10,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
12:10,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
12:10,,,,,"SUB IN by HARGROVE,LEON",,,"SUB IN by HARGROVE,LEON",1
12:10,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",1
11:47,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND DEF by HARGROVE,LEON",,,"REBOUND DEF by HARGROVE,LEON",1
11:35,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
11:35,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
11:35,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
11:35,,,,,"SUB IN by KUEHN,HUNTER",,,"SUB IN by KUEHN,HUNTER",1
11:35,,,,,"SUB IN by GUIMARAES,GUILHERME",,,"SUB IN by GUIMARAES,GUILHERME",1
11:35,,,,,"SUB OUT by OWENS,MITCH",,,"SUB OUT by OWENS,MITCH",1
11:35,,,,,"SUB OUT by KUEHN,HUNTER",,,"SUB OUT by KUEHN,HUNTER",1
11:28,,6,,17 (+11),"GOOD JUMPER by DUNCAN,JAKE",HSC 6-17 (-11),,"GOOD JUMPER by DUNCAN,JAKE",1
--,,,,,"ASSIST  by GUIMARAES,GUILHERME",,,"ASSIST  by GUIMARAES,GUILHERME",1
11:06,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND DEF by HARGROVE,LEON",,,"REBOUND DEF by HARGROVE,LEON",1
10:59,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",1
10:59,,,,,"MISS FT by HARGROVE,LEON",,,"MISS FT by HARGROVE,LEON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:59,,,,,"MISS FT by HARGROVE,LEON",,,"MISS FT by HARGROVE,LEON",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
10:59,,,,,"SUB IN by KATOWITZ,JOSH",,,"SUB IN by KATOWITZ,JOSH",1
10:59,,,,,"SUB IN by OWENS,MITCH",,,"SUB IN by OWENS,MITCH",1
10:59,,,,,"SUB OUT by KUEHN,HUNTER",,,"SUB OUT by KUEHN,HUNTER",1
10:59,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",1
10:37,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,"REBOUND OFF by MCCULLOUGH,JACOB",,,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",1
10:30,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:30,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
10:30,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
10:30,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
10:30,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
10:30,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
10:10,,,,,"MISS JUMPER by SMITH,ALEX",,,"MISS JUMPER by SMITH,ALEX",1
--,,,,,"REBOUND OFF by SMITH,ALEX",,,"REBOUND OFF by SMITH,ALEX",1
10:08,,6,,19 (+13),"GOOD LAYUP by SMITH,ALEX(in the paint)",HSC 6-19 (-13),,"GOOD LAYUP by SMITH,ALEX(in the paint)",1
09:43,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
09:43,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
09:43,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",1
09:43,,,,,"SUB IN by LEWIS,GREG",,,"SUB IN by LEWIS,GREG",1
09:43,,,,,"SUB OUT by DUNCAN,JAKE",,,"SUB OUT by DUNCAN,JAKE",1
09:43,,,,,"SUB OUT by SMITH,ALEX",,,"SUB OUT by SMITH,ALEX",1
09:34,,,,,"FOUL  by KATOWITZ,JOSH",,,"FOUL  by KATOWITZ,JOSH",1
09:34,"MISS FT by CALDWELL,MARCELLUS",,,,,,,"MISS FT by CALDWELL,MARCELLUS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:34,"GOOD FT by CALDWELL,MARCELLUS",7,,19 (+12),,SEWANEE 7-19 (-12),,"GOOD FT by CALDWELL,MARCELLUS",1
09:34,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
09:34,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
09:17,,7,,21 (+14),"GOOD LAYUP by MURRAY,MIKE(in the paint)",HSC 7-21 (-14),,"GOOD LAYUP by MURRAY,MIKE(in the paint)",1
08:53,,,,,"BLOCK  by LEWIS,JOE",,,"BLOCK  by LEWIS,JOE",1
--,,,,,"REBOUND DEF by HARGROVE,LEON",,,"REBOUND DEF by HARGROVE,LEON",1
08:45,,,,,"MISS JUMPER by HARGROVE,LEON",,,"MISS JUMPER by HARGROVE,LEON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:39,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
08:38,,,,,"STEAL  by OWENS,MITCH",,,"STEAL  by OWENS,MITCH",1
08:29,,7,,24 (+17),"GOOD 3PTR by LEWIS,GREG",HSC 7-24 (-17),,"GOOD 3PTR by LEWIS,GREG",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
07:50,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",1
07:42,,,,,"MISS JUMPER by MURRAY,MIKE",,,"MISS JUMPER by MURRAY,MIKE",1
--,,,,,"REBOUND OFF by KATOWITZ,JOSH",,,"REBOUND OFF by KATOWITZ,JOSH",1
07:39,,,,,"MISS LAYUP by KATOWITZ,JOSH",,,"MISS LAYUP by KATOWITZ,JOSH",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
07:26,,,,,"FOUL  by OWENS,MITCH",,,"FOUL  by OWENS,MITCH",1
07:26,"GOOD FT by CARTER,KESHONN",8,,24 (+16),,SEWANEE 8-24 (-16),,"GOOD FT by CARTER,KESHONN",1
