Time Remaining,SEWANE~2,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
13:51,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
13:51,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
13:51,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
13:51,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
13:51,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
13:51,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
13:28,,,,,"MISS JUMPER by PRATER,DALLAS",,,"MISS JUMPER by PRATER,DALLAS",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
13:19,"GOOD 3PTR by STONE,BRODY",12 (+3),,9,,SEWANE~2 12-9 (+3),,"GOOD 3PTR by STONE,BRODY",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
12:57,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:54,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
12:54,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
12:54,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
12:54,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
12:54,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
12:28,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
12:23,"GOOD LAYUP by STONE,BRODY(in the paint)",14 (+5),,9,,SEWANE~2 14-9 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
11:59,,,,,"MISS JUMPER by MCSWAIN,JOSH",,,"MISS JUMPER by MCSWAIN,JOSH",1
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",1
11:55,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
11:54,"STEAL  by BORN,CLAY",,,,,,,"STEAL  by BORN,CLAY",1
11:36,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:30,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
11:12,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
10:53,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
10:53,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
10:53,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
10:53,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
10:53,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
10:53,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
10:53,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
10:53,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
10:53,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
10:53,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
10:53,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
10:53,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:53,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
10:53,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",1
10:53,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
10:53,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",1
10:22,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
10:17,,14 (+3),,11,"GOOD TIPIN by GERCHOW,ALEX(in the paint)",MILLSAPS 14-11 (+3),,"GOOD TIPIN by GERCHOW,ALEX(in the paint)",1
10:02,"GOOD 3PTR by WILLIAMS,JORDEN",17 (+6),,11,,SEWANE~2 17-11 (+6),,"GOOD 3PTR by WILLIAMS,JORDEN",1
09:50,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
09:50,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
09:50,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
09:37,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
09:36,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
09:28,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
09:28,,,,,"STEAL  by MOORE,MYLES",,,"STEAL  by MOORE,MYLES",1
09:23,,,,,"MISS LAYUP by MOORE,MYLES",,,"MISS LAYUP by MOORE,MYLES",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
09:18,,17 (+4),,13,"GOOD TIPIN by MCSWAIN,JOSH(in the paint)",MILLSAPS 17-13 (+4),,"GOOD TIPIN by MCSWAIN,JOSH(in the paint)",1
09:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:01,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
08:55,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
08:55,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
08:55,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
08:47,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
08:47,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
08:47,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
08:35,,,,,"TURNOVER  by DETILLIEU,RYAN",,,"TURNOVER  by DETILLIEU,RYAN",1
08:33,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
08:29,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",1
08:04,,17 (+2),,15,"GOOD JUMPER by MCSWAIN,JOSH(in the paint)",MILLSAPS 17-15 (+2),,"GOOD JUMPER by MCSWAIN,JOSH(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
07:35,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",1
07:20,,17,,17,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",MILLSAPS 17-17 (0),,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",1
06:57,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
06:22,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
06:03,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND DEF by DETILLIEU,RYAN",,,"REBOUND DEF by DETILLIEU,RYAN",1
05:56,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
05:55,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
05:39,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
05:39,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
05:39,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
05:39,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
05:39,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
05:39,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
05:39,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
05:39,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
05:39,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
05:39,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
05:39,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",1
05:39,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
05:30,,,,,"MISS 3PTR by DETILLIEU,RYAN",,,"MISS 3PTR by DETILLIEU,RYAN",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
05:15,"GOOD JUMPER by STONE,BRODY(in the paint)",19 (+2),,17,,SEWANE~2 19-17 (+2),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
04:54,,19,,20 (+1),"GOOD 3PTR by MOORE,MYLES",MILLSAPS 19-20 (-1),,"GOOD 3PTR by MOORE,MYLES",1
04:24,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
04:23,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",1
04:19,,19,,23 (+4),"GOOD 3PTR by MOORE,MYLES",MILLSAPS 19-23 (-4),,"GOOD 3PTR by MOORE,MYLES",1
--,,,,,"ASSIST  by PRATER,DALLAS",,,"ASSIST  by PRATER,DALLAS",1
04:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:51,"GOOD JUMPER by CALDWELL,MARCELLUS",21,,23 (+2),,SEWANE~2 21-23 (-2),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
03:17,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
03:12,,21,,25 (+4),"GOOD JUMPER by MCSWAIN,JOSH(in the paint)",MILLSAPS 21-25 (-4),,"GOOD JUMPER by MCSWAIN,JOSH(in the paint)",1
02:52,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
02:35,"GOOD JUMPER by CALDWELL,MARCELLUS",23,,25 (+2),,SEWANE~2 23-25 (-2),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
01:56,,,,,"MISS LAYUP by DETILLIEU,RYAN",,,"MISS LAYUP by DETILLIEU,RYAN",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
01:43,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
01:28,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",1
01:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:28,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:28,"GOOD FT by STONE,BRODY",24,,25 (+1),,SEWANE~2 24-25 (-1),,"GOOD FT by STONE,BRODY",1
01:28,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
01:28,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
01:20,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
01:20,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
01:20,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
01:20,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
01:09,,24,,28 (+4),"GOOD 3PTR by PRATER,DALLAS",MILLSAPS 24-28 (-4),,"GOOD 3PTR by PRATER,DALLAS",1
--,,,,,"ASSIST  by MCSWAIN,JOSH",,,"ASSIST  by MCSWAIN,JOSH",1
00:33,,,,,"FOUL  by DETILLIEU,RYAN",,,"FOUL  by DETILLIEU,RYAN",1
00:01,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by PRATER,DALLAS",,,"REBOUND DEF by PRATER,DALLAS",1
19:35,"GOOD JUMPER by CARTER,KESHONN",26,,28 (+2),,SEWANE~2 26-28 (-2),,"GOOD JUMPER by CARTER,KESHONN",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
19:16,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
19:07,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
19:07,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
19:07,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
19:02,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
18:38,,,,,"MISS JUMPER by DETILLIEU,RYAN",,,"MISS JUMPER by DETILLIEU,RYAN",2
--,,,,,"REBOUND OFF by DETILLIEU,RYAN",,,"REBOUND OFF by DETILLIEU,RYAN",2
18:32,,26,,30 (+4),"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",MILLSAPS 26-30 (-4),,"GOOD LAYUP by DETILLIEU,RYAN(in the paint)",2
18:11,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
18:11,"GOOD FT by CARTER,KESHONN",27,,30 (+3),,SEWANE~2 27-30 (-3),,"GOOD FT by CARTER,KESHONN",2
18:11,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
17:54,,,,,"TURNOVER  by MOORE,MYLES",,,"TURNOVER  by MOORE,MYLES",2
17:53,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",2
17:37,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",29,,30 (+1),,SEWANE~2 29-30 (-1),,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",2
17:09,,29,,32 (+3),"GOOD LAYUP by MOORE,MYLES(in the paint)",MILLSAPS 29-32 (-3),,"GOOD LAYUP by MOORE,MYLES(in the paint)",2
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",2
17:09,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",2
17:09,,29,,33 (+4),"GOOD FT by MOORE,MYLES",MILLSAPS 29-33 (-4),,"GOOD FT by MOORE,MYLES",2
17:09,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
17:09,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
16:52,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
16:41,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
16:41,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
16:41,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:38,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by WILLIAMS,JORDEN",,,,,,,"REBOUND OFF by WILLIAMS,JORDEN",2
16:35,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",31,,33 (+2),,SEWANE~2 31-33 (-2),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",2
16:11,,,,,"TURNOVER  by DETILLIEU,RYAN",,,"TURNOVER  by DETILLIEU,RYAN",2
16:10,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",2
15:56,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
15:56,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
15:56,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
15:56,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
15:56,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
15:38,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",2
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",2
15:29,,31,,36 (+5),"GOOD 3PTR by GAGEN,BRENNAN",MILLSAPS 31-36 (-5),,"GOOD 3PTR by GAGEN,BRENNAN",2
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",2
14:55,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
14:38,"GOOD LAYUP by STONE,BRODY(in the paint)",33,,36 (+3),,SEWANE~2 33-36 (-3),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
14:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:23,,33,,38 (+5),"GOOD LAYUP by MOORE,MYLES(in the paint)",MILLSAPS 33-38 (-5),,"GOOD LAYUP by MOORE,MYLES(in the paint)",2
14:23,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
14:23,,,,,"MISS FT by MOORE,MYLES",,,"MISS FT by MOORE,MYLES",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:23,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",2
14:23,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
14:05,"GOOD LAYUP by STONE,BRODY(in the paint)",35,,38 (+3),,SEWANE~2 35-38 (-3),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
13:47,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",2
13:44,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
13:44,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
13:44,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
13:43,,35,,40 (+5),"GOOD JUMPER by MCSWAIN,JOSH",MILLSAPS 35-40 (-5),,"GOOD JUMPER by MCSWAIN,JOSH",2
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",2
13:26,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",2
13:05,,,,,"MISS 3PTR by PRATER,DALLAS",,,"MISS 3PTR by PRATER,DALLAS",2
