Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,VU,Game Score,Team Indicator,Play,Period
19:55,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
19:28,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by ROBERSON,JEFF",,,"REBOUND DEF by ROBERSON,JEFF",1
19:05,,0,,2 (+2),"GOOD JUMPER by JONES,DAMIAN(in the paint)",VU 0-2 (-2),,"GOOD JUMPER by JONES,DAMIAN(in the paint)",1
18:48,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",1
18:36,,0,,4 (+4),"GOOD JUMPER by ROBERSON,JEFF",VU 0-4 (-4),,"GOOD JUMPER by ROBERSON,JEFF",1
18:15,,,,,"FOUL  by ROBERSON,JEFF",,,"FOUL  by ROBERSON,JEFF",1
18:02,"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",2,,4 (+2),,SEWANEE 2-4 (-2),,"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",1
17:39,,2,,6 (+4),"GOOD JUMPER by JONES,DAMIAN(in the paint)",VU 2-6 (-4),,"GOOD JUMPER by JONES,DAMIAN(in the paint)",1
--,,,,,"ASSIST  by MITCHELL,SHELTON",,,"ASSIST  by MITCHELL,SHELTON",1
17:25,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by ROBERSON,JEFF",,,"REBOUND DEF by ROBERSON,JEFF",1
17:16,,2,,8 (+6),"GOOD JUMPER by MITCHELL,SHELTON(in the paint)",VU 2-8 (-6),,"GOOD JUMPER by MITCHELL,SHELTON(in the paint)",1
16:41,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
