Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:33,,0,,2 (+2),"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 0-2 (+2),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
18:52,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:41,,0,,5 (+5),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 0-5 (+5),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",1
18:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
18:04,"MISS 3PTR by CHAYKOWSKY,ZACK",,,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
17:33,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:05,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
17:05,"GOOD FT by HARVILLE,TYLER",1,,5 (+4),,BCM 1-5 (+4),,"GOOD FT by HARVILLE,TYLER",1
17:05,"GOOD FT by HARVILLE,TYLER",2,,5 (+3),,BCM 2-5 (+3),,"GOOD FT by HARVILLE,TYLER",1
17:05,"GOOD FT by HARVILLE,TYLER",3,,5 (+2),,BCM 3-5 (+2),,"GOOD FT by HARVILLE,TYLER",1
16:45,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
16:42,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
16:41,,,,,"STEAL  by BROWN,SETH",,,"STEAL  by BROWN,SETH",1
16:38,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",1
16:34,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
16:34,,3,,6 (+3),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 3-6 (+3),,"GOOD FT by CALDWELL,MARCELLUS",1
16:34,,3,,7 (+4),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 3-7 (+4),,"GOOD FT by CALDWELL,MARCELLUS",1
16:15,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1
16:15,"FOUL  by JACOBS,OWEN",,,,,,,"FOUL  by JACOBS,OWEN",1
15:58,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
15:50,"MISS JUMPER by CHAYKOWSKY,ZACK",,,,,,,"MISS JUMPER by CHAYKOWSKY,ZACK",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
15:40,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
15:38,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",1
15:38,,3,,8 (+5),"GOOD FT by CARTER,KESHONN",SEWANEE 3-8 (+5),,"GOOD FT by CARTER,KESHONN",1
15:38,,3,,9 (+6),"GOOD FT by CARTER,KESHONN",SEWANEE 3-9 (+6),,"GOOD FT by CARTER,KESHONN",1
15:38,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
15:38,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
15:15,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",1
15:15,"STEAL  by FORTE,MCCARTY",,,,,,,"STEAL  by FORTE,MCCARTY",1
15:15,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
15:15,"SUB OUT by CHAYKOWSKY,ZACK",,,,,,,"SUB OUT by CHAYKOWSKY,ZACK",1
15:15,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
15:15,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
15:10,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",1
15:07,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
14:36,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
14:36,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
14:17,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
14:12,"FOUL  by FORTE,MCCARTY",,,,,,,"FOUL  by FORTE,MCCARTY",1
14:12,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",1
14:12,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
14:00,,3,,12 (+9),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 3-12 (+9),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
13:44,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",1
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",1
13:41,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
13:41,"GOOD FT by JACOBS,OWEN",4,,12 (+8),,BCM 4-12 (+8),,"GOOD FT by JACOBS,OWEN",1
13:41,"GOOD FT by JACOBS,OWEN",5,,12 (+7),,BCM 5-12 (+7),,"GOOD FT by JACOBS,OWEN",1
13:41,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
13:41,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
13:27,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:03,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
12:44,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
12:44,"TURNOVER  by FORTE,MCCARTY",,,,,,,"TURNOVER  by FORTE,MCCARTY",1
12:38,,5,,14 (+9),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 5-14 (+9),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
12:27,"GOOD LAYUP by JACOBS,OWEN(in the paint)",7,,14 (+7),,BCM 7-14 (+7),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,"ASSIST  by HARVILLE,TYLER",,,,,,,"ASSIST  by HARVILLE,TYLER",1
12:27,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
12:27,"GOOD FT by JACOBS,OWEN",8,,14 (+6),,BCM 8-14 (+6),,"GOOD FT by JACOBS,OWEN",1
12:27,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
12:27,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
11:54,"FOUL  by FORTE,MCCARTY",,,,,,,"FOUL  by FORTE,MCCARTY",1
11:51,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by HARVILLE,TYLER",,,,,,,"REBOUND DEF by HARVILLE,TYLER",1
11:38,"GOOD JUMPER by HARVILLE,TYLER(in the paint)",10,,14 (+4),,BCM 10-14 (+4),,"GOOD JUMPER by HARVILLE,TYLER(in the paint)",1
11:20,,10,,17 (+7),"GOOD 3PTR by BORN,LEO",SEWANEE 10-17 (+7),,"GOOD 3PTR by BORN,LEO",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
11:10,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
11:10,"GOOD FT by HARVILLE,TYLER",11,,17 (+6),,BCM 11-17 (+6),,"GOOD FT by HARVILLE,TYLER",1
11:10,"GOOD FT by HARVILLE,TYLER",12,,17 (+5),,BCM 12-17 (+5),,"GOOD FT by HARVILLE,TYLER",1
11:10,"SUB IN by POWELL,SAMUEL",,,,,,,"SUB IN by POWELL,SAMUEL",1
11:10,"SUB IN by CHAYKOWSKY,ZACK",,,,,,,"SUB IN by CHAYKOWSKY,ZACK",1
11:10,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",1
11:10,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
11:10,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
11:10,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
10:53,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
10:53,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
10:53,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
10:53,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
10:47,"GOOD LAYUP by JACOBS,OWEN(in the paint)",14,,17 (+3),,BCM 14-17 (+3),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,"ASSIST  by HARVILLE,TYLER",,,,,,,"ASSIST  by HARVILLE,TYLER",1
10:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:33,,,,,"MISS 3PTR by STONE,BRODY",,,"MISS 3PTR by STONE,BRODY",1
--,"REBOUND DEF by POWELL,SAMUEL",,,,,,,"REBOUND DEF by POWELL,SAMUEL",1
10:07,"TURNOVER  by KORN,LUKAS",,,,,,,"TURNOVER  by KORN,LUKAS",1
10:07,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",1
10:07,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
10:07,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",1
10:07,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
10:07,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
10:07,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
10:07,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
09:55,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
09:45,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
09:41,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
09:39,"STEAL  by JACOBS,OWEN",,,,,,,"STEAL  by JACOBS,OWEN",1
08:56,"GOOD JUMPER by JACOBS,OWEN",16,,17 (+1),,BCM 16-17 (+1),,"GOOD JUMPER by JACOBS,OWEN",1
--,"ASSIST  by HARVILLE,TYLER",,,,,,,"ASSIST  by HARVILLE,TYLER",1
08:50,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
08:49,"STEAL  by JACOBS,OWEN",,,,,,,"STEAL  by JACOBS,OWEN",1
08:47,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1
08:46,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",1
08:46,,16,,19 (+3),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEE 16-19 (+3),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
08:40,"MISS 3PTR by HARVILLE,TYLER",,,,,,,"MISS 3PTR by HARVILLE,TYLER",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
08:23,"FOUL  by HARVILLE,TYLER",,,,,,,"FOUL  by HARVILLE,TYLER",1
08:23,,16,,20 (+4),"GOOD FT by TOME,MATT",SEWANEE 16-20 (+4),,"GOOD FT by TOME,MATT",1
08:23,,,,,"MISS FT by TOME,MATT",,,"MISS FT by TOME,MATT",1
--,,,,,"REBOUND OFF by WILLIAMS,JORDEN",,,"REBOUND OFF by WILLIAMS,JORDEN",1
08:23,"SUB IN by MCCLOUD,LEE",,,,,,,"SUB IN by MCCLOUD,LEE",1
08:23,"SUB OUT by POWELL,SAMUEL",,,,,,,"SUB OUT by POWELL,SAMUEL",1
08:08,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",1
08:08,,,,,"MISS FT by BROWN,SETH",,,"MISS FT by BROWN,SETH",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
07:48,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
07:45,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",1
07:28,,16,,22 (+6),"GOOD JUMPER by STONE,BRODY(in the paint)",SEWANEE 16-22 (+6),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
07:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:16,"GOOD LAYUP by JACOBS,OWEN(in the paint)",18,,22 (+4),,BCM 18-22 (+4),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
06:59,,18,,24 (+6),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 18-24 (+6),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",1
06:25,"MISS JUMPER by ELLINGSWORTH,COLEMAN",,,,,,,"MISS JUMPER by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
06:18,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
06:08,"TURNOVER  by HARVILLE,TYLER",,,,,,,"TURNOVER  by HARVILLE,TYLER",1
06:05,,,,,"STEAL  by BROWN,SETH",,,"STEAL  by BROWN,SETH",1
06:04,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",1
06:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:03,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",1
06:03,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
