Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
13:33,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
13:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:33,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
13:33,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
13:33,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
13:33,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
13:23,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
13:22,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",1
12:56,"MISS LAYUP by BORN,LEO",,,,,,,"MISS LAYUP by BORN,LEO",1
12:56,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
12:47,,4,,13 (+9),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 4-13 (-9),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
12:23,"GOOD JUMPER by MCCULLOUGH,JACOB(in the paint)",6,,13 (+7),,SEWANEE 6-13 (-7),,"GOOD JUMPER by MCCULLOUGH,JACOB(in the paint)",1
12:10,,6,,15 (+9),"GOOD JUMPER by BUTTS,KEYSHAWN",RHODES 6-15 (-9),,"GOOD JUMPER by BUTTS,KEYSHAWN",1
12:10,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
12:10,,6,,16 (+10),"GOOD FT by BUTTS,KEYSHAWN",RHODES 6-16 (-10),,"GOOD FT by BUTTS,KEYSHAWN",1
12:10,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
12:10,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
12:10,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
12:10,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
12:10,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
12:10,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
12:10,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
12:10,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
12:10,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
12:10,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
11:50,"MISS JUMPER by BROWN,SETH",,,,,,,"MISS JUMPER by BROWN,SETH",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
11:17,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
11:08,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
10:54,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
10:38,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
