Time Remaining,PIEDMONT,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:42,"TURNOVER  by EDWARDS,BRIAN",,,,,,,"TURNOVER  by EDWARDS,BRIAN",1
19:42,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",1
19:23,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
19:20,,0,,2 (+2),"GOOD LAYUP by BORN,LEO(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by BORN,LEO(in the paint)",1
19:07,"TURNOVER  by MEEKS,CHRIS",,,,,,,"TURNOVER  by MEEKS,CHRIS",1
18:37,,0,,4 (+4),"GOOD JUMPER by BORN,LEO",SEWANEE 0-4 (+4),,"GOOD JUMPER by BORN,LEO",1
18:26,"MISS 3PTR by ENGLAND,CHASE",,,,,,,"MISS 3PTR by ENGLAND,CHASE",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
18:21,,0,,7 (+7),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 0-7 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
17:54,"MISS JUMPER by ENGLAND,CHASE",,,,,,,"MISS JUMPER by ENGLAND,CHASE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:32,,0,,9 (+9),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 0-9 (+9),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
17:31,"FOUL  by ENGLAND,CHASE",,,,,,,"FOUL  by ENGLAND,CHASE",1
17:31,,0,,10 (+10),"GOOD FT by CARTER,KESHONN",SEWANEE 0-10 (+10),,"GOOD FT by CARTER,KESHONN",1
17:20,"TURNOVER  by JENKINS,JESSIE",,,,,,,"TURNOVER  by JENKINS,JESSIE",1
17:19,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
17:11,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
16:56,"MISS JUMPER by ENGLAND,CHASE",,,,,,,"MISS JUMPER by ENGLAND,CHASE",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
16:48,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:31,"GOOD 3PTR by LUKEN,PEYTON",3,,10 (+7),,PIEDMONT 3-10 (+7),,"GOOD 3PTR by LUKEN,PEYTON",1
--,"ASSIST ASSIST by EDWARDS,BRIAN",,,,,,,"ASSIST ASSIST by EDWARDS,BRIAN",1
16:05,,3,,12 (+9),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 3-12 (+9),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
15:47,"GOOD LAYUP by MEEKS,CHRIS(in the paint)",5,,12 (+7),,PIEDMONT 5-12 (+7),,"GOOD LAYUP by MEEKS,CHRIS(in the paint)",1
15:30,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
15:29,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
15:28,"MISS JUMPER by EDWARDS,BRIAN",,,,,,,"MISS JUMPER by EDWARDS,BRIAN",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
15:28,"SUB IN by GAINES,TRAE",,,,,,,"SUB IN by GAINES,TRAE",1
15:28,"SUB OUT by JENKINS,JESSIE",,,,,,,"SUB OUT by JENKINS,JESSIE",1
15:28,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
15:28,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
15:28,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
15:28,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
15:28,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
15:28,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
15:04,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by GAINES,TRAE",,,,,,,"REBOUND DEF by GAINES,TRAE",1
14:54,"MISS JUMPER by EDWARDS,BRIAN",,,,,,,"MISS JUMPER by EDWARDS,BRIAN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
14:38,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",1
--,"REBOUND DEF by LUKEN,PEYTON",,,,,,,"REBOUND DEF by LUKEN,PEYTON",1
14:33,"GOOD 3PTR by ENGLAND,CHASE",8,,12 (+4),,PIEDMONT 8-12 (+4),,"GOOD 3PTR by ENGLAND,CHASE",1
--,"ASSIST ASSIST by LUKEN,PEYTON",,,,,,,"ASSIST ASSIST by LUKEN,PEYTON",1
