Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
13:14,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
13:14,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
13:14,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
12:59,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
12:54,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",1
12:53,"STEAL  by ASHLEY,ANDRE",,,,,,,"STEAL  by ASHLEY,ANDRE",1
12:47,"MISS LAYUP by ASHLEY,ANDRE",,,,,,,"MISS LAYUP by ASHLEY,ANDRE",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
12:40,,12,,19 (+7),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 12-19 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
12:23,"TURNOVER  by WASHINGTON,DANTAVIUS",,,,,,,"TURNOVER  by WASHINGTON,DANTAVIUS",1
12:22,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
12:15,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",1
12:15,"BLOCK  by ASHLEY,ANDRE",,,,,,,"BLOCK  by ASHLEY,ANDRE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:11,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",1
12:11,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
12:11,"SUB IN by DONALDSON,BILL",,,,,,,"SUB IN by DONALDSON,BILL",1
12:11,"SUB IN by WINT,DYLAN",,,,,,,"SUB IN by WINT,DYLAN",1
12:11,"SUB OUT by JOHNSON,CHARLIE",,,,,,,"SUB OUT by JOHNSON,CHARLIE",1
12:11,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
12:11,"SUB OUT by LAYSON,ALEX",,,,,,,"SUB OUT by LAYSON,ALEX",1
12:11,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
12:11,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
12:11,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
12:11,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
12:04,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
12:03,"GOOD 3PTR by DAVIS,JEROME",15,,19 (+4),,HUNTINGD 15-19 (+4),,"GOOD 3PTR by DAVIS,JEROME",1
11:57,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
11:56,"STEAL  by DAVIS,JEROME",,,,,,,"STEAL  by DAVIS,JEROME",1
11:52,"GOOD LAYUP by DONALDSON,BILL(in the paint)",17,,19 (+2),,HUNTINGD 17-19 (+2),,"GOOD LAYUP by DONALDSON,BILL(in the paint)",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
11:49,"FOUL  by DALLAS,MICHAEL",,,,,,,"FOUL  by DALLAS,MICHAEL",1
11:49,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
11:49,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
11:33,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by DAVIS,JEROME",,,,,,,"REBOUND DEF by DAVIS,JEROME",1
11:24,"MISS JUMPER by DAVIS,JEROME",,,,,,,"MISS JUMPER by DAVIS,JEROME",1
11:24,,,,,"BLOCK  by BORN,LEO",,,"BLOCK  by BORN,LEO",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
11:02,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
10:47,,17,,21 (+4),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 17-21 (+4),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
10:34,"TURNOVER  by POPOVICH,WYATT",,,,,,,"TURNOVER  by POPOVICH,WYATT",1
10:32,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
10:29,"STEAL  by WINT,DYLAN",,,,,,,"STEAL  by WINT,DYLAN",1
10:25,"TURNOVER  by WINT,DYLAN",,,,,,,"TURNOVER  by WINT,DYLAN",1
10:23,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",1
10:04,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
10:04,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
10:00,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
09:54,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",1
09:54,,17,,22 (+5),"GOOD FT by CARTER,KESHONN",SEWANEE 17-22 (+5),,"GOOD FT by CARTER,KESHONN",1
09:54,,17,,23 (+6),"GOOD FT by CARTER,KESHONN",SEWANEE 17-23 (+6),,"GOOD FT by CARTER,KESHONN",1
09:54,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
09:54,"SUB OUT by POPOVICH,WYATT",,,,,,,"SUB OUT by POPOVICH,WYATT",1
09:54,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
09:54,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
09:45,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
09:45,"GOOD FT by DONALDSON,BILL",18,,23 (+5),,HUNTINGD 18-23 (+5),,"GOOD FT by DONALDSON,BILL",1
09:45,"GOOD FT by DONALDSON,BILL",19,,23 (+4),,HUNTINGD 19-23 (+4),,"GOOD FT by DONALDSON,BILL",1
09:24,,19,,25 (+6),"GOOD JUMPER by BORN,LEO",SEWANEE 19-25 (+6),,"GOOD JUMPER by BORN,LEO",1
09:17,"MISS JUMPER by ASHLEY,ANDRE",,,,,,,"MISS JUMPER by ASHLEY,ANDRE",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
09:11,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by DONALDSON,BILL",,,,,,,"REBOUND DEF by DONALDSON,BILL",1
09:03,"GOOD 3PTR by LAYSON,ALEX",22,,25 (+3),,HUNTINGD 22-25 (+3),,"GOOD 3PTR by LAYSON,ALEX",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
08:49,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by DONALDSON,BILL",,,,,,,"REBOUND DEF by DONALDSON,BILL",1
08:37,"MISS LAYUP by WASHINGTON,DANTAVIUS",,,,,,,"MISS LAYUP by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by TURNER,BYRON",,,"REBOUND DEF by TURNER,BYRON",1
08:29,,,,,"MISS 3PTR by TURNER,BYRON",,,"MISS 3PTR by TURNER,BYRON",1
--,"REBOUND DEF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND DEF by WASHINGTON,DANTAVIUS",1
08:17,,,,,"FOUL  by TURNER,BYRON",,,"FOUL  by TURNER,BYRON",1
08:17,"GOOD FT by WASHINGTON,DANTAVIUS",23,,25 (+2),,HUNTINGD 23-25 (+2),,"GOOD FT by WASHINGTON,DANTAVIUS",1
08:17,"GOOD FT by WASHINGTON,DANTAVIUS",24,,25 (+1),,HUNTINGD 24-25 (+1),,"GOOD FT by WASHINGTON,DANTAVIUS",1
08:17,"SUB IN by DALLAS,MICHAEL",,,,,,,"SUB IN by DALLAS,MICHAEL",1
08:17,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
08:17,"SUB OUT by DONALDSON,BILL",,,,,,,"SUB OUT by DONALDSON,BILL",1
08:17,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
08:17,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
08:17,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
08:04,,,,,"TURNOVER  by BORN,LEO",,,"TURNOVER  by BORN,LEO",1
07:34,"GOOD JUMPER by BERRY,RAHEEM",26 (+1),,25,,HUNTINGD 26-25 (-1),,"GOOD JUMPER by BERRY,RAHEEM",1
07:23,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
07:17,"STEAL  by WASHINGTON,DANTAVIUS",,,,,,,"STEAL  by WASHINGTON,DANTAVIUS",1
07:16,"MISS LAYUP by WASHINGTON,DANTAVIUS",,,,,,,"MISS LAYUP by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
07:09,"FOUL  by DALLAS,MICHAEL",,,,,,,"FOUL  by DALLAS,MICHAEL",1
07:07,"SUB IN by JOHNSON,CHARLIE",,,,,,,"SUB IN by JOHNSON,CHARLIE",1
07:07,"SUB OUT by WASHINGTON,DANTAVIUS",,,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",1
07:02,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
07:02,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
06:48,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
06:48,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
06:27,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
06:25,"MISS 3PTR by DAVIS,JEROME",,,,,,,"MISS 3PTR by DAVIS,JEROME",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
06:15,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
06:11,,26,,27 (+1),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 26-27 (+1),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
05:57,"MISS JUMPER by DAVIS,JEROME",,,,,,,"MISS JUMPER by DAVIS,JEROME",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
05:47,"FOUL  by LAYSON,ALEX",,,,,,,"FOUL  by LAYSON,ALEX",1
05:47,,26,,28 (+2),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 26-28 (+2),,"GOOD FT by CALDWELL,MARCELLUS",1
05:47,,26,,29 (+3),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 26-29 (+3),,"GOOD FT by CALDWELL,MARCELLUS",1
05:47,"SUB IN by LAYSON,ALEX",,,,,,,"SUB IN by LAYSON,ALEX",1
05:47,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
05:47,"SUB OUT by DALLAS,MICHAEL",,,,,,,"SUB OUT by DALLAS,MICHAEL",1
05:47,"SUB OUT by WINT,DYLAN",,,,,,,"SUB OUT by WINT,DYLAN",1
05:46,"GOOD JUMPER by ASHLEY,ANDRE",28,,29 (+1),,HUNTINGD 28-29 (+1),,"GOOD JUMPER by ASHLEY,ANDRE",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
05:46,"SUB IN by DONALDSON,BILL",,,,,,,"SUB IN by DONALDSON,BILL",1
05:46,"SUB OUT by JOHNSON,CHARLIE",,,,,,,"SUB OUT by JOHNSON,CHARLIE",1
05:46,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
05:46,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
05:46,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
05:46,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
05:46,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
05:46,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
05:13,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",,,"MISS 3PTR by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
05:08,,28,,31 (+3),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 28-31 (+3),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
04:50,"MISS JUMPER by BERRY,RAHEEM",,,,,,,"MISS JUMPER by BERRY,RAHEEM",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
04:45,"FOUL  by DONALDSON,BILL",,,,,,,"FOUL  by DONALDSON,BILL",1
04:45,,,,,"MISS FT by MCCULLOUGH,JACOB",,,"MISS FT by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
04:45,"SUB IN by CASTEEL,JONAH",,,,,,,"SUB IN by CASTEEL,JONAH",1
04:45,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
04:45,"SUB OUT by DAVIS,JEROME",,,,,,,"SUB OUT by DAVIS,JEROME",1
04:45,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
04:45,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
04:45,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
04:45,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
04:45,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
04:41,,28,,33 (+5),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 28-33 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
04:23,"MISS LAYUP by CASTEEL,JONAH",,,,,,,"MISS LAYUP by CASTEEL,JONAH",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
04:02,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",1
03:36,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
03:36,"MISS LAYUP by ASHLEY,ANDRE",,,,,,,"MISS LAYUP by ASHLEY,ANDRE",1
--,"REBOUND OFF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND OFF by WASHINGTON,DANTAVIUS",1
03:36,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
03:36,"SUB IN by DAVIS,JEROME",,,,,,,"SUB IN by DAVIS,JEROME",1
03:36,"SUB OUT by DONALDSON,BILL",,,,,,,"SUB OUT by DONALDSON,BILL",1
03:36,"SUB OUT by CASTEEL,JONAH",,,,,,,"SUB OUT by CASTEEL,JONAH",1
03:36,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
03:36,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
03:36,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
03:36,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
03:23,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",30,,33 (+3),,HUNTINGD 30-33 (+3),,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",1
02:51,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
02:50,"STEAL  by BERRY,RAHEEM",,,,,,,"STEAL  by BERRY,RAHEEM",1
02:46,"MISS LAYUP by DAVIS,JEROME",,,,,,,"MISS LAYUP by DAVIS,JEROME",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
02:41,,30,,35 (+5),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 30-35 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
02:11,"MISS 3PTR by WINT,DYLAN",,,,,,,"MISS 3PTR by WINT,DYLAN",1
--,"REBOUND OFF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND OFF by WASHINGTON,DANTAVIUS",1
02:06,"GOOD JUMPER by WASHINGTON,DANTAVIUS(in the paint)",32,,35 (+3),,HUNTINGD 32-35 (+3),,"GOOD JUMPER by WASHINGTON,DANTAVIUS(in the paint)",1
02:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:57,,32,,38 (+6),"GOOD 3PTR by BORN,CLAY",SEWANEE 32-38 (+6),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
01:42,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
01:39,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
01:37,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
01:37,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
01:20,"MISS LAYUP by WASHINGTON,DANTAVIUS",,,,,,,"MISS LAYUP by WASHINGTON,DANTAVIUS",1
--,"REBOUND OFF by ASHLEY,ANDRE",,,,,,,"REBOUND OFF by ASHLEY,ANDRE",1
