Time Remaining,HIWASSEE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:38,"MISS JUMPER by GOLDEN,JEFF",,,,,,,"MISS JUMPER by GOLDEN,JEFF",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
19:12,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by DAVIDSON,KASEEM",,,,,,,"REBOUND DEF by DAVIDSON,KASEEM",1
19:04,"MISS 3PTR by CALLOWAY,ANTHONY",,,,,,,"MISS 3PTR by CALLOWAY,ANTHONY",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
18:58,"FOUL  by CALLOWAY,ANTHONY",,,,,,,"FOUL  by CALLOWAY,ANTHONY",1
18:40,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by DAVIDSON,KASEEM",,,,,,,"REBOUND DEF by DAVIDSON,KASEEM",1
18:32,"MISS JUMPER by DAVIDSON,KASEEM",,,,,,,"MISS JUMPER by DAVIDSON,KASEEM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:10,,0,,2 (+2),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
17:52,"MISS JUMPER by BEARD,CHARLES",,,,,,,"MISS JUMPER by BEARD,CHARLES",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
17:45,,0,,4 (+4),"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",SEWANEE 0-4 (+4),,"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
17:25,"GOOD 3PTR by BAILEY,JOEL",3,,4 (+1),,HIWASSEE 3-4 (+1),,"GOOD 3PTR by BAILEY,JOEL",1
--,"ASSIST  by DAVIDSON,KASEEM",,,,,,,"ASSIST  by DAVIDSON,KASEEM",1
16:59,,3,,6 (+3),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 3-6 (+3),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
16:34,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
16:34,"SUB IN by CARPENTER,BRANDON",,,,,,,"SUB IN by CARPENTER,BRANDON",1
16:34,"SUB OUT by GOLDEN,JEFF",,,,,,,"SUB OUT by GOLDEN,JEFF",1
16:27,"MISS 3PTR by BAILEY,JOEL",,,,,,,"MISS 3PTR by BAILEY,JOEL",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
16:18,"FOUL  by BAILEY,JOEL",,,,,,,"FOUL  by BAILEY,JOEL",1
16:16,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by CARPENTER,BRANDON",,,,,,,"REBOUND DEF by CARPENTER,BRANDON",1
15:55,"MISS 3PTR by CARPENTER,BRANDON",,,,,,,"MISS 3PTR by CARPENTER,BRANDON",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
15:37,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
--,,,,,"REBOUND OFF by JENNINGS,WILL",,,"REBOUND OFF by JENNINGS,WILL",1
15:31,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
14:58,,3,,8 (+5),"GOOD JUMPER by CARTER,KESHONN",SEWANEE 3-8 (+5),,"GOOD JUMPER by CARTER,KESHONN",1
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",1
14:29,"MISS LAYUP by CALLOWAY,ANTHONY",,,,,,,"MISS LAYUP by CALLOWAY,ANTHONY",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
14:24,"FOUL  by CALLOWAY,ANTHONY",,,,,,,"FOUL  by CALLOWAY,ANTHONY",1
14:24,"SUB IN by ELLIOTT,JACOB",,,,,,,"SUB IN by ELLIOTT,JACOB",1
14:24,"SUB OUT by BEARD,CHARLES",,,,,,,"SUB OUT by BEARD,CHARLES",1
14:24,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
14:24,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
14:24,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
14:24,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
14:24,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
14:24,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
14:16,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,"REBOUND DEF by BAILEY,JOEL",,,,,,,"REBOUND DEF by BAILEY,JOEL",1
14:02,"GOOD 3PTR by DAVIDSON,KASEEM",6,,8 (+2),,HIWASSEE 6-8 (+2),,"GOOD 3PTR by DAVIDSON,KASEEM",1
--,"ASSIST  by CARPENTER,BRANDON",,,,,,,"ASSIST  by CARPENTER,BRANDON",1
13:40,,,,,"TURNOVER  by TOME,MATT",,,"TURNOVER  by TOME,MATT",1
13:39,"STEAL  by CALLOWAY,ANTHONY",,,,,,,"STEAL  by CALLOWAY,ANTHONY",1
13:20,"TURNOVER  by CALLOWAY,ANTHONY",,,,,,,"TURNOVER  by CALLOWAY,ANTHONY",1
13:19,"FOUL  by CALLOWAY,ANTHONY",,,,,,,"FOUL  by CALLOWAY,ANTHONY",1
13:19,"SUB IN by MACK,KEITH",,,,,,,"SUB IN by MACK,KEITH",1
13:19,"SUB OUT by CALLOWAY,ANTHONY",,,,,,,"SUB OUT by CALLOWAY,ANTHONY",1
13:19,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
13:19,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
13:19,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
13:19,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
13:05,"FOUL  by CARPENTER,BRANDON",,,,,,,"FOUL  by CARPENTER,BRANDON",1
12:52,,6,,10 (+4),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 6-10 (+4),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
12:52,"FOUL  by CARPENTER,BRANDON",,,,,,,"FOUL  by CARPENTER,BRANDON",1
12:52,,6,,11 (+5),"GOOD FT by STONE,BRODY",SEWANEE 6-11 (+5),,"GOOD FT by STONE,BRODY",1
12:52,"SUB IN by CULPEPPER,DESS",,,,,,,"SUB IN by CULPEPPER,DESS",1
12:52,"SUB OUT by CARPENTER,BRANDON",,,,,,,"SUB OUT by CARPENTER,BRANDON",1
12:26,"MISS 3PTR by DAVIDSON,KASEEM",,,,,,,"MISS 3PTR by DAVIDSON,KASEEM",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
12:12,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",1
12:12,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
11:57,"MISS JUMPER by GOLDEN,JEFF",,,,,,,"MISS JUMPER by GOLDEN,JEFF",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
11:36,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by ELLIOTT,JACOB",,,,,,,"REBOUND DEF by ELLIOTT,JACOB",1
11:19,"GOOD JUMPER by GOLDEN,JEFF",8,,11 (+3),,HIWASSEE 8-11 (+3),,"GOOD JUMPER by GOLDEN,JEFF",1
--,"ASSIST  by BAILEY,JOEL",,,,,,,"ASSIST  by BAILEY,JOEL",1
10:54,,8,,13 (+5),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 8-13 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
10:33,"MISS 3PTR by MACK,KEITH",,,,,,,"MISS 3PTR by MACK,KEITH",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
10:16,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
10:16,"TURNOVER  by DAVIDSON,KASEEM",,,,,,,"TURNOVER  by DAVIDSON,KASEEM",1
10:16,"SUB IN by BEARD,CHARLES",,,,,,,"SUB IN by BEARD,CHARLES",1
10:16,"SUB OUT by CULPEPPER,DESS",,,,,,,"SUB OUT by CULPEPPER,DESS",1
10:16,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
10:16,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
10:16,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
10:16,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
10:16,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
10:16,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
10:16,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
10:08,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
10:06,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
09:59,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by DAVIDSON,KASEEM",,,,,,,"REBOUND DEF by DAVIDSON,KASEEM",1
09:46,"GOOD LAYUP by DAVIDSON,KASEEM(in the paint)",10,,13 (+3),,HIWASSEE 10-13 (+3),,"GOOD LAYUP by DAVIDSON,KASEEM(in the paint)",1
