Time Remaining,OGLETHOR,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
15:51,,37,,50 (+13),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 37-50 (+13),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",2
15:36,"GOOD LAYUP by PATRICK,DREW(in the paint)",39,,50 (+11),,OGLETHOR 39-50 (+11),,"GOOD LAYUP by PATRICK,DREW(in the paint)",2
15:16,,39,,53 (+14),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 39-53 (+14),,"GOOD 3PTR by WILLIAMS,JORDEN",2
14:53,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",2
14:53,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",2
14:53,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",2
14:53,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",2
14:53,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",2
14:53,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
14:53,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
14:53,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
14:53,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
14:51,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
14:36,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
14:19,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
13:56,,39,,55 (+16),"GOOD JUMPER by STONE,BRODY",SEWANEE 39-55 (+16),,"GOOD JUMPER by STONE,BRODY",2
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",2
13:33,"GOOD 3PTR by SMITH,CONNOR",42,,55 (+13),,OGLETHOR 42-55 (+13),,"GOOD 3PTR by SMITH,CONNOR",2
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",2
13:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:12,"FOUL  by ANDINO,GEORGE",,,,,,,"FOUL  by ANDINO,GEORGE",2
13:12,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:12,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",2
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",2
12:45,"GOOD LAYUP by DAVIS,ALEX(in the paint)",44,,55 (+11),,OGLETHOR 44-55 (+11),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2
12:16,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:12,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",2
12:12,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",2
12:12,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
12:12,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",2
12:12,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",2
12:12,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
12:12,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
12:12,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
12:04,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
12:02,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",2
11:45,,44,,57 (+13),"GOOD JUMPER by BORN,LEO(in the paint)",SEWANEE 44-57 (+13),,"GOOD JUMPER by BORN,LEO(in the paint)",2
11:31,"GOOD 3PTR by DAVIS,ALEX",47,,57 (+10),,OGLETHOR 47-57 (+10),,"GOOD 3PTR by DAVIS,ALEX",2
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",2
11:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:03,,47,,59 (+12),"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 47-59 (+12),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",2
10:48,"MISS LAYUP by BATES,ROMELLO",,,,,,,"MISS LAYUP by BATES,ROMELLO",2
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",2
10:39,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
10:36,,47,,61 (+14),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 47-61 (+14),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
10:10,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
10:10,"GOOD FT by PATRICK,DREW",48,,61 (+13),,OGLETHOR 48-61 (+13),,"GOOD FT by PATRICK,DREW",2
10:10,"GOOD FT by PATRICK,DREW",49,,61 (+12),,OGLETHOR 49-61 (+12),,"GOOD FT by PATRICK,DREW",2
10:10,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",2
10:10,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
10:10,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",2
10:10,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",2
10:10,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
10:10,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
09:50,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",,,"MISS LAYUP by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",2
09:47,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",2
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",2
09:45,"GOOD 3PTR by SMITH,CONNOR",52,,61 (+9),,OGLETHOR 52-61 (+9),,"GOOD 3PTR by SMITH,CONNOR",2
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",2
09:22,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",2
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",2
09:20,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:41,,52,,63 (+11),"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 52-63 (+11),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
08:22,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",2
08:22,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:22,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
08:22,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",2
08:22,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",2
08:22,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",2
08:22,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
08:01,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
08:01,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",2
08:01,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",2
08:01,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
08:01,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",2
07:58,,52,,65 (+13),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 52-65 (+13),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
07:50,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",54,,65 (+11),,OGLETHOR 54-65 (+11),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",2
07:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:30,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",2
07:30,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
07:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
07:02,"GOOD LAYUP by SMITH,CONNOR(in the paint)",56,,65 (+9),,OGLETHOR 56-65 (+9),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",2
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",2
07:02,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
07:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:02,"GOOD FT by SMITH,CONNOR",57,,65 (+8),,OGLETHOR 57-65 (+8),,"GOOD FT by SMITH,CONNOR",2
07:02,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",2
07:02,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
06:47,,,,,"TURNOVER  by BORN,LEO",,,"TURNOVER  by BORN,LEO",2
06:44,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
06:08,"GOOD 3PTR by LAWRENCE,CHRIS",60,,65 (+5),,OGLETHOR 60-65 (+5),,"GOOD 3PTR by LAWRENCE,CHRIS",2
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",2
05:53,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",2
05:40,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",2
05:40,"GOOD FT by BATES,ROMELLO",61,,65 (+4),,OGLETHOR 61-65 (+4),,"GOOD FT by BATES,ROMELLO",2
05:40,"GOOD FT by BATES,ROMELLO",62,,65 (+3),,OGLETHOR 62-65 (+3),,"GOOD FT by BATES,ROMELLO",2
05:40,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",2
05:40,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",2
05:40,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",2
05:40,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
05:40,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
05:40,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
05:38,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
05:38,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",2
05:29,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
05:25,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",2
05:17,"TURNOVER  by BATES,ROMELLO",,,,,,,"TURNOVER  by BATES,ROMELLO",2
05:14,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",2
05:12,"FOUL  by BATES,ROMELLO",,,,,,,"FOUL  by BATES,ROMELLO",2
05:04,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",2
04:57,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",2
04:51,"MISS FT by WARDLAW,CHASE",,,,,,,"MISS FT by WARDLAW,CHASE",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
04:51,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",2
04:51,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
04:48,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",2
04:44,"GOOD JUMPER by DAVIS,ALEX(in the paint)",64,,65 (+1),,OGLETHOR 64-65 (+1),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",2
04:20,,64,,67 (+3),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 64-67 (+3),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
04:06,"MISS JUMPER by BATES,ROMELLO",,,,,,,"MISS JUMPER by BATES,ROMELLO",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
04:03,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
04:03,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",2
03:51,,64,,69 (+5),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 64-69 (+5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
03:41,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",2
03:40,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",2
03:35,"FOUL  by WARDLAW,CHASE",,,,,,,"FOUL  by WARDLAW,CHASE",2
03:35,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",2
03:35,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",2
03:35,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",2
03:33,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",2
03:33,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
03:13,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:07,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",2
03:07,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",2
02:43,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",2
02:43,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",2
02:38,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
02:38,,64,,70 (+6),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 64-70 (+6),,"GOOD FT by CALDWELL,MARCELLUS",2
02:38,,,,,"MISS FT by CALDWELL,MARCELLUS",,,"MISS FT by CALDWELL,MARCELLUS",2
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",2
02:24,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
02:24,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",2
02:24,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
02:19,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",2
02:19,"MISS FT by BATES,ROMELLO",,,,,,,"MISS FT by BATES,ROMELLO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:19,"GOOD FT by BATES,ROMELLO",65,,70 (+5),,OGLETHOR 65-70 (+5),,"GOOD FT by BATES,ROMELLO",2
01:53,,,,,"MISS 3PTR by STONE,BRODY",,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
01:41,"FOUL  by WARDLAW,CHASE",,,,,,,"FOUL  by WARDLAW,CHASE",2
01:41,,65,,71 (+6),"GOOD FT by STONE,BRODY",SEWANEE 65-71 (+6),,"GOOD FT by STONE,BRODY",2
01:41,,65,,72 (+7),"GOOD FT by STONE,BRODY",SEWANEE 65-72 (+7),,"GOOD FT by STONE,BRODY",2
01:41,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",2
01:41,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",2
01:24,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
01:13,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",2
01:13,,65,,73 (+8),"GOOD FT by BORN,CLAY",SEWANEE 65-73 (+8),,"GOOD FT by BORN,CLAY",2
01:13,,65,,74 (+9),"GOOD FT by BORN,CLAY",SEWANEE 65-74 (+9),,"GOOD FT by BORN,CLAY",2
01:02,"GOOD LAYUP by DAVIS,ALEX(in the paint)",67,,74 (+7),,OGLETHOR 67-74 (+7),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",2
01:02,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
01:02,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",2
01:02,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
00:55,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",2
00:55,"STEAL  by BATES,ROMELLO",,,,,,,"STEAL  by BATES,ROMELLO",2
00:55,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
00:55,"MISS FT by WARDLAW,CHASE",,,,,,,"MISS FT by WARDLAW,CHASE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:55,"MISS FT by WARDLAW,CHASE",,,,,,,"MISS FT by WARDLAW,CHASE",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
00:55,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
00:55,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
00:51,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
00:51,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
00:51,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
00:51,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",2
00:46,"TURNOVER  by BATES,ROMELLO",,,,,,,"TURNOVER  by BATES,ROMELLO",2
00:45,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",2
00:41,,67,,76 (+9),"GOOD DUNK by CARTER,KESHONN(in the paint)",SEWANEE 67-76 (+9),,"GOOD DUNK by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
00:35,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",2
00:35,"GOOD FT by BATES,ROMELLO",68,,76 (+8),,OGLETHOR 68-76 (+8),,"GOOD FT by BATES,ROMELLO",2
00:35,"GOOD FT by BATES,ROMELLO",69,,76 (+7),,OGLETHOR 69-76 (+7),,"GOOD FT by BATES,ROMELLO",2
00:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:30,,69,,78 (+9),"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",SEWANEE 69-78 (+9),,"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",2
00:26,"MISS 3PTR by BATES,ROMELLO",,,,,,,"MISS 3PTR by BATES,ROMELLO",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
00:21,"FOUL  by BATES,ROMELLO",,,,,,,"FOUL  by BATES,ROMELLO",2
00:21,,69,,79 (+10),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 69-79 (+10),,"GOOD FT by CALDWELL,MARCELLUS",2
00:21,,69,,80 (+11),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 69-80 (+11),,"GOOD FT by CALDWELL,MARCELLUS",2
00:18,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",2
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",2
00:08,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",2
00:07,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",2
