Time Remaining,OGLETHOR,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
16:58,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
16:58,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
16:29,,,,,"TURNOVER  by TOME,MATT",,,"TURNOVER  by TOME,MATT",1
16:28,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
16:22,"GOOD JUMPER by BATES,ROMELLO(in the paint)",7 (+3),,4,,OGLETHOR 7-4 (-3),,"GOOD JUMPER by BATES,ROMELLO(in the paint)",1
15:56,,7 (+1),,6,"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 7-6 (-1),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
15:39,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
15:38,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
15:38,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
15:38,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",1
15:38,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
15:38,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
15:38,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
15:38,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
15:38,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
15:34,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
15:23,,7,,8 (+1),"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",SEWANEE 7-8 (+1),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
15:11,"MISS JUMPER by SMITH,CONNOR",,,,,,,"MISS JUMPER by SMITH,CONNOR",1
--,"REBOUND OFF by LAWRENCE,CHRIS",,,,,,,"REBOUND OFF by LAWRENCE,CHRIS",1
14:56,"GOOD 3PTR by SMITH,CONNOR",10 (+2),,8,,OGLETHOR 10-8 (-2),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",1
14:32,,10,,10,"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 10-10 (0),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
13:51,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
13:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
13:51,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
13:51,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
13:51,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
13:51,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
13:44,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
13:38,,10,,13 (+3),"GOOD 3PTR by STONE,BRODY",SEWANEE 10-13 (+3),,"GOOD 3PTR by STONE,BRODY",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
13:24,"TURNOVER  by BATES,ROMELLO",,,,,,,"TURNOVER  by BATES,ROMELLO",1
13:22,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
13:22,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
13:22,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
13:22,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
13:22,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",1
13:22,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
13:00,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
12:56,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
12:55,,10,,16 (+6),"GOOD 3PTR by BORN,CLAY",SEWANEE 10-16 (+6),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
12:34,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
12:26,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
12:22,,10,,18 (+8),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 10-18 (+8),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
12:21,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
12:21,,10,,19 (+9),"GOOD FT by CARTER,KESHONN",SEWANEE 10-19 (+9),,"GOOD FT by CARTER,KESHONN",1
12:21,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
12:21,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
12:21,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
12:21,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
12:01,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
12:01,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
11:58,"GOOD JUMPER by DAVIS,ALEX(in the paint)",12,,19 (+7),,OGLETHOR 12-19 (+7),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",1
11:37,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:19,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
11:11,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
11:11,"GOOD FT by LAWRENCE,CHRIS",13,,19 (+6),,OGLETHOR 13-19 (+6),,"GOOD FT by LAWRENCE,CHRIS",1
11:11,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by TURNER,BYRON",,,"REBOUND DEF by TURNER,BYRON",1
11:11,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
11:11,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
10:58,,,,,"MISS LAYUP by WILLIAMS,JORDEN",,,"MISS LAYUP by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
10:55,,13,,21 (+8),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 13-21 (+8),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
10:33,"GOOD LAYUP by WARDLAW,CHASE(in the paint)",15,,21 (+6),,OGLETHOR 15-21 (+6),,"GOOD LAYUP by WARDLAW,CHASE(in the paint)",1
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",1
10:17,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
10:05,"GOOD LAYUP by DAVIS,ALEX(in the paint)",17,,21 (+4),,OGLETHOR 17-21 (+4),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
10:01,,,,,"TURNOVER  by TOME,MATT",,,"TURNOVER  by TOME,MATT",1
10:01,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
10:01,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
10:01,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
10:01,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
10:01,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
10:01,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
09:47,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",1
09:40,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
09:22,,17,,23 (+6),"GOOD LAYUP by TOME,MATT(in the paint)",SEWANEE 17-23 (+6),,"GOOD LAYUP by TOME,MATT(in the paint)",1
09:03,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",1
