Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:54,,,,,"TURNOVER  by BERRY,RAHEEM",,,"TURNOVER  by BERRY,RAHEEM",1
19:52,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
19:21,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
19:13,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
18:59,,0,,2 (+2),"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",HCM 0-2 (-2),,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",1
--,,,,,"ASSIST  by BERRY,RAHEEM",,,"ASSIST  by BERRY,RAHEEM",1
18:59,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
18:59,,,,,"MISS FT by JOHNSON,CHARLIE",,,"MISS FT by JOHNSON,CHARLIE",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
18:47,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
18:30,,0,,4 (+4),"GOOD LAYUP by LAYSON,ALEX(in the paint)",HCM 0-4 (-4),,"GOOD LAYUP by LAYSON,ALEX(in the paint)",1
17:57,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by DAVIS,JEROME",,,"REBOUND DEF by DAVIS,JEROME",1
17:49,,,,,"TURNOVER  by LAYSON,ALEX",,,"TURNOVER  by LAYSON,ALEX",1
17:21,"GOOD 3PTR by BORN,CLAY",3,,4 (+1),,SEWANEE 3-4 (-1),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
17:03,,,,,"MISS JUMPER by JOHNSON,CHARLIE",,,"MISS JUMPER by JOHNSON,CHARLIE",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
16:54,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",5 (+1),,4,,SEWANEE 5-4 (+1),,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",1
