Time Remaining,KCMB,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
09:46,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
09:46,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
09:46,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
09:46,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
09:28,"FOUL  by WILLIAMS,BRYAN",,,,,,,"FOUL  by WILLIAMS,BRYAN",1
09:28,,21 (+2),,19,"GOOD FT by CARTER,KESHONN",SEWANEE 21-19 (-2),,"GOOD FT by CARTER,KESHONN",1
09:28,,21 (+1),,20,"GOOD FT by CARTER,KESHONN",SEWANEE 21-20 (-1),,"GOOD FT by CARTER,KESHONN",1
09:28,"SUB IN by KELLEY,RASHAUD",,,,,,,"SUB IN by KELLEY,RASHAUD",1
09:28,"SUB OUT by WILLIAMS,BRYAN",,,,,,,"SUB OUT by WILLIAMS,BRYAN",1
09:28,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
09:28,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
09:01,"MISS JUMPER by LUNSFORD,DUNCAN",,,,,,,"MISS JUMPER by LUNSFORD,DUNCAN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
08:47,,21,,22 (+1),"GOOD JUMPER by CARTER,KESHONN",SEWANEE 21-22 (+1),,"GOOD JUMPER by CARTER,KESHONN",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
08:38,"MISS LAYUP by CANDEMERES,DAN",,,,,,,"MISS LAYUP by CANDEMERES,DAN",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
08:28,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:26,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
08:26,"SUB IN by PEEPLES,TYREEK",,,,,,,"SUB IN by PEEPLES,TYREEK",1
08:26,"SUB OUT by MONROE,DEION",,,,,,,"SUB OUT by MONROE,DEION",1
08:12,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
08:12,"GOOD FT by CANDEMERES,DAN",22,,22,,KCMB 22-22 (0),,"GOOD FT by CANDEMERES,DAN",1
08:12,"MISS FT by CANDEMERES,DAN",,,,,,,"MISS FT by CANDEMERES,DAN",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
07:48,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
07:48,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
07:48,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
07:25,"TURNOVER  by LUNSFORD,DUNCAN",,,,,,,"TURNOVER  by LUNSFORD,DUNCAN",1
07:25,"SUB IN by DARGAN,MILES",,,,,,,"SUB IN by DARGAN,MILES",1
07:25,"SUB OUT by COOPER,JAMES",,,,,,,"SUB OUT by COOPER,JAMES",1
07:25,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
07:25,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
07:07,,22,,25 (+3),"GOOD 3PTR by CALDWELL,MARCELLUS",SEWANEE 22-25 (+3),,"GOOD 3PTR by CALDWELL,MARCELLUS",1
--,,,,,"ASSIST  by MCCULLOUGH,JACOB",,,"ASSIST  by MCCULLOUGH,JACOB",1
06:54,"GOOD 3PTR by DARGAN,MILES",25,,25,,KCMB 25-25 (0),,"GOOD 3PTR by DARGAN,MILES",1
--,"ASSIST  by PEEPLES,TYREEK",,,,,,,"ASSIST  by PEEPLES,TYREEK",1
06:17,,25,,28 (+3),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 25-28 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
05:57,"GOOD JUMPER by LUNSFORD,DUNCAN(in the paint)",27,,28 (+1),,KCMB 27-28 (+1),,"GOOD JUMPER by LUNSFORD,DUNCAN(in the paint)",1
05:33,,,,,"FOUL  by MCCULLOUGH,JACOB",,,"FOUL  by MCCULLOUGH,JACOB",1
05:33,"STEAL  by PEEPLES,TYREEK",,,,,,,"STEAL  by PEEPLES,TYREEK",1
05:33,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
05:33,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
05:33,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
05:33,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
05:16,"MISS 3PTR by LUNSFORD,DUNCAN",,,,,,,"MISS 3PTR by LUNSFORD,DUNCAN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
04:55,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
04:55,"STEAL  by KELLEY,RASHAUD",,,,,,,"STEAL  by KELLEY,RASHAUD",1
04:55,"SUB IN by CANDEMERES,DAN",,,,,,,"SUB IN by CANDEMERES,DAN",1
04:55,"SUB IN by LONGMIRE,JESSE",,,,,,,"SUB IN by LONGMIRE,JESSE",1
04:55,"SUB OUT by LUNSFORD,DUNCAN",,,,,,,"SUB OUT by LUNSFORD,DUNCAN",1
04:55,"SUB OUT by LONGMIRE,JESSE",,,,,,,"SUB OUT by LONGMIRE,JESSE",1
04:55,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
04:55,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
04:49,"MISS LAYUP by CANDEMERES,DAN",,,,,,,"MISS LAYUP by CANDEMERES,DAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:47,"FOUL  by CANDEMERES,DAN",,,,,,,"FOUL  by CANDEMERES,DAN",1
04:21,,27,,31 (+4),"GOOD 3PTR by BORN,CLAY",SEWANEE 27-31 (+4),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
04:04,"TURNOVER  by DARGAN,MILES",,,,,,,"TURNOVER  by DARGAN,MILES",1
04:04,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
03:50,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
03:38,"FOUL  by DARGAN,MILES",,,,,,,"FOUL  by DARGAN,MILES",1
03:33,,27,,33 (+6),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 27-33 (+6),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
03:16,"GOOD JUMPER by LONGMIRE,JESSE(in the paint)",29,,33 (+4),,KCMB 29-33 (+4),,"GOOD JUMPER by LONGMIRE,JESSE(in the paint)",1
--,"ASSIST  by PEEPLES,TYREEK",,,,,,,"ASSIST  by PEEPLES,TYREEK",1
02:55,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by KELLEY,RASHAUD",,,,,,,"REBOUND DEF by KELLEY,RASHAUD",1
02:46,"TURNOVER  by CANDEMERES,DAN",,,,,,,"TURNOVER  by CANDEMERES,DAN",1
02:45,"SUB IN by ANISKA,STEVE",,,,,,,"SUB IN by ANISKA,STEVE",1
02:45,"SUB OUT by KELLEY,RASHAUD",,,,,,,"SUB OUT by KELLEY,RASHAUD",1
02:45,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
02:45,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
02:45,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
02:45,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
02:28,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by LONGMIRE,JESSE",,,,,,,"REBOUND DEF by LONGMIRE,JESSE",1
02:15,"MISS JUMPER by DARGAN,MILES",,,,,,,"MISS JUMPER by DARGAN,MILES",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
02:08,,29,,36 (+7),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 29-36 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
02:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
01:53,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
01:53,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
01:39,"GOOD 3PTR by CANDEMERES,DAN",32,,36 (+4),,KCMB 32-36 (+4),,"GOOD 3PTR by CANDEMERES,DAN",1
--,"ASSIST  by PEEPLES,TYREEK",,,,,,,"ASSIST  by PEEPLES,TYREEK",1
01:29,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND DEF by ANISKA,STEVE",,,,,,,"REBOUND DEF by ANISKA,STEVE",1
01:23,"GOOD LAYUP by LONGMIRE,JESSE(in the paint)",34,,36 (+2),,KCMB 34-36 (+2),,"GOOD LAYUP by LONGMIRE,JESSE(in the paint)",1
01:23,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
01:23,"GOOD FT by LONGMIRE,JESSE",35,,36 (+1),,KCMB 35-36 (+1),,"GOOD FT by LONGMIRE,JESSE",1
01:23,"SUB IN by LUNSFORD,DUNCAN",,,,,,,"SUB IN by LUNSFORD,DUNCAN",1
01:23,"SUB OUT by ANISKA,STEVE",,,,,,,"SUB OUT by ANISKA,STEVE",1
01:23,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
01:23,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
01:23,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
01:23,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
01:00,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by LUNSFORD,DUNCAN",,,,,,,"REBOUND DEF by LUNSFORD,DUNCAN",1
00:45,"TURNOVER  by LONGMIRE,JESSE",,,,,,,"TURNOVER  by LONGMIRE,JESSE",1
00:44,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
00:37,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",1
00:36,"STEAL  by CANDEMERES,DAN",,,,,,,"STEAL  by CANDEMERES,DAN",1
00:10,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
00:10,"GOOD FT by DARGAN,MILES",36,,36,,KCMB 36-36 (0),,"GOOD FT by DARGAN,MILES",1
00:10,"MISS FT by DARGAN,MILES",,,,,,,"MISS FT by DARGAN,MILES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:10,"GOOD FT by DARGAN,MILES",37 (+1),,36,,KCMB 37-36 (-1),,"GOOD FT by DARGAN,MILES",1
00:03,"FOUL  by LUNSFORD,DUNCAN",,,,,,,"FOUL  by LUNSFORD,DUNCAN",1
00:03,,37,,37,"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 37-37 (0),,"GOOD FT by CALDWELL,MARCELLUS",1
00:03,,37,,38 (+1),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 37-38 (+1),,"GOOD FT by CALDWELL,MARCELLUS",1
00:03,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
00:03,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
00:03,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
00:03,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
19:44,"MISS JUMPER by DARGAN,MILES",,,,,,,"MISS JUMPER by DARGAN,MILES",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:11,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:07,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND DEF by KELLEY,RASHAUD",,,,,,,"REBOUND DEF by KELLEY,RASHAUD",2
18:57,"MISS 3PTR by DARGAN,MILES",,,,,,,"MISS 3PTR by DARGAN,MILES",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
18:44,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
18:40,,37,,41 (+4),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 37-41 (+4),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",2
18:20,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",2
18:20,"SUB IN by ANISKA,STEVE",,,,,,,"SUB IN by ANISKA,STEVE",2
18:20,"SUB IN by MONROE,DEION",,,,,,,"SUB IN by MONROE,DEION",2
18:20,"SUB OUT by DARGAN,MILES",,,,,,,"SUB OUT by DARGAN,MILES",2
18:20,"SUB OUT by KELLEY,RASHAUD",,,,,,,"SUB OUT by KELLEY,RASHAUD",2
18:00,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",2
18:00,"GOOD FT by CANDEMERES,DAN",38,,41 (+3),,KCMB 38-41 (+3),,"GOOD FT by CANDEMERES,DAN",2
18:00,"GOOD FT by CANDEMERES,DAN",39,,41 (+2),,KCMB 39-41 (+2),,"GOOD FT by CANDEMERES,DAN",2
18:00,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
18:00,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
17:50,,39,,43 (+4),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 39-43 (+4),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
17:18,"GOOD JUMPER by CANDEMERES,DAN(in the paint)",41,,43 (+2),,KCMB 41-43 (+2),,"GOOD JUMPER by CANDEMERES,DAN(in the paint)",2
17:09,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by LONGMIRE,JESSE",,,,,,,"REBOUND DEF by LONGMIRE,JESSE",2
16:54,"TURNOVER  by LONGMIRE,JESSE",,,,,,,"TURNOVER  by LONGMIRE,JESSE",2
16:53,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",2
16:32,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
