Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PCM,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS LAYUP by EDWARDS,BRIAN",,,"MISS LAYUP by EDWARDS,BRIAN",1
--,,,,,"REBOUND OFF by VALLEJO,JUSTIN",,,"REBOUND OFF by VALLEJO,JUSTIN",1
19:38,,0,,2 (+2),"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",PCM 0-2 (-2),,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",1
19:22,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by JENKINS,JESSIE",,,"REBOUND DEF by JENKINS,JESSIE",1
18:58,,0,,4 (+4),"GOOD JUMPER by VALLEJO,JUSTIN",PCM 0-4 (-4),,"GOOD JUMPER by VALLEJO,JUSTIN",1
--,,,,,"ASSIST  by ASSINESI,LANDRY",,,"ASSIST  by ASSINESI,LANDRY",1
18:40,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",1
18:28,,,,,"TURNOVER  by JENKINS,JESSIE",,,"TURNOVER  by JENKINS,JESSIE",1
18:27,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
18:11,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2,,4 (+2),,SEWANEE 2-4 (-2),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
17:37,,,,,"TURNOVER  by ENGLAND,CHASE",,,"TURNOVER  by ENGLAND,CHASE",1
17:15,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",1
17:15,"GOOD FT by CARTER,KESHONN",3,,4 (+1),,SEWANEE 3-4 (-1),,"GOOD FT by CARTER,KESHONN",1
17:15,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",1
16:43,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
16:43,,3,,5 (+2),"GOOD FT by JENKINS,JESSIE",PCM 3-5 (-2),,"GOOD FT by JENKINS,JESSIE",1
16:43,,3,,6 (+3),"GOOD FT by JENKINS,JESSIE",PCM 3-6 (-3),,"GOOD FT by JENKINS,JESSIE",1
16:18,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by ASSINESI,LANDRY",,,"REBOUND DEF by ASSINESI,LANDRY",1
16:09,,,,,"MISS 3PTR by ENGLAND,CHASE",,,"MISS 3PTR by ENGLAND,CHASE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
15:50,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",1
15:37,,3,,8 (+5),"GOOD LAYUP by ENGLAND,CHASE(in the paint)",PCM 3-8 (-5),,"GOOD LAYUP by ENGLAND,CHASE(in the paint)",1
15:10,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",1
15:10,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
15:10,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
15:10,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
15:10,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
15:10,,,,,"SUB IN by MEEKS,CHRIS",,,"SUB IN by MEEKS,CHRIS",1
15:10,,,,,"SUB OUT by VALLEJO,JUSTIN",,,"SUB OUT by VALLEJO,JUSTIN",1
