Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:39,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2 (+2),,0,,SEWANEE 2-0 (+2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
19:24,,2,,2,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",BCM 2-2 (0),,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
18:55,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:34,,2,,4 (+2),"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",BCM 2-4 (-2),,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",1
17:27,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by JENNINGS,WILL",,,,,,,"REBOUND OFF by JENNINGS,WILL",1
17:21,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
17:21,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
17:19,,,,,"STEAL  by HARVILLE,TYLER",,,"STEAL  by HARVILLE,TYLER",1
17:15,,2,,7 (+5),"GOOD 3PTR by HARVILLE,TYLER",BCM 2-7 (-5),,"GOOD 3PTR by HARVILLE,TYLER",1
17:14,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
17:09,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
17:02,,2,,9 (+7),"GOOD LAYUP by HARVILLE,TYLER(in the paint)",BCM 2-9 (-7),,"GOOD LAYUP by HARVILLE,TYLER(in the paint)",1
16:57,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
16:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
16:55,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",1
16:25,"GOOD LAYUP by CARTER,KESHONN(in the paint)",4,,9 (+5),,SEWANEE 4-9 (-5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
16:21,,,,,"MISS JUMPER by THIGPEN,LOGAN",,,"MISS JUMPER by THIGPEN,LOGAN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
16:21,,,,,"FOUL  by CHAYKOWSKY,ZACK",,,"FOUL  by CHAYKOWSKY,ZACK",1
16:21,"GOOD FT by CALDWELL,MARCELLUS",5,,9 (+4),,SEWANEE 5-9 (-4),,"GOOD FT by CALDWELL,MARCELLUS",1
16:21,"MISS FT by CALDWELL,MARCELLUS",,,,,,,"MISS FT by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
16:08,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
16:08,,5,,10 (+5),"GOOD FT by CHAYKOWSKY,ZACK",BCM 5-10 (-5),,"GOOD FT by CHAYKOWSKY,ZACK",1
16:08,,,,,"MISS FT by CHAYKOWSKY,ZACK",,,"MISS FT by CHAYKOWSKY,ZACK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:08,,,,,"MISS FT by CHAYKOWSKY,ZACK",,,"MISS FT by CHAYKOWSKY,ZACK",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
16:08,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
16:08,,,,,"SUB OUT by THIGPEN,LOGAN",,,"SUB OUT by THIGPEN,LOGAN",1
15:49,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
15:34,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",1
15:30,,5,,12 (+7),"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 5-12 (-7),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
15:05,"GOOD JUMPER by BORN,LEO",7,,12 (+5),,SEWANEE 7-12 (-5),,"GOOD JUMPER by BORN,LEO",1
15:05,,,,,"FOUL  by CHAYKOWSKY,ZACK",,,"FOUL  by CHAYKOWSKY,ZACK",1
15:05,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",1
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",1
15:05,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
15:05,,,,,"SUB OUT by CHAYKOWSKY,ZACK",,,"SUB OUT by CHAYKOWSKY,ZACK",1
14:50,,7,,15 (+8),"GOOD 3PTR by ELLINGSWORTH,COLEMAN",BCM 7-15 (-8),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",1
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",1
14:32,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
14:32,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
14:32,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
14:15,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
14:05,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
13:59,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
13:59,,7,,16 (+9),"GOOD FT by MARDER,NICK",BCM 7-16 (-9),,"GOOD FT by MARDER,NICK",1
13:59,,7,,17 (+10),"GOOD FT by MARDER,NICK",BCM 7-17 (-10),,"GOOD FT by MARDER,NICK",1
13:59,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
13:59,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
13:59,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
13:59,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
13:51,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
13:51,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
13:51,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
13:51,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
13:23,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",1
13:19,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
13:16,"GOOD LAYUP by BROWN,SETH(in the paint)",9,,17 (+8),,SEWANEE 9-17 (-8),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
13:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:57,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
12:56,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
12:36,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
12:35,,,,,"STEAL  by JACOBS,OWEN",,,"STEAL  by JACOBS,OWEN",1
12:29,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
11:52,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:44,,,,,"SUB IN by THIGPEN,LOGAN",,,"SUB IN by THIGPEN,LOGAN",1
11:44,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
11:35,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
11:33,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
11:31,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
11:31,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
11:31,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
11:31,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
11:31,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
11:02,,,,,"TURNOVER  by HARVILLE,TYLER",,,"TURNOVER  by HARVILLE,TYLER",1
10:44,"GOOD LAYUP by STONE,BRODY(in the paint)",11,,17 (+6),,SEWANEE 11-17 (-6),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
10:44,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
10:44,"GOOD FT by STONE,BRODY",12,,17 (+5),,SEWANEE 12-17 (-5),,"GOOD FT by STONE,BRODY",1
10:44,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
10:44,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
10:17,,,,,"MISS JUMPER by THIGPEN,LOGAN",,,"MISS JUMPER by THIGPEN,LOGAN",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
10:06,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
09:46,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
09:46,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
09:46,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
09:46,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
09:46,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
09:46,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
