Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:46,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",1
19:27,,,,,"MISS JUMPER by STEIOFF,ANDREW",,,"MISS JUMPER by STEIOFF,ANDREW",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
19:20,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by JOVAAG,BRANDEN",,,"REBOUND DEF by JOVAAG,BRANDEN",1
18:53,,,,,"TURNOVER  by CERONE,TYLER",,,"TURNOVER  by CERONE,TYLER",1
18:41,"GOOD LAYUP by SCHAMP,GRIFFIN(fastbreak)(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(fastbreak)(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
18:26,,2,,3 (+1),"GOOD 3PTR by PURDY,SAM",OU 2-3 (-1),,"GOOD 3PTR by PURDY,SAM",1
--,,,,,"ASSIST  by JOVAAG,BRANDEN",,,"ASSIST  by JOVAAG,BRANDEN",1
17:54,"GOOD 3PTR by KEGARISE,KEVIN",5 (+2),,3,,BSC 5-3 (+2),,"GOOD 3PTR by KEGARISE,KEVIN",1
17:38,,,,,"MISS 3PTR by CERONE,TYLER",,,"MISS 3PTR by CERONE,TYLER",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
17:18,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by STEIOFF,ANDREW",,,"REBOUND DEF by STEIOFF,ANDREW",1
17:08,,5,,6 (+1),"GOOD 3PTR by CERONE,TYLER",OU 5-6 (-1),,"GOOD 3PTR by CERONE,TYLER",1
--,,,,,"ASSIST  by PURDY,SAM",,,"ASSIST  by PURDY,SAM",1
16:54,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
16:33,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:31,,,,,"FOUL  by JOVAAG,BRANDEN",,,"FOUL  by JOVAAG,BRANDEN",1
16:31,,,,,"SUB IN by MOLINET,CHRISTIAN",,,"SUB IN by MOLINET,CHRISTIAN",1
16:31,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",1
16:31,,,,,"SUB IN by PITTS,ALEC",,,"SUB IN by PITTS,ALEC",1
16:31,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",1
16:31,,,,,"SUB OUT by CERONE,TYLER",,,"SUB OUT by CERONE,TYLER",1
16:31,,,,,"SUB OUT by JOVAAG,BRANDEN",,,"SUB OUT by JOVAAG,BRANDEN",1
16:31,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
16:31,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",1
16:23,,,,,"FOUL  by PITTS,ALEC",,,"FOUL  by PITTS,ALEC",1
16:00,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",1
15:59,,,,,"STEAL  by MOLINET,CHRISTIAN",,,"STEAL  by MOLINET,CHRISTIAN",1
15:47,,5,,8 (+3),"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",OU 5-8 (-3),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",1
15:26,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
15:06,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
14:50,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by PITTS,ALEC",,,"REBOUND DEF by PITTS,ALEC",1
14:41,,,,,"MISS 3PTR by DAVIS,ALEX",,,"MISS 3PTR by DAVIS,ALEX",1
--,,,,,"REBOUND OFF by COURSON,TYLER",,,"REBOUND OFF by COURSON,TYLER",1
14:23,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
14:23,,5,,9 (+4),"GOOD FT by PITTS,ALEC",OU 5-9 (-4),,"GOOD FT by PITTS,ALEC",1
14:23,,5,,10 (+5),"GOOD FT by PITTS,ALEC",OU 5-10 (-5),,"GOOD FT by PITTS,ALEC",1
14:23,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:23,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
14:23,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:23,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
14:23,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
14:23,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
14:23,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
14:23,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:23,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
14:23,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:17,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",1
14:00,"GOOD 3PTR by THOMAS,LARRY",8,,10 (+2),,BSC 8-10 (-2),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
13:28,,8,,13 (+5),"GOOD 3PTR by PITTS,ALEC",OU 8-13 (-5),,"GOOD 3PTR by PITTS,ALEC",1
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",1
12:59,"GOOD 3PTR by MURPHY,NICK",11,,13 (+2),,BSC 11-13 (-2),,"GOOD 3PTR by MURPHY,NICK",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
12:32,,11,,15 (+4),"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",OU 11-15 (-4),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",1
12:22,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",13,,15 (+2),,BSC 13-15 (-2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
11:52,,,,,"MISS LAYUP by MOLINET,CHRISTIAN",,,"MISS LAYUP by MOLINET,CHRISTIAN",1
11:52,"BLOCK  by RICHARDS,ZAC",,,,,,,"BLOCK  by RICHARDS,ZAC",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
11:46,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",16 (+1),,15,,BSC 16-15 (+1),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
11:41,,,,,"SUB IN by JOVAAG,BRANDEN",,,"SUB IN by JOVAAG,BRANDEN",1
11:41,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",1
11:26,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",1
11:17,,,,,"FOUL  by PITTS,ALEC",,,"FOUL  by PITTS,ALEC",1
11:17,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",1
11:17,,,,,"SUB IN by KINNEY,JORDAN",,,"SUB IN by KINNEY,JORDAN",1
11:17,,,,,"SUB IN by PURDY,SAM",,,"SUB IN by PURDY,SAM",1
11:17,,,,,"SUB OUT by STEIOFF,ANDREW",,,"SUB OUT by STEIOFF,ANDREW",1
11:17,,,,,"SUB OUT by PITTS,ALEC",,,"SUB OUT by PITTS,ALEC",1
11:17,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
11:06,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
11:05,,,,,"STEAL  by KINNEY,JORDAN",,,"STEAL  by KINNEY,JORDAN",1
10:48,,16,,17 (+1),"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",OU 16-17 (-1),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",1
10:36,"GOOD 3PTR by MURPHY,NICK(fastbreak)",19 (+2),,17,,BSC 19-17 (+2),,"GOOD 3PTR by MURPHY,NICK(fastbreak)",1
