Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,WITM,Game Score,Team Indicator,Play,Period
17:17,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
17:03,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
17:00,,,,,"FOUL  by BRANDT,ALEX",,,"FOUL  by BRANDT,ALEX",1
16:57,"MISS DUNK by RICHARDS,ZAC",,,,,,,"MISS DUNK by RICHARDS,ZAC",1
16:39,"MISS DUNK by SHELTON,MIGUEL",,,,,,,"MISS DUNK by SHELTON,MIGUEL",1
--,,,,,"REBOUND DEF by BRANDT,ALEX",,,"REBOUND DEF by BRANDT,ALEX",1
16:27,"GOOD 3PTR by WHITE,BLAISE",5,,8 (+3),,BSC 5-8 (-3),,"GOOD 3PTR by WHITE,BLAISE",1
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",1
16:17,,5,,10 (+5),"GOOD LAYUP by BRANDT,ALEX(in the paint)",WITM 5-10 (-5),,"GOOD LAYUP by BRANDT,ALEX(in the paint)",1
--,,,,,"ASSIST  by MCKEE,JOSH",,,"ASSIST  by MCKEE,JOSH",1
16:01,"GOOD LAYUP by JONUS,JASEN(in the paint)",7,,10 (+3),,BSC 7-10 (-3),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
15:43,,7,,12 (+5),"GOOD DUNK by BLACK,CLAYTON(in the paint)",WITM 7-12 (-5),,"GOOD DUNK by BLACK,CLAYTON(in the paint)",1
--,,,,,"ASSIST  by NEWELL,STEVEN",,,"ASSIST  by NEWELL,STEVEN",1
15:25,"GOOD 3PTR by WHITE,BLAISE",10,,12 (+2),,BSC 10-12 (-2),,"GOOD 3PTR by WHITE,BLAISE",1
15:07,,10,,14 (+4),"GOOD LAYUP by BRANDT,ALEX(in the paint)",WITM 10-14 (-4),,"GOOD LAYUP by BRANDT,ALEX(in the paint)",1
14:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:53,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
14:53,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
14:53,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:53,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
14:53,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:53,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
14:53,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
14:53,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:53,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
14:53,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:53,,,,,"SUB IN by WEIDE,JACOB",,,"SUB IN by WEIDE,JACOB",1
14:53,,,,,"SUB IN by MASIN,SCOTT",,,"SUB IN by MASIN,SCOTT",1
14:53,,,,,"SUB IN by WALTON,CAM",,,"SUB IN by WALTON,CAM",1
14:53,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",1
14:53,,,,,"SUB IN by DUFFY,MICHAEL",,,"SUB IN by DUFFY,MICHAEL",1
14:53,,,,,"SUB OUT by NEWELL,STEVEN",,,"SUB OUT by NEWELL,STEVEN",1
14:53,,,,,"SUB OUT by LEAHY,ZACK",,,"SUB OUT by LEAHY,ZACK",1
14:53,,,,,"SUB OUT by MCKEE,JOSH",,,"SUB OUT by MCKEE,JOSH",1
14:53,,,,,"SUB OUT by BRANDT,ALEX",,,"SUB OUT by BRANDT,ALEX",1
14:53,,,,,"SUB OUT by BLACK,CLAYTON",,,"SUB OUT by BLACK,CLAYTON",1
14:38,"GOOD JUMPER by HOLLAND,JASON",12,,14 (+2),,BSC 12-14 (-2),,"GOOD JUMPER by HOLLAND,JASON",1
14:14,,,,,"MISS LAYUP by MASIN,SCOTT",,,"MISS LAYUP by MASIN,SCOTT",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
13:56,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:48,,,,,"FOUL  by WALTON,CAM",,,"FOUL  by WALTON,CAM",1
13:48,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:48,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",1
--,,,,,"REBOUND DEF by COOPER,MICHAEL",,,"REBOUND DEF by COOPER,MICHAEL",1
13:48,,,,,"MISS LAYUP by MASIN,SCOTT",,,"MISS LAYUP by MASIN,SCOTT",1
--,,,,,"REBOUND OFF by WEIDE,JACOB",,,"REBOUND OFF by WEIDE,JACOB",1
13:48,,,,,"MISS LAYUP by MASIN,SCOTT",,,"MISS LAYUP by MASIN,SCOTT",1
13:48,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
13:48,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
13:48,,,,,"STEAL  by WEIDE,JACOB",,,"STEAL  by WEIDE,JACOB",1
12:10,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
12:10,,,,,"SUB IN by NEWELL,STEVEN",,,"SUB IN by NEWELL,STEVEN",1
12:10,,,,,"SUB IN by MCKEE,JOSH",,,"SUB IN by MCKEE,JOSH",1
12:10,,,,,"SUB IN by BRANDT,ALEX",,,"SUB IN by BRANDT,ALEX",1
12:10,,,,,"SUB IN by BLACK,CLAYTON",,,"SUB IN by BLACK,CLAYTON",1
12:10,,,,,"SUB OUT by WEIDE,JACOB",,,"SUB OUT by WEIDE,JACOB",1
12:10,,,,,"SUB OUT by MASIN,SCOTT",,,"SUB OUT by MASIN,SCOTT",1
12:10,,,,,"SUB OUT by WALTON,CAM",,,"SUB OUT by WALTON,CAM",1
12:10,,,,,"SUB OUT by DUFFY,MICHAEL",,,"SUB OUT by DUFFY,MICHAEL",1
11:56,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
11:56,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:56,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
11:56,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:56,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
11:56,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
11:56,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
11:56,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
11:56,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
11:56,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
11:56,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
11:56,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
11:55,,,,,"MISS 3PTR by NEWELL,STEVEN",,,"MISS 3PTR by NEWELL,STEVEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:38,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",14,,14,,BSC 14-14 (0),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
11:38,,,,,"FOUL  by BLACK,CLAYTON",,,"FOUL  by BLACK,CLAYTON",1
11:38,"GOOD FT by RICHARDS,ZAC",15 (+1),,14,,BSC 15-14 (+1),,"GOOD FT by RICHARDS,ZAC",1
11:37,,,,,"TURNOVER  by SYROKA,BEN",,,"TURNOVER  by SYROKA,BEN",1
11:35,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",1
11:33,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:12,,15,,16 (+1),"GOOD LAYUP by MCKEE,JOSH(in the paint)",WITM 15-16 (-1),,"GOOD LAYUP by MCKEE,JOSH(in the paint)",1
10:58,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
10:51,,,,,"FOUL  by COOPER,MICHAEL",,,"FOUL  by COOPER,MICHAEL",1
10:51,"GOOD FT by WHITE,BLAISE",16,,16,,BSC 16-16 (0),,"GOOD FT by WHITE,BLAISE",1
10:51,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",1
10:51,,,,,"SUB IN by LEAHY,ZACK",,,"SUB IN by LEAHY,ZACK",1
10:51,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",1
10:34,,,,,"MISS 3PTR by MCKEE,JOSH",,,"MISS 3PTR by MCKEE,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:31,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
10:31,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
10:31,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
10:15,,,,,"TURNOVER  by BRANDT,ALEX",,,"TURNOVER  by BRANDT,ALEX",1
10:11,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
09:53,,,,,"FOUL  by LEAHY,ZACK",,,"FOUL  by LEAHY,ZACK",1
09:45,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
09:18,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
09:04,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:02,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
09:02,,,,,"SUB IN by WEIDE,JACOB",,,"SUB IN by WEIDE,JACOB",1
09:02,,,,,"SUB OUT by BRANDT,ALEX",,,"SUB OUT by BRANDT,ALEX",1
08:50,,,,,"MISS 3PTR by MCKEE,JOSH",,,"MISS 3PTR by MCKEE,JOSH",1
--,,,,,"REBOUND OFF by BLACK,CLAYTON",,,"REBOUND OFF by BLACK,CLAYTON",1
08:44,,16,,18 (+2),"GOOD LAYUP by BLACK,CLAYTON(in the paint)",WITM 16-18 (-2),,"GOOD LAYUP by BLACK,CLAYTON(in the paint)",1
08:34,"GOOD 3PTR by WHITE,BLAISE",19 (+1),,18,,BSC 19-18 (+1),,"GOOD 3PTR by WHITE,BLAISE",1
08:22,,,,,"TURNOVER  by MCKEE,JOSH",,,"TURNOVER  by MCKEE,JOSH",1
08:19,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",1
08:12,"GOOD 3PTR by WHITE,BLAISE",22 (+4),,18,,BSC 22-18 (+4),,"GOOD 3PTR by WHITE,BLAISE",1
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",1
07:42,,22 (+2),,20,"GOOD LAYUP by BLACK,CLAYTON(in the paint)",WITM 22-20 (+2),,"GOOD LAYUP by BLACK,CLAYTON(in the paint)",1
--,,,,,"ASSIST  by MCKEE,JOSH",,,"ASSIST  by MCKEE,JOSH",1
07:12,,,,,"FOUL  by MCKEE,JOSH",,,"FOUL  by MCKEE,JOSH",1
07:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:12,"GOOD FT by HENRY,COLIN",23 (+3),,20,,BSC 23-20 (+3),,"GOOD FT by HENRY,COLIN",1
07:12,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,,,,,"REBOUND DEF by WEIDE,JACOB",,,"REBOUND DEF by WEIDE,JACOB",1
07:12,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
07:12,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
07:12,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
07:12,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
07:12,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
07:12,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
07:12,,,,,"SUB IN by WALTON,CAM",,,"SUB IN by WALTON,CAM",1
07:12,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",1
07:12,,,,,"SUB IN by MASIN,SCOTT",,,"SUB IN by MASIN,SCOTT",1
07:12,,,,,"SUB OUT by NEWELL,STEVEN",,,"SUB OUT by NEWELL,STEVEN",1
07:12,,,,,"SUB OUT by MCKEE,JOSH",,,"SUB OUT by MCKEE,JOSH",1
07:12,,,,,"SUB OUT by BLACK,CLAYTON",,,"SUB OUT by BLACK,CLAYTON",1
06:43,,23,,23,"GOOD 3PTR by COOPER,MICHAEL",WITM 23-23 (0),,"GOOD 3PTR by COOPER,MICHAEL",1
--,,,,,"ASSIST  by WALTON,CAM",,,"ASSIST  by WALTON,CAM",1
06:26,,,,,"FOUL  by WEIDE,JACOB",,,"FOUL  by WEIDE,JACOB",1
06:26,"GOOD FT by HOLLAND,JASON",24 (+1),,23,,BSC 24-23 (+1),,"GOOD FT by HOLLAND,JASON",1
06:26,"GOOD FT by HOLLAND,JASON",25 (+2),,23,,BSC 25-23 (+2),,"GOOD FT by HOLLAND,JASON",1
06:26,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
06:26,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
06:16,"MISS JUMPER by MURPHY,NICK",,,,,,,"MISS JUMPER by MURPHY,NICK",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
05:57,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:23,,25,,25,"GOOD LAYUP by MASIN,SCOTT(in the paint)",WITM 25-25 (0),,"GOOD LAYUP by MASIN,SCOTT(in the paint)",1
--,,,,,"ASSIST  by LEAHY,ZACK",,,"ASSIST  by LEAHY,ZACK",1
05:04,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by MASIN,SCOTT",,,"REBOUND DEF by MASIN,SCOTT",1
04:44,,25,,27 (+2),"GOOD LAYUP by LEAHY,ZACK(in the paint)",WITM 25-27 (-2),,"GOOD LAYUP by LEAHY,ZACK(in the paint)",1
04:44,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
04:44,,25,,28 (+3),"GOOD FT by LEAHY,ZACK",WITM 25-28 (-3),,"GOOD FT by LEAHY,ZACK",1
04:44,,,,,"SUB IN by BLACK,CLAYTON",,,"SUB IN by BLACK,CLAYTON",1
04:44,,,,,"SUB IN by BRANDT,ALEX",,,"SUB IN by BRANDT,ALEX",1
04:44,,,,,"SUB IN by NEWELL,STEVEN",,,"SUB IN by NEWELL,STEVEN",1
04:44,,,,,"SUB IN by MCKEE,JOSH",,,"SUB IN by MCKEE,JOSH",1
04:44,,,,,"SUB OUT by WEIDE,JACOB",,,"SUB OUT by WEIDE,JACOB",1
04:44,,,,,"SUB OUT by LEAHY,ZACK",,,"SUB OUT by LEAHY,ZACK",1
04:44,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",1
04:44,,,,,"SUB OUT by MASIN,SCOTT",,,"SUB OUT by MASIN,SCOTT",1
04:32,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",1
03:47,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:47,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:47,,,,,"MISS FT by NEWELL,STEVEN",,,"MISS FT by NEWELL,STEVEN",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
03:47,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:47,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
03:47,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
03:47,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
03:47,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
03:47,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
03:47,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
03:47,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:47,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
03:47,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
03:44,"GOOD 3PTR by JONUS,JASEN",28,,28,,BSC 28-28 (0),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
03:00,,28,,31 (+3),"GOOD 3PTR by MCKEE,JOSH",WITM 28-31 (-3),,"GOOD 3PTR by MCKEE,JOSH",1
--,,,,,"ASSIST  by NEWELL,STEVEN",,,"ASSIST  by NEWELL,STEVEN",1
02:35,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
02:29,"GOOD 3PTR by JONUS,JASEN",31,,31,,BSC 31-31 (0),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
02:19,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",1
02:19,,,,,"SUB IN by LEAHY,ZACK",,,"SUB IN by LEAHY,ZACK",1
02:19,,,,,"SUB OUT by WALTON,CAM",,,"SUB OUT by WALTON,CAM",1
02:19,,,,,"SUB OUT by NEWELL,STEVEN",,,"SUB OUT by NEWELL,STEVEN",1
01:54,,,,,"MISS 3PTR by LEAHY,ZACK",,,"MISS 3PTR by LEAHY,ZACK",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
01:47,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
01:45,,,,,"STEAL  by BRANDT,ALEX",,,"STEAL  by BRANDT,ALEX",1
01:27,,,,,"TURNOVER  by BLACK,CLAYTON",,,"TURNOVER  by BLACK,CLAYTON",1
01:07,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by COOPER,MICHAEL",,,"REBOUND DEF by COOPER,MICHAEL",1
00:40,,31,,34 (+3),"GOOD 3PTR by MCKEE,JOSH",WITM 31-34 (-3),,"GOOD 3PTR by MCKEE,JOSH",1
--,,,,,"ASSIST  by BRANDT,ALEX",,,"ASSIST  by BRANDT,ALEX",1
00:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:29,,,,,"SUB IN by WEIDE,JACOB",,,"SUB IN by WEIDE,JACOB",1
00:29,,,,,"SUB IN by WALTON,CAM",,,"SUB IN by WALTON,CAM",1
00:29,,,,,"SUB OUT by BRANDT,ALEX",,,"SUB OUT by BRANDT,ALEX",1
00:29,,,,,"SUB OUT by MCKEE,JOSH",,,"SUB OUT by MCKEE,JOSH",1
00:03,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",1
00:03,,,,,"BLOCK  by BLACK,CLAYTON",,,"BLOCK  by BLACK,CLAYTON",1
--,,,,,"REBOUND DEF by LEAHY,ZACK",,,"REBOUND DEF by LEAHY,ZACK",1
00:00,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
00:00,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
00:00,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
00:00,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
00:00,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
00:00,,,,,"SUB IN by NEWELL,STEVEN",,,"SUB IN by NEWELL,STEVEN",1
00:00,,,,,"SUB IN by BRANDT,ALEX",,,"SUB IN by BRANDT,ALEX",1
00:00,,,,,"SUB IN by MCKEE,JOSH",,,"SUB IN by MCKEE,JOSH",1
00:00,,,,,"SUB OUT by BLACK,CLAYTON",,,"SUB OUT by BLACK,CLAYTON",1
00:00,,,,,"SUB OUT by WEIDE,JACOB",,,"SUB OUT by WEIDE,JACOB",1
00:00,,,,,"SUB OUT by WALTON,CAM",,,"SUB OUT by WALTON,CAM",1
00:00,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",1
00:00,,,,,"SUB OUT by LEAHY,ZACK",,,"SUB OUT by LEAHY,ZACK",1
19:28,,31,,36 (+5),"GOOD JUMPER by BLACK,CLAYTON",WITM 31-36 (-5),,"GOOD JUMPER by BLACK,CLAYTON",2
19:06,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by BRANDT,ALEX",,,"REBOUND DEF by BRANDT,ALEX",2
18:36,,31,,38 (+7),"GOOD JUMPER by BLACK,CLAYTON",WITM 31-38 (-7),,"GOOD JUMPER by BLACK,CLAYTON",2
18:26,,,,,"FOUL  by NEWELL,STEVEN",,,"FOUL  by NEWELL,STEVEN",2
18:25,,,,,"FOUL  by BRANDT,ALEX",,,"FOUL  by BRANDT,ALEX",2
18:25,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:25,"GOOD FT by RICHARDS,ZAC",32,,38 (+6),,BSC 32-38 (-6),,"GOOD FT by RICHARDS,ZAC",2
18:07,,,,,"MISS JUMPER by LEAHY,ZACK",,,"MISS JUMPER by LEAHY,ZACK",2
18:07,"BLOCK  by MURPHY,NICK",,,,,,,"BLOCK  by MURPHY,NICK",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
