Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:46,"GOOD 3PTR by JONUS,JASEN",3 (+3),,0,,BSC-M 3-0 (+3),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
19:16,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",1
--,,,,,"REBOUND OFF by REWOLDT,IAN",,,"REBOUND OFF by REWOLDT,IAN",1
18:50,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:34,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",5 (+5),,0,,BSC-M 5-0 (+5),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
18:05,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",1
--,,,,,"REBOUND OFF by MAYO-SMITH,CHRIS",,,"REBOUND OFF by MAYO-SMITH,CHRIS",1
17:46,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",1
--,,,,,"REBOUND OFF by REWOLDT,IAN",,,"REBOUND OFF by REWOLDT,IAN",1
17:42,,5 (+2),,3,"GOOD 3PTR by TRAMUTOLO,JAKE",CCM 5-3 (+2),,"GOOD 3PTR by TRAMUTOLO,JAKE",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
17:29,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
17:29,,,,,"BLOCK  by MAYO-SMITH,CHRIS",,,"BLOCK  by MAYO-SMITH,CHRIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:04,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
17:00,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",7 (+4),,3,,BSC-M 7-3 (+4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
16:51,,7 (+2),,5,"GOOD LAYUP by MAYO-SMITH,CHRIS(in the paint)",CCM 7-5 (+2),,"GOOD LAYUP by MAYO-SMITH,CHRIS(in the paint)",1
--,,,,,"ASSIST  by WATERS,JEREMIAH",,,"ASSIST  by WATERS,JEREMIAH",1
16:38,,,,,"FOUL  by WATERS,JEREMIAH",,,"FOUL  by WATERS,JEREMIAH",1
16:38,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:38,"GOOD FT by HENRY,COLIN",8 (+3),,5,,BSC-M 8-5 (+3),,"GOOD FT by HENRY,COLIN",1
16:18,,,,,"TURNOVER  by WATERS,JEREMIAH",,,"TURNOVER  by WATERS,JEREMIAH",1
16:06,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
15:51,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
15:50,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
15:39,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
15:04,,,,,"MISS JUMPER by MAYO-SMITH,CHRIS",,,"MISS JUMPER by MAYO-SMITH,CHRIS",1
--,,,,,"REBOUND OFF by MAYO-SMITH,CHRIS",,,"REBOUND OFF by MAYO-SMITH,CHRIS",1
15:01,,,,,"MISS JUMPER by MAYO-SMITH,CHRIS",,,"MISS JUMPER by MAYO-SMITH,CHRIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:59,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:59,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
14:59,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
14:59,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
14:59,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:59,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:59,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
14:59,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:59,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
14:59,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
14:43,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
14:36,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",1
14:19,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
13:46,,,,,"MISS JUMPER by WATERS,JEREMIAH",,,"MISS JUMPER by WATERS,JEREMIAH",1
13:46,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
13:38,"MISS JUMPER by HOLLAND,JASON",,,,,,,"MISS JUMPER by HOLLAND,JASON",1
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",1
13:20,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
13:07,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
13:07,,,,,"SUB IN by HOWARD,JOE",,,"SUB IN by HOWARD,JOE",1
13:07,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",1
12:50,,8 (+1),,7,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 8-7 (+1),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
12:41,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
12:36,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HOWARD,JOE",,,"REBOUND DEF by HOWARD,JOE",1
12:09,,,,,"TURNOVER  by LESNANSKY,CHRIS",,,"TURNOVER  by LESNANSKY,CHRIS",1
12:08,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
12:06,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,"REBOUND OFF by MURPHY,NICK",,,,,,,"REBOUND OFF by MURPHY,NICK",1
12:01,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
12:01,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",1
12:01,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",1
11:45,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
11:42,,,,,"MISS JUMPER by HOWARD,JOE",,,"MISS JUMPER by HOWARD,JOE",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
11:24,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",1
11:24,,,,,"BLOCK  by WEBB,DANIEL",,,"BLOCK  by WEBB,DANIEL",1
--,,,,,"REBOUND DEF by TRAMUTOLO,JAKE",,,"REBOUND DEF by TRAMUTOLO,JAKE",1
11:09,,,,,"TURNOVER  by WEBB,DANIEL",,,"TURNOVER  by WEBB,DANIEL",1
10:54,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
10:35,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HOWARD,JOE",,,"REBOUND DEF by HOWARD,JOE",1
10:20,,,,,"TURNOVER  by REWOLDT,IAN",,,"TURNOVER  by REWOLDT,IAN",1
10:20,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
10:20,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
10:20,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
10:20,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
10:20,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
10:20,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
10:20,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
10:20,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
10:20,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
10:20,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
10:20,,,,,"SUB IN by LESNANSKY,CHRIS",,,"SUB IN by LESNANSKY,CHRIS",1
10:20,,,,,"SUB IN by KELL,RYAN",,,"SUB IN by KELL,RYAN",1
10:20,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",1
10:20,,,,,"SUB OUT by HOWARD,JOE",,,"SUB OUT by HOWARD,JOE",1
10:01,"GOOD JUMPER by RICHARDS,ZAC",10 (+3),,7,,BSC-M 10-7 (+3),,"GOOD JUMPER by RICHARDS,ZAC",1
09:33,,10,,10,"GOOD 3PTR by KELL,RYAN",CCM 10-10 (0),,"GOOD 3PTR by KELL,RYAN",1
--,,,,,"ASSIST  by WEBB,DANIEL",,,"ASSIST  by WEBB,DANIEL",1
08:59,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",1
08:33,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
08:33,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",1
08:33,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",1
08:33,,,,,"SUB OUT by KELL,RYAN",,,"SUB OUT by KELL,RYAN",1
08:33,,,,,"SUB OUT by REWOLDT,IAN",,,"SUB OUT by REWOLDT,IAN",1
08:25,,,,,"TURNOVER  by MAYO-SMITH,CHRIS",,,"TURNOVER  by MAYO-SMITH,CHRIS",1
08:18,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",1
07:50,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
07:23,,,,,"FOUL  by MAYO-SMITH,CHRIS",,,"FOUL  by MAYO-SMITH,CHRIS",1
07:23,"GOOD FT by JONUS,JASEN",11 (+1),,10,,BSC-M 11-10 (+1),,"GOOD FT by JONUS,JASEN",1
07:23,"GOOD FT by JONUS,JASEN",12 (+2),,10,,BSC-M 12-10 (+2),,"GOOD FT by JONUS,JASEN",1
06:59,,,,,"TURNOVER  by LESNANSKY,CHRIS",,,"TURNOVER  by LESNANSKY,CHRIS",1
06:58,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
06:51,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
06:51,,,,,"STEAL  by WEBB,DANIEL",,,"STEAL  by WEBB,DANIEL",1
06:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:50,,,,,"SUB IN by REWOLDT,IAN",,,"SUB IN by REWOLDT,IAN",1
06:50,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",1
06:43,,,,,"TURNOVER  by WATERS,JEREMIAH",,,"TURNOVER  by WATERS,JEREMIAH",1
06:41,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
06:39,"GOOD LAYUP by HENRY,COLIN(in the paint)",14 (+4),,10,,BSC-M 14-10 (+4),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
06:39,,,,,"FOUL  by TRAMUTOLO,JAKE",,,"FOUL  by TRAMUTOLO,JAKE",1
06:39,"GOOD FT by HENRY,COLIN",15 (+5),,10,,BSC-M 15-10 (+5),,"GOOD FT by HENRY,COLIN",1
06:12,,15 (+3),,12,"GOOD JUMPER by LESNANSKY,CHRIS",CCM 15-12 (+3),,"GOOD JUMPER by LESNANSKY,CHRIS",1
05:59,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
05:59,,,,,"BLOCK  by LESNANSKY,CHRIS",,,"BLOCK  by LESNANSKY,CHRIS",1
--,,,,,"REBOUND DEF by WEBB,DANIEL",,,"REBOUND DEF by WEBB,DANIEL",1
05:42,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
05:42,,15 (+2),,13,"GOOD FT by WEBB,DANIEL",CCM 15-13 (+2),,"GOOD FT by WEBB,DANIEL",1
05:42,,,,,"MISS FT by WEBB,DANIEL",,,"MISS FT by WEBB,DANIEL",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
05:42,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:42,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
05:42,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
05:42,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
05:42,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
05:42,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
05:42,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
05:42,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
05:42,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
05:42,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
05:42,,,,,"SUB IN by KELL,RYAN",,,"SUB IN by KELL,RYAN",1
05:42,,,,,"SUB OUT by TRAMUTOLO,JAKE",,,"SUB OUT by TRAMUTOLO,JAKE",1
05:21,"GOOD 3PTR by THOMAS,LARRY",18 (+5),,13,,BSC-M 18-13 (+5),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by LEE,CALEB",,,,,,,"ASSIST  by LEE,CALEB",1
05:03,,18 (+3),,15,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 18-15 (+3),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",1
04:41,"GOOD JUMPER by SCHAMP,GRIFFIN",20 (+5),,15,,BSC-M 20-15 (+5),,"GOOD JUMPER by SCHAMP,GRIFFIN",1
04:35,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
04:35,,20 (+4),,16,"GOOD FT by KELL,RYAN",CCM 20-16 (+4),,"GOOD FT by KELL,RYAN",1
04:35,,,,,"MISS FT by KELL,RYAN",,,"MISS FT by KELL,RYAN",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
04:35,,,,,"SUB IN by HOWARD,JOE",,,"SUB IN by HOWARD,JOE",1
04:35,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",1
04:13,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",1
04:13,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:13,"GOOD FT by SCHAMP,GRIFFIN",21 (+5),,16,,BSC-M 21-16 (+5),,"GOOD FT by SCHAMP,GRIFFIN",1
04:13,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
04:13,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
04:08,,,,,"TURNOVER  by LESNANSKY,CHRIS",,,"TURNOVER  by LESNANSKY,CHRIS",1
04:08,,,,,"SUB IN by TRAMUTOLO,JAKE",,,"SUB IN by TRAMUTOLO,JAKE",1
04:08,,,,,"SUB OUT by KELL,RYAN",,,"SUB OUT by KELL,RYAN",1
03:40,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by HOWARD,JOE",,,"REBOUND DEF by HOWARD,JOE",1
03:07,,21 (+3),,18,"GOOD LAYUP by HOWARD,JOE(in the paint)",CCM 21-18 (+3),,"GOOD LAYUP by HOWARD,JOE(in the paint)",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
