Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
14:46,,,,,"SUB OUT by TURNIPSEED,D'AWVALO",,,"SUB OUT by TURNIPSEED,D'AWVALO",1
14:46,,,,,"SUB OUT by VARNEY,JASON",,,"SUB OUT by VARNEY,JASON",1
14:46,,,,,"SUB OUT by MOODY,JACOB",,,"SUB OUT by MOODY,JACOB",1
14:46,,,,,"SUB OUT by THOMAS,JEREMIAH",,,"SUB OUT by THOMAS,JEREMIAH",1
14:40,,,,,"FOUL  by LEE,JERROD",,,"FOUL  by LEE,JERROD",1
14:40,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:40,"GOOD FT by SCHAMP,GRIFFIN",7,,7,,BSC 7-7 (0),,"GOOD FT by SCHAMP,GRIFFIN",1
14:35,,,,,"MISS 3PTR by EDGAR,COURTNEE",,,"MISS 3PTR by EDGAR,COURTNEE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
14:10,,7,,9 (+2),"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",HC 7-9 (-2),,"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",1
13:55,,,,,"FOUL  by ROBERSON,D'ANGELO",,,"FOUL  by ROBERSON,D'ANGELO",1
13:55,"GOOD FT by THOMAS,LARRY",8,,9 (+1),,BSC 8-9 (-1),,"GOOD FT by THOMAS,LARRY",1
13:55,"GOOD JUMPER by THOMAS,LARRY",10 (+1),,9,,BSC 10-9 (+1),,"GOOD JUMPER by THOMAS,LARRY",1
13:50,MISS JUMPER by 5,,,,,,,MISS JUMPER by 5,1
--,,,,,"REBOUND DEF by BLACKMON,KANDEN",,,"REBOUND DEF by BLACKMON,KANDEN",1
13:48,,,,,"MISS 3PTR by BLACKMON,KANDEN",,,"MISS 3PTR by BLACKMON,KANDEN",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
13:40,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
13:40,,,,,"BLOCK  by ROBERSON,D'ANGELO",,,"BLOCK  by ROBERSON,D'ANGELO",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:38,,,,,"MISS LAYUP by PETTY,RYAN",,,"MISS LAYUP by PETTY,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:30,,10,,12 (+2),"GOOD 3PTR by BLACKMON,KANDEN",HC 10-12 (-2),,"GOOD 3PTR by BLACKMON,KANDEN",1
--,,,,,"ASSIST  by EDGAR,COURTNEE",,,"ASSIST  by EDGAR,COURTNEE",1
13:04,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
13:04,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
13:04,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
13:04,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
13:04,SUB IN by 4,,,,,,,SUB IN by 4,1
13:04,SUB IN by 1,,,,,,,SUB IN by 1,1
13:04,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
13:04,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
13:04,SUB OUT by 5,,,,,,,SUB OUT by 5,1
13:04,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
13:04,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:54,FOUL  by 4,,,,,,,FOUL  by 4,1
12:54,,10,,13 (+3),"GOOD FT by ROBERSON,D'ANGELO",HC 10-13 (-3),,"GOOD FT by ROBERSON,D'ANGELO",1
12:54,,,,,"MISS FT by ROBERSON,D'ANGELO",,,"MISS FT by ROBERSON,D'ANGELO",1
--,,,,,"REBOUND OFF by THOMAS,JEREMIAH",,,"REBOUND OFF by THOMAS,JEREMIAH",1
12:54,SUB IN by 5,,,,,,,SUB IN by 5,1
12:54,SUB OUT by 4,,,,,,,SUB OUT by 4,1
12:54,,,,,"SUB IN by THOMAS,JEREMIAH",,,"SUB IN by THOMAS,JEREMIAH",1
12:54,,,,,"SUB OUT by BLACKMON,KANDEN",,,"SUB OUT by BLACKMON,KANDEN",1
12:42,,,,,"MISS LAYUP by THOMAS,JEREMIAH",,,"MISS LAYUP by THOMAS,JEREMIAH",1
--,,,,,"REBOUND OFF by EDGAR,COURTNEE",,,"REBOUND OFF by EDGAR,COURTNEE",1
12:32,,10,,15 (+5),"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",HC 10-15 (-5),,"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",1
12:22,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:01,,10,,17 (+7),"GOOD JUMPER by THOMAS,JEREMIAH",HC 10-17 (-7),,"GOOD JUMPER by THOMAS,JEREMIAH",1
11:47,GOOD JUMPER by 5,12,,17 (+5),,BSC 12-17 (-5),,GOOD JUMPER by 5,1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
11:31,,,,,"TURNOVER  by LEE,JERROD",,,"TURNOVER  by LEE,JERROD",1
11:31,,,,,"FOUL  by LEE,JERROD",,,"FOUL  by LEE,JERROD",1
11:31,,,,,"SUB IN by NORRIS,DEANGELO",,,"SUB IN by NORRIS,DEANGELO",1
11:31,,,,,"SUB IN by MOODY,JACOB",,,"SUB IN by MOODY,JACOB",1
11:31,,,,,"SUB OUT by EDGAR,COURTNEE",,,"SUB OUT by EDGAR,COURTNEE",1
11:31,,,,,"SUB OUT by ROBERSON,D'ANGELO",,,"SUB OUT by ROBERSON,D'ANGELO",1
11:28,,,,,"FOUL  by NORRIS,DEANGELO",,,"FOUL  by NORRIS,DEANGELO",1
11:11,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
11:10,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
11:10,FOUL  by 1,,,,,,,FOUL  by 1,1
11:10,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
11:10,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
11:10,,,,,"SUB IN by VARNEY,JASON",,,"SUB IN by VARNEY,JASON",1
11:10,,,,,"SUB IN by TURNIPSEED,D'AWVALO",,,"SUB IN by TURNIPSEED,D'AWVALO",1
11:10,,,,,"SUB OUT by LEE,JERROD",,,"SUB OUT by LEE,JERROD",1
11:10,,,,,"SUB OUT by PETTY,RYAN",,,"SUB OUT by PETTY,RYAN",1
10:51,,,,,"MISS JUMPER by NORRIS,DEANGELO",,,"MISS JUMPER by NORRIS,DEANGELO",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
10:34,TURNOVER  by 5,,,,,,,TURNOVER  by 5,1
10:31,,,,,"STEAL  by THOMAS,JEREMIAH",,,"STEAL  by THOMAS,JEREMIAH",1
10:31,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
10:31,,,,,"MISS FT by THOMAS,JEREMIAH",,,"MISS FT by THOMAS,JEREMIAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:31,,,,,"MISS FT by THOMAS,JEREMIAH",,,"MISS FT by THOMAS,JEREMIAH",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
10:31,,,,,"SUB IN by KILPATRICK,MIKE",,,"SUB IN by KILPATRICK,MIKE",1
10:31,,,,,"SUB OUT by NORRIS,DEANGELO",,,"SUB OUT by NORRIS,DEANGELO",1
10:15,,,,,"FOUL  by TURNIPSEED,D'AWVALO",,,"FOUL  by TURNIPSEED,D'AWVALO",1
10:07,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by MOODY,JACOB",,,"REBOUND DEF by MOODY,JACOB",1
09:58,FOUL  by 5,,,,,,,FOUL  by 5,1
09:58,SUB IN by 0,,,,,,,SUB IN by 0,1
09:58,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
09:58,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
09:58,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
09:58,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
09:58,SUB OUT by 5,,,,,,,SUB OUT by 5,1
09:49,,12,,20 (+8),"GOOD 3PTR by TURNIPSEED,D'AWVALO",HC 12-20 (-8),,"GOOD 3PTR by TURNIPSEED,D'AWVALO",1
--,,,,,"ASSIST  by KILPATRICK,MIKE",,,"ASSIST  by KILPATRICK,MIKE",1
09:40,,,,,"FOUL  by MOODY,JACOB",,,"FOUL  by MOODY,JACOB",1
09:40,MISS FT by 1,,,,,,,MISS FT by 1,1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:40,GOOD FT by 1,13,,20 (+7),,BSC 13-20 (-7),,GOOD FT by 1,1
09:19,,,,,"MISS JUMPER by TURNIPSEED,D'AWVALO",,,"MISS JUMPER by TURNIPSEED,D'AWVALO",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
09:11,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
09:09,,,,,"STEAL  by TURNIPSEED,D'AWVALO",,,"STEAL  by TURNIPSEED,D'AWVALO",1
09:05,,,,,"MISS LAYUP by TURNIPSEED,D'AWVALO",,,"MISS LAYUP by TURNIPSEED,D'AWVALO",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
08:58,,,,,"FOUL  by TURNIPSEED,D'AWVALO",,,"FOUL  by TURNIPSEED,D'AWVALO",1
08:58,GOOD FT by 1,14,,20 (+6),,BSC 14-20 (-6),,GOOD FT by 1,1
08:58,GOOD FT by 1,15,,20 (+5),,BSC 15-20 (-5),,GOOD FT by 1,1
08:58,GOOD FT by 1,16,,20 (+4),,BSC 16-20 (-4),,GOOD FT by 1,1
08:58,,,,,"SUB IN by BLACKMON,KANDEN",,,"SUB IN by BLACKMON,KANDEN",1
08:58,,,,,"SUB IN by ROBERSON,D'ANGELO",,,"SUB IN by ROBERSON,D'ANGELO",1
08:58,,,,,"SUB OUT by THOMAS,JEREMIAH",,,"SUB OUT by THOMAS,JEREMIAH",1
08:58,,,,,"SUB OUT by MOODY,JACOB",,,"SUB OUT by MOODY,JACOB",1
08:50,,,,,"TURNOVER  by VARNEY,JASON",,,"TURNOVER  by VARNEY,JASON",1
08:48,STEAL  by 0,,,,,,,STEAL  by 0,1
08:39,GOOD 3PTR by 1,19,,20 (+1),,BSC 19-20 (-1),,GOOD 3PTR by 1,1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
08:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:36,,,,,"SUB IN by EDGAR,COURTNEE",,,"SUB IN by EDGAR,COURTNEE",1
08:36,,,,,"SUB IN by PETTY,RYAN",,,"SUB IN by PETTY,RYAN",1
08:36,,,,,"SUB IN by LEE,JERROD",,,"SUB IN by LEE,JERROD",1
08:36,,,,,"SUB OUT by VARNEY,JASON",,,"SUB OUT by VARNEY,JASON",1
08:36,,,,,"SUB OUT by KILPATRICK,MIKE",,,"SUB OUT by KILPATRICK,MIKE",1
08:36,,,,,"SUB OUT by TURNIPSEED,D'AWVALO",,,"SUB OUT by TURNIPSEED,D'AWVALO",1
08:17,,19,,22 (+3),"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",HC 19-22 (-3),,"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",1
08:06,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
08:06,,,,,"BLOCK  by ROBERSON,D'ANGELO",,,"BLOCK  by ROBERSON,D'ANGELO",1
--,,,,,"REBOUND DEF by EDGAR,COURTNEE",,,"REBOUND DEF by EDGAR,COURTNEE",1
07:59,,19,,24 (+5),"GOOD JUMPER by EDGAR,COURTNEE(in the paint)",HC 19-24 (-5),,"GOOD JUMPER by EDGAR,COURTNEE(in the paint)",1
07:42,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by PETTY,RYAN",,,"REBOUND DEF by PETTY,RYAN",1
07:33,,19,,26 (+7),"GOOD LAYUP by PETTY,RYAN(fastbreak)(in the paint)",HC 19-26 (-7),,"GOOD LAYUP by PETTY,RYAN(fastbreak)(in the paint)",1
07:33,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
07:33,,19,,27 (+8),"GOOD FT by PETTY,RYAN",HC 19-27 (-8),,"GOOD FT by PETTY,RYAN",1
07:33,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
07:33,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
07:33,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
07:33,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
07:33,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
07:33,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
07:24,,,,,"FOUL  by ROBERSON,D'ANGELO",,,"FOUL  by ROBERSON,D'ANGELO",1
07:24,GOOD FT by 0,20,,27 (+7),,BSC 20-27 (-7),,GOOD FT by 0,1
07:24,GOOD FT by 0,21,,27 (+6),,BSC 21-27 (-6),,GOOD FT by 0,1
07:23,,,,,"TURNOVER  by PETTY,RYAN",,,"TURNOVER  by PETTY,RYAN",1
07:23,,,,,"FOUL  by ROBERSON,D'ANGELO",,,"FOUL  by ROBERSON,D'ANGELO",1
07:23,GOOD FT by 0,22,,27 (+5),,BSC 22-27 (-5),,GOOD FT by 0,1
07:23,GOOD FT by 0,23,,27 (+4),,BSC 23-27 (-4),,GOOD FT by 0,1
07:23,,,,,"SUB IN by MOODY,JACOB",,,"SUB IN by MOODY,JACOB",1
07:23,,,,,"SUB OUT by ROBERSON,D'ANGELO",,,"SUB OUT by ROBERSON,D'ANGELO",1
07:06,,,,,"TURNOVER  by MOODY,JACOB",,,"TURNOVER  by MOODY,JACOB",1
07:05,STEAL  by 1,,,,,,,STEAL  by 1,1
06:59,,,,,"FOUL  by PETTY,RYAN",,,"FOUL  by PETTY,RYAN",1
06:59,GOOD FT by 1,24,,27 (+3),,BSC 24-27 (-3),,GOOD FT by 1,1
06:59,GOOD FT by 1,25,,27 (+2),,BSC 25-27 (-2),,GOOD FT by 1,1
06:51,,25,,30 (+5),"GOOD 3PTR by BLACKMON,KANDEN",HC 25-30 (-5),,"GOOD 3PTR by BLACKMON,KANDEN",1
--,,,,,"ASSIST  by EDGAR,COURTNEE",,,"ASSIST  by EDGAR,COURTNEE",1
06:28,GOOD 3PTR by 0,28,,30 (+2),,BSC 28-30 (-2),,GOOD 3PTR by 0,1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
06:03,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
06:03,,,,,"MISS FT by MOODY,JACOB",,,"MISS FT by MOODY,JACOB",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
06:03,,,,,"SUB IN by KILPATRICK,MIKE",,,"SUB IN by KILPATRICK,MIKE",1
06:03,,,,,"SUB OUT by EDGAR,COURTNEE",,,"SUB OUT by EDGAR,COURTNEE",1
05:51,GOOD 3PTR by 1,31 (+1),,30,,BSC 31-30 (+1),,GOOD 3PTR by 1,1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
05:36,,,,,"MISS LAYUP by LEE,JERROD",,,"MISS LAYUP by LEE,JERROD",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
05:36,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
05:36,,31,,31,"GOOD FT by BLACKMON,KANDEN",HC 31-31 (0),,"GOOD FT by BLACKMON,KANDEN",1
05:36,,31,,32 (+1),"GOOD FT by BLACKMON,KANDEN",HC 31-32 (-1),,"GOOD FT by BLACKMON,KANDEN",1
05:36,"SUB IN by NEINER,JOSEPH",,,,,,,"SUB IN by NEINER,JOSEPH",1
05:36,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
05:36,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
05:36,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
05:36,SUB OUT by 0,,,,,,,SUB OUT by 0,1
05:36,SUB OUT by 1,,,,,,,SUB OUT by 1,1
05:36,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
05:36,,,,,"SUB IN by VARNEY,JASON",,,"SUB IN by VARNEY,JASON",1
05:36,,,,,"SUB IN by BRYSON,ERIC",,,"SUB IN by BRYSON,ERIC",1
05:36,,,,,"SUB IN by THOMAS,JEREMIAH",,,"SUB IN by THOMAS,JEREMIAH",1
05:36,,,,,"SUB IN by TURNIPSEED,D'AWVALO",,,"SUB IN by TURNIPSEED,D'AWVALO",1
05:36,,,,,"SUB OUT by MOODY,JACOB",,,"SUB OUT by MOODY,JACOB",1
05:36,,,,,"SUB OUT by KILPATRICK,MIKE",,,"SUB OUT by KILPATRICK,MIKE",1
05:36,,,,,"SUB OUT by PETTY,RYAN",,,"SUB OUT by PETTY,RYAN",1
05:36,,,,,"SUB OUT by LEE,JERROD",,,"SUB OUT by LEE,JERROD",1
05:33,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
05:25,,,,,"STEAL  by BLACKMON,KANDEN",,,"STEAL  by BLACKMON,KANDEN",1
05:18,,31,,34 (+3),"GOOD JUMPER by KILPATRICK,MIKE",HC 31-34 (-3),,"GOOD JUMPER by KILPATRICK,MIKE",1
04:50,FOUL  by 0,,,,,,,FOUL  by 0,1
04:50,,,,,"MISS FT by TURNIPSEED,D'AWVALO",,,"MISS FT by TURNIPSEED,D'AWVALO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:50,,31,,35 (+4),"GOOD FT by TURNIPSEED,D'AWVALO",HC 31-35 (-4),,"GOOD FT by TURNIPSEED,D'AWVALO",1
04:21,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
04:21,SUB IN by 5,,,,,,,SUB IN by 5,1
04:21,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
03:59,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
03:59,,,,,"MISS FT by THOMAS,JEREMIAH",,,"MISS FT by THOMAS,JEREMIAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:59,,,,,"MISS FT by THOMAS,JEREMIAH",,,"MISS FT by THOMAS,JEREMIAH",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
03:59,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
03:41,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by TURNIPSEED,D'AWVALO",,,"REBOUND DEF by TURNIPSEED,D'AWVALO",1
03:33,,31,,37 (+6),"GOOD LAYUP by VARNEY,JASON(in the paint)",HC 31-37 (-6),,"GOOD LAYUP by VARNEY,JASON(in the paint)",1
--,,,,,"ASSIST  by KILPATRICK,MIKE",,,"ASSIST  by KILPATRICK,MIKE",1
03:33,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:33,,31,,38 (+7),"GOOD FT by VARNEY,JASON",HC 31-38 (-7),,"GOOD FT by VARNEY,JASON",1
03:33,SUB IN by 1,,,,,,,SUB IN by 1,1
03:33,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:18,,,,,"FOUL  by THOMAS,JEREMIAH",,,"FOUL  by THOMAS,JEREMIAH",1
03:18,"GOOD FT by SCHAMP,GRIFFIN",32,,38 (+6),,BSC 32-38 (-6),,"GOOD FT by SCHAMP,GRIFFIN",1
03:18,"GOOD FT by SCHAMP,GRIFFIN",33,,38 (+5),,BSC 33-38 (-5),,"GOOD FT by SCHAMP,GRIFFIN",1
03:18,,,,,"SUB IN by MOODY,JACOB",,,"SUB IN by MOODY,JACOB",1
03:18,,,,,"SUB IN by EDGAR,COURTNEE",,,"SUB IN by EDGAR,COURTNEE",1
03:18,,,,,"SUB IN by PETTY,RYAN",,,"SUB IN by PETTY,RYAN",1
