Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SMMB,Game Score,Team Indicator,Play,Period
14:57,,8,,12 (+4),"GOOD LAYUP by JACKSON,JEREMY(in the paint)",SMMB 8-12 (-4),,"GOOD LAYUP by JACKSON,JEREMY(in the paint)",1
--,,,,,"ASSIST  by TOMAH,BRANDON",,,"ASSIST  by TOMAH,BRANDON",1
14:41,,,,,"FOUL  by SULLIVAN,CONOR",,,"FOUL  by SULLIVAN,CONOR",1
14:41,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:41,"GOOD FT by SCHAMP,GRIFFIN",9,,12 (+3),,BSC 9-12 (-3),,"GOOD FT by SCHAMP,GRIFFIN",1
14:41,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
14:41,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
14:41,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:41,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:41,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
14:41,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:41,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
14:41,,,,,"SUB IN by CUSHMAN,ETHAN",,,"SUB IN by CUSHMAN,ETHAN",1
14:41,,,,,"SUB OUT by SULLIVAN,CONOR",,,"SUB OUT by SULLIVAN,CONOR",1
14:36,,9,,14 (+5),"GOOD LAYUP by JACKSON,JEREMY(in the paint)",SMMB 9-14 (-5),,"GOOD LAYUP by JACKSON,JEREMY(in the paint)",1
--,,,,,"ASSIST  by KEE,ALEX",,,"ASSIST  by KEE,ALEX",1
14:18,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by MURPHY,NICK",,,,,,,"REBOUND OFF by MURPHY,NICK",1
13:43,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",1
13:43,,,,,"BLOCK  by JACKSON,JEREMY",,,"BLOCK  by JACKSON,JEREMY",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
13:38,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
13:34,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
13:33,,,,,"STEAL  by CUSHMAN,ETHAN",,,"STEAL  by CUSHMAN,ETHAN",1
13:29,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
13:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:29,,9,,15 (+6),"GOOD FT by CUSHMAN,ETHAN",SMMB 9-15 (-6),,"GOOD FT by CUSHMAN,ETHAN",1
13:29,,9,,16 (+7),"GOOD FT by CUSHMAN,ETHAN",SMMB 9-16 (-7),,"GOOD FT by CUSHMAN,ETHAN",1
13:29,,,,,"SUB IN by SULLIVAN,CONOR",,,"SUB IN by SULLIVAN,CONOR",1
13:29,,,,,"SUB OUT by TOMAH,BRANDON",,,"SUB OUT by TOMAH,BRANDON",1
13:13,,,,,"FOUL  by CUSHMAN,ETHAN",,,"FOUL  by CUSHMAN,ETHAN",1
12:51,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by SULLIVAN,CONOR",,,"REBOUND DEF by SULLIVAN,CONOR",1
12:47,,,,,"MISS LAYUP by SULLIVAN,CONOR",,,"MISS LAYUP by SULLIVAN,CONOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:31,"GOOD LAYUP by HOLLAND,JASON(in the paint)",11,,16 (+5),,BSC 11-16 (-5),,"GOOD LAYUP by HOLLAND,JASON(in the paint)",1
12:24,,,,,"SUB IN by TOMAH,BRANDON",,,"SUB IN by TOMAH,BRANDON",1
12:24,,,,,"SUB IN by ALEXANDER,BRIAN",,,"SUB IN by ALEXANDER,BRIAN",1
12:24,,,,,"SUB OUT by PAGENTINE,CHRIS",,,"SUB OUT by PAGENTINE,CHRIS",1
12:24,,,,,"SUB OUT by KEE,ALEX",,,"SUB OUT by KEE,ALEX",1
12:16,,,,,"MISS LAYUP by SULLIVAN,CONOR",,,"MISS LAYUP by SULLIVAN,CONOR",1
12:16,"BLOCK  by HOLLAND,JASON",,,,,,,"BLOCK  by HOLLAND,JASON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:14,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
12:14,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
12:14,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
12:14,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
12:14,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
12:14,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
12:14,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:14,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
12:14,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
12:14,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
11:58,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
11:44,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",13,,16 (+3),,BSC 13-16 (-3),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
11:22,,,,,"TURNOVER  by TOMAH,BRANDON",,,"TURNOVER  by TOMAH,BRANDON",1
11:11,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
11:09,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
11:09,,,,,"SUB IN by PAGENTINE,CHRIS",,,"SUB IN by PAGENTINE,CHRIS",1
11:09,,,,,"SUB OUT by CUSHMAN,ETHAN",,,"SUB OUT by CUSHMAN,ETHAN",1
10:46,,,,,"MISS 3PTR by PAGENTINE,CHRIS",,,"MISS 3PTR by PAGENTINE,CHRIS",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
10:40,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
10:11,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
10:11,,13,,17 (+4),"GOOD FT by ALEXANDER,BRIAN",SMMB 13-17 (-4),,"GOOD FT by ALEXANDER,BRIAN",1
10:11,,13,,18 (+5),"GOOD FT by ALEXANDER,BRIAN",SMMB 13-18 (-5),,"GOOD FT by ALEXANDER,BRIAN",1
09:57,,,,,"FOUL  by ALEXANDER,BRIAN",,,"FOUL  by ALEXANDER,BRIAN",1
09:57,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
09:57,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
09:47,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by KEGARISE,KEVIN",,,,,,,"REBOUND OFF by KEGARISE,KEVIN",1
09:41,,,,,"FOUL  by ALEXANDER,BRIAN",,,"FOUL  by ALEXANDER,BRIAN",1
09:39,"GOOD LAYUP by WHITE,BLAISE(in the paint)",15,,18 (+3),,BSC 15-18 (-3),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
--,"ASSIST  by LEE,CALEB",,,,,,,"ASSIST  by LEE,CALEB",1
09:20,,,,,"MISS JUMPER by JACKSON,JEREMY",,,"MISS JUMPER by JACKSON,JEREMY",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
09:08,,,,,"FOUL  by JACKSON,JEREMY",,,"FOUL  by JACKSON,JEREMY",1
09:08,"GOOD FT by RICHARDS,ZAC",16,,18 (+2),,BSC 16-18 (-2),,"GOOD FT by RICHARDS,ZAC",1
09:08,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by JACKSON,JEREMY",,,"REBOUND DEF by JACKSON,JEREMY",1
09:08,,,,,"SUB IN by KEE,ALEX",,,"SUB IN by KEE,ALEX",1
09:08,,,,,"SUB OUT by ALEXANDER,BRIAN",,,"SUB OUT by ALEXANDER,BRIAN",1
09:00,,,,,"TURNOVER  by TOMAH,BRANDON",,,"TURNOVER  by TOMAH,BRANDON",1
08:59,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
08:55,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",1
--,,,,,"REBOUND DEF by JACKSON,JEREMY",,,"REBOUND DEF by JACKSON,JEREMY",1
08:37,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
08:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:31,,16,,21 (+5),"GOOD 3PTR by PAGENTINE,CHRIS",SMMB 16-21 (-5),,"GOOD 3PTR by PAGENTINE,CHRIS",1
08:13,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:03,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by JACKSON,JEREMY",,,"REBOUND DEF by JACKSON,JEREMY",1
07:45,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
07:45,,16,,22 (+6),"GOOD FT by JACKSON,JEREMY",SMMB 16-22 (-6),,"GOOD FT by JACKSON,JEREMY",1
07:45,,16,,23 (+7),"GOOD FT by JACKSON,JEREMY",SMMB 16-23 (-7),,"GOOD FT by JACKSON,JEREMY",1
07:45,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
07:45,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
07:45,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
07:45,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
07:22,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,,,,,"REBOUND DEF by SULLIVAN,CONOR",,,"REBOUND DEF by SULLIVAN,CONOR",1
07:21,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
07:21,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
07:21,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
07:21,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
07:21,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
07:14,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
07:14,,16,,24 (+8),"GOOD FT by KEE,ALEX",SMMB 16-24 (-8),,"GOOD FT by KEE,ALEX",1
07:14,,16,,25 (+9),"GOOD FT by KEE,ALEX",SMMB 16-25 (-9),,"GOOD FT by KEE,ALEX",1
07:14,,,,,"SUB IN by ROBERTS,JOHN",,,"SUB IN by ROBERTS,JOHN",1
07:14,,,,,"SUB OUT by JACKSON,JEREMY",,,"SUB OUT by JACKSON,JEREMY",1
06:58,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",18,,25 (+7),,BSC 18-25 (-7),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,"ASSIST  by MURPHY,NICK",,,,,,,"ASSIST  by MURPHY,NICK",1
06:39,,,,,"MISS LAYUP by SULLIVAN,CONOR",,,"MISS LAYUP by SULLIVAN,CONOR",1
06:39,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by SULLIVAN,CONOR",,,"REBOUND OFF by SULLIVAN,CONOR",1
06:24,,,,,"TURNOVER  by KEE,ALEX",,,"TURNOVER  by KEE,ALEX",1
06:20,"STEAL  by MURPHY,NICK",,,,,,,"STEAL  by MURPHY,NICK",1
06:18,"MISS LAYUP by MURPHY,NICK",,,,,,,"MISS LAYUP by MURPHY,NICK",1
06:11,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",1
06:08,,,,,"STEAL  by TOMAH,BRANDON",,,"STEAL  by TOMAH,BRANDON",1
06:07,,,,,"FOUL  by SULLIVAN,CONOR",,,"FOUL  by SULLIVAN,CONOR",1
06:07,,,,,"TURNOVER  by SULLIVAN,CONOR",,,"TURNOVER  by SULLIVAN,CONOR",1
05:42,,,,,"FOUL  by PAGENTINE,CHRIS",,,"FOUL  by PAGENTINE,CHRIS",1
05:42,"GOOD FT by SCHAMP,GRIFFIN",19,,25 (+6),,BSC 19-25 (-6),,"GOOD FT by SCHAMP,GRIFFIN",1
05:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
05:42,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by SULLIVAN,CONOR",,,"REBOUND DEF by SULLIVAN,CONOR",1
05:42,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
05:42,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:42,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
05:42,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
05:42,,,,,"SUB IN by JACKSON,JEREMY",,,"SUB IN by JACKSON,JEREMY",1
05:42,,,,,"SUB OUT by ROBERTS,JOHN",,,"SUB OUT by ROBERTS,JOHN",1
05:11,,,,,"MISS JUMPER by TOMAH,BRANDON",,,"MISS JUMPER by TOMAH,BRANDON",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
05:01,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by SULLIVAN,CONOR",,,"REBOUND DEF by SULLIVAN,CONOR",1
04:50,,,,,"MISS JUMPER by SULLIVAN,CONOR",,,"MISS JUMPER by SULLIVAN,CONOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:48,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
04:48,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
04:32,"GOOD JUMPER by KEGARISE,KEVIN",21,,25 (+4),,BSC 21-25 (-4),,"GOOD JUMPER by KEGARISE,KEVIN",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
04:23,,,,,"TURNOVER  by TOMAH,BRANDON",,,"TURNOVER  by TOMAH,BRANDON",1
04:08,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by SULLIVAN,CONOR",,,"REBOUND DEF by SULLIVAN,CONOR",1
04:01,,,,,"TURNOVER  by SULLIVAN,CONOR",,,"TURNOVER  by SULLIVAN,CONOR",1
04:00,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
03:49,"GOOD LAYUP by LEE,CALEB(in the paint)",23,,25 (+2),,BSC 23-25 (-2),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
03:37,,23,,28 (+5),"GOOD 3PTR by PAGENTINE,CHRIS",SMMB 23-28 (-5),,"GOOD 3PTR by PAGENTINE,CHRIS",1
--,,,,,"ASSIST  by SULLIVAN,CONOR",,,"ASSIST  by SULLIVAN,CONOR",1
03:24,,,,,"FOUL  by TOMAH,BRANDON",,,"FOUL  by TOMAH,BRANDON",1
03:24,"GOOD FT by SCHAMP,GRIFFIN",24,,28 (+4),,BSC 24-28 (-4),,"GOOD FT by SCHAMP,GRIFFIN",1
03:24,"GOOD FT by SCHAMP,GRIFFIN",25,,28 (+3),,BSC 25-28 (-3),,"GOOD FT by SCHAMP,GRIFFIN",1
03:24,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:24,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
03:24,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
03:24,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
03:24,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
03:24,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:24,,,,,"SUB IN by SEWALL,JOHN",,,"SUB IN by SEWALL,JOHN",1
03:24,,,,,"SUB OUT by PAGENTINE,CHRIS",,,"SUB OUT by PAGENTINE,CHRIS",1
03:00,,,,,"MISS JUMPER by JACKSON,JEREMY",,,"MISS JUMPER by JACKSON,JEREMY",1
03:00,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
02:52,"GOOD 3PTR by JONUS,JASEN",28,,28,,BSC 28-28 (0),,"GOOD 3PTR by JONUS,JASEN",1
02:10,,,,,"MISS JUMPER by KEE,ALEX",,,"MISS JUMPER by KEE,ALEX",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
01:59,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
01:40,,,,,"MISS LAYUP by SULLIVAN,CONOR",,,"MISS LAYUP by SULLIVAN,CONOR",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
01:34,"GOOD 3PTR by KEGARISE,KEVIN",31 (+3),,28,,BSC 31-28 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
00:56,,,,,"MISS 3PTR by SEWALL,JOHN",,,"MISS 3PTR by SEWALL,JOHN",1
--,,,,,"REBOUND OFF by SULLIVAN,CONOR",,,"REBOUND OFF by SULLIVAN,CONOR",1
00:53,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
00:53,,,,,"MISS FT by SULLIVAN,CONOR",,,"MISS FT by SULLIVAN,CONOR",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
00:48,"GOOD LAYUP by JONUS,JASEN(fastbreak)(in the paint)",33 (+5),,28,,BSC 33-28 (+5),,"GOOD LAYUP by JONUS,JASEN(fastbreak)(in the paint)",1
00:32,,,,,"SUB IN by CUSHMAN,ETHAN",,,"SUB IN by CUSHMAN,ETHAN",1
00:32,,,,,"SUB IN by PAGENTINE,CHRIS",,,"SUB IN by PAGENTINE,CHRIS",1
00:32,,,,,"SUB OUT by SULLIVAN,CONOR",,,"SUB OUT by SULLIVAN,CONOR",1
00:32,,,,,"SUB OUT by SEWALL,JOHN",,,"SUB OUT by SEWALL,JOHN",1
00:31,,,,,"MISS 3PTR by PAGENTINE,CHRIS",,,"MISS 3PTR by PAGENTINE,CHRIS",1
--,,,,,"REBOUND OFF by JACKSON,JEREMY",,,"REBOUND OFF by JACKSON,JEREMY",1
00:27,,33 (+3),,30,"GOOD LAYUP by PAGENTINE,CHRIS(in the paint)",SMMB 33-30 (+3),,"GOOD LAYUP by PAGENTINE,CHRIS(in the paint)",1
--,,,,,"ASSIST  by JACKSON,JEREMY",,,"ASSIST  by JACKSON,JEREMY",1
00:05,,,,,"FOUL  by CUSHMAN,ETHAN",,,"FOUL  by CUSHMAN,ETHAN",1
00:05,"GOOD FT by SCHAMP,GRIFFIN",34 (+4),,30,,BSC 34-30 (+4),,"GOOD FT by SCHAMP,GRIFFIN",1
00:05,"GOOD FT by SCHAMP,GRIFFIN",35 (+5),,30,,BSC 35-30 (+5),,"GOOD FT by SCHAMP,GRIFFIN",1
00:00,,,,,"MISS 3PTR by TOMAH,BRANDON",,,"MISS 3PTR by TOMAH,BRANDON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:30,,,,,"MISS LAYUP by KEE,ALEX",,,"MISS LAYUP by KEE,ALEX",2
19:30,"BLOCK  by WHITE,BLAISE",,,,,,,"BLOCK  by WHITE,BLAISE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:27,,,,,"MISS LAYUP by PAGENTINE,CHRIS",,,"MISS LAYUP by PAGENTINE,CHRIS",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
19:20,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
19:20,,,,,"BLOCK  by TOMAH,BRANDON",,,"BLOCK  by TOMAH,BRANDON",2
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",2
19:15,,,,,"FOUL  by SULLIVAN,CONOR",,,"FOUL  by SULLIVAN,CONOR",2
19:15,"GOOD FT by JONUS,JASEN",36 (+6),,30,,BSC 36-30 (+6),,"GOOD FT by JONUS,JASEN",2
19:15,"GOOD FT by JONUS,JASEN",37 (+7),,30,,BSC 37-30 (+7),,"GOOD FT by JONUS,JASEN",2
18:57,,37 (+4),,33,"GOOD 3PTR by KEE,ALEX",SMMB 37-33 (+4),,"GOOD 3PTR by KEE,ALEX",2
18:48,,,,,"FOUL  by JACKSON,JEREMY",,,"FOUL  by JACKSON,JEREMY",2
18:48,"GOOD FT by WHITE,BLAISE",38 (+5),,33,,BSC 38-33 (+5),,"GOOD FT by WHITE,BLAISE",2
18:48,"GOOD FT by WHITE,BLAISE",39 (+6),,33,,BSC 39-33 (+6),,"GOOD FT by WHITE,BLAISE",2
18:34,,,,,"TURNOVER  by KEE,ALEX",,,"TURNOVER  by KEE,ALEX",2
18:31,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",2
18:26,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
