Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:49,,0,,2 (+2),"GOOD JUMPER by RICHARDS,ZAC(in the paint)",BSC 0-2 (+2),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",1
19:32,"MISS JUMPER by SMOAK,HUNTER",,,,,,,"MISS JUMPER by SMOAK,HUNTER",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:17,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by SCHULTE,MICHAEL",,,,,,,"REBOUND DEF by SCHULTE,MICHAEL",1
19:09,"TURNOVER  by SCHULTE,MICHAEL",,,,,,,"TURNOVER  by SCHULTE,MICHAEL",1
19:05,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",1
18:52,"SUB IN by MARSH,CODY",,,,,,,"SUB IN by MARSH,CODY",1
18:52,"SUB OUT by ALMULLA,NASSER",,,,,,,"SUB OUT by ALMULLA,NASSER",1
18:39,,0,,5 (+5),"GOOD 3PTR by JONUS,JASEN",BSC 0-5 (+5),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
18:16,"TURNOVER  by SCHULTE,MICHAEL",,,,,,,"TURNOVER  by SCHULTE,MICHAEL",1
18:14,,,,,"STEAL  by JONUS,JASEN",,,"STEAL  by JONUS,JASEN",1
18:03,,0,,7 (+7),"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 0-7 (+7),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
17:44,"MISS LAYUP by WHALEN,MAC",,,,,,,"MISS LAYUP by WHALEN,MAC",1
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",1
17:43,,,,,"FOUL  by KEGARISE,KEVIN",,,"FOUL  by KEGARISE,KEVIN",1
17:43,"GOOD FT by GRAHAM,LAKE",1,,7 (+6),,BCM 1-7 (+6),,"GOOD FT by GRAHAM,LAKE",1
17:43,"GOOD FT by GRAHAM,LAKE",2,,7 (+5),,BCM 2-7 (+5),,"GOOD FT by GRAHAM,LAKE",1
17:31,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by JONUS,JASEN",,,"REBOUND OFF by JONUS,JASEN",1
17:26,,,,,"MISS JUMPER by JONUS,JASEN",,,"MISS JUMPER by JONUS,JASEN",1
--,"REBOUND DEF by WHALEN,MAC",,,,,,,"REBOUND DEF by WHALEN,MAC",1
17:20,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
17:15,"MISS JUMPER by MARSH,CODY",,,,,,,"MISS JUMPER by MARSH,CODY",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
17:06,,2,,10 (+8),"GOOD 3PTR by KEGARISE,KEVIN",BSC 2-10 (+8),,"GOOD 3PTR by KEGARISE,KEVIN",1
16:54,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
