Time Remaining,UDMB,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:51,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
19:32,"MISS JUMPER by MALONE,KYM",,,,,,,"MISS JUMPER by MALONE,KYM",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:08,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
19:08,"BLOCK  by WYATT,AARON",,,,,,,"BLOCK  by WYATT,AARON",1
--,"REBOUND DEF by WYATT,AARON",,,,,,,"REBOUND DEF by WYATT,AARON",1
18:33,"MISS JUMPER by ASSINESI,DREW",,,,,,,"MISS JUMPER by ASSINESI,DREW",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
18:18,,0,,3 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 0-3 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
18:07,"TURNOVER  by STEPHENS,JOE",,,,,,,"TURNOVER  by STEPHENS,JOE",1
18:05,,0,,6 (+6),"GOOD 3PTR by WHITE,BLAISE",BSC 0-6 (+6),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
17:46,"GOOD 3PTR by STEPHENS,JOE",3,,6 (+3),,UDMB 3-6 (+3),,"GOOD 3PTR by STEPHENS,JOE",1
--,"ASSIST  by ASSINESI,DREW",,,,,,,"ASSIST  by ASSINESI,DREW",1
17:27,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
17:21,,3,,9 (+6),"GOOD 3PTR by JONUS,JASEN",BSC 3-9 (+6),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
16:57,"MISS JUMPER by BRUFFEY,TANNER",,,,,,,"MISS JUMPER by BRUFFEY,TANNER",1
16:57,,,,,"BLOCK  by RICHARDS,ZAC",,,"BLOCK  by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
16:50,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",1
