Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
00:01,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
00:01,,,,,"MISS FT by MARTIN,AMMON",,,"MISS FT by MARTIN,AMMON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:01,,34 (+7),,27,"GOOD FT by MARTIN,AMMON",HC 34-27 (+7),,"GOOD FT by MARTIN,AMMON",1
19:53,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
19:49,"GOOD 3PTR by JONUS,JASEN",37 (+10),,27,,BSC-M 37-27 (+10),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
19:38,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
19:31,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
19:24,,,,,"MISS JUMPER by HEATHSCOTT,NICK",,,"MISS JUMPER by HEATHSCOTT,NICK",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
19:17,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
19:15,,,,,"TURNOVER  by MCCUBBIN,NATHAN",,,"TURNOVER  by MCCUBBIN,NATHAN",2
19:14,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
19:13,"GOOD LAYUP by WHITE,BLAISE(fastbreak)(in the paint)",39 (+12),,27,,BSC-M 39-27 (+12),,"GOOD LAYUP by WHITE,BLAISE(fastbreak)(in the paint)",2
19:02,,,,,"SUB IN by RILEY,JAREN",,,"SUB IN by RILEY,JAREN",2
19:02,,,,,"SUB OUT by MCCUBBIN,NATHAN",,,"SUB OUT by MCCUBBIN,NATHAN",2
18:59,,,,,"TURNOVER  by MARTIN,AMMON",,,"TURNOVER  by MARTIN,AMMON",2
18:58,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
18:57,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",2
18:57,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
18:57,"GOOD FT by HENRY,COLIN",40 (+13),,27,,BSC-M 40-27 (+13),,"GOOD FT by HENRY,COLIN",2
18:57,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",2
18:42,,40 (+11),,29,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",HC 40-29 (+11),,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
18:15,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",2
18:06,,,,,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
17:50,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
17:50,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
17:50,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
17:39,,40 (+8),,32,"GOOD 3PTR by RILEY,JAREN",HC 40-32 (+8),,"GOOD 3PTR by RILEY,JAREN",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
17:26,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
17:24,,,,,"TURNOVER  by MARTIN,AMMON",,,"TURNOVER  by MARTIN,AMMON",2
17:24,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
17:18,"GOOD JUMPER by KEGARISE,KEVIN",42 (+10),,32,,BSC-M 42-32 (+10),,"GOOD JUMPER by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
17:08,,42 (+7),,35,"GOOD 3PTR by GOODMAN,CHRIS",HC 42-35 (+7),,"GOOD 3PTR by GOODMAN,CHRIS",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
16:51,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
16:46,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
16:37,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
16:28,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",2
16:19,,42 (+5),,37,"GOOD LAYUP by PRIMM,COLTON(fastbreak)(in the paint)",HC 42-37 (+5),,"GOOD LAYUP by PRIMM,COLTON(fastbreak)(in the paint)",2
16:02,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",2
15:59,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
15:59,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
15:59,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
15:59,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
15:59,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
15:59,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:59,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
15:59,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
15:44,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
15:44,,,,,"MISS FT by MARTIN,AMMON",,,"MISS FT by MARTIN,AMMON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:44,,42 (+4),,38,"GOOD FT by MARTIN,AMMON",HC 42-38 (+4),,"GOOD FT by MARTIN,AMMON",2
15:33,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",44 (+6),,38,,BSC-M 44-38 (+6),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
15:18,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
15:03,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
14:51,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",2
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",2
14:47,,,,,"MISS JUMPER by PRIMM,COLTON",,,"MISS JUMPER by PRIMM,COLTON",2
--,,,,,"REBOUND OFF by RILEY,JAREN",,,"REBOUND OFF by RILEY,JAREN",2
14:43,,44 (+4),,40,"GOOD TIPIN by RILEY,JAREN(in the paint)",HC 44-40 (+4),,"GOOD TIPIN by RILEY,JAREN(in the paint)",2
14:38,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
14:38,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
14:38,,,,,"SUB IN by SHERIDAN,DAYTON",,,"SUB IN by SHERIDAN,DAYTON",2
14:38,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",2
14:32,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",2
14:17,,44 (+2),,42,"GOOD LAYUP by SHERIDAN,DAYTON(in the paint)",HC 44-42 (+2),,"GOOD LAYUP by SHERIDAN,DAYTON(in the paint)",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
13:54,"GOOD JUMPER by FREEMAN,SCHYLAR(in the paint)",46 (+4),,42,,BSC-M 46-42 (+4),,"GOOD JUMPER by FREEMAN,SCHYLAR(in the paint)",2
13:36,,,,,"SUB IN by MCCUBBIN,NATHAN",,,"SUB IN by MCCUBBIN,NATHAN",2
13:36,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
13:36,,,,,"SUB OUT by GOODMAN,CHRIS",,,"SUB OUT by GOODMAN,CHRIS",2
13:36,,,,,"SUB OUT by MARTIN,AMMON",,,"SUB OUT by MARTIN,AMMON",2
13:22,,,,,"MISS JUMPER by HEATHSCOTT,NICK",,,"MISS JUMPER by HEATHSCOTT,NICK",2
--,,,,,"REBOUND OFF by SHERIDAN,DAYTON",,,"REBOUND OFF by SHERIDAN,DAYTON",2
13:17,,,,,"MISS JUMPER by SHERIDAN,DAYTON",,,"MISS JUMPER by SHERIDAN,DAYTON",2
--,,,,,"REBOUND OFF by HEATHSCOTT,NICK",,,"REBOUND OFF by HEATHSCOTT,NICK",2
13:15,,,,,"TURNOVER  by MCCUBBIN,NATHAN",,,"TURNOVER  by MCCUBBIN,NATHAN",2
13:14,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
13:01,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",2
13:00,,,,,"STEAL  by MCCUBBIN,NATHAN",,,"STEAL  by MCCUBBIN,NATHAN",2
12:57,,,,,"TURNOVER  by MCCUBBIN,NATHAN",,,"TURNOVER  by MCCUBBIN,NATHAN",2
12:56,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
12:52,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",2
12:49,"GOOD LAYUP by FREEMAN,SCHYLAR(fastbreak)(in the paint)",48 (+6),,42,,BSC-M 48-42 (+6),,"GOOD LAYUP by FREEMAN,SCHYLAR(fastbreak)(in the paint)",2
12:16,,,,,"MISS JUMPER by SHERIDAN,DAYTON",,,"MISS JUMPER by SHERIDAN,DAYTON",2
--,,,,,"REBOUND OFF by HEATHSCOTT,NICK",,,"REBOUND OFF by HEATHSCOTT,NICK",2
12:11,,48 (+4),,44,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",HC 48-44 (+4),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",2
11:48,,,,,"FOUL  by MCCUBBIN,NATHAN",,,"FOUL  by MCCUBBIN,NATHAN",2
11:48,"GOOD FT by HOLLAND,JASON",49 (+5),,44,,BSC-M 49-44 (+5),,"GOOD FT by HOLLAND,JASON",2
11:48,"GOOD FT by HOLLAND,JASON",50 (+6),,44,,BSC-M 50-44 (+6),,"GOOD FT by HOLLAND,JASON",2
11:48,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
11:48,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
11:48,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
11:48,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
11:48,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
11:48,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
11:48,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
11:48,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
11:48,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
11:48,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
11:48,,,,,"SUB IN by MARTIN,AMMON",,,"SUB IN by MARTIN,AMMON",2
11:48,,,,,"SUB IN by GRAHAM,JOSH",,,"SUB IN by GRAHAM,JOSH",2
11:48,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",2
11:48,,,,,"SUB OUT by MCCUBBIN,NATHAN",,,"SUB OUT by MCCUBBIN,NATHAN",2
11:48,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
11:48,,,,,"SUB OUT by HEATHSCOTT,NICK",,,"SUB OUT by HEATHSCOTT,NICK",2
11:25,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
11:20,,,,,"MISS JUMPER by SHERIDAN,DAYTON",,,"MISS JUMPER by SHERIDAN,DAYTON",2
--,,,,,"REBOUND OFF by GOODMAN,CHRIS",,,"REBOUND OFF by GOODMAN,CHRIS",2
11:14,,,,,"MISS LAYUP by GOODMAN,CHRIS",,,"MISS LAYUP by GOODMAN,CHRIS",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
11:00,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",52 (+8),,44,,BSC-M 52-44 (+8),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
10:40,,,,,"MISS 3PTR by MARTIN,AMMON",,,"MISS 3PTR by MARTIN,AMMON",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
10:31,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",2
10:31,,,,,"BLOCK  by MARTIN,AMMON",,,"BLOCK  by MARTIN,AMMON",2
--,,,,,"REBOUND DEF by GRAHAM,JOSH",,,"REBOUND DEF by GRAHAM,JOSH",2
10:20,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
09:58,,,,,"FOUL  by SHERIDAN,DAYTON",,,"FOUL  by SHERIDAN,DAYTON",2
09:58,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:58,"GOOD FT by RICHARDS,ZAC",53 (+9),,44,,BSC-M 53-44 (+9),,"GOOD FT by RICHARDS,ZAC",2
09:58,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",2
09:58,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",2
09:39,,,,,"MISS JUMPER by GOODMAN,CHRIS",,,"MISS JUMPER by GOODMAN,CHRIS",2
09:39,"BLOCK  by WHITE,BLAISE",,,,,,,"BLOCK  by WHITE,BLAISE",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
09:21,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
09:21,"GOOD FT by KEGARISE,KEVIN",54 (+10),,44,,BSC-M 54-44 (+10),,"GOOD FT by KEGARISE,KEVIN",2
09:21,"GOOD FT by KEGARISE,KEVIN",55 (+11),,44,,BSC-M 55-44 (+11),,"GOOD FT by KEGARISE,KEVIN",2
09:14,,,,,"TURNOVER  by GRAHAM,JOSH",,,"TURNOVER  by GRAHAM,JOSH",2
09:13,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",2
09:10,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
09:10,,,,,"BLOCK  by MARTIN,AMMON",,,"BLOCK  by MARTIN,AMMON",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
09:06,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
09:05,,,,,"FOUL  by GRAHAM,JOSH",,,"FOUL  by GRAHAM,JOSH",2
09:05,,,,,"SUB IN by HEATHSCOTT,NICK",,,"SUB IN by HEATHSCOTT,NICK",2
09:05,,,,,"SUB OUT by GRAHAM,JOSH",,,"SUB OUT by GRAHAM,JOSH",2
08:50,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",2
08:39,,55 (+8),,47,"GOOD 3PTR by GOODMAN,CHRIS",HC 55-47 (+8),,"GOOD 3PTR by GOODMAN,CHRIS",2
08:26,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",57 (+10),,47,,BSC-M 57-47 (+10),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
08:08,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
08:08,,,,,"MISS FT by PRIMM,COLTON",,,"MISS FT by PRIMM,COLTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:08,,,,,"MISS FT by PRIMM,COLTON",,,"MISS FT by PRIMM,COLTON",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
08:08,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
08:08,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
07:47,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",59 (+12),,47,,BSC-M 59-47 (+12),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",2
07:47,,,,,"FOUL  by HEATHSCOTT,NICK",,,"FOUL  by HEATHSCOTT,NICK",2
07:47,"GOOD FT by SCHAMP,GRIFFIN",60 (+13),,47,,BSC-M 60-47 (+13),,"GOOD FT by SCHAMP,GRIFFIN",2
07:44,,60 (+11),,49,"GOOD LAYUP by MARTIN,AMMON(fastbreak)(in the paint)",HC 60-49 (+11),,"GOOD LAYUP by MARTIN,AMMON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HEATHSCOTT,NICK",,,"ASSIST  by HEATHSCOTT,NICK",2
07:28,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
07:17,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
07:17,,60 (+10),,50,"GOOD FT by GOODMAN,CHRIS",HC 60-50 (+10),,"GOOD FT by GOODMAN,CHRIS",2
07:17,,60 (+9),,51,"GOOD FT by GOODMAN,CHRIS",HC 60-51 (+9),,"GOOD FT by GOODMAN,CHRIS",2
07:17,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
07:17,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
07:17,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
07:17,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
07:17,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
07:17,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
07:17,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
07:17,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
07:00,"GOOD DUNK by LEE,CALEB(in the paint)",62 (+11),,51,,BSC-M 62-51 (+11),,"GOOD DUNK by LEE,CALEB(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
06:46,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
06:46,,62 (+10),,52,"GOOD FT by HEATHSCOTT,NICK",HC 62-52 (+10),,"GOOD FT by HEATHSCOTT,NICK",2
06:46,,62 (+9),,53,"GOOD FT by HEATHSCOTT,NICK",HC 62-53 (+9),,"GOOD FT by HEATHSCOTT,NICK",2
06:32,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
06:32,"GOOD FT by MURPHY,NICK",63 (+10),,53,,BSC-M 63-53 (+10),,"GOOD FT by MURPHY,NICK",2
06:32,"GOOD FT by MURPHY,NICK",64 (+11),,53,,BSC-M 64-53 (+11),,"GOOD FT by MURPHY,NICK",2
06:20,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",2
06:20,"FOUL TECH by MURPHY,NICK",,,,,,,"FOUL TECH by MURPHY,NICK",2
06:20,,64 (+10),,54,"GOOD FT by RILEY,JAREN",HC 64-54 (+10),,"GOOD FT by RILEY,JAREN",2
06:20,,64 (+9),,55,"GOOD FT by RILEY,JAREN",HC 64-55 (+9),,"GOOD FT by RILEY,JAREN",2
06:03,,64 (+7),,57,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",HC 64-57 (+7),,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
06:03,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
06:03,,64 (+6),,58,"GOOD FT by HEATHSCOTT,NICK",HC 64-58 (+6),,"GOOD FT by HEATHSCOTT,NICK",2
05:41,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",66 (+8),,58,,BSC-M 66-58 (+8),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",2
05:41,,,,,"FOUL  by HEATHSCOTT,NICK",,,"FOUL  by HEATHSCOTT,NICK",2
05:41,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
05:33,,,,,"MISS JUMPER by GOODMAN,CHRIS",,,"MISS JUMPER by GOODMAN,CHRIS",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
05:05,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
05:05,"GOOD FT by THOMAS,LARRY",67 (+9),,58,,BSC-M 67-58 (+9),,"GOOD FT by THOMAS,LARRY",2
05:05,"GOOD FT by THOMAS,LARRY",68 (+10),,58,,BSC-M 68-58 (+10),,"GOOD FT by THOMAS,LARRY",2
05:05,"GOOD FT by THOMAS,LARRY",69 (+11),,58,,BSC-M 69-58 (+11),,"GOOD FT by THOMAS,LARRY",2
05:05,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
05:05,,,,,"SUB OUT by GOODMAN,CHRIS",,,"SUB OUT by GOODMAN,CHRIS",2
05:04,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",2
05:03,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
05:03,,,,,"FOUL  by HEATHSCOTT,NICK",,,"FOUL  by HEATHSCOTT,NICK",2
05:03,"GOOD FT by HOLLAND,JASON",70 (+12),,58,,BSC-M 70-58 (+12),,"GOOD FT by HOLLAND,JASON",2
05:03,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
05:03,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
05:03,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
05:03,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",2
05:03,,,,,"SUB OUT by HEATHSCOTT,NICK",,,"SUB OUT by HEATHSCOTT,NICK",2
04:41,,,,,"TURNOVER  by RILEY,JAREN",,,"TURNOVER  by RILEY,JAREN",2
04:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:24,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
04:24,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
04:24,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
04:24,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
04:24,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
04:24,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
04:24,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
04:24,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
04:24,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
04:24,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
04:08,,,,,"TURNOVER  by GOODMAN,CHRIS",,,"TURNOVER  by GOODMAN,CHRIS",2
04:07,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
03:36,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
03:31,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
03:29,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
