Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by SHERIDAN,DAYTON",,,"REBOUND OFF by SHERIDAN,DAYTON",1
14:57,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
14:57,,8 (+2),,6,"GOOD FT by SHERIDAN,DAYTON",HC 8-6 (+2),,"GOOD FT by SHERIDAN,DAYTON",1
14:57,,,,,"MISS FT by SHERIDAN,DAYTON",,,"MISS FT by SHERIDAN,DAYTON",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
14:57,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:57,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
14:57,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
14:57,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
14:57,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:57,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
14:57,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
14:57,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:57,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
14:57,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:43,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",1
--,,,,,"REBOUND DEF by SHERIDAN,DAYTON",,,"REBOUND DEF by SHERIDAN,DAYTON",1
14:33,,,,,"MISS 3PTR by MARTIN,AMMON",,,"MISS 3PTR by MARTIN,AMMON",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
14:26,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
14:26,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
14:25,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
14:25,,,,,"SUB OUT by MARTIN,AMMON",,,"SUB OUT by MARTIN,AMMON",1
14:07,,,,,"TURNOVER  by GRAHAM,JOSH",,,"TURNOVER  by GRAHAM,JOSH",1
13:45,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",10 (+4),,6,,BSC-M 10-6 (+4),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
13:35,,,,,"TURNOVER  by SHERIDAN,DAYTON",,,"TURNOVER  by SHERIDAN,DAYTON",1
13:35,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
13:35,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",1
13:19,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",12 (+6),,6,,BSC-M 12-6 (+6),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
12:58,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",1
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",1
12:53,,,,,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",1
--,,,,,"REBOUND OFF by GRAHAM,JOSH",,,"REBOUND OFF by GRAHAM,JOSH",1
12:49,,12 (+4),,8,"GOOD LAYUP by GRAHAM,JOSH(in the paint)",HC 12-8 (+4),,"GOOD LAYUP by GRAHAM,JOSH(in the paint)",1
