Time Remaining,DALLAS,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:44,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
19:38,,0,,3 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 0-3 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
19:26,"GOOD 3PTR by HIGHTOWER,BRAETON",3,,3,,DALLAS 3-3 (0),,"GOOD 3PTR by HIGHTOWER,BRAETON",1
19:16,,3,,6 (+3),"GOOD 3PTR by JONUS,JASEN",BSC 3-6 (+3),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
19:02,"MISS 3PTR by HIGHTOWER,BRAETON",,,,,,,"MISS 3PTR by HIGHTOWER,BRAETON",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
18:43,,3,,9 (+6),"GOOD 3PTR by JONUS,JASEN",BSC 3-9 (+6),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
18:22,"GOOD JUMPER by HIGHTOWER,BRAETON",5,,9 (+4),,DALLAS 5-9 (+4),,"GOOD JUMPER by HIGHTOWER,BRAETON",1
18:00,,5,,11 (+6),"GOOD JUMPER by HENRY,COLIN",BSC 5-11 (+6),,"GOOD JUMPER by HENRY,COLIN",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
17:50,"TURNOVER  by STEPHENS,JOE",,,,,,,"TURNOVER  by STEPHENS,JOE",1
17:47,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",1
17:42,,5,,13 (+8),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 5-13 (+8),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
17:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:35,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
17:33,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
17:26,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by WYATT,AARON",,,,,,,"REBOUND DEF by WYATT,AARON",1
17:24,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
17:16,"GOOD 3PTR by BRUFFEY,TANNER",8,,13 (+5),,DALLAS 8-13 (+5),,"GOOD 3PTR by BRUFFEY,TANNER",1
--,"ASSIST  by WYATT,AARON",,,,,,,"ASSIST  by WYATT,AARON",1
17:02,,,,,"TURNOVER  by KEGARISE,KEVIN",,,"TURNOVER  by KEGARISE,KEVIN",1
17:01,"STEAL  by WYATT,AARON",,,,,,,"STEAL  by WYATT,AARON",1
16:56,"MISS 3PTR by HIGHTOWER,BRAETON",,,,,,,"MISS 3PTR by HIGHTOWER,BRAETON",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
16:37,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
16:25,"GOOD JUMPER by WYATT,AARON",10,,13 (+3),,DALLAS 10-13 (+3),,"GOOD JUMPER by WYATT,AARON",1
--,"ASSIST  by HIGHTOWER,BRAETON",,,,,,,"ASSIST  by HIGHTOWER,BRAETON",1
16:09,,10,,15 (+5),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 10-15 (+5),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
16:09,"FOUL  by WYATT,AARON",,,,,,,"FOUL  by WYATT,AARON",1
16:09,,10,,16 (+6),"GOOD FT by RICHARDS,ZAC",BSC 10-16 (+6),,"GOOD FT by RICHARDS,ZAC",1
