Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:39,,0,,3 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 0-3 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
19:15,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
19:15,"GOOD FT by PITTS,ALEC",1,,3 (+2),,OU 1-3 (+2),,"GOOD FT by PITTS,ALEC",1
19:15,"GOOD FT by PITTS,ALEC",2,,3 (+1),,OU 2-3 (+1),,"GOOD FT by PITTS,ALEC",1
18:59,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
18:41,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",4 (+1),,3,,OU 4-3 (-1),,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",1
18:26,,4,,5 (+1),"GOOD JUMPER by RICHARDS,ZAC(in the paint)",BSC 4-5 (+1),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",1
18:15,"MISS LAYUP by PITTS,ALEC",,,,,,,"MISS LAYUP by PITTS,ALEC",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
18:08,,4,,7 (+3),"GOOD LAYUP by JONUS,JASEN(in the paint)",BSC 4-7 (+3),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
18:08,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",1
18:08,,4,,8 (+4),"GOOD FT by JONUS,JASEN",BSC 4-8 (+4),,"GOOD FT by JONUS,JASEN",1
18:06,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",1
18:05,,,,,"STEAL  by JONUS,JASEN",,,"STEAL  by JONUS,JASEN",1
17:59,,4,,10 (+6),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 4-10 (+6),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
17:44,"MISS JUMPER by PURDY,SAM",,,,,,,"MISS JUMPER by PURDY,SAM",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
17:33,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
17:09,"GOOD 3PTR by JOVAAG,BRANDEN",7,,10 (+3),,OU 7-10 (+3),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
16:56,,7,,13 (+6),"GOOD 3PTR by JONUS,JASEN",BSC 7-13 (+6),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
16:40,"GOOD 3PTR by JOVAAG,BRANDEN",10,,13 (+3),,OU 10-13 (+3),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
16:33,,10,,15 (+5),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 10-15 (+5),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
16:20,"GOOD JUMPER by STEIOFF,ANDREW",12,,15 (+3),,OU 12-15 (+3),,"GOOD JUMPER by STEIOFF,ANDREW",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
16:04,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
15:54,"MISS 3PTR by PURDY,SAM",,,,,,,"MISS 3PTR by PURDY,SAM",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
15:40,,12,,18 (+6),"GOOD 3PTR by KEGARISE,KEVIN",BSC 12-18 (+6),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
15:18,"GOOD JUMPER by MOLINET,CHRISTIAN",14,,18 (+4),,OU 14-18 (+4),,"GOOD JUMPER by MOLINET,CHRISTIAN",1
15:16,"TIMEOUT 30SEC by HAMILTON,PRICE",,,,,,,"TIMEOUT 30SEC by HAMILTON,PRICE",1
15:16,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
15:16,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
15:16,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
15:16,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
15:16,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
15:16,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
15:16,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
15:16,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
15:16,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
15:16,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
14:57,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
