Time Remaining,CLK,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:50,,0,,3 (+3),"GOOD 3PTR by JONUS,JASEN",BSC 0-3 (+3),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
19:16,"TURNOVER  by CURLEY,TRAVIS",,,,,,,"TURNOVER  by CURLEY,TRAVIS",1
19:01,,0,,6 (+6),"GOOD 3PTR by JONUS,JASEN",BSC 0-6 (+6),,"GOOD 3PTR by JONUS,JASEN",1
18:51,"TURNOVER  by ESBORN,TUCKER",,,,,,,"TURNOVER  by ESBORN,TUCKER",1
18:50,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",1
18:48,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
18:28,"GOOD 3PTR by BILLINGTON,DREW",3,,6 (+3),,CLK 3-6 (+3),,"GOOD 3PTR by BILLINGTON,DREW",1
17:59,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
17:58,"STEAL  by ESBORN,TUCKER",,,,,,,"STEAL  by ESBORN,TUCKER",1
17:54,"MISS LAYUP by DESAUTELS,TOM",,,,,,,"MISS LAYUP by DESAUTELS,TOM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:53,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",1
17:53,"SUB OUT by ARMSTRONG,MARCUS",,,,,,,"SUB OUT by ARMSTRONG,MARCUS",1
17:53,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
17:52,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
17:52,"GOOD FT by ESBORN,TUCKER",4,,6 (+2),,CLK 4-6 (+2),,"GOOD FT by ESBORN,TUCKER",1
17:52,,4,,8 (+4),"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 4-8 (+4),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
17:52,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
17:00,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",1
17:00,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",1
17:00,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",1
17:00,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",1
16:58,"MISS 3PTR by BILLINGTON,DREW",,,,,,,"MISS 3PTR by BILLINGTON,DREW",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
16:46,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
16:27,,,,,"TURNOVER  by KEGARISE,KEVIN",,,"TURNOVER  by KEGARISE,KEVIN",1
16:27,"STEAL  by BILLINGTON,DREW",,,,,,,"STEAL  by BILLINGTON,DREW",1
16:20,"MISS 3PTR by GUBITOSE,JAKE",,,,,,,"MISS 3PTR by GUBITOSE,JAKE",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
16:02,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by CURLEY,TRAVIS",,,,,,,"REBOUND DEF by CURLEY,TRAVIS",1
15:51,"GOOD LAYUP by BAILEY,DJ(in the paint)",6,,8 (+2),,CLK 6-8 (+2),,"GOOD LAYUP by BAILEY,DJ(in the paint)",1
15:29,,6,,10 (+4),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 6-10 (+4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
15:14,"MISS 3PTR by RENSHAW,MITCH",,,,,,,"MISS 3PTR by RENSHAW,MITCH",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
14:56,"FOUL  by RENSHAW,MITCH",,,,,,,"FOUL  by RENSHAW,MITCH",1
14:56,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:56,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",1
--,"REBOUND DEF by BAILEY,DJ",,,,,,,"REBOUND DEF by BAILEY,DJ",1
14:56,"SUB IN by KARAS,JOHN",,,,,,,"SUB IN by KARAS,JOHN",1
14:56,"SUB IN by RADOVIC,MARKO",,,,,,,"SUB IN by RADOVIC,MARKO",1
14:56,"SUB OUT by CURLEY,TRAVIS",,,,,,,"SUB OUT by CURLEY,TRAVIS",1
14:56,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",1
14:56,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
14:56,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
14:56,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
14:56,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
14:56,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
14:56,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
14:56,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
14:56,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
14:24,"MISS 3PTR by RADOVIC,MARKO",,,,,,,"MISS 3PTR by RADOVIC,MARKO",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
14:17,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by BILLINGTON,DREW",,,,,,,"REBOUND DEF by BILLINGTON,DREW",1
14:14,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
14:14,"SUB IN by ESBORN,TUCKER",,,,,,,"SUB IN by ESBORN,TUCKER",1
14:14,"SUB IN by DESAUTELS,TOM",,,,,,,"SUB IN by DESAUTELS,TOM",1
14:14,"SUB OUT by BAILEY,DJ",,,,,,,"SUB OUT by BAILEY,DJ",1
14:14,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",1
14:14,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
14:14,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
14:05,"SUB IN by CURLEY,TRAVIS",,,,,,,"SUB IN by CURLEY,TRAVIS",1
14:05,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",1
14:05,"SUB OUT by BILLINGTON,DREW",,,,,,,"SUB OUT by BILLINGTON,DREW",1
14:05,"SUB OUT by RADOVIC,MARKO",,,,,,,"SUB OUT by RADOVIC,MARKO",1
13:54,"TURNOVER  by KARAS,JOHN",,,,,,,"TURNOVER  by KARAS,JOHN",1
13:54,"SUB IN by ARMSTRONG,MARCUS",,,,,,,"SUB IN by ARMSTRONG,MARCUS",1
13:54,"SUB OUT by KARAS,JOHN",,,,,,,"SUB OUT by KARAS,JOHN",1
13:35,,6,,12 (+6),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 6-12 (+6),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
13:20,"MISS LAYUP by ARMSTRONG,MARCUS",,,,,,,"MISS LAYUP by ARMSTRONG,MARCUS",1
--,"REBOUND OFF by DESAUTELS,TOM",,,,,,,"REBOUND OFF by DESAUTELS,TOM",1
13:17,"MISS LAYUP by DESAUTELS,TOM",,,,,,,"MISS LAYUP by DESAUTELS,TOM",1
--,"REBOUND OFF by DESAUTELS,TOM",,,,,,,"REBOUND OFF by DESAUTELS,TOM",1
13:16,"GOOD LAYUP by DESAUTELS,TOM(in the paint)",8,,12 (+4),,CLK 8-12 (+4),,"GOOD LAYUP by DESAUTELS,TOM(in the paint)",1
13:13,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
13:13,"GOOD FT by DESAUTELS,TOM",9,,12 (+3),,CLK 9-12 (+3),,"GOOD FT by DESAUTELS,TOM",1
13:00,,9,,14 (+5),"GOOD DUNK by LEE,CALEB(in the paint)",BSC 9-14 (+5),,"GOOD DUNK by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
13:00,"FOUL  by DESAUTELS,TOM",,,,,,,"FOUL  by DESAUTELS,TOM",1
13:00,,9,,15 (+6),"GOOD FT by LEE,CALEB",BSC 9-15 (+6),,"GOOD FT by LEE,CALEB",1
12:57,"GOOD 3PTR by CURLEY,TRAVIS",12,,15 (+3),,CLK 12-15 (+3),,"GOOD 3PTR by CURLEY,TRAVIS",1
--,"ASSIST  by ARMSTRONG,MARCUS",,,,,,,"ASSIST  by ARMSTRONG,MARCUS",1
12:33,"FOUL  by ESBORN,TUCKER",,,,,,,"FOUL  by ESBORN,TUCKER",1
12:29,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
11:59,"TURNOVER  by DESAUTELS,TOM",,,,,,,"TURNOVER  by DESAUTELS,TOM",1
11:59,"FOUL  by DESAUTELS,TOM",,,,,,,"FOUL  by DESAUTELS,TOM",1
11:59,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",1
11:59,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",1
11:40,"FOUL  by ESBORN,TUCKER",,,,,,,"FOUL  by ESBORN,TUCKER",1
11:40,,12,,16 (+4),"GOOD FT by SCHAMP,GRIFFIN",BSC 12-16 (+4),,"GOOD FT by SCHAMP,GRIFFIN",1
11:40,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by RENSHAW,MITCH",,,,,,,"REBOUND DEF by RENSHAW,MITCH",1
11:40,"SUB IN by BILLINGTON,DREW",,,,,,,"SUB IN by BILLINGTON,DREW",1
11:40,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",1
11:40,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",1
11:40,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",1
11:22,"TURNOVER  by BAILEY,DJ",,,,,,,"TURNOVER  by BAILEY,DJ",1
11:19,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
11:17,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
11:17,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
11:17,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
11:17,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
11:05,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
11:05,"GOOD FT by ARMSTRONG,MARCUS",13,,16 (+3),,CLK 13-16 (+3),,"GOOD FT by ARMSTRONG,MARCUS",1
11:05,"MISS FT by ARMSTRONG,MARCUS",,,,,,,"MISS FT by ARMSTRONG,MARCUS",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
10:43,,13,,18 (+5),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 13-18 (+5),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
10:16,"MISS 3PTR by RENSHAW,MITCH",,,,,,,"MISS 3PTR by RENSHAW,MITCH",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
10:08,,13,,20 (+7),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 13-20 (+7),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
09:50,"MISS LAYUP by RENSHAW,MITCH",,,,,,,"MISS LAYUP by RENSHAW,MITCH",1
--,"REBOUND OFF by RENSHAW,MITCH",,,,,,,"REBOUND OFF by RENSHAW,MITCH",1
09:47,"GOOD LAYUP by RENSHAW,MITCH(in the paint)",15,,20 (+5),,CLK 15-20 (+5),,"GOOD LAYUP by RENSHAW,MITCH(in the paint)",1
09:36,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by BAILEY,DJ",,,,,,,"REBOUND DEF by BAILEY,DJ",1
09:12,"GOOD 3PTR by ARMSTRONG,MARCUS",18,,20 (+2),,CLK 18-20 (+2),,"GOOD 3PTR by ARMSTRONG,MARCUS",1
--,"ASSIST  by BAILEY,DJ",,,,,,,"ASSIST  by BAILEY,DJ",1
08:39,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by RENSHAW,MITCH",,,,,,,"REBOUND DEF by RENSHAW,MITCH",1
08:28,"MISS 3PTR by ARMSTRONG,MARCUS",,,,,,,"MISS 3PTR by ARMSTRONG,MARCUS",1
--,"REBOUND OFF by RENSHAW,MITCH",,,,,,,"REBOUND OFF by RENSHAW,MITCH",1
08:23,"GOOD LAYUP by BAILEY,DJ(in the paint)",20,,20,,CLK 20-20 (0),,"GOOD LAYUP by BAILEY,DJ(in the paint)",1
--,"ASSIST  by RENSHAW,MITCH",,,,,,,"ASSIST  by RENSHAW,MITCH",1
08:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:22,"SUB IN by KARAS,JOHN",,,,,,,"SUB IN by KARAS,JOHN",1
08:22,"SUB IN by RADOVIC,MARKO",,,,,,,"SUB IN by RADOVIC,MARKO",1
08:22,"SUB IN by ESBORN,TUCKER",,,,,,,"SUB IN by ESBORN,TUCKER",1
08:22,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",1
08:22,"SUB OUT by BILLINGTON,DREW",,,,,,,"SUB OUT by BILLINGTON,DREW",1
08:22,"SUB OUT by CURLEY,TRAVIS",,,,,,,"SUB OUT by CURLEY,TRAVIS",1
08:22,"SUB OUT by ARMSTRONG,MARCUS",,,,,,,"SUB OUT by ARMSTRONG,MARCUS",1
08:22,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",1
08:22,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
08:22,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
