Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:54,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
19:47,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
19:35,"GOOD 3PTR by JONUS,JASEN",3 (+3),,0,,BSC 3-0 (+3),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
19:26,,3 (+1),,2,"GOOD LAYUP by ALMULLA,NASSER(in the paint)",BCM 3-2 (+1),,"GOOD LAYUP by ALMULLA,NASSER(in the paint)",1
19:26,,,,,"MISS 3PTR by ALMULLA,NASSER",,,"MISS 3PTR by ALMULLA,NASSER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:20,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
18:55,,,,,"MISS JUMPER by MARSH,CODY",,,"MISS JUMPER by MARSH,CODY",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
18:39,,,,,"FOUL  by MARSH,CODY",,,"FOUL  by MARSH,CODY",1
18:27,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
18:25,,,,,"STEAL  by MARSH,CODY",,,"STEAL  by MARSH,CODY",1
17:56,,,,,"MISS JUMPER by GRAHAM,LAKE",,,"MISS JUMPER by GRAHAM,LAKE",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
17:43,"GOOD LAYUP by HENRY,COLIN(in the paint)",5 (+3),,2,,BSC 5-2 (+3),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
17:33,,5,,5,"GOOD 3PTR by ALMULLA,NASSER",BCM 5-5 (0),,"GOOD 3PTR by ALMULLA,NASSER",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
17:26,"GOOD JUMPER by WHITE,BLAISE(in the paint)",7 (+2),,5,,BSC 7-5 (+2),,"GOOD JUMPER by WHITE,BLAISE(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
17:12,,7,,7,"GOOD LAYUP by ALMULLA,NASSER(in the paint)",BCM 7-7 (0),,"GOOD LAYUP by ALMULLA,NASSER(in the paint)",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
17:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
16:38,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
16:31,,7,,10 (+3),"GOOD 3PTR by WHALEN,MAC",BCM 7-10 (-3),,"GOOD 3PTR by WHALEN,MAC",1
--,,,,,"ASSIST  by ALMULLA,NASSER",,,"ASSIST  by ALMULLA,NASSER",1
16:17,"GOOD 3PTR by JONUS,JASEN",10,,10,,BSC 10-10 (0),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
15:58,,,,,"MISS JUMPER by SCHULTE,MICHAEL",,,"MISS JUMPER by SCHULTE,MICHAEL",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
15:49,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",1
15:13,,,,,"MISS JUMPER by SCHULTE,MICHAEL",,,"MISS JUMPER by SCHULTE,MICHAEL",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
15:05,,,,,"FOUL  by MARSH,CODY",,,"FOUL  by MARSH,CODY",1
15:05,"GOOD FT by HENRY,COLIN",11 (+1),,10,,BSC 11-10 (+1),,"GOOD FT by HENRY,COLIN",1
15:05,"GOOD FT by HENRY,COLIN",12 (+2),,10,,BSC 12-10 (+2),,"GOOD FT by HENRY,COLIN",1
15:05,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
15:05,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
15:05,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
15:05,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
15:05,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
15:05,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
15:05,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
15:05,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
15:05,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
15:05,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
15:05,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
15:05,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",1
15:05,,,,,"SUB OUT by SCHULTE,MICHAEL",,,"SUB OUT by SCHULTE,MICHAEL",1
15:05,,,,,"SUB OUT by MARSH,CODY",,,"SUB OUT by MARSH,CODY",1
14:48,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",1
14:44,,12 (+1),,11,"GOOD FT by WHALEN,MAC",BCM 12-11 (+1),,"GOOD FT by WHALEN,MAC",1
14:44,,,,,"MISS FT by WHALEN,MAC",,,"MISS FT by WHALEN,MAC",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
14:18,"GOOD LAYUP by LEE,CALEB(in the paint)",14 (+3),,11,,BSC 14-11 (+3),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
13:53,,14 (+1),,13,"GOOD LAYUP by WHALEN,MAC(in the paint)",BCM 14-13 (+1),,"GOOD LAYUP by WHALEN,MAC(in the paint)",1
--,,,,,"ASSIST  by GRAHAM,LAKE",,,"ASSIST  by GRAHAM,LAKE",1
13:53,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
13:53,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
13:26,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",1
13:06,,,,,"MISS LAYUP by GRAHAM,LAKE",,,"MISS LAYUP by GRAHAM,LAKE",1
13:06,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
12:59,"MISS LAYUP by MURPHY,NICK",,,,,,,"MISS LAYUP by MURPHY,NICK",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
12:32,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
12:24,,,,,"FOUL  by GRAHAM,LAKE",,,"FOUL  by GRAHAM,LAKE",1
12:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:24,"GOOD FT by SCHAMP,GRIFFIN",15 (+2),,13,,BSC 15-13 (+2),,"GOOD FT by SCHAMP,GRIFFIN",1
12:24,"GOOD FT by SCHAMP,GRIFFIN",16 (+3),,13,,BSC 16-13 (+3),,"GOOD FT by SCHAMP,GRIFFIN",1
12:24,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
12:24,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
12:24,,,,,"SUB IN by SCHULTE,MICHAEL",,,"SUB IN by SCHULTE,MICHAEL",1
12:24,,,,,"SUB OUT by ALMULLA,NASSER",,,"SUB OUT by ALMULLA,NASSER",1
11:50,,,,,"MISS LAYUP by SCHULTE,MICHAEL",,,"MISS LAYUP by SCHULTE,MICHAEL",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
11:41,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
11:35,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",1
11:04,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
11:04,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
11:04,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:04,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
11:04,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
11:04,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
11:04,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
11:04,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
11:04,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
10:52,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",18 (+5),,13,,BSC 18-13 (+5),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
10:24,,18 (+3),,15,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",BCM 18-15 (+3),,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",1
09:59,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
09:59,,,,,"SUB IN by MARSH,CODY",,,"SUB IN by MARSH,CODY",1
09:59,,,,,"SUB IN by WILSON,KYLE",,,"SUB IN by WILSON,KYLE",1
09:59,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
09:59,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
09:30,,,,,"MISS JUMPER by ABRAMS,JONATHAN",,,"MISS JUMPER by ABRAMS,JONATHAN",1
