Time Remaining,POINT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:48,,0,,3 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 0-3 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
19:35,"MISS 3PTR by SCOTT,SHASTA",,,,,,,"MISS 3PTR by SCOTT,SHASTA",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:24,,0,,4 (+4),"GOOD FT by RICHARDS,ZAC",BSC 0-4 (+4),,"GOOD FT by RICHARDS,ZAC",1
19:24,,0,,5 (+5),"GOOD FT by RICHARDS,ZAC",BSC 0-5 (+5),,"GOOD FT by RICHARDS,ZAC",1
19:24,"FOUL  by MAHAFFEY,JEREMY",,,,,,,"FOUL  by MAHAFFEY,JEREMY",1
19:15,"TURNOVER  by SCOTT,SHASTA",,,,,,,"TURNOVER  by SCOTT,SHASTA",1
--,,,,,"ASSIST  by OLAFSSON,ODDUR",,,"ASSIST  by OLAFSSON,ODDUR",1
19:05,,0,,8 (+8),"GOOD 3PTR by JONUS,JASEN",BSC 0-8 (+8),,"GOOD 3PTR by JONUS,JASEN",1
18:47,"TURNOVER  by SHELLEY,STEPHEN",,,,,,,"TURNOVER  by SHELLEY,STEPHEN",1
18:47,"FOUL  by SHELLEY,STEPHEN",,,,,,,"FOUL  by SHELLEY,STEPHEN",1
18:32,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND DEF by MAHAFFEY,JEREMY",,,,,,,"REBOUND DEF by MAHAFFEY,JEREMY",1
18:10,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
18:02,"MISS JUMPER by WOOLEY,TORY",,,,,,,"MISS JUMPER by WOOLEY,TORY",1
--,"REBOUND OFF by MAHAFFEY,JEREMY",,,,,,,"REBOUND OFF by MAHAFFEY,JEREMY",1
17:53,"GOOD LAYUP by SCOTT,SHASTA(in the paint)",2,,8 (+6),,POINT 2-8 (+6),,"GOOD LAYUP by SCOTT,SHASTA(in the paint)",1
17:49,,,,,"SUB IN by OLAFSSON,ODDUR",,,"SUB IN by OLAFSSON,ODDUR",1
17:49,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
17:39,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",1
17:37,"STEAL  by SCOTT,SHASTA",,,,,,,"STEAL  by SCOTT,SHASTA",1
