Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SUM,Game Score,Team Indicator,Play,Period
19:42,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
19:39,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
19:23,,0,,3 (+3),"GOOD 3PTR by SPEARMAN,DEMETRICE",SUM 0-3 (-3),,"GOOD 3PTR by SPEARMAN,DEMETRICE",1
--,,,,,"ASSIST  by DAVENPORT,JAMES",,,"ASSIST  by DAVENPORT,JAMES",1
19:16,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by DAVENPORT,JAMES",,,"REBOUND DEF by DAVENPORT,JAMES",1
18:56,,,,,"MISS 3PTR by CANTU,MICHAEL",,,"MISS 3PTR by CANTU,MICHAEL",1
--,,,,,"REBOUND OFF by MYERS,SEAN",,,"REBOUND OFF by MYERS,SEAN",1
18:53,,,,,"MISS LAYUP by MYERS,SEAN",,,"MISS LAYUP by MYERS,SEAN",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
18:41,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by CANTU,MICHAEL",,,"REBOUND DEF by CANTU,MICHAEL",1
18:27,,,,,"MISS 3PTR by SPEARMAN,DEMETRICE",,,"MISS 3PTR by SPEARMAN,DEMETRICE",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
18:10,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",1
18:10,,,,,"STEAL  by DAVENPORT,JAMES",,,"STEAL  by DAVENPORT,JAMES",1
17:53,,0,,5 (+5),"GOOD JUMPER by MYERS,SEAN",SUM 0-5 (-5),,"GOOD JUMPER by MYERS,SEAN",1
17:40,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
17:40,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",1
17:40,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",1
17:40,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
17:40,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
17:40,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",1
17:40,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
17:40,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
17:40,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
17:40,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
17:40,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
17:15,,0,,7 (+7),"GOOD LAYUP by BROOKS,KENNETH(in the paint)",SUM 0-7 (-7),,"GOOD LAYUP by BROOKS,KENNETH(in the paint)",1
--,,,,,"ASSIST  by ATIEE,NICK",,,"ASSIST  by ATIEE,NICK",1
17:11,,,,,"FOUL  by KOCHER,CHASE",,,"FOUL  by KOCHER,CHASE",1
17:11,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
16:54,,,,,"MISS JUMPER by KOCHER,CHASE",,,"MISS JUMPER by KOCHER,CHASE",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
16:45,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
16:38,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
16:38,,,,,"MISS JUMPER by DAVENPORT,JAMES",,,"MISS JUMPER by DAVENPORT,JAMES",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
