Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:48,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
19:48,"BLOCK  by VAUGHN,MARCUS",,,,,,,"BLOCK  by VAUGHN,MARCUS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:48,,0,,2 (+2),"GOOD JUMPER by KEGARISE,KEVIN",BSC 0-2 (+2),,"GOOD JUMPER by KEGARISE,KEVIN",1
19:19,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:07,,0,,5 (+5),"GOOD 3PTR by KEGARISE,KEVIN",BSC 0-5 (+5),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
18:41,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2,,5 (+3),,LAGRANGE 2-5 (+3),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",1
18:41,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
18:41,"GOOD FT by ROBINSON,DENZEL",3,,5 (+2),,LAGRANGE 3-5 (+2),,"GOOD FT by ROBINSON,DENZEL",1
18:12,,3,,8 (+5),"GOOD 3PTR by WHITE,BLAISE",BSC 3-8 (+5),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
18:00,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",1
18:00,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",1
17:42,,,,,"MISS JUMPER by RICHARDS,ZAC",,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
17:39,,3,,11 (+8),"GOOD 3PTR by JONUS,JASEN",BSC 3-11 (+8),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
17:24,"FOUL  by VAUGHN,MARCUS",,,,,,,"FOUL  by VAUGHN,MARCUS",1
17:24,"TURNOVER  by VAUGHN,MARCUS",,,,,,,"TURNOVER  by VAUGHN,MARCUS",1
17:10,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
17:05,,,,,"MISS JUMPER by RICHARDS,ZAC",,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:56,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
16:55,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",1
16:52,"GOOD LAYUP by ROBINSON,DENZEL(fastbreak)(in the paint)",5,,11 (+6),,LAGRANGE 5-11 (+6),,"GOOD LAYUP by ROBINSON,DENZEL(fastbreak)(in the paint)",1
16:45,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",1
16:40,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",1
16:30,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by POWER,AARON",,,,,,,"REBOUND DEF by POWER,AARON",1
16:22,"MISS LAYUP by POWER,AARON",,,,,,,"MISS LAYUP by POWER,AARON",1
16:22,,,,,"BLOCK  by RICHARDS,ZAC",,,"BLOCK  by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
16:18,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",1
16:18,"SUB IN by MACLIN,CATRELL",,,,,,,"SUB IN by MACLIN,CATRELL",1
16:18,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",1
15:57,,5,,13 (+8),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 5-13 (+8),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
15:57,"FOUL  by CRAFT,BLAKE",,,,,,,"FOUL  by CRAFT,BLAKE",1
15:57,,5,,14 (+9),"GOOD FT by WHITE,BLAISE",BSC 5-14 (+9),,"GOOD FT by WHITE,BLAISE",1
15:49,"TURNOVER  by CRAFT,BLAKE",,,,,,,"TURNOVER  by CRAFT,BLAKE",1
15:32,,5,,16 (+11),"GOOD JUMPER by KEGARISE,KEVIN",BSC 5-16 (+11),,"GOOD JUMPER by KEGARISE,KEVIN",1
15:21,"GOOD JUMPER by ANDERKAVICH,JOEY",7,,16 (+9),,LAGRANGE 7-16 (+9),,"GOOD JUMPER by ANDERKAVICH,JOEY",1
--,"ASSIST  by POWER,AARON",,,,,,,"ASSIST  by POWER,AARON",1
15:01,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
15:01,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
15:01,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
15:01,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
14:42,"MISS LAYUP by ANDERKAVICH,JOEY",,,,,,,"MISS LAYUP by ANDERKAVICH,JOEY",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
14:29,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
14:29,"SUB IN by MUNCH,PETER",,,,,,,"SUB IN by MUNCH,PETER",1
14:29,"SUB OUT by CRAFT,BLAKE",,,,,,,"SUB OUT by CRAFT,BLAKE",1
14:29,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
14:29,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
14:29,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
14:29,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
14:29,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
14:29,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
14:17,"MISS LAYUP by ANDERKAVICH,JOEY",,,,,,,"MISS LAYUP by ANDERKAVICH,JOEY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:15,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
14:15,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
14:13,"GOOD JUMPER by VAUGHN,MARCUS",9,,16 (+7),,LAGRANGE 9-16 (+7),,"GOOD JUMPER by VAUGHN,MARCUS",1
14:04,,9,,19 (+10),"GOOD 3PTR by MURPHY,NICK",BSC 9-19 (+10),,"GOOD 3PTR by MURPHY,NICK",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
13:45,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",11,,19 (+8),,LAGRANGE 11-19 (+8),,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",1
13:30,,11,,22 (+11),"GOOD 3PTR by THOMAS,LARRY",BSC 11-22 (+11),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by MURPHY,NICK",,,"ASSIST  by MURPHY,NICK",1
13:04,"TURNOVER  by MUNCH,PETER",,,,,,,"TURNOVER  by MUNCH,PETER",1
13:03,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
12:58,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
--,"REBOUND DEF by ANDERKAVICH,JOEY",,,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",1
12:45,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",1
--,"REBOUND OFF by MUNCH,PETER",,,,,,,"REBOUND OFF by MUNCH,PETER",1
12:34,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",13,,22 (+9),,LAGRANGE 13-22 (+9),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",1
12:23,,13,,24 (+11),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 13-24 (+11),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
12:09,"MISS JUMPER by VAUGHN,MARCUS",,,,,,,"MISS JUMPER by VAUGHN,MARCUS",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
12:00,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:57,"SUB IN by SHERMAN,XAVIER",,,,,,,"SUB IN by SHERMAN,XAVIER",1
11:57,"SUB OUT by ANDERKAVICH,JOEY",,,,,,,"SUB OUT by ANDERKAVICH,JOEY",1
11:28,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
11:23,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND DEF by POWER,AARON",,,,,,,"REBOUND DEF by POWER,AARON",1
11:21,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
11:21,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
11:21,"SUB OUT by VAUGHN,MARCUS",,,,,,,"SUB OUT by VAUGHN,MARCUS",1
11:14,"TURNOVER  by MUNCH,PETER",,,,,,,"TURNOVER  by MUNCH,PETER",1
11:13,,,,,"STEAL  by SCHAMP,GRIFFIN",,,"STEAL  by SCHAMP,GRIFFIN",1
10:49,,13,,26 (+13),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 13-26 (+13),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
10:27,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
10:23,"GOOD FT by MACLIN,CATRELL",14,,26 (+12),,LAGRANGE 14-26 (+12),,"GOOD FT by MACLIN,CATRELL",1
10:23,"GOOD FT by MACLIN,CATRELL",15,,26 (+11),,LAGRANGE 15-26 (+11),,"GOOD FT by MACLIN,CATRELL",1
10:23,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
10:23,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
10:23,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
10:23,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
10:23,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
10:23,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
10:23,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
