Time Remaining,AC,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",1
09:34,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
09:34,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
09:34,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
09:34,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
09:34,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
09:34,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
09:34,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
09:34,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
09:34,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
09:34,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
09:34,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
09:23,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
09:21,"STEAL  by SAUNDERS,JOSH",,,,,,,"STEAL  by SAUNDERS,JOSH",1
09:16,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
09:16,"MISS FT by PHILLIPS,WALTER",,,,,,,"MISS FT by PHILLIPS,WALTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:16,"GOOD FT by PHILLIPS,WALTER",13,,28 (+15),,AC 13-28 (+15),,"GOOD FT by PHILLIPS,WALTER",1
08:46,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
08:46,"BLOCK  by PHILLIPS,WALTER",,,,,,,"BLOCK  by PHILLIPS,WALTER",1
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",1
08:38,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",15,,28 (+13),,AC 15-28 (+13),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",1
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",1
08:31,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",1
08:25,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
08:06,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
07:59,,15,,28 (+13),"GOOD TIPIN by RICHARDS,ZAC(in the paint)",BSC 15-28 (+13),,"GOOD TIPIN by RICHARDS,ZAC(in the paint)",1
07:54,"SUB IN by HARRELL,GREG",,,,,,,"SUB IN by HARRELL,GREG",1
07:54,"SUB OUT by SAUNDERS,JOSH",,,,,,,"SUB OUT by SAUNDERS,JOSH",1
07:42,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
07:42,"MISS FT by PHILLIPS,WALTER",,,,,,,"MISS FT by PHILLIPS,WALTER",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
07:42,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
07:42,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
07:39,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
07:39,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",1
07:09,,15,,30 (+15),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 15-30 (+15),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
06:50,"SUB IN by CASTLE,COLTON",,,,,,,"SUB IN by CASTLE,COLTON",1
06:50,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
06:50,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",1
06:50,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",1
06:50,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
06:50,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
06:50,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
06:50,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
06:50,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
06:50,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
06:50,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
06:50,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
06:47,"GOOD JUMPER by OKPALA,RANSOM",17,,30 (+13),,AC 17-30 (+13),,"GOOD JUMPER by OKPALA,RANSOM",1
--,"ASSIST  by HARRELL,GREG",,,,,,,"ASSIST  by HARRELL,GREG",1
06:31,,17,,32 (+15),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 17-32 (+15),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
06:13,"MISS LAYUP by MICHAEL,ALEN",,,,,,,"MISS LAYUP by MICHAEL,ALEN",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
05:59,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
05:49,"TURNOVER  by MICHAEL,ALEN",,,,,,,"TURNOVER  by MICHAEL,ALEN",1
05:49,"SUB IN by SAUNDERS,JOSH",,,,,,,"SUB IN by SAUNDERS,JOSH",1
05:49,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
05:33,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
05:27,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
05:23,,,,,"MISS JUMPER by HOLLAND,JASON",,,"MISS JUMPER by HOLLAND,JASON",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
05:19,,17,,34 (+17),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 17-34 (+17),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
05:13,"MISS 3PTR by CASTLE,COLTON",,,,,,,"MISS 3PTR by CASTLE,COLTON",1
--,"REBOUND OFF by THOMPSON,ANTOINE",,,,,,,"REBOUND OFF by THOMPSON,ANTOINE",1
05:11,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
05:11,"GOOD FT by THOMPSON,ANTOINE",18,,34 (+16),,AC 18-34 (+16),,"GOOD FT by THOMPSON,ANTOINE",1
05:11,"GOOD FT by THOMPSON,ANTOINE",19,,34 (+15),,AC 19-34 (+15),,"GOOD FT by THOMPSON,ANTOINE",1
05:11,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",1
05:11,"SUB OUT by HARRELL,GREG",,,,,,,"SUB OUT by HARRELL,GREG",1
04:44,,,,,"TURNOVER  by LEE,CALEB",,,"TURNOVER  by LEE,CALEB",1
04:40,"TURNOVER  by OKPALA,RANSOM",,,,,,,"TURNOVER  by OKPALA,RANSOM",1
04:38,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
04:36,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
04:33,,19,,36 (+17),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 19-36 (+17),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
04:25,"MISS DUNK by PHILLIPS,WALTER",,,,,,,"MISS DUNK by PHILLIPS,WALTER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:25,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
04:25,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
04:08,"FOUL  by PHILLIPS,WALTER",,,,,,,"FOUL  by PHILLIPS,WALTER",1
04:00,,19,,37 (+18),"GOOD FT by LEE,CALEB",BSC 19-37 (+18),,"GOOD FT by LEE,CALEB",1
04:00,,19,,38 (+19),"GOOD FT by LEE,CALEB",BSC 19-38 (+19),,"GOOD FT by LEE,CALEB",1
04:00,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
04:00,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
04:00,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
04:00,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
04:00,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
04:00,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:57,"TURNOVER  by SAUNDERS,JOSH",,,,,,,"TURNOVER  by SAUNDERS,JOSH",1
03:50,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",1
03:50,"BLOCK  by OKPALA,RANSOM",,,,,,,"BLOCK  by OKPALA,RANSOM",1
--,"REBOUND DEF by OKPALA,RANSOM",,,,,,,"REBOUND DEF by OKPALA,RANSOM",1
03:44,"GOOD JUMPER by SAUNDERS,JOSH(in the paint)",21,,38 (+17),,AC 21-38 (+17),,"GOOD JUMPER by SAUNDERS,JOSH(in the paint)",1
03:24,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
03:23,"STEAL  by THOMPSON,ANTOINE",,,,,,,"STEAL  by THOMPSON,ANTOINE",1
03:20,"MISS 3PTR by SAUNDERS,JOSH",,,,,,,"MISS 3PTR by SAUNDERS,JOSH",1
--,"REBOUND OFF by SAUNDERS,JOSH",,,,,,,"REBOUND OFF by SAUNDERS,JOSH",1
03:20,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
03:20,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",1
03:01,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
03:00,,,,,"STEAL  by LEE,CALEB",,,"STEAL  by LEE,CALEB",1
02:54,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by OKPALA,RANSOM",,,,,,,"REBOUND DEF by OKPALA,RANSOM",1
02:41,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
02:26,"FOUL  by SAUNDERS,JOSH",,,,,,,"FOUL  by SAUNDERS,JOSH",1
02:26,,21,,39 (+18),"GOOD FT by JONUS,JASEN",BSC 21-39 (+18),,"GOOD FT by JONUS,JASEN",1
02:26,,21,,40 (+19),"GOOD FT by JONUS,JASEN",BSC 21-40 (+19),,"GOOD FT by JONUS,JASEN",1
02:26,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",1
02:26,"SUB OUT by CASTLE,COLTON",,,,,,,"SUB OUT by CASTLE,COLTON",1
02:21,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
02:21,"GOOD FT by THOMPSON,ANTOINE",22,,40 (+18),,AC 22-40 (+18),,"GOOD FT by THOMPSON,ANTOINE",1
