Time Remaining,BSC_M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
19:40,,0,,2 (+2),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 0-2 (-2),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
19:27,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
19:20,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
19:19,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",1
19:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
18:53,,0,,4 (+4),"GOOD JUMPER by MULLANEY,JEFF",CENTRE_M 0-4 (-4),,"GOOD JUMPER by MULLANEY,JEFF",1
18:29,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2,,4 (+2),,BSC_M 2-4 (-2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",1
18:09,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",1
17:53,"GOOD LAYUP by JONUS,JASEN(in the paint)",4,,4,,BSC_M 4-4 (0),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
17:37,,4,,7 (+3),"GOOD 3PTR by ROSS,GREG",CENTRE_M 4-7 (-3),,"GOOD 3PTR by ROSS,GREG",1
17:18,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
17:18,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
17:05,,4,,10 (+6),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 4-10 (-6),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
16:43,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
16:28,"GOOD 3PTR by JONUS,JASEN",7,,10 (+3),,BSC_M 7-10 (-3),,"GOOD 3PTR by JONUS,JASEN",1
16:03,,7,,12 (+5),"GOOD JUMPER by ROSS,GREG",CENTRE_M 7-12 (-5),,"GOOD JUMPER by ROSS,GREG",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
15:49,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
15:31,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
15:31,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
15:31,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
15:31,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
15:31,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
15:31,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
15:31,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
15:31,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
15:31,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
15:31,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
15:18,,7,,14 (+7),"GOOD JUMPER by ROSS,GREG",CENTRE_M 7-14 (-7),,"GOOD JUMPER by ROSS,GREG",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
14:49,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
14:49,"GOOD FT by LEE,CALEB",8,,14 (+6),,BSC_M 8-14 (-6),,"GOOD FT by LEE,CALEB",1
14:49,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
14:49,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
14:49,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
14:49,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
14:23,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
14:16,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",10,,14 (+4),,BSC_M 10-14 (-4),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
13:53,,10,,17 (+7),"GOOD 3PTR by GRIGGS,MATT",CENTRE_M 10-17 (-7),,"GOOD 3PTR by GRIGGS,MATT",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
13:45,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
13:39,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
13:37,,,,,"STEAL  by LOPEZ,COLLIN",,,"STEAL  by LOPEZ,COLLIN",1
13:15,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
13:15,,10,,18 (+8),"GOOD FT by ROSS,GREG",CENTRE_M 10-18 (-8),,"GOOD FT by ROSS,GREG",1
13:15,,,,,"MISS FT by ROSS,GREG",,,"MISS FT by ROSS,GREG",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
13:15,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
13:15,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
13:15,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
13:15,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
12:57,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
12:57,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
12:57,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
12:57,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
12:57,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
12:57,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
12:57,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
12:57,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
12:57,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
12:57,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
12:57,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:37,,,,,"TURNOVER  by ELLIS,BRYON",,,"TURNOVER  by ELLIS,BRYON",1
12:34,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
