Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:45,"MISS JUMPER by BOBB,MARCUS",,,,,,,"MISS JUMPER by BOBB,MARCUS",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
19:28,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
19:28,"BLOCK  by DODD,RONNIE",,,,,,,"BLOCK  by DODD,RONNIE",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
19:23,,0,,3 (+3),"GOOD 3PTR by JONUS,JASEN",BSC 0-3 (+3),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
19:12,"MISS LAYUP by WOOLVERTON,COLBY",,,,,,,"MISS LAYUP by WOOLVERTON,COLBY",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:04,,0,,6 (+6),"GOOD 3PTR by KEGARISE,KEVIN",BSC 0-6 (+6),,"GOOD 3PTR by KEGARISE,KEVIN",1
18:46,"MISS 3PTR by LEWIS,KASEY",,,,,,,"MISS 3PTR by LEWIS,KASEY",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
18:37,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
18:27,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
18:25,"STEAL  by VICTOR,JERMERY",,,,,,,"STEAL  by VICTOR,JERMERY",1
18:23,"GOOD LAYUP by LEWIS,KASEY(in the paint)",2,,6 (+4),,OZARKS 2-6 (+4),,"GOOD LAYUP by LEWIS,KASEY(in the paint)",1
--,"ASSIST  by VICTOR,JERMERY",,,,,,,"ASSIST  by VICTOR,JERMERY",1
18:01,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
18:01,"SUB IN by ROBERTSON,DAVID",,,,,,,"SUB IN by ROBERTSON,DAVID",1
18:01,"SUB OUT by WOOLVERTON,COLBY",,,,,,,"SUB OUT by WOOLVERTON,COLBY",1
17:58,"TURNOVER  by LEWIS,KASEY",,,,,,,"TURNOVER  by LEWIS,KASEY",1
17:45,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by DODD,RONNIE",,,,,,,"REBOUND DEF by DODD,RONNIE",1
17:37,"MISS 3PTR by VICTOR,JERMERY",,,,,,,"MISS 3PTR by VICTOR,JERMERY",1
--,"REBOUND OFF by DODD,RONNIE",,,,,,,"REBOUND OFF by DODD,RONNIE",1
17:32,"GOOD LAYUP by DODD,RONNIE(in the paint)",4,,6 (+2),,OZARKS 4-6 (+2),,"GOOD LAYUP by DODD,RONNIE(in the paint)",1
17:11,"FOUL  by BOBB,MARCUS",,,,,,,"FOUL  by BOBB,MARCUS",1
17:11,,4,,7 (+3),"GOOD FT by RICHARDS,ZAC",BSC 4-7 (+3),,"GOOD FT by RICHARDS,ZAC",1
17:11,,4,,8 (+4),"GOOD FT by RICHARDS,ZAC",BSC 4-8 (+4),,"GOOD FT by RICHARDS,ZAC",1
17:11,"TURNOVER  by VICTOR,JERMERY",,,,,,,"TURNOVER  by VICTOR,JERMERY",1
17:11,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
17:10,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
17:09,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
17:07,"SUB IN by BOXELL,ISAIAH",,,,,,,"SUB IN by BOXELL,ISAIAH",1
17:07,"SUB IN by FLINT,BRYTON",,,,,,,"SUB IN by FLINT,BRYTON",1
17:07,"SUB OUT by VICTOR,JERMERY",,,,,,,"SUB OUT by VICTOR,JERMERY",1
17:07,"SUB OUT by LEWIS,KASEY",,,,,,,"SUB OUT by LEWIS,KASEY",1
16:58,"TURNOVER  by DODD,RONNIE",,,,,,,"TURNOVER  by DODD,RONNIE",1
16:38,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
16:37,"STEAL  by ROBERTSON,DAVID",,,,,,,"STEAL  by ROBERTSON,DAVID",1
16:34,"MISS LAYUP by ROBERTSON,DAVID",,,,,,,"MISS LAYUP by ROBERTSON,DAVID",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
16:31,"FOUL  by ROBERTSON,DAVID",,,,,,,"FOUL  by ROBERTSON,DAVID",1
16:06,,,,,"MISS LAYUP by JONUS,JASEN",,,"MISS LAYUP by JONUS,JASEN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
15:59,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
15:58,"STEAL  by ROBERTSON,DAVID",,,,,,,"STEAL  by ROBERTSON,DAVID",1
15:39,"MISS 3PTR by ROBERTSON,DAVID",,,,,,,"MISS 3PTR by ROBERTSON,DAVID",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
15:31,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by BOXELL,ISAIAH",,,,,,,"REBOUND DEF by BOXELL,ISAIAH",1
15:24,"TURNOVER  by BOXELL,ISAIAH",,,,,,,"TURNOVER  by BOXELL,ISAIAH",1
