Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
19:35,"GOOD 3PTR by KOHNKE,SAM",3 (+3),,0,,MMB 3-0 (+3),,"GOOD 3PTR by KOHNKE,SAM",1
19:07,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
19:07,,3 (+2),,1,"GOOD FT by MCLEAN,JAMES",16BSC-M 3-1 (+2),,"GOOD FT by MCLEAN,JAMES",1
19:07,,3 (+1),,2,"GOOD FT by MCLEAN,JAMES",16BSC-M 3-2 (+1),,"GOOD FT by MCLEAN,JAMES",1
18:52,"GOOD LAYUP by GARDNER,ROBERT(in the paint)",5 (+3),,2,,MMB 5-2 (+3),,"GOOD LAYUP by GARDNER,ROBERT(in the paint)",1
18:45,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
18:45,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by GARDNER,ROBERT",,,,,,,"REBOUND DEF by GARDNER,ROBERT",1
18:45,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
18:45,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
18:36,"GOOD JUMPER by BLANZ,BUCK(in the paint)",7 (+5),,2,,MMB 7-2 (+5),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",1
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",1
18:30,,7 (+2),,5,"GOOD 3PTR by LEWIS,EVAN(fastbreak)",16BSC-M 7-5 (+2),,"GOOD 3PTR by LEWIS,EVAN(fastbreak)",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
18:15,"MISS JUMPER by GARDNER,ROBERT",,,,,,,"MISS JUMPER by GARDNER,ROBERT",1
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",1
18:06,,,,,"MISS 3PTR by HARDIMAN,BEN",,,"MISS 3PTR by HARDIMAN,BEN",1
--,"REBOUND DEF by GARDNER,ROBERT",,,,,,,"REBOUND DEF by GARDNER,ROBERT",1
17:58,"GOOD LAYUP by BLANZ,BUCK(fastbreak)(in the paint)",9 (+4),,5,,MMB 9-5 (+4),,"GOOD LAYUP by BLANZ,BUCK(fastbreak)(in the paint)",1
17:31,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
17:31,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
17:03,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
16:40,,9 (+2),,7,"GOOD DUNK by RUDAK,MATTY(in the paint)",16BSC-M 9-7 (+2),,"GOOD DUNK by RUDAK,MATTY(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
16:15,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
16:07,,9,,9,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",16BSC-M 9-9 (0),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
16:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
16:07,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
16:07,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
15:47,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",1
15:37,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
15:18,,9,,11 (+2),"GOOD JUMPER by THOM,IAN",16BSC-M 9-11 (-2),,"GOOD JUMPER by THOM,IAN",1
15:00,"MISS JUMPER by TULLOS,ZACHARY",,,,,,,"MISS JUMPER by TULLOS,ZACHARY",1
15:00,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",1
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",1
14:53,,9,,13 (+4),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 9-13 (-4),,"GOOD LAYUP by THOM,IAN(in the paint)",1
14:39,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",1
14:31,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
14:31,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
14:31,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
14:31,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
14:31,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
14:31,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
14:31,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
14:31,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
14:31,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
14:31,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
14:31,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
14:31,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
14:25,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",1
14:14,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",1
13:51,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",1
13:48,"FOUL  by GARDNER,ROBERT",,,,,,,"FOUL  by GARDNER,ROBERT",1
13:48,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:48,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
13:48,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
13:48,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
13:48,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
13:48,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
13:48,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
13:48,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
13:48,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
13:48,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
13:48,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",1
13:48,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
13:48,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
13:48,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
13:48,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
13:48,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
13:48,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
13:48,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
13:34,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
13:22,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
13:17,"STEAL  by GARDNER,ROBERT",,,,,,,"STEAL  by GARDNER,ROBERT",1
13:12,"TURNOVER  by GARDNER,ROBERT",,,,,,,"TURNOVER  by GARDNER,ROBERT",1
13:09,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",1
13:01,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
12:54,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",1
12:53,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",1
12:46,,9,,15 (+6),"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",16BSC-M 9-15 (-6),,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",1
12:19,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
12:16,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
12:06,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
12:02,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
12:00,"STEAL  by MASON,WADE",,,,,,,"STEAL  by MASON,WADE",1
11:52,"GOOD 3PTR by BLANZ,BUCK",12,,15 (+3),,MMB 12-15 (-3),,"GOOD 3PTR by BLANZ,BUCK",1
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",1
11:46,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",1
11:46,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
11:46,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
11:46,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
11:46,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
11:46,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
11:37,,,,,"MISS 3PTR by MURPHY,JUWAN",,,"MISS 3PTR by MURPHY,JUWAN",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
11:27,"GOOD LAYUP by BECKER,SAXTON(in the paint)",14,,15 (+1),,MMB 14-15 (-1),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
11:25,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
11:25,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
