Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
15:19,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
15:19,"BLOCK  by KIRKENDOLL,TRAVION",,,,,,,"BLOCK  by KIRKENDOLL,TRAVION",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:19,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:11,,,,,"MISS 3PTR by MASON,WADE",,,"MISS 3PTR by MASON,WADE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:54,"TURNOVER  by BOYD,KJ",,,,,,,"TURNOVER  by BOYD,KJ",1
14:54,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
14:54,"STEAL  by BOYD,KJ",,,,,,,"STEAL  by BOYD,KJ",1
14:54,"GOOD LAYUP by BOYD,KJ(fastbreak)(in the paint)",10 (+2),,8,,CENTMB 10-8 (-2),,"GOOD LAYUP by BOYD,KJ(fastbreak)(in the paint)",1
14:33,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND OFF by MANCUSO,LOGAN",,,"REBOUND OFF by MANCUSO,LOGAN",1
14:26,,,,,"TURNOVER  by MANCUSO,LOGAN",,,"TURNOVER  by MANCUSO,LOGAN",1
14:25,"STEAL  by BOYD,KJ",,,,,,,"STEAL  by BOYD,KJ",1
14:23,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",1
--,,,,,"REBOUND DEF by MASON,WADE",,,"REBOUND DEF by MASON,WADE",1
14:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:18,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",1
--,,,,,"REBOUND OFF by MASON,WADE",,,"REBOUND OFF by MASON,WADE",1
14:18,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
14:18,"STEAL  by KIRKENDOLL,TRAVION",,,,,,,"STEAL  by KIRKENDOLL,TRAVION",1
14:18,"MISS 3PTR by HARRIS,CEDRIC",,,,,,,"MISS 3PTR by HARRIS,CEDRIC",1
