Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
19:56,"MISS LAYUP by FREET,AUSTIN",,,,,,,"MISS LAYUP by FREET,AUSTIN",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
19:55,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
19:35,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
19:15,,0,,2 (+2),"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",MMB 0-2 (+2),,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
18:52,"GOOD 3PTR by SWISHER,JEREMY",3 (+1),,2,,ACM 3-2 (-1),,"GOOD 3PTR by SWISHER,JEREMY",1
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",1
18:33,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",1
18:33,,3,,3,"GOOD FT by GAGEN,BRENNAN",MMB 3-3 (0),,"GOOD FT by GAGEN,BRENNAN",1
18:33,,3,,4 (+1),"GOOD FT by GAGEN,BRENNAN",MMB 3-4 (+1),,"GOOD FT by GAGEN,BRENNAN",1
18:33,,3,,5 (+2),"GOOD FT by GAGEN,BRENNAN",MMB 3-5 (+2),,"GOOD FT by GAGEN,BRENNAN",1
18:09,"MISS JUMPER by WELLS,AUSTIN",,,,,,,"MISS JUMPER by WELLS,AUSTIN",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
17:56,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
17:55,"STEAL  by IGBINOSA,STEPHEN",,,,,,,"STEAL  by IGBINOSA,STEPHEN",1
17:44,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
17:34,,3,,8 (+5),"GOOD 3PTR by GAGEN,BRENNAN(fastbreak)",MMB 3-8 (+5),,"GOOD 3PTR by GAGEN,BRENNAN(fastbreak)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
17:25,"GOOD JUMPER by IGBINOSA,STEPHEN",5,,8 (+3),,ACM 5-8 (+3),,"GOOD JUMPER by IGBINOSA,STEPHEN",1
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",1
17:05,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
17:05,"SUB IN by PASS,JOHN",,,,,,,"SUB IN by PASS,JOHN",1
17:05,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
17:05,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
17:05,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
17:05,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
