Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
19:43,"MISS 3PTR by SEARS,CONNOR",,,,,,,"MISS 3PTR by SEARS,CONNOR",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
19:26,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
19:24,"STEAL  by ARIMA,Z",,,,,,,"STEAL  by ARIMA,Z",1
19:22,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",2 (+2),,0,,CCM 2-0 (-2),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",1
--,"ASSIST  by ARIMA,Z",,,,,,,"ASSIST  by ARIMA,Z",1
19:04,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
18:53,"GOOD LAYUP by SEARS,CONNOR(in the paint)",4 (+4),,0,,CCM 4-0 (-4),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
18:35,"TURNOVER  by SPRAGG,BAILEY",,,,,,,"TURNOVER  by SPRAGG,BAILEY",1
18:34,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",1
18:30,,4 (+2),,2,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",MMB 4-2 (-2),,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",1
18:19,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",1
--,"REBOUND OFF by DRYDEN,BERTO",,,,,,,"REBOUND OFF by DRYDEN,BERTO",1
18:14,"TURNOVER  by SPRAGG,BAILEY",,,,,,,"TURNOVER  by SPRAGG,BAILEY",1
17:45,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
17:36,"MISS LAYUP by DRYDEN,BERTO",,,,,,,"MISS LAYUP by DRYDEN,BERTO",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
17:20,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
17:18,"STEAL  by SPRAGG,BAILEY",,,,,,,"STEAL  by SPRAGG,BAILEY",1
17:16,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",6 (+4),,2,,CCM 6-2 (-4),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
16:55,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
16:55,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
16:55,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
16:55,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
16:53,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND DEF by SPRAGG,BAILEY",,,,,,,"REBOUND DEF by SPRAGG,BAILEY",1
16:33,"GOOD LAYUP by DRYDEN,BERTO(in the paint)",8 (+6),,2,,CCM 8-2 (-6),,"GOOD LAYUP by DRYDEN,BERTO(in the paint)",1
16:33,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
16:33,"GOOD FT by DRYDEN,BERTO",9 (+7),,2,,CCM 9-2 (-7),,"GOOD FT by DRYDEN,BERTO",1
16:09,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
16:08,"STEAL  by ARIMA,Z",,,,,,,"STEAL  by ARIMA,Z",1
16:04,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",1
16:04,"MISS FT by ARIMA,Z",,,,,,,"MISS FT by ARIMA,Z",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:04,"GOOD FT by ARIMA,Z",10 (+8),,2,,CCM 10-2 (-8),,"GOOD FT by ARIMA,Z",1
16:04,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",1
--,,,,,"REBOUND OFF by KOHNKE,SAM",,,"REBOUND OFF by KOHNKE,SAM",1
16:04,,,,,"MISS LAYUP by KOHNKE,SAM",,,"MISS LAYUP by KOHNKE,SAM",1
--,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
16:04,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
16:04,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
16:04,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
16:04,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
16:04,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
16:04,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
15:54,"TURNOVER  by TWAGIRAYEZU,PATJO",,,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
15:51,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:09,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
15:04,"STEAL  by DRYDEN,BERTO",,,,,,,"STEAL  by DRYDEN,BERTO",1
14:44,"MISS JUMPER by DRYDEN,BERTO",,,,,,,"MISS JUMPER by DRYDEN,BERTO",1
--,"REBOUND OFF by ARIMA,Z",,,,,,,"REBOUND OFF by ARIMA,Z",1
14:29,"GOOD 3PTR by ARIMA,Z",13 (+11),,2,,CCM 13-2 (-11),,"GOOD 3PTR by ARIMA,Z",1
--,"ASSIST  by DRYDEN,BERTO",,,,,,,"ASSIST  by DRYDEN,BERTO",1
14:18,"FOUL  by PALMER,NICK",,,,,,,"FOUL  by PALMER,NICK",1
14:18,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
14:18,"SUB IN by SPRAGG,BAILEY",,,,,,,"SUB IN by SPRAGG,BAILEY",1
14:18,"SUB OUT by DRYDEN,BERTO",,,,,,,"SUB OUT by DRYDEN,BERTO",1
14:18,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
14:18,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
14:18,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
14:10,"FOUL  by SPRAGG,BAILEY",,,,,,,"FOUL  by SPRAGG,BAILEY",1
14:06,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
14:06,"STEAL  by PALMER,NICK",,,,,,,"STEAL  by PALMER,NICK",1
13:51,,,,,"FOUL  by MASON,WADE",,,"FOUL  by MASON,WADE",1
13:47,"MISS 3PTR by PALMER,NICK",,,,,,,"MISS 3PTR by PALMER,NICK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:36,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",1
13:21,,13 (+9),,4,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 13-4 (-9),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
13:14,"TURNOVER  by ALLEN,ZACK",,,,,,,"TURNOVER  by ALLEN,ZACK",1
13:14,"SUB IN by SEARS,CONNOR",,,,,,,"SUB IN by SEARS,CONNOR",1
13:14,"SUB OUT by TWAGIRAYEZU,PATJO",,,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",1
13:03,,13 (+7),,6,"GOOD JUMPER by MARKWITH,TRENT",MMB 13-6 (-7),,"GOOD JUMPER by MARKWITH,TRENT",1
12:52,"GOOD JUMPER by SPRAGG,BAILEY",15 (+9),,6,,CCM 15-6 (-9),,"GOOD JUMPER by SPRAGG,BAILEY",1
12:37,,15 (+7),,8,"GOOD JUMPER by MANCUSO,LOGAN",MMB 15-8 (-7),,"GOOD JUMPER by MANCUSO,LOGAN",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
12:08,"MISS 3PTR by SEARS,CONNOR",,,,,,,"MISS 3PTR by SEARS,CONNOR",1
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",1
12:06,"GOOD LAYUP by HAYNES,CALEB(in the paint)",17 (+9),,8,,CCM 17-8 (-9),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
11:36,"FOUL  by SPRAGG,BAILEY",,,,,,,"FOUL  by SPRAGG,BAILEY",1
11:36,"SUB IN by ARIMA,Z",,,,,,,"SUB IN by ARIMA,Z",1
11:36,"SUB IN by DRYDEN,BERTO",,,,,,,"SUB IN by DRYDEN,BERTO",1
11:36,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
11:36,"SUB OUT by PALMER,NICK",,,,,,,"SUB OUT by PALMER,NICK",1
11:36,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
11:36,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
11:36,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
