Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,BLU,Game Score,Team Indicator,Play,Period
19:40,,0,,2 (+2),"GOOD JUMPER by RENNER,ANDREW",BLU 0-2 (-2),,"GOOD JUMPER by RENNER,ANDREW",1
--,,,,,"ASSIST  by ELCHERT,TREY",,,"ASSIST  by ELCHERT,TREY",1
19:26,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by MAKSVYTIS,MARTIN",,,"REBOUND DEF by MAKSVYTIS,MARTIN",1
19:09,,0,,5 (+5),"GOOD 3PTR by ELCHERT,TREY",BLU 0-5 (-5),,"GOOD 3PTR by ELCHERT,TREY",1
--,,,,,"ASSIST  by ROHDE,AUSTIN",,,"ASSIST  by ROHDE,AUSTIN",1
18:37,"MISS JUMPER by GARDNER,ROBERT",,,,,,,"MISS JUMPER by GARDNER,ROBERT",1
--,,,,,"REBOUND DEF by ROHDE,AUSTIN",,,"REBOUND DEF by ROHDE,AUSTIN",1
18:11,,,,,"MISS JUMPER by WENTLING,JARED",,,"MISS JUMPER by WENTLING,JARED",1
--,,,,,"REBOUND OFF by MAKSVYTIS,MARTIN",,,"REBOUND OFF by MAKSVYTIS,MARTIN",1
17:59,,0,,7 (+7),"GOOD LAYUP by WENTLING,JARED(in the paint)",BLU 0-7 (-7),,"GOOD LAYUP by WENTLING,JARED(in the paint)",1
--,,,,,"ASSIST  by ROHDE,AUSTIN",,,"ASSIST  by ROHDE,AUSTIN",1
17:33,"GOOD JUMPER by BLANZ,BUCK",2,,7 (+5),,MIL 2-7 (-5),,"GOOD JUMPER by BLANZ,BUCK",1
17:10,,2,,9 (+7),"GOOD JUMPER by ELCHERT,TREY",BLU 2-9 (-7),,"GOOD JUMPER by ELCHERT,TREY",1
--,,,,,"ASSIST  by RENNER,ANDREW",,,"ASSIST  by RENNER,ANDREW",1
16:59,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by ROHDE,AUSTIN",,,"REBOUND DEF by ROHDE,AUSTIN",1
16:51,,2,,11 (+9),"GOOD LAYUP by ROHDE,AUSTIN(fastbreak)(in the paint)",BLU 2-11 (-9),,"GOOD LAYUP by ROHDE,AUSTIN(fastbreak)(in the paint)",1
16:32,,,,,"FOUL  by RENNER,ANDREW",,,"FOUL  by RENNER,ANDREW",1
16:32,,,,,"SUB OUT by RENNER,ANDREW",,,"SUB OUT by RENNER,ANDREW",1
16:32,,,,,"SUB OUT by ELCHERT,TREY",,,"SUB OUT by ELCHERT,TREY",1
16:32,,,,,"SUB OUT by MAKSVYTIS,MARTIN",,,"SUB OUT by MAKSVYTIS,MARTIN",1
16:32,,,,,"SUB OUT by WENTLING,JARED",,,"SUB OUT by WENTLING,JARED",1
16:32,,,,,"SUB OUT by ROHDE,AUSTIN",,,"SUB OUT by ROHDE,AUSTIN",1
16:32,,,,,"SUB IN by CHRISTIE,KEVIN",,,"SUB IN by CHRISTIE,KEVIN",1
16:32,,,,,"SUB IN by HUNTER,ANDREW",,,"SUB IN by HUNTER,ANDREW",1
16:32,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
16:32,,,,,"SUB IN by MAKSVYTIS,MARTIN",,,"SUB IN by MAKSVYTIS,MARTIN",1
16:32,,,,,"SUB IN by WENTLING,JARED",,,"SUB IN by WENTLING,JARED",1
16:23,"MISS JUMPER by KOHNKE,SAM",,,,,,,"MISS JUMPER by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by WENTLING,JARED",,,"REBOUND DEF by WENTLING,JARED",1
16:02,,2,,13 (+11),"GOOD LAYUP by MAKSVYTIS,MARTIN(in the paint)",BLU 2-13 (-11),,"GOOD LAYUP by MAKSVYTIS,MARTIN(in the paint)",1
--,,,,,"ASSIST  by CHRISTIE,KEVIN",,,"ASSIST  by CHRISTIE,KEVIN",1
15:47,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
15:47,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:47,,,,,"SUB OUT by RENNER,ANDREW",,,"SUB OUT by RENNER,ANDREW",1
15:47,,,,,"SUB OUT by ELCHERT,TREY",,,"SUB OUT by ELCHERT,TREY",1
15:47,,,,,"SUB OUT by MAKSVYTIS,MARTIN",,,"SUB OUT by MAKSVYTIS,MARTIN",1
15:47,,,,,"SUB OUT by WENTLING,JARED",,,"SUB OUT by WENTLING,JARED",1
15:47,,,,,"SUB OUT by ROHDE,AUSTIN",,,"SUB OUT by ROHDE,AUSTIN",1
15:47,,,,,"SUB IN by CHRISTIE,KEVIN",,,"SUB IN by CHRISTIE,KEVIN",1
15:47,,,,,"SUB IN by HUNTER,ANDREW",,,"SUB IN by HUNTER,ANDREW",1
15:47,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
15:47,,,,,"SUB IN by DOWDY,JUSTIS",,,"SUB IN by DOWDY,JUSTIS",1
15:47,,,,,"SUB IN by HOPKINS,ADAM",,,"SUB IN by HOPKINS,ADAM",1
15:47,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
15:47,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
15:47,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
15:47,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
15:47,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
15:47,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
15:47,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
15:47,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
15:47,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
15:47,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
15:35,,,,,"TURNOVER  by HUNTER,ANDREW",,,"TURNOVER  by HUNTER,ANDREW",1
15:34,"STEAL  by MARKWITH,TRENT",,,,,,,"STEAL  by MARKWITH,TRENT",1
15:33,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
15:31,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",4,,13 (+9),,MIL 4-13 (-9),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
15:06,,,,,"MISS 3PTR by CHRISTIE,KEVIN",,,"MISS 3PTR by CHRISTIE,KEVIN",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
14:34,"MISS JUMPER by KOHNKE,SAM",,,,,,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
14:32,"GOOD JUMPER by TULLOS,ZACHARY",6,,13 (+7),,MIL 6-13 (-7),,"GOOD JUMPER by TULLOS,ZACHARY",1
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",1
14:01,,,,,"MISS JUMPER by CHRISTIE,KEVIN",,,"MISS JUMPER by CHRISTIE,KEVIN",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
13:49,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
13:47,,,,,"STEAL  by HOPKINS,ADAM",,,"STEAL  by HOPKINS,ADAM",1
13:36,,6,,15 (+9),"GOOD LAYUP by HOPKINS,ADAM(in the paint)",BLU 6-15 (-9),,"GOOD LAYUP by HOPKINS,ADAM(in the paint)",1
--,,,,,"ASSIST  by MOORE,AUSTIN",,,"ASSIST  by MOORE,AUSTIN",1
13:22,,,,,"FOUL  by HUNTER,ANDREW",,,"FOUL  by HUNTER,ANDREW",1
13:22,,,,,"SUB OUT by RENNER,ANDREW",,,"SUB OUT by RENNER,ANDREW",1
13:22,,,,,"SUB OUT by ELCHERT,TREY",,,"SUB OUT by ELCHERT,TREY",1
13:22,,,,,"SUB OUT by MAKSVYTIS,MARTIN",,,"SUB OUT by MAKSVYTIS,MARTIN",1
13:22,,,,,"SUB OUT by WENTLING,JARED",,,"SUB OUT by WENTLING,JARED",1
13:22,,,,,"SUB OUT by ROHDE,AUSTIN",,,"SUB OUT by ROHDE,AUSTIN",1
13:22,,,,,"SUB IN by CHRISTIE,KEVIN",,,"SUB IN by CHRISTIE,KEVIN",1
13:22,,,,,"SUB IN by ELCHERT,TREY",,,"SUB IN by ELCHERT,TREY",1
13:22,,,,,"SUB IN by MAKSVYTIS,MARTIN",,,"SUB IN by MAKSVYTIS,MARTIN",1
13:22,,,,,"SUB IN by ROHDE,AUSTIN",,,"SUB IN by ROHDE,AUSTIN",1
13:22,,,,,"SUB IN by HOPKINS,ADAM",,,"SUB IN by HOPKINS,ADAM",1
13:22,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",1
13:22,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
13:22,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
13:22,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
13:15,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",1
13:15,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
13:00,,,,,"MISS 3PTR by ELCHERT,TREY",,,"MISS 3PTR by ELCHERT,TREY",1
