Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
12:17,,32 (+5),,27,"GOOD FT by BECKER,SAXTON",MMB 32-27 (-5),,"GOOD FT by BECKER,SAXTON",2
12:17,,32 (+4),,28,"GOOD FT by BECKER,SAXTON",MMB 32-28 (-4),,"GOOD FT by BECKER,SAXTON",2
12:17,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
12:17,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",2
12:17,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",2
12:17,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",2
12:17,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",2
12:17,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
12:04,"TURNOVER  by KORN,LUKAS",,,,,,,"TURNOVER  by KORN,LUKAS",2
11:58,,,,,"STEAL  by COLEMAN,DANIEL",,,"STEAL  by COLEMAN,DANIEL",2
11:40,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",2
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",2
11:12,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
11:03,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",2
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",2
10:36,,,,,"MISS JUMPER by COLEMAN,DANIEL",,,"MISS JUMPER by COLEMAN,DANIEL",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
10:30,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",2
10:30,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",2
10:30,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",2
10:30,"SUB OUT by MCLENDON,MARC",,,,,,,"SUB OUT by MCLENDON,MARC",2
10:30,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",2
10:30,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
10:30,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
10:30,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
10:30,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",2
10:18,,32 (+3),,29,"GOOD FT by TULLOS,ZACHARY",MMB 32-29 (-3),,"GOOD FT by TULLOS,ZACHARY",2
10:18,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",2
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",2
10:18,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
10:18,"STEAL  by FORTE,MCCARTY",,,,,,,"STEAL  by FORTE,MCCARTY",2
10:18,"GOOD LAYUP by MARDER,NICK(fastbreak)(in the paint)",34 (+5),,29,,BCM 34-29 (-5),,"GOOD LAYUP by MARDER,NICK(fastbreak)(in the paint)",2
10:18,"SUB IN by GREEN,CADE",,,,,,,"SUB IN by GREEN,CADE",2
10:18,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",2
10:04,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
10:02,"STEAL  by SPALDING,TANNER",,,,,,,"STEAL  by SPALDING,TANNER",2
09:47,"TURNOVER  by SPALDING,TANNER",,,,,,,"TURNOVER  by SPALDING,TANNER",2
09:47,,,,,"STEAL  by COLEMAN,DANIEL",,,"STEAL  by COLEMAN,DANIEL",2
09:47,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
09:47,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",2
09:11,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",2
08:55,"GOOD JUMPER by FORTE,MCCARTY",36 (+7),,29,,BCM 36-29 (-7),,"GOOD JUMPER by FORTE,MCCARTY",2
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",2
08:32,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",2
08:21,,36 (+6),,30,"GOOD FT by TULLOS,ZACHARY",MMB 36-30 (-6),,"GOOD FT by TULLOS,ZACHARY",2
08:21,,36 (+5),,31,"GOOD FT by TULLOS,ZACHARY",MMB 36-31 (-5),,"GOOD FT by TULLOS,ZACHARY",2
08:21,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",2
08:21,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",2
08:21,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
08:21,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
07:56,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
07:51,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",2
07:48,"STEAL  by JONES,BLAKE",,,,,,,"STEAL  by JONES,BLAKE",2
07:47,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
07:47,"MISS FT by GREEN,CADE",,,,,,,"MISS FT by GREEN,CADE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:47,"GOOD FT by GREEN,CADE",37 (+6),,31,,BCM 37-31 (-6),,"GOOD FT by GREEN,CADE",2
07:47,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",2
07:47,"SUB OUT by GREEN,CADE",,,,,,,"SUB OUT by GREEN,CADE",2
07:35,,,,,"MISS LAYUP by TULLOS,ZACHARY",,,"MISS LAYUP by TULLOS,ZACHARY",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
07:27,"GOOD JUMPER by FORTE,MCCARTY",39 (+8),,31,,BCM 39-31 (-8),,"GOOD JUMPER by FORTE,MCCARTY",2
06:57,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",2
06:56,"STEAL  by MARDER,NICK",,,,,,,"STEAL  by MARDER,NICK",2
06:41,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",2
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",2
06:37,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",2
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",2
06:28,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
06:17,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
06:05,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
05:52,,39 (+5),,34,"GOOD 3PTR by GAGEN,BRENNAN",MMB 39-34 (-5),,"GOOD 3PTR by GAGEN,BRENNAN",2
05:48,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
05:22,"GOOD LAYUP by MARDER,NICK(in the paint)",41 (+7),,34,,BCM 41-34 (-7),,"GOOD LAYUP by MARDER,NICK(in the paint)",2
--,"ASSIST  by JOHNSON,CALEB",,,,,,,"ASSIST  by JOHNSON,CALEB",2
05:04,,41 (+5),,36,"GOOD JUMPER by TULLOS,ZACHARY",MMB 41-36 (-5),,"GOOD JUMPER by TULLOS,ZACHARY",2
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",2
04:46,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",2
04:46,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
04:27,,41 (+3),,38,"GOOD JUMPER by BECKER,SAXTON(in the paint)",MMB 41-38 (-3),,"GOOD JUMPER by BECKER,SAXTON(in the paint)",2
04:24,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",2
04:24,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",2
03:59,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",2
--,"REBOUND OFF by SPALDING,TANNER",,,,,,,"REBOUND OFF by SPALDING,TANNER",2
03:50,"GOOD LAYUP by SPALDING,TANNER(in the paint)",43 (+5),,38,,BCM 43-38 (-5),,"GOOD LAYUP by SPALDING,TANNER(in the paint)",2
03:40,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",2
--,"REBOUND DEF by SPALDING,TANNER",,,,,,,"REBOUND DEF by SPALDING,TANNER",2
03:14,"GOOD 3PTR by JOHNSON,CALEB",46 (+8),,38,,BCM 46-38 (-8),,"GOOD 3PTR by JOHNSON,CALEB",2
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",2
02:50,,46 (+6),,40,"GOOD JUMPER by TULLOS,ZACHARY",MMB 46-40 (-6),,"GOOD JUMPER by TULLOS,ZACHARY",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
02:39,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",2
--,"REBOUND OFF by SPALDING,TANNER",,,,,,,"REBOUND OFF by SPALDING,TANNER",2
02:30,"MISS LAYUP by SPALDING,TANNER",,,,,,,"MISS LAYUP by SPALDING,TANNER",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
02:27,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",2
02:27,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",2
02:27,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
02:27,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
02:27,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
02:27,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",2
02:20,,,,,"TURNOVER  by MANCUSO,LOGAN",,,"TURNOVER  by MANCUSO,LOGAN",2
02:20,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
02:20,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",2
02:04,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
01:50,,46 (+3),,43,"GOOD 3PTR by GAGEN,BRENNAN",MMB 46-43 (-3),,"GOOD 3PTR by GAGEN,BRENNAN",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
01:27,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",2
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",2
00:59,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
00:28,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",2
00:28,"BLOCK  by SPALDING,TANNER",,,,,,,"BLOCK  by SPALDING,TANNER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:22,"TURNOVER  by SPALDING,TANNER",,,,,,,"TURNOVER  by SPALDING,TANNER",2
00:22,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",2
00:22,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",2
00:22,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",2
00:22,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",2
00:22,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",2
00:22,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",2
00:01,,46 (+1),,45,"GOOD JUMPER by BLANZ,BUCK",MMB 46-45 (-1),,"GOOD JUMPER by BLANZ,BUCK",2
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",2
00:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:01,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",2
00:01,"MISS FT by JONES,BLAKE",,,,,,,"MISS FT by JONES,BLAKE",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
00:01,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:01,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
00:01,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",2
00:01,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
00:01,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
