Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:46,"MISS JUMPER by GARDNER,ROBERT",,,,,,,"MISS JUMPER by GARDNER,ROBERT",1
--,,,,,"REBOUND DEF by PRESSLEY,BRANDON",,,"REBOUND DEF by PRESSLEY,BRANDON",1
19:25,,,,,"MISS LAYUP by PRESSLEY,BRANDON",,,"MISS LAYUP by PRESSLEY,BRANDON",1
19:25,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",1
--,,,,,"REBOUND OFF by RICHARDSON,TERIK",,,"REBOUND OFF by RICHARDSON,TERIK",1
19:19,,,,,"MISS LAYUP by RICHARDSON,TERIK",,,"MISS LAYUP by RICHARDSON,TERIK",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
19:14,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by RICHARDSON,TERIK",,,"REBOUND DEF by RICHARDSON,TERIK",1
18:54,,,,,"MISS 3PTR by SIMPSON,DAVID",,,"MISS 3PTR by SIMPSON,DAVID",1
--,"REBOUND DEF by GARDNER,ROBERT",,,,,,,"REBOUND DEF by GARDNER,ROBERT",1
18:33,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
18:30,"MISS LAYUP by BLANZ,BUCK",,,,,,,"MISS LAYUP by BLANZ,BUCK",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
18:05,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by RICHARDSON,TERIK",,,"REBOUND DEF by RICHARDSON,TERIK",1
17:43,,0,,3 (+3),"GOOD 3PTR by DAVIS,RON",BU 0-3 (-3),,"GOOD 3PTR by DAVIS,RON",1
17:23,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2,,3 (+1),,MILLSAPS 2-3 (-1),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
17:22,,,,,"FOUL  by PRESSLEY,BRANDON",,,"FOUL  by PRESSLEY,BRANDON",1
17:22,"GOOD FT by BLANZ,BUCK",3,,3,,MILLSAPS 3-3 (0),,"GOOD FT by BLANZ,BUCK",1
17:09,,,,,"MISS JUMPER by RICHARDSON,TERIK",,,"MISS JUMPER by RICHARDSON,TERIK",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
16:59,"MISS 3PTR by GARDNER,ROBERT",,,,,,,"MISS 3PTR by GARDNER,ROBERT",1
--,,,,,"REBOUND DEF by DAVIS,RON",,,"REBOUND DEF by DAVIS,RON",1
16:42,,,,,"MISS LAYUP by DAVIS,RON",,,"MISS LAYUP by DAVIS,RON",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
16:35,"GOOD LAYUP by GARDNER,ROBERT(fastbreak)(in the paint)",5 (+2),,3,,MILLSAPS 5-3 (+2),,"GOOD LAYUP by GARDNER,ROBERT(fastbreak)(in the paint)",1
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",1
16:19,,,,,"MISS LAYUP by PRESSLEY,BRANDON",,,"MISS LAYUP by PRESSLEY,BRANDON",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
16:10,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
16:10,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
16:10,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
16:10,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
