Time Remaining,TLUMEN,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
19:47,"MISS 3PTR by BEHR,ZACH",,,,,,,"MISS 3PTR by BEHR,ZACH",1
--,"REBOUND OFF by JOWELL,HARRIS",,,,,,,"REBOUND OFF by JOWELL,HARRIS",1
19:35,"GOOD LAYUP by BEHR,ZACH(in the paint)",2 (+2),,0,,TLUMEN 2-0 (-2),,"GOOD LAYUP by BEHR,ZACH(in the paint)",1
--,"ASSIST  by RAY,BLAKE",,,,,,,"ASSIST  by RAY,BLAKE",1
19:19,"FOUL  by RAY,BLAKE",,,,,,,"FOUL  by RAY,BLAKE",1
19:02,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",1
--,"REBOUND DEF by JOWELL,HARRIS",,,,,,,"REBOUND DEF by JOWELL,HARRIS",1
18:52,"GOOD 3PTR by SULLIVAN,MICHAEL",5 (+5),,0,,TLUMEN 5-0 (-5),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,"ASSIST  by BEHR,ZACH",,,,,,,"ASSIST  by BEHR,ZACH",1
18:32,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
18:12,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
18:07,"TURNOVER  by JOWELL,HARRIS",,,,,,,"TURNOVER  by JOWELL,HARRIS",1
17:52,,,,,"MISS 3PTR by MASON,WADE",,,"MISS 3PTR by MASON,WADE",1
--,"REBOUND DEF by JOWELL,HARRIS",,,,,,,"REBOUND DEF by JOWELL,HARRIS",1
17:33,"GOOD LAYUP by RAY,BLAKE(in the paint)",7 (+7),,0,,TLUMEN 7-0 (-7),,"GOOD LAYUP by RAY,BLAKE(in the paint)",1
--,"ASSIST  by KOUREMETIS,JORDAN",,,,,,,"ASSIST  by KOUREMETIS,JORDAN",1
17:19,,7 (+5),,2,"GOOD JUMPER by GARDNER,ROBERT",MMB 7-2 (-5),,"GOOD JUMPER by GARDNER,ROBERT",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
16:59,"MISS 3PTR by BEHR,ZACH",,,,,,,"MISS 3PTR by BEHR,ZACH",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
16:40,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
16:40,"BLOCK  by RAY,BLAKE",,,,,,,"BLOCK  by RAY,BLAKE",1
--,"REBOUND DEF by JOWELL,HARRIS",,,,,,,"REBOUND DEF by JOWELL,HARRIS",1
16:23,"GOOD LAYUP by KOUREMETIS,JORDAN(in the paint)",9 (+7),,2,,TLUMEN 9-2 (-7),,"GOOD LAYUP by KOUREMETIS,JORDAN(in the paint)",1
--,"ASSIST  by JOWELL,HARRIS",,,,,,,"ASSIST  by JOWELL,HARRIS",1
16:23,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
16:23,,9 (+6),,3,"GOOD FT by GAGEN,BRENNAN",MMB 9-3 (-6),,"GOOD FT by GAGEN,BRENNAN",1
16:23,,9 (+5),,4,"GOOD FT by GAGEN,BRENNAN",MMB 9-4 (-5),,"GOOD FT by GAGEN,BRENNAN",1
16:23,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
16:23,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
16:23,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
16:23,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
