Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
15:40,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
15:40,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:40,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
15:40,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
15:40,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
15:40,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
15:40,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
15:40,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
15:40,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
15:40,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
15:35,"FOUL  by YANCEY,RICH",,,,,,,"FOUL  by YANCEY,RICH",1
15:28,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,,,,,"REBOUND OFF by KOHNKE,SAM",,,"REBOUND OFF by KOHNKE,SAM",1
15:23,,,,,"MISS LAYUP by KOHNKE,SAM",,,"MISS LAYUP by KOHNKE,SAM",1
15:23,"BLOCK  by MOORE,KADEN",,,,,,,"BLOCK  by MOORE,KADEN",1
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",1
15:16,"MISS 3PTR by HARDIMAN,BEN",,,,,,,"MISS 3PTR by HARDIMAN,BEN",1
--,"REBOUND OFF by MURPHY,JUWAN",,,,,,,"REBOUND OFF by MURPHY,JUWAN",1
14:58,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
14:58,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
14:58,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
14:53,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",1
14:33,"TURNOVER  by MURPHY,JUWAN",,,,,,,"TURNOVER  by MURPHY,JUWAN",1
14:33,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
14:33,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
14:33,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
14:33,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
14:27,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
14:27,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
14:27,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
14:27,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
14:12,"MISS 3PTR by PERKINS,ALEX",,,,,,,"MISS 3PTR by PERKINS,ALEX",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
14:07,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
14:07,,6 (+4),,2,"GOOD FT by BECKER,SAXTON",MMB 6-2 (-4),,"GOOD FT by BECKER,SAXTON",1
14:07,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
13:56,"MISS 3PTR by PERKINS,ALEX",,,,,,,"MISS 3PTR by PERKINS,ALEX",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
13:43,,6 (+2),,4,"GOOD LAYUP by KOHNKE,SAM(in the paint)",MMB 6-4 (-2),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
13:25,"GOOD 3PTR by PERKINS,ALEX",9 (+5),,4,,16BSC-M 9-4 (-5),,"GOOD 3PTR by PERKINS,ALEX",1
--,"ASSIST  by BAK,CALVIN",,,,,,,"ASSIST  by BAK,CALVIN",1
12:57,,9 (+3),,6,"GOOD LAYUP by MASON,WADE(in the paint)",MMB 9-6 (-3),,"GOOD LAYUP by MASON,WADE(in the paint)",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
12:51,"MISS JUMPER by MURPHY,JUWAN",,,,,,,"MISS JUMPER by MURPHY,JUWAN",1
--,"REBOUND OFF by HARDIMAN,BEN",,,,,,,"REBOUND OFF by HARDIMAN,BEN",1
12:50,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
12:50,"MISS FT by PERKINS,ALEX",,,,,,,"MISS FT by PERKINS,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:50,"MISS FT by PERKINS,ALEX",,,,,,,"MISS FT by PERKINS,ALEX",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
12:50,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
12:50,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
12:50,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
12:50,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
12:50,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
12:50,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
12:50,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
12:50,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
12:31,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
12:31,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
12:31,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
12:31,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
12:31,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
12:31,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
12:31,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
12:31,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
12:21,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
12:21,,9 (+2),,7,"GOOD FT by TURNER,JAMES",MMB 9-7 (-2),,"GOOD FT by TURNER,JAMES",1
12:21,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
12:05,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
12:00,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",11 (+4),,7,,16BSC-M 11-7 (-4),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",1
11:41,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
11:34,"GOOD 3PTR by LEWIS,EVAN",14 (+7),,7,,16BSC-M 14-7 (-7),,"GOOD 3PTR by LEWIS,EVAN",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
11:23,,14 (+4),,10,"GOOD 3PTR by BECKER,SAXTON",MMB 14-10 (-4),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",1
11:03,"GOOD 3PTR by MCLEAN,JAMES",17 (+7),,10,,16BSC-M 17-10 (-7),,"GOOD 3PTR by MCLEAN,JAMES",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
10:34,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
10:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:34,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
10:34,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
10:34,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
10:34,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
10:23,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",19 (+9),,10,,16BSC-M 19-10 (-9),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
10:01,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
10:01,,,,,"MISS FT by BLANZ,BUCK",,,"MISS FT by BLANZ,BUCK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:01,,,,,"MISS FT by BLANZ,BUCK",,,"MISS FT by BLANZ,BUCK",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
10:01,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
10:01,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
09:31,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
09:31,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
09:20,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
09:15,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
09:00,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
09:00,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
09:00,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
09:00,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
09:00,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
09:00,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
09:00,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
09:00,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
08:47,"MISS 3PTR by MOORE,KADEN",,,,,,,"MISS 3PTR by MOORE,KADEN",1
--,"REBOUND OFF by MOORE,KADEN",,,,,,,"REBOUND OFF by MOORE,KADEN",1
08:42,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",1
08:42,"GOOD FT by MOORE,KADEN",20 (+10),,10,,16BSC-M 20-10 (-10),,"GOOD FT by MOORE,KADEN",1
08:42,"MISS FT by MOORE,KADEN",,,,,,,"MISS FT by MOORE,KADEN",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
08:42,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
08:42,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
08:42,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
08:42,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
08:32,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
08:32,,20 (+9),,11,"GOOD FT by GAGEN,BRENNAN",MMB 20-11 (-9),,"GOOD FT by GAGEN,BRENNAN",1
08:32,,,,,"MISS FT by GAGEN,BRENNAN",,,"MISS FT by GAGEN,BRENNAN",1
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",1
08:32,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
08:32,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
08:32,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
08:32,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
08:19,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
08:19,"MISS FT by MURPHY,JUWAN",,,,,,,"MISS FT by MURPHY,JUWAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:19,"MISS FT by MURPHY,JUWAN",,,,,,,"MISS FT by MURPHY,JUWAN",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
08:19,,,,,"SUB IN by MANNING,JOHNATHAN",,,"SUB IN by MANNING,JOHNATHAN",1
08:19,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
08:17,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
08:17,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:17,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",1
--,"REBOUND OFF by MOORE,KADEN",,,,,,,"REBOUND OFF by MOORE,KADEN",1
08:15,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
08:15,"MISS FT by MOORE,KADEN",,,,,,,"MISS FT by MOORE,KADEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:15,"GOOD FT by MOORE,KADEN",21 (+10),,11,,16BSC-M 21-11 (-10),,"GOOD FT by MOORE,KADEN",1
08:03,,21 (+8),,13,"GOOD DUNK by TULLOS,ZACHARY(in the paint)",MMB 21-13 (-8),,"GOOD DUNK by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
07:37,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
07:36,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",1
07:35,,21 (+6),,15,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",MMB 21-15 (-6),,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",1
07:09,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
07:09,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:09,"GOOD FT by GRAHAM,CHRIS",22 (+7),,15,,16BSC-M 22-15 (-7),,"GOOD FT by GRAHAM,CHRIS",1
07:09,"GOOD FT by GRAHAM,CHRIS",23 (+8),,15,,16BSC-M 23-15 (-8),,"GOOD FT by GRAHAM,CHRIS",1
07:09,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
07:09,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
07:09,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
07:09,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
07:09,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
07:09,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
07:09,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
07:09,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
07:09,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
07:09,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
07:06,,,,,"TURNOVER  by MANNING,JOHNATHAN",,,"TURNOVER  by MANNING,JOHNATHAN",1
07:06,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
07:06,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
07:00,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",25 (+10),,15,,16BSC-M 25-15 (-10),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
06:31,,,,,"MISS LAYUP by KOHNKE,SAM",,,"MISS LAYUP by KOHNKE,SAM",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
06:14,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",1
06:14,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
06:14,,25 (+9),,16,"GOOD FT by COLEMAN,DANIEL",MMB 25-16 (-9),,"GOOD FT by COLEMAN,DANIEL",1
06:14,,25 (+8),,17,"GOOD FT by COLEMAN,DANIEL",MMB 25-17 (-8),,"GOOD FT by COLEMAN,DANIEL",1
06:14,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
06:14,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
06:14,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
06:14,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
06:14,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
06:14,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
06:03,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",27 (+10),,17,,16BSC-M 27-17 (-10),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
--,"ASSIST  by HARDIMAN,BEN",,,,,,,"ASSIST  by HARDIMAN,BEN",1
05:52,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
05:51,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",1
05:45,"TURNOVER  by HARDIMAN,BEN",,,,,,,"TURNOVER  by HARDIMAN,BEN",1
05:25,,27 (+8),,19,"GOOD LAYUP by BLANZ,BUCK(in the paint)",MMB 27-19 (-8),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
05:08,"MISS LAYUP by MOORE,KADEN",,,,,,,"MISS LAYUP by MOORE,KADEN",1
--,"REBOUND OFF by MOORE,KADEN",,,,,,,"REBOUND OFF by MOORE,KADEN",1
05:03,"GOOD LAYUP by MOORE,KADEN(in the paint)",29 (+10),,19,,16BSC-M 29-19 (-10),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
05:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:36,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:16,,29 (+7),,22,"GOOD 3PTR by COLEMAN,DANIEL",MMB 29-22 (-7),,"GOOD 3PTR by COLEMAN,DANIEL",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
04:05,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",1
04:05,"GOOD FT by THOM,IAN",30 (+8),,22,,16BSC-M 30-22 (-8),,"GOOD FT by THOM,IAN",1
04:05,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
04:05,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
04:05,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
03:53,,30 (+6),,24,"GOOD LAYUP by KOHNKE,SAM(in the paint)",MMB 30-24 (-6),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
03:42,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
03:42,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
03:42,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:42,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
03:42,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
03:19,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",1
