Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
19:40,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
19:19,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
19:10,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
18:49,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2 (+2),,0,,16BSC-M 2-0 (-2),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",1
18:41,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
18:30,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",4 (+4),,0,,16BSC-M 4-0 (-4),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by RUDAK,MATTY",,,,,,,"ASSIST  by RUDAK,MATTY",1
18:16,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
18:16,,,,,"MISS FT by GARDNER,ROBERT",,,"MISS FT by GARDNER,ROBERT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:16,,4 (+3),,1,"GOOD FT by GARDNER,ROBERT",MMB 4-1 (-3),,"GOOD FT by GARDNER,ROBERT",1
17:56,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
17:56,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",1
17:56,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
17:56,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
17:56,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
17:43,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
17:28,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
17:16,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
17:06,,,,,"MISS LAYUP by GARDNER,ROBERT",,,"MISS LAYUP by GARDNER,ROBERT",1
17:06,"BLOCK  by MCLEAN,JAMES",,,,,,,"BLOCK  by MCLEAN,JAMES",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
17:04,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
17:04,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:57,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
16:57,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
16:56,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",1
16:53,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",6 (+5),,1,,16BSC-M 6-1 (-5),,"GOOD LAYUP by LEWIS,EVAN(fastbreak)(in the paint)",1
16:39,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
16:26,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
16:08,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
16:08,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
16:08,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
16:08,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
16:08,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
16:08,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
16:08,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
15:57,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
15:51,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",1
15:42,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
15:41,,,,,"STEAL  by MANCUSO,LOGAN",,,"STEAL  by MANCUSO,LOGAN",1
