Time Remaining,LOU,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
19:34,"MISS JUMPER by WATKINS,BRANDON",,,,,,,"MISS JUMPER by WATKINS,BRANDON",1
--,"REBOUND OFF by EVANS,STEVE",,,,,,,"REBOUND OFF by EVANS,STEVE",1
19:07,"MISS JUMPER by PARKER,JOHN",,,,,,,"MISS JUMPER by PARKER,JOHN",1
--,"REBOUND OFF by WATKINS,BRANDON",,,,,,,"REBOUND OFF by WATKINS,BRANDON",1
19:03,"GOOD LAYUP by WATKINS,BRANDON(in the paint)",2 (+2),,0,,LOU 2-0 (-2),,"GOOD LAYUP by WATKINS,BRANDON(in the paint)",1
18:44,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by PARKER,JOHN",,,,,,,"REBOUND DEF by PARKER,JOHN",1
18:10,"TURNOVER  by COTTONHAM,KEVIN",,,,,,,"TURNOVER  by COTTONHAM,KEVIN",1
18:08,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",1
18:01,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
17:58,"STEAL  by STOKES,TIMOTHY",,,,,,,"STEAL  by STOKES,TIMOTHY",1
17:56,"TURNOVER  by PARKER,JOHN",,,,,,,"TURNOVER  by PARKER,JOHN",1
17:52,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",1
17:49,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND DEF by PARKER,JOHN",,,,,,,"REBOUND DEF by PARKER,JOHN",1
17:16,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:16,"SUB OUT by PARKER,JOHN",,,,,,,"SUB OUT by PARKER,JOHN",1
17:16,"SUB OUT by HILL,PALMER",,,,,,,"SUB OUT by HILL,PALMER",1
17:16,"SUB OUT by DAVIS,MIKE",,,,,,,"SUB OUT by DAVIS,MIKE",1
17:16,"SUB OUT by LEBLANC,LEJAWON",,,,,,,"SUB OUT by LEBLANC,LEJAWON",1
17:16,"SUB OUT by COLEMAN,J",,,,,,,"SUB OUT by COLEMAN,J",1
17:16,"SUB IN by BURKS,NICK",,,,,,,"SUB IN by BURKS,NICK",1
17:16,"SUB IN by LEE,TORRIAN",,,,,,,"SUB IN by LEE,TORRIAN",1
17:16,"SUB IN by GROGAN,TAYLAN",,,,,,,"SUB IN by GROGAN,TAYLAN",1
17:16,"SUB IN by REGIS,RAHEEM",,,,,,,"SUB IN by REGIS,RAHEEM",1
17:16,"SUB IN by EVANS,STEVE",,,,,,,"SUB IN by EVANS,STEVE",1
17:16,"SUB IN by DAVIS,D'AARON",,,,,,,"SUB IN by DAVIS,D'AARON",1
17:16,"SUB OUT by EVANS,STEVE",,,,,,,"SUB OUT by EVANS,STEVE",1
17:03,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND DEF by REGIS,RAHEEM",,,,,,,"REBOUND DEF by REGIS,RAHEEM",1
16:49,"TURNOVER  by REGIS,RAHEEM",,,,,,,"TURNOVER  by REGIS,RAHEEM",1
16:49,"FOUL  by REGIS,RAHEEM",,,,,,,"FOUL  by REGIS,RAHEEM",1
16:49,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
