Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
14:06,"MISS 3PTR by DURHAM,JONATHAN",,,,,,,"MISS 3PTR by DURHAM,JONATHAN",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
13:45,,25,,32 (+7),"GOOD LAYUP by KOHNKE,SAM(in the paint)",MMB 25-32 (+7),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
13:26,"TURNOVER  by JONES,JUSTIN",,,,,,,"TURNOVER  by JONES,JUSTIN",2
13:18,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",2
13:18,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",2
13:18,"SUB IN by DAVIS,RON",,,,,,,"SUB IN by DAVIS,RON",2
13:18,"SUB IN by PATTERSON,KYLE",,,,,,,"SUB IN by PATTERSON,KYLE",2
13:18,"SUB OUT by YOUNG-BEASLEY,DJ",,,,,,,"SUB OUT by YOUNG-BEASLEY,DJ",2
13:18,"SUB OUT by ANDERSON,DYRON",,,,,,,"SUB OUT by ANDERSON,DYRON",2
13:18,"SUB OUT by HEERINGEN,GIAN VAN",,,,,,,"SUB OUT by HEERINGEN,GIAN VAN",2
13:18,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",2
13:09,"FOUL  by BROWN,ISIAH",,,,,,,"FOUL  by BROWN,ISIAH",2
13:05,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",2
12:53,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
12:53,"GOOD FT by BROWN,ISIAH",26,,32 (+6),,BU 26-32 (+6),,"GOOD FT by BROWN,ISIAH",2
12:53,"GOOD FT by BROWN,ISIAH",27,,32 (+5),,BU 27-32 (+5),,"GOOD FT by BROWN,ISIAH",2
12:53,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",2
--,"REBOUND DEF by PRICE,VICTOR",,,,,,,"REBOUND DEF by PRICE,VICTOR",2
12:53,"MISS JUMPER by BROWN,ISIAH",,,,,,,"MISS JUMPER by BROWN,ISIAH",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
12:53,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",2
--,"REBOUND DEF by PRICE,VICTOR",,,,,,,"REBOUND DEF by PRICE,VICTOR",2
12:53,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",2
12:53,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
12:53,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",2
--,,,,,"REBOUND DEF by MASON,WADE",,,"REBOUND DEF by MASON,WADE",2
12:53,,27,,34 (+7),"GOOD LAYUP by MASON,WADE(in the paint)",MMB 27-34 (+7),,"GOOD LAYUP by MASON,WADE(in the paint)",2
12:52,"TURNOVER  by BROWN,ISIAH",,,,,,,"TURNOVER  by BROWN,ISIAH",2
12:51,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
12:51,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",2
12:32,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",2
12:12,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",29,,34 (+5),,BU 29-34 (+5),,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",2
12:09,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",2
12:04,"MISS FT by PRESSLEY,BRANDON",,,,,,,"MISS FT by PRESSLEY,BRANDON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:01,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:58,"FOUL  by RICHARDSON,TERIK",,,,,,,"FOUL  by RICHARDSON,TERIK",2
10:58,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",2
10:58,"SUB IN by LORIS,JOHN",,,,,,,"SUB IN by LORIS,JOHN",2
10:58,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",2
10:58,"SUB OUT by DURHAM,JONATHAN",,,,,,,"SUB OUT by DURHAM,JONATHAN",2
10:58,"SUB OUT by BROWN,ISIAH",,,,,,,"SUB OUT by BROWN,ISIAH",2
10:58,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",2
10:58,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
10:58,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",2
10:58,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
10:58,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
10:56,,29,,37 (+8),"GOOD 3PTR by GARDNER,ROBERT",MMB 29-37 (+8),,"GOOD 3PTR by GARDNER,ROBERT",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
10:35,"TURNOVER  by RICHARDSON,TERIK",,,,,,,"TURNOVER  by RICHARDSON,TERIK",2
10:34,,,,,"STEAL  by GARDNER,ROBERT",,,"STEAL  by GARDNER,ROBERT",2
10:31,,,,,"MISS LAYUP by GARDNER,ROBERT",,,"MISS LAYUP by GARDNER,ROBERT",2
--,"REBOUND DEF by RICHARDSON,TERIK",,,,,,,"REBOUND DEF by RICHARDSON,TERIK",2
10:25,"MISS 3PTR by PRICE,VICTOR",,,,,,,"MISS 3PTR by PRICE,VICTOR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:19,"SUB IN by DURHAM,JONATHAN",,,,,,,"SUB IN by DURHAM,JONATHAN",2
10:19,"SUB OUT by RICHARDSON,TERIK",,,,,,,"SUB OUT by RICHARDSON,TERIK",2
10:17,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",2
10:00,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",2
10:00,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
10:00,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",2
10:00,"SUB OUT by LORIS,JOHN",,,,,,,"SUB OUT by LORIS,JOHN",2
10:00,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
10:00,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
09:50,"MISS 3PTR by ANDERSON,DYRON",,,,,,,"MISS 3PTR by ANDERSON,DYRON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:47,"FOUL  by PRESSLEY,BRANDON",,,,,,,"FOUL  by PRESSLEY,BRANDON",2
09:32,"FOUL  by PRICE,VICTOR",,,,,,,"FOUL  by PRICE,VICTOR",2
09:31,"FOUL  by DURHAM,JONATHAN",,,,,,,"FOUL  by DURHAM,JONATHAN",2
09:15,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",2
09:13,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
09:05,"GOOD FT by DAVIS,RON",30,,37 (+7),,BU 30-37 (+7),,"GOOD FT by DAVIS,RON",2
08:47,"GOOD FT by DAVIS,RON",31,,37 (+6),,BU 31-37 (+6),,"GOOD FT by DAVIS,RON",2
08:42,"FOUL  by PRESSLEY,BRANDON",,,,,,,"FOUL  by PRESSLEY,BRANDON",2
08:39,,31,,39 (+8),"GOOD LAYUP by BLANZ,BUCK(in the paint)",MMB 31-39 (+8),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
08:39,"MISS LAYUP by PRICE,VICTOR",,,,,,,"MISS LAYUP by PRICE,VICTOR",2
--,"REBOUND OFF by PRESSLEY,BRANDON",,,,,,,"REBOUND OFF by PRESSLEY,BRANDON",2
08:39,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",33,,39 (+6),,BU 33-39 (+6),,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",2
08:38,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
08:38,"FOUL TECH by PRESSLEY,BRANDON",,,,,,,"FOUL TECH by PRESSLEY,BRANDON",2
08:38,,33,,40 (+7),"GOOD FT by BECKER,SAXTON",MMB 33-40 (+7),,"GOOD FT by BECKER,SAXTON",2
08:38,,33,,41 (+8),"GOOD FT by BECKER,SAXTON",MMB 33-41 (+8),,"GOOD FT by BECKER,SAXTON",2
08:38,"MISS FT by PRESSLEY,BRANDON",,,,,,,"MISS FT by PRESSLEY,BRANDON",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
08:37,"FOUL  by PRICE,VICTOR",,,,,,,"FOUL  by PRICE,VICTOR",2
08:32,,33,,42 (+9),"GOOD FT by TURNER,JAMES",MMB 33-42 (+9),,"GOOD FT by TURNER,JAMES",2
08:32,,33,,43 (+10),"GOOD FT by TURNER,JAMES",MMB 33-43 (+10),,"GOOD FT by TURNER,JAMES",2
08:32,"SUB IN by HEERINGEN,GIAN VAN",,,,,,,"SUB IN by HEERINGEN,GIAN VAN",2
08:32,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",2
08:32,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
08:32,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
08:08,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
07:55,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
07:35,"TURNOVER  by HEERINGEN,GIAN VAN",,,,,,,"TURNOVER  by HEERINGEN,GIAN VAN",2
07:32,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
07:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:31,"SUB IN by PATTERSON,KYLE",,,,,,,"SUB IN by PATTERSON,KYLE",2
07:31,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",2
07:31,"SUB OUT by ANDERSON,DYRON",,,,,,,"SUB OUT by ANDERSON,DYRON",2
07:31,"SUB OUT by HEERINGEN,GIAN VAN",,,,,,,"SUB OUT by HEERINGEN,GIAN VAN",2
07:29,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
07:28,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
07:28,"GOOD FT by PATTERSON,KYLE",34,,43 (+9),,BU 34-43 (+9),,"GOOD FT by PATTERSON,KYLE",2
07:28,"MISS FT by PATTERSON,KYLE",,,,,,,"MISS FT by PATTERSON,KYLE",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
07:28,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",2
07:28,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
07:22,,34,,45 (+11),"GOOD LAYUP by MASON,WADE(in the paint)",MMB 34-45 (+11),,"GOOD LAYUP by MASON,WADE(in the paint)",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
07:10,"TURNOVER  by BROWN,ISIAH",,,,,,,"TURNOVER  by BROWN,ISIAH",2
07:08,,,,,"STEAL  by MASON,WADE",,,"STEAL  by MASON,WADE",2
07:06,,,,,"TURNOVER  by MASON,WADE",,,"TURNOVER  by MASON,WADE",2
07:02,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
07:02,"GOOD FT by BROWN,ISIAH",35,,45 (+10),,BU 35-45 (+10),,"GOOD FT by BROWN,ISIAH",2
07:02,"GOOD FT by BROWN,ISIAH",36,,45 (+9),,BU 36-45 (+9),,"GOOD FT by BROWN,ISIAH",2
06:43,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",2
--,,,,,"REBOUND OFF by MASON,WADE",,,"REBOUND OFF by MASON,WADE",2
06:31,"FOUL  by DAVIS,RON",,,,,,,"FOUL  by DAVIS,RON",2
06:31,,,,,"MISS FT by MASON,WADE",,,"MISS FT by MASON,WADE",2
--,"REBOUND DEF by PATTERSON,KYLE",,,,,,,"REBOUND DEF by PATTERSON,KYLE",2
06:31,"TURNOVER  by PATTERSON,KYLE",,,,,,,"TURNOVER  by PATTERSON,KYLE",2
06:31,,,,,"STEAL  by BECKER,SAXTON",,,"STEAL  by BECKER,SAXTON",2
06:31,,36,,47 (+11),"GOOD LAYUP by MASON,WADE(in the paint)",MMB 36-47 (+11),,"GOOD LAYUP by MASON,WADE(in the paint)",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
06:26,"FOUL  by DURHAM,JONATHAN",,,,,,,"FOUL  by DURHAM,JONATHAN",2
06:18,,36,,48 (+12),"GOOD FT by MASON,WADE",MMB 36-48 (+12),,"GOOD FT by MASON,WADE",2
06:10,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",2
06:02,"GOOD FT by DAVIS,RON",37,,48 (+11),,BU 37-48 (+11),,"GOOD FT by DAVIS,RON",2
05:58,"GOOD FT by DAVIS,RON",38,,48 (+10),,BU 38-48 (+10),,"GOOD FT by DAVIS,RON",2
05:58,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",2
05:58,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",2
05:58,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",2
05:58,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",2
05:58,"SUB OUT by DURHAM,JONATHAN",,,,,,,"SUB OUT by DURHAM,JONATHAN",2
05:58,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",2
05:58,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",2
05:58,"SUB OUT by BROWN,ISIAH",,,,,,,"SUB OUT by BROWN,ISIAH",2
05:43,,,,,"MISS LAYUP by BECKER,SAXTON",,,"MISS LAYUP by BECKER,SAXTON",2
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",2
05:36,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",2
05:36,"GOOD FT by YOUNG-BEASLEY,DJ",39,,48 (+9),,BU 39-48 (+9),,"GOOD FT by YOUNG-BEASLEY,DJ",2
05:36,"GOOD FT by YOUNG-BEASLEY,DJ",40,,48 (+8),,BU 40-48 (+8),,"GOOD FT by YOUNG-BEASLEY,DJ",2
05:36,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",2
05:36,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",2
05:29,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",2
--,"REBOUND DEF by ANDERSON,DYRON",,,,,,,"REBOUND DEF by ANDERSON,DYRON",2
05:18,"MISS LAYUP by DAVIS,RON",,,,,,,"MISS LAYUP by DAVIS,RON",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
04:59,,40,,50 (+10),"GOOD LAYUP by GARDNER,ROBERT(in the paint)",MMB 40-50 (+10),,"GOOD LAYUP by GARDNER,ROBERT(in the paint)",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
04:50,"MISS 3PTR by ANDERSON,DYRON",,,,,,,"MISS 3PTR by ANDERSON,DYRON",2
--,"REBOUND OFF by DURHAM,JONATHAN",,,,,,,"REBOUND OFF by DURHAM,JONATHAN",2
04:41,"MISS LAYUP by RICHARDSON,TERIK",,,,,,,"MISS LAYUP by RICHARDSON,TERIK",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
04:13,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:02,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",2
04:02,"SUB OUT by BROWN,ISIAH",,,,,,,"SUB OUT by BROWN,ISIAH",2
04:02,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
04:02,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",2
04:02,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
04:02,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",2
03:57,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
03:57,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
03:51,"MISS 3PTR by YOUNG-BEASLEY,DJ",,,,,,,"MISS 3PTR by YOUNG-BEASLEY,DJ",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
03:28,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
03:19,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
03:19,"MISS FT by PRESSLEY,BRANDON",,,,,,,"MISS FT by PRESSLEY,BRANDON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:19,"GOOD FT by PRESSLEY,BRANDON",41,,50 (+9),,BU 41-50 (+9),,"GOOD FT by PRESSLEY,BRANDON",2
03:19,"SUB IN by DURHAM,JONATHAN",,,,,,,"SUB IN by DURHAM,JONATHAN",2
03:19,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",2
03:19,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",2
03:19,"SUB IN by HODUM,RICK",,,,,,,"SUB IN by HODUM,RICK",2
03:19,"SUB OUT by ANDERSON,DYRON",,,,,,,"SUB OUT by ANDERSON,DYRON",2
03:19,"SUB OUT by YOUNG-BEASLEY,DJ",,,,,,,"SUB OUT by YOUNG-BEASLEY,DJ",2
03:19,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",2
03:19,"SUB OUT by RICHARDSON,TERIK",,,,,,,"SUB OUT by RICHARDSON,TERIK",2
03:14,"FOUL  by DURHAM,JONATHAN",,,,,,,"FOUL  by DURHAM,JONATHAN",2
03:14,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:14,,41,,51 (+10),"GOOD FT by TURNER,JAMES",MMB 41-51 (+10),,"GOOD FT by TURNER,JAMES",2
03:14,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",2
03:14,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",2
03:14,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",2
03:14,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",2
03:14,"SUB OUT by DURHAM,JONATHAN",,,,,,,"SUB OUT by DURHAM,JONATHAN",2
03:14,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",2
03:14,"SUB OUT by BROWN,ISIAH",,,,,,,"SUB OUT by BROWN,ISIAH",2
03:14,"SUB OUT by HODUM,RICK",,,,,,,"SUB OUT by HODUM,RICK",2
03:03,"MISS JUMPER by RICHARDSON,TERIK",,,,,,,"MISS JUMPER by RICHARDSON,TERIK",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
02:48,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",2
02:44,,41,,53 (+12),"GOOD LAYUP by BLANZ,BUCK(in the paint)",MMB 41-53 (+12),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
02:36,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",2
--,"REBOUND OFF by DAVIS,RON",,,,,,,"REBOUND OFF by DAVIS,RON",2
02:27,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
02:27,"MISS FT by RICHARDSON,TERIK",,,,,,,"MISS FT by RICHARDSON,TERIK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:27,"GOOD FT by RICHARDSON,TERIK",42,,53 (+11),,BU 42-53 (+11),,"GOOD FT by RICHARDSON,TERIK",2
02:27,"SUB IN by HODUM,RICK",,,,,,,"SUB IN by HODUM,RICK",2
02:27,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",2
02:27,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",2
02:27,"SUB OUT by ANDERSON,DYRON",,,,,,,"SUB OUT by ANDERSON,DYRON",2
02:27,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",2
02:27,"SUB OUT by YOUNG-BEASLEY,DJ",,,,,,,"SUB OUT by YOUNG-BEASLEY,DJ",2
02:09,,42,,55 (+13),"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 42-55 (+13),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
01:58,"MISS 3PTR by PRICE,VICTOR",,,,,,,"MISS 3PTR by PRICE,VICTOR",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
01:48,"FOUL TECH by HODUM,RICK",,,,,,,"FOUL TECH by HODUM,RICK",2
01:48,,42,,56 (+14),"GOOD FT by TURNER,JAMES",MMB 42-56 (+14),,"GOOD FT by TURNER,JAMES",2
01:48,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:48,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",2
--,"REBOUND DEF by HODUM,RICK",,,,,,,"REBOUND DEF by HODUM,RICK",2
01:48,"GOOD LAYUP by DAVIS,RON(in the paint)",44,,56 (+12),,BU 44-56 (+12),,"GOOD LAYUP by DAVIS,RON(in the paint)",2
01:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:24,"FOUL  by BROWN,ISIAH",,,,,,,"FOUL  by BROWN,ISIAH",2
01:24,,44,,57 (+13),"GOOD FT by GAGEN,BRENNAN",MMB 44-57 (+13),,"GOOD FT by GAGEN,BRENNAN",2
01:24,,,,,"MISS FT by GAGEN,BRENNAN",,,"MISS FT by GAGEN,BRENNAN",2
--,"REBOUND DEF by YOUNG-BEASLEY,DJ",,,,,,,"REBOUND DEF by YOUNG-BEASLEY,DJ",2
01:24,"GOOD 3PTR by YOUNG-BEASLEY,DJ",47,,57 (+10),,BU 47-57 (+10),,"GOOD 3PTR by YOUNG-BEASLEY,DJ",2
--,"ASSIST  by PRICE,VICTOR",,,,,,,"ASSIST  by PRICE,VICTOR",2
01:24,"SUB IN by COLE,DAVID",,,,,,,"SUB IN by COLE,DAVID",2
01:24,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",2
01:24,"SUB OUT by HODUM,RICK",,,,,,,"SUB OUT by HODUM,RICK",2
01:24,"SUB OUT by BROWN,ISIAH",,,,,,,"SUB OUT by BROWN,ISIAH",2
01:06,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
01:05,"STEAL  by PRICE,VICTOR",,,,,,,"STEAL  by PRICE,VICTOR",2
01:03,"GOOD LAYUP by DAVIS,RON(in the paint)",49,,57 (+8),,BU 49-57 (+8),,"GOOD LAYUP by DAVIS,RON(in the paint)",2
--,"ASSIST  by PRICE,VICTOR",,,,,,,"ASSIST  by PRICE,VICTOR",2
01:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:56,"FOUL  by HODUM,RICK",,,,,,,"FOUL  by HODUM,RICK",2
00:56,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:56,,49,,58 (+9),"GOOD FT by TURNER,JAMES",MMB 49-58 (+9),,"GOOD FT by TURNER,JAMES",2
00:56,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",2
00:56,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
00:48,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",2
00:48,"MISS FT by DAVIS,RON",,,,,,,"MISS FT by DAVIS,RON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:48,"GOOD FT by DAVIS,RON",50,,58 (+8),,BU 50-58 (+8),,"GOOD FT by DAVIS,RON",2
00:48,"FOUL  by HODUM,RICK",,,,,,,"FOUL  by HODUM,RICK",2
00:48,,50,,59 (+9),"GOOD FT by TURNER,JAMES",MMB 50-59 (+9),,"GOOD FT by TURNER,JAMES",2
00:48,,50,,60 (+10),"GOOD FT by TURNER,JAMES",MMB 50-60 (+10),,"GOOD FT by TURNER,JAMES",2
00:48,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",2
00:48,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",2
00:48,"SUB IN by HODUM,RICK",,,,,,,"SUB IN by HODUM,RICK",2
00:48,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",2
00:40,"GOOD LAYUP by DAVIS,RON(in the paint)",52,,60 (+8),,BU 52-60 (+8),,"GOOD LAYUP by DAVIS,RON(in the paint)",2
