Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
13:10,"GOOD 3PTR by DURHAM,JONATHAN",15 (+13),,2,,BU 15-2 (-13),,"GOOD 3PTR by DURHAM,JONATHAN",1
--,"ASSIST  by ANDERSON,DYRON",,,,,,,"ASSIST  by ANDERSON,DYRON",1
12:50,,15 (+10),,5,"GOOD 3PTR by BECKER,SAXTON",MMB 15-5 (-10),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
12:24,"MISS 3PTR by DURHAM,JONATHAN",,,,,,,"MISS 3PTR by DURHAM,JONATHAN",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
12:15,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
12:14,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
12:14,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
12:14,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
12:14,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
11:55,"MISS LAYUP by JONES,JUSTIN",,,,,,,"MISS LAYUP by JONES,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:46,"MISS 3PTR by YOUNG-BEASLEY,DJ",,,,,,,"MISS 3PTR by YOUNG-BEASLEY,DJ",1
--,"REBOUND OFF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND OFF by HEERINGEN,GIAN VAN",1
11:26,"GOOD LAYUP by ANDERSON,DYRON(in the paint)",17 (+12),,5,,BU 17-5 (-12),,"GOOD LAYUP by ANDERSON,DYRON(in the paint)",1
11:06,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",1
10:50,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",1
10:50,"BLOCK  by YOUNG-BEASLEY,DJ",,,,,,,"BLOCK  by YOUNG-BEASLEY,DJ",1
--,"REBOUND DEF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
10:33,"TURNOVER  by ANDERSON,DYRON",,,,,,,"TURNOVER  by ANDERSON,DYRON",1
10:33,"FOUL  by ANDERSON,DYRON",,,,,,,"FOUL  by ANDERSON,DYRON",1
10:33,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",1
10:33,"SUB IN by BROWN,ISIAH",,,,,,,"SUB IN by BROWN,ISIAH",1
10:33,"SUB IN by DAVIS,RON",,,,,,,"SUB IN by DAVIS,RON",1
10:33,"SUB IN by PATTERSON,KYLE",,,,,,,"SUB IN by PATTERSON,KYLE",1
10:33,"SUB OUT by YOUNG-BEASLEY,DJ",,,,,,,"SUB OUT by YOUNG-BEASLEY,DJ",1
10:33,"SUB OUT by HEERINGEN,GIAN VAN",,,,,,,"SUB OUT by HEERINGEN,GIAN VAN",1
10:33,"SUB OUT by ANDERSON,DYRON",,,,,,,"SUB OUT by ANDERSON,DYRON",1
10:33,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
10:18,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",1
--,,,,,"REBOUND OFF by MANCUSO,LOGAN",,,"REBOUND OFF by MANCUSO,LOGAN",1
10:14,,,,,"MISS LAYUP by MANCUSO,LOGAN",,,"MISS LAYUP by MANCUSO,LOGAN",1
--,"REBOUND DEF by DAVIS,RON",,,,,,,"REBOUND DEF by DAVIS,RON",1
10:12,"TURNOVER  by DAVIS,RON",,,,,,,"TURNOVER  by DAVIS,RON",1
10:11,,,,,"STEAL  by BECKER,SAXTON",,,"STEAL  by BECKER,SAXTON",1
10:08,,17 (+10),,7,"GOOD JUMPER by BECKER,SAXTON",MMB 17-7 (-10),,"GOOD JUMPER by BECKER,SAXTON",1
09:56,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
09:50,"MISS JUMPER by PRICE,VICTOR",,,,,,,"MISS JUMPER by PRICE,VICTOR",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
09:36,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,"REBOUND DEF by BROWN,ISIAH",,,,,,,"REBOUND DEF by BROWN,ISIAH",1
09:05,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
08:54,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by BROWN,ISIAH",,,,,,,"REBOUND DEF by BROWN,ISIAH",1
08:38,"MISS 3PTR by PRICE,VICTOR",,,,,,,"MISS 3PTR by PRICE,VICTOR",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
08:29,,17 (+8),,9,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 17-9 (-8),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
08:02,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",1
08:01,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",1
08:01,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",1
08:01,"SUB IN by LORIS,JOHN",,,,,,,"SUB IN by LORIS,JOHN",1
08:01,"SUB OUT by DURHAM,JONATHAN",,,,,,,"SUB OUT by DURHAM,JONATHAN",1
08:01,"SUB OUT by BROWN,ISIAH",,,,,,,"SUB OUT by BROWN,ISIAH",1
08:01,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
08:01,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
08:01,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
08:01,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
08:01,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
08:01,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
08:01,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
07:58,,17 (+5),,12,"GOOD 3PTR by KOHNKE,SAM",MMB 17-12 (-5),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",1
07:39,"TURNOVER  by LORIS,JOHN",,,,,,,"TURNOVER  by LORIS,JOHN",1
07:39,"FOUL  by LORIS,JOHN",,,,,,,"FOUL  by LORIS,JOHN",1
07:39,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:23,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
06:58,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",1
06:58,"FOUL  by PRICE,VICTOR",,,,,,,"FOUL  by PRICE,VICTOR",1
06:58,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
06:58,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
06:38,,17 (+2),,15,"GOOD 3PTR by KOHNKE,SAM",MMB 17-15 (-2),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
06:10,"GOOD 3PTR by DAVIS,RON",20 (+5),,15,,BU 20-15 (-5),,"GOOD 3PTR by DAVIS,RON",1
05:48,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by LORIS,JOHN",,,,,,,"REBOUND DEF by LORIS,JOHN",1
05:40,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
05:27,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
05:17,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by RICHARDSON,TERIK",,,,,,,"REBOUND DEF by RICHARDSON,TERIK",1
04:56,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
04:56,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
04:56,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
04:43,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
04:43,"MISS FT by PRESSLEY,BRANDON",,,,,,,"MISS FT by PRESSLEY,BRANDON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:43,"GOOD FT by PRESSLEY,BRANDON",21 (+6),,15,,BU 21-15 (-6),,"GOOD FT by PRESSLEY,BRANDON",1
04:35,,21 (+4),,17,"GOOD LAYUP by BECKER,SAXTON(in the paint)",MMB 21-17 (-4),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
04:08,"TURNOVER  by LORIS,JOHN",,,,,,,"TURNOVER  by LORIS,JOHN",1
04:06,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",1
04:06,"SUB OUT by LORIS,JOHN",,,,,,,"SUB OUT by LORIS,JOHN",1
03:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:40,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:33,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
03:07,"MISS 3PTR by PRESSLEY,BRANDON",,,,,,,"MISS 3PTR by PRESSLEY,BRANDON",1
--,"REBOUND OFF by RICHARDSON,TERIK",,,,,,,"REBOUND OFF by RICHARDSON,TERIK",1
02:42,"MISS JUMPER by DAVIS,RON",,,,,,,"MISS JUMPER by DAVIS,RON",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
