Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
18:29,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
18:29,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
18:17,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",2
18:17,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
17:52,,25,,28 (+3),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 25-28 (-3),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
17:36,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
17:12,,25,,30 (+5),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 25-30 (-5),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
16:45,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
16:40,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
16:40,"BLOCK  by GARDNER,ROBERT",,,,,,,"BLOCK  by GARDNER,ROBERT",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
16:30,"GOOD JUMPER by MANCUSO,LOGAN(fastbreak)(in the paint)",27,,30 (+3),,MMB 27-30 (-3),,"GOOD JUMPER by MANCUSO,LOGAN(fastbreak)(in the paint)",2
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",2
16:08,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
16:08,"BLOCK  by GARDNER,ROBERT",,,,,,,"BLOCK  by GARDNER,ROBERT",2
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",2
16:06,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
16:06,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
16:06,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",2
16:06,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
16:06,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
16:06,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
16:05,"STEAL  by GARDNER,ROBERT",,,,,,,"STEAL  by GARDNER,ROBERT",2
15:38,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
15:38,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
15:38,"MISS FT by GARDNER,ROBERT",,,,,,,"MISS FT by GARDNER,ROBERT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:38,"MISS FT by GARDNER,ROBERT",,,,,,,"MISS FT by GARDNER,ROBERT",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
15:14,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
15:14,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
15:14,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
15:14,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
15:14,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",2
15:01,"GOOD JUMPER by MASON,WADE",29,,30 (+1),,MMB 29-30 (-1),,"GOOD JUMPER by MASON,WADE",2
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",2
14:42,"FOUL  by MASON,WADE",,,,,,,"FOUL  by MASON,WADE",2
14:42,,29,,31 (+2),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 29-31 (-2),,"GOOD FT by LITTLEFIELD,GEAREN",2
14:42,,29,,32 (+3),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 29-32 (-3),,"GOOD FT by LITTLEFIELD,GEAREN",2
14:28,"GOOD JUMPER by MASON,WADE(in the paint)",31,,32 (+1),,MMB 31-32 (-1),,"GOOD JUMPER by MASON,WADE(in the paint)",2
14:13,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
14:13,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
14:13,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
14:13,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",2
14:13,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
14:13,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
14:13,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
13:56,,31,,34 (+3),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 31-34 (-3),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
13:46,"GOOD JUMPER by COLEMAN,DANIEL",33,,34 (+1),,MMB 33-34 (-1),,"GOOD JUMPER by COLEMAN,DANIEL",2
13:37,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",2
13:35,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
13:35,"SUB OUT by MASON,WADE",,,,,,,"SUB OUT by MASON,WADE",2
13:10,"MISS 3PTR by COLEMAN,DANIEL",,,,,,,"MISS 3PTR by COLEMAN,DANIEL",2
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",2
12:55,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",2
12:45,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",2
12:42,"STEAL  by TURNER,JAMES",,,,,,,"STEAL  by TURNER,JAMES",2
12:34,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
12:17,,33,,37 (+4),"GOOD 3PTR by STEELE,AARON",HENDRIX 33-37 (-4),,"GOOD 3PTR by STEELE,AARON",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
12:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:53,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",2
11:53,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",2
11:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:45,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",2
11:45,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
11:45,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
11:45,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",2
11:45,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
11:45,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",2
11:31,,33,,40 (+7),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 33-40 (-7),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
11:13,"GOOD LAYUP by BLANZ,BUCK(in the paint)",35,,40 (+5),,MMB 35-40 (-5),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",2
10:54,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:49,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
10:49,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
10:37,"GOOD 3PTR by KOHNKE,SAM",38,,40 (+2),,MMB 38-40 (-2),,"GOOD 3PTR by KOHNKE,SAM",2
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",2
10:05,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",2
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",2
09:55,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
09:49,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",2
09:49,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
09:36,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",2
09:35,"STEAL  by BECKER,SAXTON",,,,,,,"STEAL  by BECKER,SAXTON",2
09:11,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
08:41,,38,,43 (+5),"GOOD 3PTR by STEELE,AARON",HENDRIX 38-43 (-5),,"GOOD 3PTR by STEELE,AARON",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
08:13,"GOOD JUMPER by BECKER,SAXTON",40,,43 (+3),,MMB 40-43 (-3),,"GOOD JUMPER by BECKER,SAXTON",2
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",2
07:59,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
07:47,"GOOD JUMPER by BECKER,SAXTON",42,,43 (+1),,MMB 42-43 (-1),,"GOOD JUMPER by BECKER,SAXTON",2
--,"ASSIST  by MANCUSO,LOGAN",,,,,,,"ASSIST  by MANCUSO,LOGAN",2
07:21,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",2
07:03,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
06:47,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",2
06:47,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:47,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:47,,42,,44 (+2),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 42-44 (-2),,"GOOD FT by LITTLEFIELD,GEAREN",2
06:47,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
06:47,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
06:47,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
06:47,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
06:47,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",2
06:47,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
06:24,"GOOD LAYUP by TURNER,JAMES(in the paint)",44,,44,,MMB 44-44 (0),,"GOOD LAYUP by TURNER,JAMES(in the paint)",2
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",2
06:11,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
05:54,,44,,47 (+3),"GOOD 3PTR by STEELE,AARON",HENDRIX 44-47 (-3),,"GOOD 3PTR by STEELE,AARON",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
05:31,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
05:31,"GOOD FT by BECKER,SAXTON",45,,47 (+2),,MMB 45-47 (-2),,"GOOD FT by BECKER,SAXTON",2
05:31,"GOOD FT by BECKER,SAXTON",46,,47 (+1),,MMB 46-47 (-1),,"GOOD FT by BECKER,SAXTON",2
05:09,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",2
05:09,,46,,48 (+2),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 46-48 (-2),,"GOOD FT by LITTLEFIELD,GEAREN",2
05:09,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",2
04:56,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
04:46,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:42,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",2
04:42,,46,,49 (+3),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 46-49 (-3),,"GOOD FT by BATCHELOR,BRYCE",2
04:42,,46,,50 (+4),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 46-50 (-4),,"GOOD FT by BATCHELOR,BRYCE",2
04:22,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",48,,50 (+2),,MMB 48-50 (-2),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
04:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:19,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",2
04:19,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
04:19,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
04:19,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
03:56,,,,,"MISS LAYUP by BATCHELOR,BRYCE",,,"MISS LAYUP by BATCHELOR,BRYCE",2
03:56,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
03:52,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",2
03:38,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
03:27,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",2
03:27,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
03:21,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
02:57,"GOOD 3PTR by KOHNKE,SAM",51 (+1),,50,,MMB 51-50 (+1),,"GOOD 3PTR by KOHNKE,SAM",2
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",2
02:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:53,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",2
02:53,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
02:41,,51,,52 (+1),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 51-52 (-1),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
02:22,"GOOD 3PTR by KOHNKE,SAM",54 (+2),,52,,MMB 54-52 (+2),,"GOOD 3PTR by KOHNKE,SAM",2
02:03,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",2
01:38,"GOOD 3PTR by GAGEN,BRENNAN",57 (+5),,52,,MMB 57-52 (+5),,"GOOD 3PTR by GAGEN,BRENNAN",2
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",2
01:28,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:28,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
01:28,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
01:22,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
01:22,,57 (+4),,53,"GOOD FT by ALDOUS,HANK",HENDRIX 57-53 (+4),,"GOOD FT by ALDOUS,HANK",2
01:22,,57 (+3),,54,"GOOD FT by ALDOUS,HANK",HENDRIX 57-54 (+3),,"GOOD FT by ALDOUS,HANK",2
00:56,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",59 (+5),,54,,MMB 59-54 (+5),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
00:43,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
00:42,"STEAL  by MANCUSO,LOGAN",,,,,,,"STEAL  by MANCUSO,LOGAN",2
00:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:33,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
00:33,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
00:33,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",2
00:32,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
00:32,"GOOD FT by GAGEN,BRENNAN",60 (+6),,54,,MMB 60-54 (+6),,"GOOD FT by GAGEN,BRENNAN",2
00:32,"GOOD FT by GAGEN,BRENNAN",61 (+7),,54,,MMB 61-54 (+7),,"GOOD FT by GAGEN,BRENNAN",2
00:21,,61 (+5),,56,"GOOD JUMPER by GARRETT,TRAVIS",HENDRIX 61-56 (+5),,"GOOD JUMPER by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
00:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:18,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
00:18,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
00:13,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
00:13,"GOOD FT by GAGEN,BRENNAN",62 (+6),,56,,MMB 62-56 (+6),,"GOOD FT by GAGEN,BRENNAN",2
00:13,"GOOD FT by GAGEN,BRENNAN",63 (+7),,56,,MMB 63-56 (+7),,"GOOD FT by GAGEN,BRENNAN",2
00:13,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
00:13,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
00:07,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by MASON,WADE",,,,,,,"REBOUND DEF by MASON,WADE",2
