Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
19:48,,,,,"TURNOVER  by WELLS,AUSTIN",,,"TURNOVER  by WELLS,AUSTIN",1
19:40,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
19:39,,,,,"STEAL  by FREET,AUSTIN",,,"STEAL  by FREET,AUSTIN",1
19:31,,0,,2 (+2),"GOOD JUMPER by WELLS,AUSTIN(in the paint)",ACM 0-2 (-2),,"GOOD JUMPER by WELLS,AUSTIN(in the paint)",1
19:18,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
18:59,,0,,4 (+4),"GOOD JUMPER by IGBINOSA,STEPHEN",ACM 0-4 (-4),,"GOOD JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"ASSIST ASSIST by FREET,AUSTIN",,,"ASSIST ASSIST by FREET,AUSTIN",1
18:42,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
18:41,,,,,"STEAL  by FREET,AUSTIN",,,"STEAL  by FREET,AUSTIN",1
18:39,,0,,6 (+6),"GOOD LAYUP by FREET,AUSTIN(fastbreak)(in the paint)",ACM 0-6 (-6),,"GOOD LAYUP by FREET,AUSTIN(fastbreak)(in the paint)",1
18:20,"MISS JUMPER by TULLOS,ZACHARY",,,,,,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",1
18:15,"GOOD JUMPER by BLANZ,BUCK",2,,6 (+4),,MMB 2-6 (-4),,"GOOD JUMPER by BLANZ,BUCK",1
18:04,,,,,"TURNOVER  by WELLS,AUSTIN",,,"TURNOVER  by WELLS,AUSTIN",1
17:56,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by BAEHL,BRIAN",,,"REBOUND DEF by BAEHL,BRIAN",1
17:43,,,,,"TURNOVER  by SWISHER,JEREMY",,,"TURNOVER  by SWISHER,JEREMY",1
17:42,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
17:33,"GOOD JUMPER by KOHNKE,SAM(in the paint)",4,,6 (+2),,MMB 4-6 (-2),,"GOOD JUMPER by KOHNKE,SAM(in the paint)",1
17:07,,4,,8 (+4),"GOOD JUMPER by BAEHL,BRIAN",ACM 4-8 (-4),,"GOOD JUMPER by BAEHL,BRIAN",1
16:55,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",6,,8 (+2),,MMB 6-8 (-2),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
--,"ASSIST ASSIST by GARDNER,ROBERT",,,,,,,"ASSIST ASSIST by GARDNER,ROBERT",1
16:36,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
16:28,"GOOD LAYUP by BLANZ,BUCK(in the paint)",8,,8,,MMB 8-8 (0),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
