Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:46,,0,,3 (+3),"GOOD 3PTR by KILPATRICK,KORY",RCMBB12 0-3 (+3),,"GOOD 3PTR by KILPATRICK,KORY",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
19:26,"GOOD 3PTR by CERONE,TYLER",3,,3,,OUM 3-3 (0),,"GOOD 3PTR by CERONE,TYLER",1
19:11,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
18:36,"TURNOVER  by STEIOFF,ANDREW",,,,,,,"TURNOVER  by STEIOFF,ANDREW",1
18:18,,3,,5 (+2),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 3-5 (+2),,"GOOD JUMPER by HARTWELL,THEO",1
--,,,,,"ASSIST  by WATSON,SHANE",,,"ASSIST  by WATSON,SHANE",1
17:59,"TURNOVER  by COURSON,TYLER",,,,,,,"TURNOVER  by COURSON,TYLER",1
17:33,,3,,7 (+4),"GOOD LAYUP by WATSON,SHANE(in the paint)",RCMBB12 3-7 (+4),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
17:05,"MISS JUMPER by STEIOFF,ANDREW",,,,,,,"MISS JUMPER by STEIOFF,ANDREW",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
16:58,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",1
16:53,"MISS JUMPER by CERONE,TYLER",,,,,,,"MISS JUMPER by CERONE,TYLER",1
--,"REBOUND OFF by STEIOFF,ANDREW",,,,,,,"REBOUND OFF by STEIOFF,ANDREW",1
16:52,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",1
16:52,"SUB IN by PITTS,ALEC",,,,,,,"SUB IN by PITTS,ALEC",1
16:52,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
16:52,"SUB IN by PURDY,SAM",,,,,,,"SUB IN by PURDY,SAM",1
16:52,"SUB IN by MOLINET,CHRISTIAN",,,,,,,"SUB IN by MOLINET,CHRISTIAN",1
16:52,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",1
16:52,"SUB OUT by CERONE,TYLER",,,,,,,"SUB OUT by CERONE,TYLER",1
16:52,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
16:52,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
16:42,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",1
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",1
16:33,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",5,,7 (+2),,OUM 5-7 (+2),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
16:30,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
16:30,"GOOD FT by STEIOFF,ANDREW",6,,7 (+1),,OUM 6-7 (+1),,"GOOD FT by STEIOFF,ANDREW",1
16:24,"FOUL  by PITTS,ALEC",,,,,,,"FOUL  by PITTS,ALEC",1
15:56,,6,,9 (+3),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 6-9 (+3),,"GOOD JUMPER by HARTWELL,THEO",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
15:51,"FOUL  by PURDY,SAM",,,,,,,"FOUL  by PURDY,SAM",1
15:51,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",1
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",1
15:51,,6,,12 (+6),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 6-12 (+6),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
15:42,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",8,,12 (+4),,OUM 8-12 (+4),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",1
15:26,,8,,14 (+6),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 8-14 (+6),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
15:11,"GOOD JUMPER by MOLINET,CHRISTIAN",10,,14 (+4),,OUM 10-14 (+4),,"GOOD JUMPER by MOLINET,CHRISTIAN",1
14:54,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
14:54,"SUB OUT by STEIOFF,ANDREW",,,,,,,"SUB OUT by STEIOFF,ANDREW",1
14:36,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
14:28,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",1
14:26,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",1
14:23,,10,,16 (+6),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 10-16 (+6),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
14:23,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",1
14:23,,10,,17 (+7),"GOOD FT by GALOW,ANDREW",RCMBB12 10-17 (+7),,"GOOD FT by GALOW,ANDREW",1
14:23,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
14:23,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
14:23,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
14:23,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
14:18,"TURNOVER  by PURDY,SAM",,,,,,,"TURNOVER  by PURDY,SAM",1
13:56,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",1
13:51,,10,,19 (+9),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 10-19 (+9),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
13:32,"GOOD 3PTR by MOLINET,CHRISTIAN",13,,19 (+6),,OUM 13-19 (+6),,"GOOD 3PTR by MOLINET,CHRISTIAN",1
13:29,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
13:14,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",1
13:13,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
13:10,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
13:06,,13,,21 (+8),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 13-21 (+8),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
13:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:03,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
13:03,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
12:59,"GOOD 3PTR by PITTS,ALEC",16,,21 (+5),,OUM 16-21 (+5),,"GOOD 3PTR by PITTS,ALEC",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
12:43,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",1
12:41,"STEAL  by PITTS,ALEC",,,,,,,"STEAL  by PITTS,ALEC",1
12:32,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
12:32,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:32,"GOOD FT by DAVIS,ALEX",17,,21 (+4),,OUM 17-21 (+4),,"GOOD FT by DAVIS,ALEX",1
12:32,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",1
12:32,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
12:32,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
12:32,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
12:17,,17,,24 (+7),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 17-24 (+7),,"GOOD 3PTR by GALOW,ANDREW",1
11:58,"MISS JUMPER by MOLINET,CHRISTIAN",,,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
11:52,,17,,26 (+9),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 17-26 (+9),,"GOOD JUMPER by GALOW,ANDREW",1
11:35,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
11:35,"GOOD FT by PITTS,ALEC",18,,26 (+8),,OUM 18-26 (+8),,"GOOD FT by PITTS,ALEC",1
11:35,"GOOD FT by PITTS,ALEC",19,,26 (+7),,OUM 19-26 (+7),,"GOOD FT by PITTS,ALEC",1
11:35,"GOOD FT by PITTS,ALEC",20,,26 (+6),,OUM 20-26 (+6),,"GOOD FT by PITTS,ALEC",1
11:35,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
11:35,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
11:05,,20,,28 (+8),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 20-28 (+8),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
10:53,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",1
10:50,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
10:49,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",1
10:32,"GOOD 3PTR by JOVAAG,BRANDEN",23,,28 (+5),,OUM 23-28 (+5),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,"ASSIST  by HAMILTON,PRICE",,,,,,,"ASSIST  by HAMILTON,PRICE",1
10:08,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
10:04,"STEAL  by PITTS,ALEC",,,,,,,"STEAL  by PITTS,ALEC",1
09:54,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,"REBOUND OFF by HAMILTON,PRICE",,,,,,,"REBOUND OFF by HAMILTON,PRICE",1
09:47,"FOUL  by HAMILTON,PRICE",,,,,,,"FOUL  by HAMILTON,PRICE",1
09:47,"SUB IN by CERONE,TYLER",,,,,,,"SUB IN by CERONE,TYLER",1
09:47,"SUB IN by STEIOFF,ANDREW",,,,,,,"SUB IN by STEIOFF,ANDREW",1
09:47,"SUB OUT by HAMILTON,PRICE",,,,,,,"SUB OUT by HAMILTON,PRICE",1
09:47,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",1
09:47,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
09:47,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
