Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:48,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by THOMAS,JEREMIAH",,,,,,,"REBOUND DEF by THOMAS,JEREMIAH",1
19:34,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",2 (+2),,0,,HCM 2-0 (-2),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
--,"ASSIST  by VARNEY,JASON",,,,,,,"ASSIST  by VARNEY,JASON",1
19:13,,2,,2,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 2-2 (0),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
19:12,"FOUL  by THOMAS,JEREMIAH",,,,,,,"FOUL  by THOMAS,JEREMIAH",1
19:12,,2,,3 (+1),"GOOD FT by GALOW,ANDREW",RCMBB12 2-3 (+1),,"GOOD FT by GALOW,ANDREW",1
18:56,"GOOD 3PTR by BLACKMON,KANDEN",5 (+2),,3,,HCM 5-3 (-2),,"GOOD 3PTR by BLACKMON,KANDEN",1
--,"ASSIST  by VARNEY,JASON",,,,,,,"ASSIST  by VARNEY,JASON",1
18:43,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
18:27,"GOOD JUMPER by LEE,JERROD",7 (+4),,3,,HCM 7-3 (-4),,"GOOD JUMPER by LEE,JERROD",1
18:14,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
18:02,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
17:55,"MISS 3PTR by VARNEY,JASON",,,,,,,"MISS 3PTR by VARNEY,JASON",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
17:40,,7 (+2),,5,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",RCMBB12 7-5 (-2),,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
17:14,"MISS 3PTR by PETTY,RYAN",,,,,,,"MISS 3PTR by PETTY,RYAN",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
17:04,,7,,8 (+1),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 7-8 (+1),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
16:31,"GOOD 3PTR by BLACKMON,KANDEN",10 (+2),,8,,HCM 10-8 (-2),,"GOOD 3PTR by BLACKMON,KANDEN",1
--,"ASSIST  by VARNEY,JASON",,,,,,,"ASSIST  by VARNEY,JASON",1
16:00,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",1
15:57,"STEAL  by LEE,JERROD",,,,,,,"STEAL  by LEE,JERROD",1
15:54,"GOOD LAYUP by LEE,JERROD(in the paint)",12 (+4),,8,,HCM 12-8 (-4),,"GOOD LAYUP by LEE,JERROD(in the paint)",1
15:43,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by VARNEY,JASON",,,,,,,"REBOUND DEF by VARNEY,JASON",1
15:21,"MISS JUMPER by PETTY,RYAN",,,,,,,"MISS JUMPER by PETTY,RYAN",1
15:15,"GOOD JUMPER by PETTY,RYAN",14 (+6),,8,,HCM 14-8 (-6),,"GOOD JUMPER by PETTY,RYAN",1
15:15,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
15:15,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
15:15,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
15:15,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
15:15,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
15:15,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
15:15,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
15:15,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
15:12,,14 (+3),,11,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 14-11 (-3),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
14:39,"TURNOVER  by PETTY,RYAN",,,,,,,"TURNOVER  by PETTY,RYAN",1
14:37,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
14:31,,14 (+1),,13,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB12 14-13 (-1),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
14:29,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:16,"TURNOVER  by PETTY,RYAN",,,,,,,"TURNOVER  by PETTY,RYAN",1
14:14,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",1
14:00,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
14:00,"SUB IN by KILPATRICK,MIKE",,,,,,,"SUB IN by KILPATRICK,MIKE",1
14:00,"SUB IN by DOOLEY,JUSTIN",,,,,,,"SUB IN by DOOLEY,JUSTIN",1
13:57,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
13:57,"GOOD FT by THOMAS,JEREMIAH",15 (+2),,13,,HCM 15-13 (-2),,"GOOD FT by THOMAS,JEREMIAH",1
13:57,"GOOD FT by THOMAS,JEREMIAH",16 (+3),,13,,HCM 16-13 (-3),,"GOOD FT by THOMAS,JEREMIAH",1
13:57,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
13:57,"SUB OUT by DOOLEY,JUSTIN",,,,,,,"SUB OUT by DOOLEY,JUSTIN",1
13:57,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
13:57,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
13:32,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by VARNEY,JASON",,,,,,,"REBOUND DEF by VARNEY,JASON",1
13:17,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",18 (+5),,13,,HCM 18-13 (-5),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
12:31,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",1
--,"REBOUND DEF by BLACKMON,KANDEN",,,,,,,"REBOUND DEF by BLACKMON,KANDEN",1
12:21,"GOOD 3PTR by BLACKMON,KANDEN",21 (+8),,13,,HCM 21-13 (-8),,"GOOD 3PTR by BLACKMON,KANDEN",1
--,"ASSIST  by VARNEY,JASON",,,,,,,"ASSIST  by VARNEY,JASON",1
12:02,"FOUL  by LEE,JERROD",,,,,,,"FOUL  by LEE,JERROD",1
12:02,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
12:02,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
12:02,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
12:02,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
12:02,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
12:02,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
