Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
18:28,,38,,38,"GOOD FT by GALOW,ANDREW",RCMBB12 38-38 (0),,"GOOD FT by GALOW,ANDREW",2
18:10,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
18:10,"GOOD FT by HENRY,COLIN",39 (+1),,38,,BSC 39-38 (-1),,"GOOD FT by HENRY,COLIN",2
18:10,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
18:10,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
18:10,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
17:57,,39,,40 (+1),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 39-40 (+1),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
17:45,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
17:09,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
17:08,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",2
17:02,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",41 (+1),,40,,BSC 41-40 (-1),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",2
16:47,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
16:45,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",2
16:30,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
16:17,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
16:17,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:17,,41,,41,"GOOD FT by KILPATRICK,KORY",RCMBB12 41-41 (0),,"GOOD FT by KILPATRICK,KORY",2
16:17,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
16:17,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
15:54,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
15:54,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
15:54,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
15:36,"GOOD 3PTR by KEGARISE,KEVIN",44 (+3),,41,,BSC 44-41 (-3),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
15:15,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",2
15:12,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",2
15:09,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
15:09,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
15:09,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
15:00,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
14:59,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",46 (+5),,41,,BSC 46-41 (-5),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
14:50,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
14:50,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",2
14:50,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",48 (+7),,41,,BSC 48-41 (-7),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
14:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:33,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
14:28,,48 (+5),,43,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 48-43 (-5),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
14:25,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
14:25,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
14:07,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
14:07,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
14:07,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
13:39,,48 (+2),,46,"GOOD 3PTR by LIVSEY,GEOFF",RCMBB12 48-46 (-2),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
13:31,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
13:31,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
13:31,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
13:31,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
13:31,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
13:31,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
13:25,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
13:07,,48,,48,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 48-48 (0),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
12:45,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:38,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
12:38,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
12:38,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
12:38,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
12:38,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
12:35,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
12:32,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
12:14,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",2
11:56,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
11:56,"GOOD FT by LEE,CALEB",49 (+1),,48,,BSC 49-48 (-1),,"GOOD FT by LEE,CALEB",2
11:56,"GOOD FT by LEE,CALEB",50 (+2),,48,,BSC 50-48 (-2),,"GOOD FT by LEE,CALEB",2
11:44,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
11:27,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",2
11:27,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
11:27,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
11:12,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
10:55,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",2
10:37,,50,,50,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 50-50 (0),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
10:11,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
10:11,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
10:11,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
10:11,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
10:11,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
10:11,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
10:11,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
10:11,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
10:11,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
10:11,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
10:11,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
10:11,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
10:11,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
10:11,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
10:11,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
10:11,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
09:58,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
09:48,"GOOD 3PTR by WHITE,BLAISE",53 (+3),,50,,BSC 53-50 (-3),,"GOOD 3PTR by WHITE,BLAISE",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
09:23,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
08:54,"GOOD 3PTR by KEGARISE,KEVIN",56 (+6),,50,,BSC 56-50 (-6),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
08:16,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
08:14,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",2
08:05,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
08:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:05,"GOOD FT by SCHAMP,GRIFFIN",57 (+7),,50,,BSC 57-50 (-7),,"GOOD FT by SCHAMP,GRIFFIN",2
08:05,"GOOD FT by SCHAMP,GRIFFIN",58 (+8),,50,,BSC 58-50 (-8),,"GOOD FT by SCHAMP,GRIFFIN",2
08:05,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
08:05,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
08:05,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
08:05,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
07:40,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
07:12,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
07:02,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
06:54,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
06:54,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
06:54,,58 (+5),,53,"GOOD 3PTR by GALOW,ANDREW",RCMBB12 58-53 (-5),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by MILLER,JOEY",,,"ASSIST  by MILLER,JOEY",2
06:54,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
06:54,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
06:50,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
06:34,,,,,"TURNOVER  by MILLER,JOEY",,,"TURNOVER  by MILLER,JOEY",2
06:32,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
06:24,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
06:01,,,,,"MISS LAYUP by MILLER,JOEY",,,"MISS LAYUP by MILLER,JOEY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:53,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
05:46,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
05:46,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
05:26,"GOOD FT by RICHARDS,ZAC",59 (+6),,53,,BSC 59-53 (-6),,"GOOD FT by RICHARDS,ZAC",2
05:22,"GOOD FT by RICHARDS,ZAC",60 (+7),,53,,BSC 60-53 (-7),,"GOOD FT by RICHARDS,ZAC",2
05:19,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
05:19,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
05:19,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
05:19,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
05:19,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
05:19,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
05:19,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
05:19,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
05:08,,60 (+5),,55,"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 60-55 (-5),,"GOOD JUMPER by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
05:02,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
05:02,,,,,"MISS FT by DUNAVANT,JOHN",,,"MISS FT by DUNAVANT,JOHN",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
04:30,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
04:30,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
04:30,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
04:30,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
04:30,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
04:30,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
04:30,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
04:30,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
04:30,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
04:30,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
04:30,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
04:30,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
04:30,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",2
04:19,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
04:13,,60 (+4),,56,"GOOD FT by GALOW,ANDREW",RCMBB12 60-56 (-4),,"GOOD FT by GALOW,ANDREW",2
04:13,,60 (+3),,57,"GOOD FT by GALOW,ANDREW",RCMBB12 60-57 (-3),,"GOOD FT by GALOW,ANDREW",2
03:48,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
03:38,,60,,60,"GOOD 3PTR by GALOW,ANDREW",RCMBB12 60-60 (0),,"GOOD 3PTR by GALOW,ANDREW",2
03:06,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
03:00,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",62 (+2),,60,,BSC 62-60 (-2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
02:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:40,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
02:40,,62 (+1),,61,"GOOD FT by KILPATRICK,KORY",RCMBB12 62-61 (-1),,"GOOD FT by KILPATRICK,KORY",2
02:40,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
02:11,"GOOD 3PTR by JONUS,JASEN",65 (+4),,61,,BSC 65-61 (-4),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
01:52,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",2
01:36,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
01:33,"MISS FT by KEGARISE,KEVIN",,,,,,,"MISS FT by KEGARISE,KEVIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:33,"GOOD FT by KEGARISE,KEVIN",66 (+5),,61,,BSC 66-61 (-5),,"GOOD FT by KEGARISE,KEVIN",2
01:22,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",2
01:19,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
01:19,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:19,,66 (+4),,62,"GOOD FT by HARTWELL,THEO",RCMBB12 66-62 (-4),,"GOOD FT by HARTWELL,THEO",2
00:53,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
00:53,"GOOD FT by JONUS,JASEN",67 (+5),,62,,BSC 67-62 (-5),,"GOOD FT by JONUS,JASEN",2
00:53,"GOOD FT by JONUS,JASEN",68 (+6),,62,,BSC 68-62 (-6),,"GOOD FT by JONUS,JASEN",2
00:53,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:53,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
00:53,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:53,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:53,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:53,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
00:46,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",2
00:40,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
00:40,,68 (+5),,63,"GOOD FT by KILPATRICK,KORY",RCMBB12 68-63 (-5),,"GOOD FT by KILPATRICK,KORY",2
00:40,,68 (+4),,64,"GOOD FT by KILPATRICK,KORY",RCMBB12 68-64 (-4),,"GOOD FT by KILPATRICK,KORY",2
00:40,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
00:40,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
00:40,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
00:40,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
00:40,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
00:40,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:31,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",70 (+6),,64,,BSC 70-64 (-6),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
00:22,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:10,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
00:10,"GOOD FT by WHITE,BLAISE",71 (+7),,64,,BSC 71-64 (-7),,"GOOD FT by WHITE,BLAISE",2
00:10,"GOOD FT by WHITE,BLAISE",72 (+8),,64,,BSC 72-64 (-8),,"GOOD FT by WHITE,BLAISE",2
00:10,,72 (+6),,66,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 72-66 (-6),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
00:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:10,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
00:10,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
00:05,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
00:05,"GOOD FT by RICHARDS,ZAC",73 (+7),,66,,BSC 73-66 (-7),,"GOOD FT by RICHARDS,ZAC",2
00:05,"GOOD FT by RICHARDS,ZAC",74 (+8),,66,,BSC 74-66 (-8),,"GOOD FT by RICHARDS,ZAC",2
00:04,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
00:04,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
00:04,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",76 (+10),,66,,BSC 76-66 (-10),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
00:04,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
