Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
15:24,,8 (+4),,4,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 8-4 (-4),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
15:06,"GOOD 3PTR by KEGARISE,KEVIN",11 (+7),,4,,BSC 11-4 (-7),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
14:33,,11 (+5),,6,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 11-6 (-5),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
14:18,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",13 (+7),,6,,BSC 13-6 (-7),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
13:50,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
13:46,,13 (+5),,8,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 13-8 (-5),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
13:37,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
13:16,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
13:14,,,,,"STEAL  by KILPATRICK,KORY",,,"STEAL  by KILPATRICK,KORY",1
12:59,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",1
12:56,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
12:53,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
12:46,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
12:46,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
12:46,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
12:46,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
12:46,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
12:46,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
12:46,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
12:46,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
12:46,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
12:46,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
12:46,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
12:46,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
12:46,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
12:30,,13 (+3),,10,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 13-10 (-3),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
12:13,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
12:00,,13,,13,"GOOD 3PTR by KILPATRICK,KORY",RCMBB12 13-13 (0),,"GOOD 3PTR by KILPATRICK,KORY",1
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",1
11:50,"GOOD 3PTR by MURPHY,NICK",16 (+3),,13,,BSC 16-13 (-3),,"GOOD 3PTR by MURPHY,NICK",1
11:30,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
11:13,"GOOD 3PTR by THOMAS,LARRY",19 (+6),,13,,BSC 19-13 (-6),,"GOOD 3PTR by THOMAS,LARRY",1
11:00,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
11:00,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
11:00,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
11:00,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
11:00,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
11:00,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
11:00,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
11:00,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
10:51,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
10:44,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
10:36,"FOUL  by FREEMAN,SCHYLAR",,,,,,,"FOUL  by FREEMAN,SCHYLAR",1
10:36,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
10:36,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
10:27,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",1
