Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
14:08,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by ENGBER,BRYANT",,,,,,,"REBOUND DEF by ENGBER,BRYANT",2
13:45,"MISS 3PTR by DEVRIES,JON",,,,,,,"MISS 3PTR by DEVRIES,JON",2
--,"REBOUND OFF by DEVRIES,JON",,,,,,,"REBOUND OFF by DEVRIES,JON",2
13:40,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
13:32,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
13:32,"BLOCK  by DEVRIES,JON",,,,,,,"BLOCK  by DEVRIES,JON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:11,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",2
13:11,,32,,38 (+6),"GOOD FT by GALOW,ANDREW",RCMBB12 32-38 (+6),,"GOOD FT by GALOW,ANDREW",2
13:11,,32,,39 (+7),"GOOD FT by GALOW,ANDREW",RCMBB12 32-39 (+7),,"GOOD FT by GALOW,ANDREW",2
13:11,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
13:11,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
12:42,"MISS JUMPER by FOSTER,CHASE",,,,,,,"MISS JUMPER by FOSTER,CHASE",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
12:32,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by ENGBER,BRYANT",,,,,,,"REBOUND DEF by ENGBER,BRYANT",2
12:18,"TURNOVER  by FOSTER,CHASE",,,,,,,"TURNOVER  by FOSTER,CHASE",2
11:58,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by ENGBER,BRYANT",,,,,,,"REBOUND DEF by ENGBER,BRYANT",2
11:44,"TURNOVER  by FOSTER,CHASE",,,,,,,"TURNOVER  by FOSTER,CHASE",2
11:42,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
11:40,,32,,41 (+9),"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",RCMBB12 32-41 (+9),,"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",2
11:28,"GOOD 3PTR by MCGRIFF,COLTON",35,,41 (+6),,CCM 35-41 (+6),,"GOOD 3PTR by MCGRIFF,COLTON",2
--,"ASSIST  by FOSTER,CHASE",,,,,,,"ASSIST  by FOSTER,CHASE",2
11:17,"FOUL  by FOSTER,CHASE",,,,,,,"FOUL  by FOSTER,CHASE",2
11:10,,,,,"MISS FT by CHIEN,KEVIN",,,"MISS FT by CHIEN,KEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:57,,,,,"MISS FT by CHIEN,KEVIN",,,"MISS FT by CHIEN,KEVIN",2
--,"REBOUND DEF by DEVRIES,JON",,,,,,,"REBOUND DEF by DEVRIES,JON",2
10:57,"SUB IN by LAKEY,ZAROME",,,,,,,"SUB IN by LAKEY,ZAROME",2
10:57,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",2
10:57,"SUB IN by COX,TJ",,,,,,,"SUB IN by COX,TJ",2
10:57,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",2
10:57,"SUB OUT by FOSTER,CHASE",,,,,,,"SUB OUT by FOSTER,CHASE",2
10:57,"SUB OUT by ENGBER,BRYANT",,,,,,,"SUB OUT by ENGBER,BRYANT",2
10:57,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",2
10:57,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",2
10:57,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
10:57,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
10:54,"GOOD JUMPER by DANEK,JOEY",37,,41 (+4),,CCM 37-41 (+4),,"GOOD JUMPER by DANEK,JOEY",2
--,"ASSIST  by DEVRIES,JON",,,,,,,"ASSIST  by DEVRIES,JON",2
10:42,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
10:38,"STEAL  by LAKEY,ZAROME",,,,,,,"STEAL  by LAKEY,ZAROME",2
10:36,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
10:31,"GOOD FT by LAKEY,ZAROME",38,,41 (+3),,CCM 38-41 (+3),,"GOOD FT by LAKEY,ZAROME",2
10:31,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
10:31,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
10:31,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
10:31,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
10:30,"MISS FT by LAKEY,ZAROME",,,,,,,"MISS FT by LAKEY,ZAROME",2
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",2
10:06,,,,,"TURNOVER  by MILLER,JOEY",,,"TURNOVER  by MILLER,JOEY",2
10:04,"STEAL  by DEVRIES,JON",,,,,,,"STEAL  by DEVRIES,JON",2
09:58,"GOOD 3PTR by SEARS,CALLUM",41,,41,,CCM 41-41 (0),,"GOOD 3PTR by SEARS,CALLUM",2
09:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:43,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
09:43,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
09:33,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
09:33,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
09:05,,41,,43 (+2),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 41-43 (+2),,"GOOD JUMPER by GALOW,ANDREW",2
09:05,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",2
09:05,,41,,44 (+3),"GOOD FT by GALOW,ANDREW",RCMBB12 41-44 (+3),,"GOOD FT by GALOW,ANDREW",2
09:05,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",2
09:05,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",2
08:52,"MISS JUMPER by SEARS,CALLUM",,,,,,,"MISS JUMPER by SEARS,CALLUM",2
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",2
08:38,"GOOD 3PTR by COX,TJ",44,,44,,CCM 44-44 (0),,"GOOD 3PTR by COX,TJ",2
08:24,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",2
08:22,"STEAL  by LAKEY,ZAROME",,,,,,,"STEAL  by LAKEY,ZAROME",2
08:18,"MISS JUMPER by SEARS,CALLUM",,,,,,,"MISS JUMPER by SEARS,CALLUM",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
08:12,"FOUL  by MCGRIFF,COLTON",,,,,,,"FOUL  by MCGRIFF,COLTON",2
08:12,,44,,45 (+1),"GOOD FT by GALOW,ANDREW",RCMBB12 44-45 (+1),,"GOOD FT by GALOW,ANDREW",2
08:12,,44,,46 (+2),"GOOD FT by GALOW,ANDREW",RCMBB12 44-46 (+2),,"GOOD FT by GALOW,ANDREW",2
08:12,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
08:12,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
08:12,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
08:12,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",2
08:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:51,"MISS 3PTR by COX,TJ",,,,,,,"MISS 3PTR by COX,TJ",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
07:38,,44,,49 (+5),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 44-49 (+5),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
07:13,"GOOD JUMPER by ENGBER,BRYANT",46,,49 (+3),,CCM 46-49 (+3),,"GOOD JUMPER by ENGBER,BRYANT",2
06:51,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:44,"SUB IN by FOSTER,CHASE",,,,,,,"SUB IN by FOSTER,CHASE",2
06:44,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",2
06:44,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
06:44,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
06:36,,46,,52 (+6),"GOOD 3PTR by LIVSEY,GEOFF",RCMBB12 46-52 (+6),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",2
06:09,"GOOD JUMPER by MUTCHERSON,ROSBIE",48,,52 (+4),,CCM 48-52 (+4),,"GOOD JUMPER by MUTCHERSON,ROSBIE",2
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",2
05:52,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",2
--,"REBOUND DEF by FOSTER,CHASE",,,,,,,"REBOUND DEF by FOSTER,CHASE",2
05:42,"MISS 3PTR by FOSTER,CHASE",,,,,,,"MISS 3PTR by FOSTER,CHASE",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
05:24,,48,,54 (+6),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 48-54 (+6),,"GOOD JUMPER by HARTWELL,THEO",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
05:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:15,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",2
05:15,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",2
05:15,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",2
05:15,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",2
05:10,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
05:10,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
05:01,"TURNOVER  by LAKEY,ZAROME",,,,,,,"TURNOVER  by LAKEY,ZAROME",2
04:59,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
04:52,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
04:52,"STEAL  by FOSTER,CHASE",,,,,,,"STEAL  by FOSTER,CHASE",2
04:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:28,"GOOD JUMPER by SEARS,CALLUM",50,,54 (+4),,CCM 50-54 (+4),,"GOOD JUMPER by SEARS,CALLUM",2
--,"ASSIST  by FOSTER,CHASE",,,,,,,"ASSIST  by FOSTER,CHASE",2
04:09,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",2
--,"REBOUND DEF by DEVRIES,JON",,,,,,,"REBOUND DEF by DEVRIES,JON",2
03:58,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
03:47,"GOOD 3PTR by SEARS,CALLUM",53,,54 (+1),,CCM 53-54 (+1),,"GOOD 3PTR by SEARS,CALLUM",2
--,"ASSIST  by DEVRIES,JON",,,,,,,"ASSIST  by DEVRIES,JON",2
03:10,,53,,56 (+3),"GOOD JUMPER by LIVSEY,GEOFF",RCMBB12 53-56 (+3),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
02:39,"GOOD JUMPER by FOSTER,CHASE",55,,56 (+1),,CCM 55-56 (+1),,"GOOD JUMPER by FOSTER,CHASE",2
02:14,,55,,58 (+3),"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 55-58 (+3),,"GOOD JUMPER by KILPATRICK,KORY",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
02:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:57,"GOOD JUMPER by DEVRIES,JON",57,,58 (+1),,CCM 57-58 (+1),,"GOOD JUMPER by DEVRIES,JON",2
--,"ASSIST  by FOSTER,CHASE",,,,,,,"ASSIST  by FOSTER,CHASE",2
01:57,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
01:57,"GOOD FT by DEVRIES,JON",58,,58,,CCM 58-58 (0),,"GOOD FT by DEVRIES,JON",2
01:39,,58,,61 (+3),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 58-61 (+3),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
01:23,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",2
--,"REBOUND OFF by DEVRIES,JON",,,,,,,"REBOUND OFF by DEVRIES,JON",2
01:01,,58,,64 (+6),"GOOD 3PTR by LIVSEY,GEOFF",RCMBB12 58-64 (+6),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
00:39,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
00:22,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",2
00:22,,58,,65 (+7),"GOOD FT by GALOW,ANDREW",RCMBB12 58-65 (+7),,"GOOD FT by GALOW,ANDREW",2
00:22,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
00:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:19,"FOUL  by DANEK,JOEY",,,,,,,"FOUL  by DANEK,JOEY",2
00:19,,58,,66 (+8),"GOOD FT by KILPATRICK,KORY",RCMBB12 58-66 (+8),,"GOOD FT by KILPATRICK,KORY",2
00:19,,58,,67 (+9),"GOOD FT by KILPATRICK,KORY",RCMBB12 58-67 (+9),,"GOOD FT by KILPATRICK,KORY",2
00:11,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
00:00,"MISS 3PTR by FOSTER,CHASE",,,,,,,"MISS 3PTR by FOSTER,CHASE",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
