Time Remaining,UCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:53,"TURNOVER  by JOHNSON,MATT",,,,,,,"TURNOVER  by JOHNSON,MATT",1
19:38,,0,,3 (+3),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 0-3 (+3),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
19:20,"MISS 3PTR by SUSTARSIC,MICHAEL",,,,,,,"MISS 3PTR by SUSTARSIC,MICHAEL",1
--,"REBOUND OFF by MACKENZIE,MATT",,,,,,,"REBOUND OFF by MACKENZIE,MATT",1
19:13,"GOOD LAYUP by JOHNSON,MATT(in the paint)",2,,3 (+1),,UCM 2-3 (+1),,"GOOD LAYUP by JOHNSON,MATT(in the paint)",1
--,"ASSIST  by SUSTARSIC,MICHAEL",,,,,,,"ASSIST  by SUSTARSIC,MICHAEL",1
18:59,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by GAGE,SAM",,,,,,,"REBOUND DEF by GAGE,SAM",1
18:33,"GOOD JUMPER by HUGHES,CHARLIE",4 (+1),,3,,UCM 4-3 (-1),,"GOOD JUMPER by HUGHES,CHARLIE",1
18:08,,4,,5 (+1),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 4-5 (+1),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
18:00,"MISS 3PTR by GAGE,SAM",,,,,,,"MISS 3PTR by GAGE,SAM",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
17:43,,4,,8 (+4),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 4-8 (+4),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
17:17,"MISS 3PTR by HUGHES,CHARLIE",,,,,,,"MISS 3PTR by HUGHES,CHARLIE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:52,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
