Time Remaining,RCB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:55,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by SEALS,JORDAN",,,,,,,"REBOUND DEF by SEALS,JORDAN",1
19:31,"MISS JUMPER by VEASLEY,LARRY",,,,,,,"MISS JUMPER by VEASLEY,LARRY",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
19:05,,0,,2 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 0-2 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
18:31,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",2,,2,,RCB 2-2 (0),,"GOOD LAYUP by MONTGOMERY,WILLIAM(in the paint)",1
18:31,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
18:31,"MISS FT by MONTGOMERY,WILLIAM",,,,,,,"MISS FT by MONTGOMERY,WILLIAM",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
18:31,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
18:31,"STEAL  by VEASLEY,LARRY",,,,,,,"STEAL  by VEASLEY,LARRY",1
18:31,"MISS JUMPER by WILSON,MARKEITH",,,,,,,"MISS JUMPER by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
18:31,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",1
18:31,"MISS 3PTR by SEALS,JORDAN",,,,,,,"MISS 3PTR by SEALS,JORDAN",1
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",1
17:57,"TURNOVER  by VEASLEY,LARRY",,,,,,,"TURNOVER  by VEASLEY,LARRY",1
17:45,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
17:42,"STEAL  by WILSON,MARKEITH",,,,,,,"STEAL  by WILSON,MARKEITH",1
17:38,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",4 (+2),,2,,RCB 4-2 (-2),,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",1
17:26,,4,,4,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 4-4 (0),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
16:59,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,"REBOUND OFF by SEALS,JORDAN",,,,,,,"REBOUND OFF by SEALS,JORDAN",1
16:54,"MISS LAYUP by SEALS,JORDAN",,,,,,,"MISS LAYUP by SEALS,JORDAN",1
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",1
16:49,"MISS LAYUP by WILSON,MARKEITH",,,,,,,"MISS LAYUP by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
16:42,,4,,6 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 4-6 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
16:20,"GOOD JUMPER by VEASLEY,LARRY",6,,6,,RCB 6-6 (0),,"GOOD JUMPER by VEASLEY,LARRY",1
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",1
16:03,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
16:03,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
16:03,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
16:03,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
16:03,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
15:47,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
15:38,"GOOD LAYUP by SEALS,JORDAN(in the paint)",8 (+2),,6,,RCB 8-6 (-2),,"GOOD LAYUP by SEALS,JORDAN(in the paint)",1
15:25,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by WILSON,MARKEITH",,,,,,,"REBOUND DEF by WILSON,MARKEITH",1
15:11,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
15:11,"GOOD FT by MCPHERSON,FABIAN",9 (+3),,6,,RCB 9-6 (-3),,"GOOD FT by MCPHERSON,FABIAN",1
15:11,"GOOD FT by MCPHERSON,FABIAN",10 (+4),,6,,RCB 10-6 (-4),,"GOOD FT by MCPHERSON,FABIAN",1
14:59,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
14:51,"TURNOVER  by MCPHERSON,FABIAN",,,,,,,"TURNOVER  by MCPHERSON,FABIAN",1
14:51,,10 (+1),,9,"GOOD 3PTR by GALOW,ANDREW",RCMBB12 10-9 (-1),,"GOOD 3PTR by GALOW,ANDREW",1
14:51,"MISS JUMPER by WILSON,MARKEITH",,,,,,,"MISS JUMPER by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
14:49,,10,,12 (+2),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 10-12 (+2),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
14:09,"MISS JUMPER by MONTGOMERY,WILLIAM",,,,,,,"MISS JUMPER by MONTGOMERY,WILLIAM",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
14:05,,10,,14 (+4),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 10-14 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
13:45,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
13:36,,10,,16 (+6),"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 10-16 (+6),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
13:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:43,"GOOD JUMPER by CLARK,JUSTYCZE",12,,16 (+4),,RCB 12-16 (+4),,"GOOD JUMPER by CLARK,JUSTYCZE",1
11:25,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
11:22,"STEAL  by MONTGOMERY,WILLIAM",,,,,,,"STEAL  by MONTGOMERY,WILLIAM",1
11:20,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:20,"FOUL  by MCPHERSON,FABIAN",,,,,,,"FOUL  by MCPHERSON,FABIAN",1
11:20,"SUB IN by THOMPSON,SHUNN",,,,,,,"SUB IN by THOMPSON,SHUNN",1
11:20,"SUB IN by CLARK,JUSTYCZE",,,,,,,"SUB IN by CLARK,JUSTYCZE",1
11:20,"SUB IN by BIRKS,ANDREW",,,,,,,"SUB IN by BIRKS,ANDREW",1
11:20,"SUB IN by STOKES,PATRICK",,,,,,,"SUB IN by STOKES,PATRICK",1
11:20,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",1
11:20,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",1
11:20,"SUB OUT by WILSON,MARKEITH",,,,,,,"SUB OUT by WILSON,MARKEITH",1
11:20,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
11:20,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
11:20,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
11:20,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
11:20,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
11:09,,12,,19 (+7),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 12-19 (+7),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
10:45,"TURNOVER  by STOKES,PATRICK",,,,,,,"TURNOVER  by STOKES,PATRICK",1
10:35,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by CLARK,JUSTYCZE",,,,,,,"REBOUND DEF by CLARK,JUSTYCZE",1
10:11,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
10:11,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
10:11,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
10:11,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
10:07,"MISS JUMPER by MONTGOMERY,WILLIAM",,,,,,,"MISS JUMPER by MONTGOMERY,WILLIAM",1
--,"REBOUND OFF by STOKES,PATRICK",,,,,,,"REBOUND OFF by STOKES,PATRICK",1
